date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,952355.927,1632639.456,50533.965,487584.486,0.0,925.0,146668.746,3274707.58,116800.0,22500.0
1981,980914.805,1740650.43,49252.08,469446.759,0.0,740.0,133694.592,3385378.954,120240.0,21940.0
1982,1009473.683,1848661.403,47970.195,451309.031,0.0,555.0,120720.438,3496050.328,123680.0,21380.0
1983,1038032.56,1956672.377,46688.31,433171.304,0.0,370.0,107746.284,3606721.701,127120.0,20820.0
1984,1066591.438,2064683.35,45406.425,415033.576,0.0,185.0,94772.13,3717393.075,130560.0,20260.0
1985,1095150.316,2172694.324,44124.54,396895.848,0.0,0.0,81797.976,3828064.449,134000.0,19700.0
1986,1164932.772,2246625.788,52614.018,377680.21,322.286,7627.089,73682.889,3957189.755,134860.0,21520.0
1987,1234715.229,2320557.251,61103.497,358464.571,644.572,15254.179,65567.802,4086315.061,135720.0,23340.0
1988,1304497.685,2394488.715,69592.976,339248.932,966.859,22881.268,57452.714,4215440.366,136580.0,25160.0
1989,1374280.142,2468420.178,78082.454,320033.293,1289.145,30508.358,49337.627,4344565.672,137440.0,26980.0
1990,1444062.598,2542351.642,86571.933,300817.654,1611.431,38135.447,41222.54,4473690.978,138300.0,28800.0
1991,1465389.777,2495024.132,87988.417,283922.565,7483.072,35796.206,39201.775,4436018.874,137800.0,28966.666
1992,1486716.956,2447696.623,89404.901,267027.476,13354.714,33456.965,37181.01,4398346.77,137300.0,29133.333
1993,1508044.134,2400369.113,90821.384,250132.387,19226.355,31117.724,35160.245,4360674.666,136800.0,29300.0
1994,1529371.313,2353041.603,92237.868,233237.298,25097.997,28778.482,33139.48,4323002.562,136300.0,29466.666
1995,1550698.492,2305714.094,93654.352,216342.209,30969.638,26439.241,31118.715,4285330.458,135800.0,29633.333
1996,1572025.671,2258386.584,95070.835,199447.12,36841.279,24100.0,29097.95,4247658.354,135300.0,29800.0
1997,1289856.492,2139307.938,94098.783,166196.262,40703.003,36003.837,19771.414,3798301.897,132900.0,31400.0
1998,1307541.096,2003042.075,108446.232,150748.94,29194.412,30208.573,16622.954,3657371.8,136200.0,29800.0
1999,1138457.194,2009455.15,100694.438,141955.448,28439.285,26096.29,22882.008,3496020.421,137700.0,40000.0
2000,1243011.635,1902875.534,84140.621,136150.864,20327.136,28468.869,29863.875,3483716.257,139600.0,40800.001
2001,1054354.61,1899842.574,98190.085,129024.231,16994.046,46618.576,19467.44,3302921.784,139200.0,25800.001
2002,1084001.58,1797024.295,92943.272,120096.084,17105.667,23720.719,15136.793,3198791.655,138400.0,29700.001
2003,935764.896,1757786.472,81664.124,123129.429,17231.444,24733.783,25904.38,3009053.825,139800.0,67500.006
2004,1007640.863,1806522.146,85829.714,111622.118,7420.841,13918.03,26233.265,3089665.129,148300.0,23100.0
2005,990142.284,1836158.418,86873.423,96924.89,8427.056,16117.147,24273.965,3082338.664,148300.0,21800.0
2006,985522.584,1767076.44,79679.939,90217.891,7232.175,17716.483,21073.965,2989739.86,148500.0,22800.0
2007,881667.693,1667295.887,83661.932,86012.855,7303.959,19023.163,23729.966,2787150.226,148800.0,22800.0
2008,870946.919,1668447.612,87029.74,79478.866,0.0,10618.576,24211.462,2757559.471,148800.0,23400.0
2009,863207.247,1703628.143,90920.681,73854.473,0.0,9000.0,25127.001,2786088.275,139100.0,28300.0
2010,811263.014,1833522.91,72641.041,57169.454,5700.0,5000.0,25227.001,2828536.757,152100.0,29500.0
2011,825174.004,1733302.033,65765.259,51065.25,0.0,5000.0,23679.402,2721294.837,152163.0,28889.0
2012,826915.035,1749818.383,56288.938,60450.359,0.0,5500.0,23898.155,2742067.9,152163.0,34087.0
2013,853420.173,1813001.615,49297.908,44800.819,0.0,5000.0,21799.638,2831495.71,152163.0,30254.0
2014,667861.002,1627064.569,46409.348,38968.85,0.0,6100.0,14423.39,2675416.018,151253.0,24683.0
2015,768139.456,1761459.518,44771.214,45926.657,0.0,7870.0,24025.92,3067899.518,151167.0,26713.0
2016,763881.229,1713972.408,44841.85,41551.143,0.0,19087.238,23675.109,2919981.219,154969.0,26015.0
2017,716233.956,1787647.682,40155.78,40284.486,0.0,24897.0,27252.528,2970666.722,153151.0,25863.0
2018,703792.344,1697484.815,34897.223,63279.337,0.0,23612.0,30989.436,2797061.462,158465.0,25892.0
2019,759323.706,1635689.956,18920.519,58590.861,0.0,16846.0,24807.428,2775824.15,158464.0,25914.0
2020,759323.706,1635689.956,18920.519,58590.861,0.0,16846.0,24807.428,2775824.15,158464.0,25914.0
