date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1953.95,3587.601,18187.656,7729.382,15141.864,46586.117
1991,1953.95,3629.756,18112.375,7562.764,15016.232,46259.188
1992,1953.95,3671.911,18037.094,7396.146,14890.6,45932.258
1993,1953.95,3714.065,17961.812,7229.527,14764.968,45605.33
1994,1953.95,3756.22,17886.531,7062.909,14639.336,45278.4
1995,1953.95,3798.375,17811.25,6896.29,14513.702,44951.47
1996,1953.95,3840.53,17735.969,6729.671,14388.072,44624.54
1997,1953.95,3882.684,17660.688,6563.053,14262.44,44297.61
1998,1953.95,3924.839,17585.406,6396.435,14136.808,43970.68
1999,1953.95,3966.994,17510.125,6229.816,14011.175,43643.75
2000,1953.95,4009.148,17434.844,6063.198,13885.542,43316.82
2001,1953.95,3908.165,16708.021,6078.334,13278.231,41902.812
2002,1953.95,3807.181,15981.2,6093.471,12670.92,40488.805
2003,1953.95,3706.198,15254.378,6108.607,12063.609,39074.797
2004,1953.95,3605.214,14527.556,6123.744,11456.298,37660.79
2005,1953.95,3504.231,13800.732,6138.881,10848.986,36246.78
2006,1953.95,3485.296,13906.113,6038.182,10992.084,36372.324
2007,1953.95,3466.362,14011.496,5937.483,11135.181,36497.87
2008,1953.95,3447.427,14116.878,5836.784,11278.278,36623.414
2009,1953.95,3428.493,14222.261,5736.085,11421.375,36748.96
2010,1953.95,3409.558,14327.644,5635.386,11564.473,36874.504
2011,1954.112,3263.945,14234.387,5508.195,11298.592,36246.023
2012,1954.273,3118.332,14141.131,5381.004,11032.711,35617.547
2013,1954.434,2972.718,14047.875,5253.813,10766.83,34989.066
2014,1954.596,2827.106,13954.621,5126.622,10500.949,34360.59
2015,1954.757,2681.492,13861.365,4999.431,10235.068,33732.11
2016,1955.068,3838.088,13606.06,4800.752,9834.738,34034.57
2017,1955.38,4994.683,13350.755,4602.073,9434.407,34337.027
2018,1955.692,6151.279,13095.451,4403.394,9034.077,34639.49
2019,1956.003,7307.874,12840.146,4204.715,8633.746,34941.945
2020,1956.315,8464.47,12584.842,4006.036,8233.416,35244.406
