date,crop_perc,dwood_perc,ewood_perc,grass_perc,ice_perc,inwater_perc,loose_rock_perc,mixed_wood_perc,rock_perc,scrub_perc,urban_perc,wetlands_perc
2000.0,0.6,0.79,6.28,20.19,20.86,1.09,7.87,7.74,28.45,0.0,0.44,5.7
2001.0,0.61,0.79,6.3,20.2,20.84,1.09,7.94,7.73,28.39,0.0,0.44,5.68
2002.0,0.63,0.79,6.32,20.2,20.82,1.09,8.01,7.72,28.33,0.0,0.44,5.66
2003.0,0.64,0.79,6.35,20.2,20.8,1.09,8.09,7.71,28.27,0.0,0.44,5.64
2004.0,0.65,0.78,6.37,20.21,20.78,1.09,8.16,7.69,28.22,0.0,0.44,5.62
2005.0,0.67,0.78,6.39,20.21,20.76,1.09,8.23,7.68,28.16,0.0,0.44,5.6
2006.0,0.68,0.78,6.41,20.22,20.74,1.09,8.3,7.67,28.1,0.0,0.44,5.58
2007.0,0.66,0.75,6.5,19.7,19.95,1.11,9.52,7.54,27.57,0.29,0.47,5.93
2008.0,0.65,0.72,6.6,19.17,19.17,1.13,10.75,7.42,27.03,0.59,0.5,6.28
2009.0,0.63,0.69,6.7,18.64,18.38,1.16,11.97,7.29,26.5,0.88,0.53,6.63
2010.0,0.61,0.65,6.79,18.12,17.6,1.18,13.19,7.17,25.97,1.17,0.56,6.99
2011.0,0.6,0.62,6.89,17.59,16.82,1.2,14.42,7.04,25.43,1.47,0.59,7.34
2012.0,0.58,0.59,6.98,17.07,16.03,1.22,15.64,6.92,24.9,1.76,0.62,7.69
2013.0,0.58,0.59,6.98,17.07,15.95,1.22,15.64,6.92,24.98,1.76,0.62,7.69
2014.0,0.58,0.59,6.98,17.07,15.87,1.22,15.64,6.92,25.06,1.76,0.62,7.69
2015.0,0.58,0.59,6.98,17.07,15.8,1.22,15.64,6.92,25.14,1.76,0.62,7.69
2016.0,0.58,0.59,6.98,17.07,15.72,1.22,15.64,6.92,25.22,1.76,0.62,7.69
2017.0,0.58,0.59,6.98,17.07,15.64,1.22,15.64,6.92,25.3,1.76,0.62,7.69
2018.0,0.58,0.59,6.98,17.07,15.56,1.22,15.64,6.92,25.38,1.76,0.62,7.69
2019.0,0.58,0.59,6.98,17.07,15.56,1.22,15.64,6.92,25.38,1.76,0.62,7.69
2020.0,0.58,0.59,6.98,17.07,15.56,1.22,15.64,6.92,25.38,1.76,0.62,7.69
