date,gve_sum,gve_ha
1980,6549.563,0.7449
1981,6567.5188,0.747
1982,6585.4747,0.749
1983,6603.4305,0.7511
1984,6621.3863,0.7531
1985,6639.3421,0.7552
1986,6700.3372,0.7621
1987,6761.3323,0.769
1988,6822.3274,0.776
1989,6883.3225,0.7829
1990,6944.3176,0.7898
1991,6855.5512,0.7797
1992,6766.7849,0.7697
1993,6678.0185,0.7596
1994,6589.2522,0.7495
1995,6500.4858,0.7394
1996,6411.7195,0.7293
1997,6198.864,0.7051
1998,6190.9455,0.7042
1999,6612.5112,0.7521
2000,6360.6349,0.7235
2001,6434.215,0.7318
2002,6433.4148,0.7317
2003,6456.2034,0.7343
2004,6294.7819,0.716
2005,6532.6489,0.743
2006,7050.5822,0.8019
2007,6284.2849,0.7148
2008,6572.2891,0.7475
2009,6433.2067,0.7317
2010,6354.2442,0.7227
2011,6388.6318,0.7266
2012,6443.841,0.7329
2013,6211.2062,0.7065
2014,6266.3908,0.7127
2015,6275.2395,0.7137
2016,6313.4299,0.7181
2017,6328.6085,0.7198
2018,6380.9196,0.7258
2019,6355.0152,0.7228
2020,6145.691,0.699
