date,delta_2h,delta_18o
2007-01-15,-111.59,-15.27
2007-02-15,-151.36,-19.78
2007-03-15,-141.92,-18.79
2007-04-15,-117.4,-16.54
2007-05-15,-109.09,-15.03
2007-06-15,-88.19,-12.37
2007-07-15,-79.74,-11.85
2007-08-15,-78.83,-11.71
2007-09-15,-85.7,-12.93
2007-10-15,-93.8,-13.14
2007-11-15,-114.4,-16.18
2007-12-15,-124.0,-17.12
2008-01-15,-136.19,-18.19
2008-02-15,-134.23,-18.2
2008-03-15,-119.12,-16.39
2008-04-15,-120.45,-16.46
2008-05-15,-61.66,-9.04
2008-06-15,-96.11,-13.66
2008-07-15,-71.81,-10.51
2008-08-15,-69.85,-10.79
2008-09-15,-95.38,-13.98
2008-10-15,-110.53,-15.81
2008-11-15,-104.72,-15.07
2008-12-15,-127.86,-17.66
2009-01-15,-137.58,-18.26
2009-02-15,-150.93,-20.25
2009-03-15,-149.5,-19.83
2009-04-15,-129.62,-17.78
2009-05-15,-68.36,-10.38
2009-06-15,-66.78,-10.09
2009-07-15,-60.88,-9.24
2009-08-15,-61.25,-9.55
2009-09-15,-59.3,-9.66
2009-10-15,-94.16,-13.61
2009-11-15,-161.12,-21.91
2009-12-15,-159.99,-21.91
2010-01-15,-159.86,-21.07
2010-02-15,-157.21,-21.35
2010-03-15,-120.02,-16.76
2010-04-15,-124.71,-17.38
2010-05-15,-106.84,-15.17
2010-06-15,-84.78,-12.29
2010-07-15,-56.69,-9.42
2010-08-15,-96.02,-13.99
2010-09-15,-99.4,-14.63
2010-10-15,-144.88,-20.06
2010-11-15,-162.89,-22.18
2010-12-15,-155.35,-21.14
2011-01-15,-121.3,-16.5
2011-02-15,-189.98,-24.37
2011-03-15,-127.01,-16.94
2011-04-15,-77.95,-11.06
2011-05-15,-77.46,-11.73
2011-06-15,-73.35,-11.02
2011-07-15,-74.15,-11.48
2011-08-15,-56.33,-9.21
2011-09-15,-90.73,-13.25
2011-10-15,-95.22,-13.62
2011-11-15,-99.44,-11.12
2011-12-15,-141.77,-19.47
2012-01-15,-122.66,-17.31
2012-02-15,-166.78,-21.52
2012-03-15,-128.81,-17.77
2012-04-15,-129.26,-17.74
2012-05-15,-84.2,-12.41
2012-06-15,-84.03,-12.14
2012-07-15,-35.78,-6.61
2012-08-15,-39.25,-7.17
2012-09-15,-101.79,-14.72
2012-10-15,-161.05,-21.73
2012-11-15,-159.43,-21.52
2012-12-15,-157.54,-21.34
2013-01-15,-170.32,-22.42
2013-02-15,-181.2,-23.08
2013-03-15,-147.63,-20.06
2013-04-15,-100.56,-14.08
2013-05-15,-97.94,-14.28
2013-06-15,-75.95,-11.23
2013-07-15,-62.73,-9.53
2013-08-15,-48.92,-7.98
2013-09-15,-78.43,-12.08
2013-10-15,-94.22,-13.92
2013-11-15,-156.8,-21.61
2013-12-15,-101.32,-14.81
2014-01-15,-159.94,-21.25
2014-02-15,-127.62,-17.37
2014-03-15,-179.01,-23.37
2014-04-15,-139.09,-17.99
2014-05-15,-116.14,-16.3
2014-06-15,-54.03,-8.33
2014-07-15,-97.12,-13.79
2014-08-15,-72.69,-11.08
2014-09-15,-73.65,-10.84
2014-10-15,-71.23,-11.39
2014-11-15,-130.6,-17.72
2014-12-15,-131.63,-18.54
2015-01-15,-124.22,-16.89
2015-02-15,-163.05,-21.63
2015-03-15,-122.76,-16.59
2015-04-15,-101.54,-13.97
2015-05-15,-105.6,-14.58
2015-06-15,-69.88,-10.6
2015-07-15,-41.76,-6.88
2015-08-15,-84.61,-12.2
2015-09-15,-70.61,-11.23
2015-10-15,-104.35,-15.3
2015-11-15,-151.87,-20.3
2015-12-15,-119.94,-16.17
2016-01-15,-133.43,-18.43
2016-02-15,-131.31,-17.89
2016-03-15,-142.02,-19.43
2016-04-15,-96.08,-13.95
2016-05-15,-126.96,-17.52
2016-06-15,-95.77,-13.51
2016-07-15,-43.64,-7.45
2016-08-15,-53.6,-9.15
2016-09-15,-94.67,-13.51
2016-10-15,-83.68,-12.67
2016-11-15,-123.79,-17.75
2016-12-15,-150.32,-23.6
2017-01-15,-125.81,-17.72
2017-02-15,-138.01,-18.36
2017-03-15,-116.83,-16.07
2017-04-15,-93.42,-13.29
2017-05-15,-120.92,-17.05
2017-06-15,-64.37,-9.91
2017-07-15,-64.44,-9.54
2017-08-15,-55.98,-9.38
2017-09-15,-86.34,-13.21
2017-10-15,-76.94,-12.04
2017-11-15,-119.57,-17.14
2017-12-15,-148.44,-19.15
2018-01-15,-127.38,-17.08
2018-02-15,-147.96,-19.68
2018-03-15,-138.33,-18.76
2018-04-15,-87.66,-12.53
2018-05-15,-53.64,-9.14
2018-06-15,-56.7,-8.67
2018-07-15,-47.44,-7.87
2018-08-15,-37.41,-6.53
2018-09-15,-65.81,-9.1
2018-10-15,-102.17,-15.22
2018-11-15,-81.8,-12.36
2018-12-15,-115.2,-15.47
2019-01-15,-143.46,-19.67
2019-02-15,-157.65,-20.85
2019-03-15,-101.08,-14.35
2019-04-15,-71.42,-10.59
2019-05-15,-108.66,-15.39
2019-06-15,-49.93,-8.65
2019-07-15,-41.01,-6.87
2019-08-15,-48.99,-8.0
2019-09-15,-79.55,-12.36
2019-10-15,-86.34,-12.83
2019-11-15,-153.67,-20.82
2019-12-15,-135.81,-17.69
2020-01-15,-148.32,-20.12
2020-02-15,-121.01,-16.18
2020-03-15,-105.65,-14.47
2020-04-15,-97.93,-14.06
2020-05-15,-64.62,-9.83
2020-06-15,-94.15,-13.61
2020-07-15,-61.07,-9.35
2020-08-15,-72.85,-11.33
2020-09-15,-90.6,-13.56
2020-10-15,-91.16,-13.07
2020-11-15,-102.47,-14.39
2020-12-15,-168.14,-22.18
