gauge_id,sensor_id,nawaf_id,nawat_id,isot_id,chirp_id,gauge_name,water_body_name,gauge_easting,gauge_northing,gauge_lon,gauge_lat,area,area_swiss_perc,Q,level,gauge_name_nawaf,gauge_easting_nawaf,gauge_northing_nawaf,area_nawaf,foen_nawaf_dist,gauge_name_nawat,gauge_easting_nawat,gauge_northing_nawat,area_nawat,foen_nawat_dist,q_nawat_corrector,remarks
2009,2009.0,1837.0,1837.0,NIO04,,Porte du Scex,Rhône,2557660,1133280,6.89,46.35,5239.4,100.0,ok,ok,Porte du Scex,2557660.0,1133280.0,5239.4,0.0,Porte du Scex,2557660.0,1133280.0,5239.40209565,0.0,1.0,
2011,2011.0,,4070.0,,,Sion,Rhône,2593770,1118630,7.36,46.22,3372.4,100.0,ok,ok,,,,,,Sion,2593277.0,1118449.0,3372.41704021,0.0,1.0,
2016,2016.0,1833.0,1833.0,NIO02,,Brugg,Aare,2657000,1259360,8.19,47.48,11681.3,100.0,ok,ok,Brugg,2657000.0,1259360.0,11681.3,0.0,Brugg,2657000.0,1259360.0,11681.2828821,0.0,1.0,
2018,2018.0,1835.0,1339.0,,,Mellingen,Reuss,2662830,1252580,8.27,47.42,3385.8,100.0,ok,ok,Mellingen,2662830.0,1252580.0,3385.8,0.0,Gebenstorf,2659450.0,1258850.0,3420.5034584,10.0,1.01,
2019,2019.0,,1852.0,NIO01,,Brienzwiler,Aare,2649930,1177380,8.09,46.75,555.2,100.0,ok,ok,,,,,,Brienzerseeeinlauf,2646692.0,1177000.0,555.808969613,3.3,1.001,
2029,2029.0,,1142.0,,,"Brügg, Aegerten",Aare,2588220,1219020,7.28,47.12,8248.6,100.0,ok,ok,,,,,,Nidau ,2584709.0,1219090.0,8243.1,3.8,0.999,
2030,2030.0,,1145.0,NIO07,,Thun,Aare,2613230,1179280,7.61,46.76,2459.3,100.0,ok,ok,,,,,,Thun Schadau ,2615219.0,1177345.0,2451.53640662,3.2,0.997,
2033,2033.0,,,,,Ilanz,Vorderrhein,2734997,1182035,9.21,46.78,774.0,100.0,ok,ok,,,,,,,,,,,,
2034,2034.0,,1432.0,,,"Payerne, Caserne d'aviation",Broye,2561660,1187320,6.94,46.84,415.9,100.0,ok,ok,,,,,,Domdidier,2566187.0,1191947.0,428.900220331,6.6,1.031,
2044,2044.0,1823.0,1044.0,,,Andelfingen,Thur,2693510,1272500,8.68,47.6,1701.6,100.0,ok,ok,Andelfingen,2693510.0,1272500.0,1701.6,0.0,Vor ARA Andelfingen,2693086.0,1272856.0,1701.62712049,0.6,1.0,
2053,,,3860.0,,,"Martigny, Pont de Rossettan",Drance,2570930,1105200,7.06,46.1,675.7,100.0,ok,ok,,,,,,Martigny,2570930.0,1105200.0,675.654141772452,0.0,1.0,
2056,2056.0,,4922.0,,,Seedorf,Reuss,2690085,1193210,8.62,46.88,833.2,100.0,ok,ok,,,,,,"Attinghausen, Allmeinigärtli",2690740.0,1191720.0,818.855513216,1.6,0.983,
2063,,,1108.0,,,Murgenthal,Aare,2629665,1235150,7.83,47.27,10059.4,100.0,ok,ok,,,,,,Murgenthal,2629760.0,1235242.0,10059.3551987,0.3,1.0,
2067,2067.0,1842.0,,,,Martina,Inn,2830640,1197190,10.47,46.89,1937.5,97.4,ok,ok,Martina,2830640.0,1197190.0,1937.5,0.0,,,,,,,
2068,2068.0,1840.0,1840.0,NIO05,,Riazzino,Ticino,2713670,1113500,8.91,46.16,1613.3,77.1,ok,ok,Riazzino,2713670.0,1113500.0,1613.3,10.2,Riazzino,2713670.0,1113500.0,1613.2680700899998,0.0,1.0,Q data calculated by id_2020 *1.12
2070,2070.0,,1162.0,,,Emmenmatt,Emme,2623610,1200420,7.75,46.95,443.0,100.0,ok,ok,,,,,,"Emmenmatt, Mitte",2623700.0,1199790.0,230.974056263,0.7,0.904,Q is calculated by id_2070 minus id_2603
2084,2084.0,,6058.0,,,Ingenbohl,Muota,2688262,1206170,8.6,47.0,316.6,100.0,ok,ok,,,,,,Föhneneich,2688262.0,1206170.0,316.61900136,0.0,1.0,
2085,2085.0,1832.0,1832.0,,,Hagneck,Aare,2580680,1211650,7.18,47.06,5111.9,100.0,ok,ok,Hagneck,2580680.0,1211650.0,5111.9,0.0,Hagneck,2580680.0,1211650.0,5111.8642850100005,0.0,1.0,
2091,2091.0,1827.0,,,,"Rheinfelden, Messstation",Rhein,2627190,1267840,7.8,47.56,34479.4,78.6,ok,ok,"Rheinfelden, Messstation",2627190.0,1267840.0,34479.4,0.0,,,,,,,
