date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1980-12-29 07:40:00,1981-01-12 06:40:00,3.0,,,,,69.6,8.2,,,1.4,0.01,346.5412,340.0,,,,5.832,109.7043,,,1.37,10.0595,82.5257,8.2,7.9014,1.4,5.5,5.4,,33.0,,1.98,1.675,2.2,0.04,5.5,4.7023,
1981-01-12 06:50:00,1981-01-26 07:50:00,3.06,,,,,66.8,12.0,,,1.6,0.025,371.4785,370.0,,,,6.318,115.5168,,,1.4,9.9019,80.6865,8.3,7.8724,1.5,6.0,6.7,,34.0,,1.93,1.695,2.0,0.05,3.1,4.4429,
1981-01-26 07:40:00,1981-02-09 06:40:00,3.14,,,,,67.6,9.0,,,1.4,0.035,381.8273,380.0,,,,7.047,85.19,,,1.55,10.316,84.2036,8.4,7.8645,1.5,6.0,5.6,,34.0,,1.98,1.905,1.8,0.06,2.3,4.5081,
1981-02-09 06:40:00,1981-02-23 06:40:00,3.18,,,,,70.0,11.0,,,,0.04,385.1628,390.0,,,,6.561,87.5334,,,1.8,10.6047,87.1417,8.4,7.9445,1.6,6.0,6.9,,36.0,,2.02,2.31,1.9,0.075,2.8,4.7659,
1981-02-23 06:25:00,1981-03-09 07:25:00,3.2,,,,,70.4,8.6,,,2.4,0.04,380.7419,380.0,,,,6.804,95.5238,,,1.6,11.0753,92.4798,8.4,7.9949,1.7,5.5,5.5,,37.0,,2.04,1.92,2.3,0.08,6.1,5.3864,
1981-03-09 07:45:00,1981-03-23 06:45:00,2.74,,,,,56.0,5.6,,,2.1,0.03,337.9964,310.0,,,,5.346,249.9373,,,1.55,11.9302,100.503,8.4,7.9871,1.6,5.5,3.5,,32.0,,1.62,2.208,3.1,0.105,63,5.7309,
1981-03-23 06:45:00,1981-04-06 06:45:00,2.6,,,,,59.6,4.0,,,1.5,<0.005,317.1768,310.0,,,,5.103,309.9534,,,0.9,11.766,103.1632,8.2,8.0408,1.1,4.5,2.8,,33.0,,1.7,1.21,3.3,0.035,14,7.3122,
1981-04-06 06:50:00,1981-04-21 06:50:00,2.5,,,,,57.6,2.8,,,1.4,<0.005,298.2464,280.0,,,,4.617,312.3988,,,0.75,11.3661,103.5886,8.2,8.1663,1.0,3.5,2.3,,31.0,,1.63,1.14,2.1,0.05,7.6,8.8817,
1981-04-21 06:45:00,1981-05-04 06:45:00,2.56,,,,,56.8,3.2,,,1.8,<0.005,306.9003,290.0,,,,5.103,181.7431,,,0.75,10.5364,97.0621,8.3,8.1437,0.98,3.0,2.6,,31.0,,1.63,1.03,2.7,0.025,10,9.3241,
1981-05-04 06:45:00,1981-05-18 06:45:00,2.54,,,,,57.2,3.0,,,1.1,0.01,303.8178,280.0,,,,4.86,178.4777,,,0.7,10.1336,97.516,8.4,8.1525,0.89,2.5,2.6,,29.0,,1.63,0.989,1.2,0.03,6.8,11.1612,
