date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-25 12:00:00,0.085,<2.0,,,15.6,19.2689,0.55,94.0,,0.012,,0.51,<0.015,<0.008,7.7,,,,,,,3.25
2011-02-24 12:00:00,0.261,2,,,13.0,16.4728,0.41,182.0,,0.059,,0.7,<0.015,<0.008,7.8,,,,,,,2.9
2011-03-24 12:00:00,0.394,8.1,,,5.43,4.8282,1.04,348.0,,0.241,,1.61,<0.015,0.016,8.4,,11.6,,,,0.9,6.57
2011-04-29 12:00:00,0.251,<2.0,,,10.9,20.711,1.19,164.0,,0.062,,0.9,0.019,<0.008,7.9,,11.4,,,,,5.14
2011-05-26 12:00:00,0.066,<2.0,,,13.8,16.8228,0.67,124.0,,0.13,,<0.2,<0.015,<0.008,7.9,,10.3,,,,9.4,10.84
2011-06-29 12:00:00,0.16,<2.0,,,32.5,33.3036,0.93,119.0,,0.239,,0.36,<0.015,<0.008,8.1,,10.1,,,,9.8,8.89
2011-07-20 12:00:00,0.103,<2.0,,,24.7,21.406,<0.4,153.0,,1.87,,<0.2,<0.015,0.035,8.2,,11.0,,,,6.6,6.57
2011-08-29 12:00:00,0.187,<2.0,,,11.1,17.7429,0.43,134.0,,0.023,,0.39,<0.015,0.012,7.8,,11.0,,,,6.9,6.72
2011-09-20 12:00:00,0.021,<2.0,,,14.1,22.0441,0.76,126.0,,0.184,,<0.2,<0.015,0.026,8.1,,11.1,,,,6.7,7.04
2011-10-28 12:00:00,0.087,4.5,,,8.07,21.578,0.64,275.0,,0.031,,0.93,<0.015,<0.008,7.9,,12.3,,,,5.0,5.83
2011-11-25 12:00:00,0.502,<2.0,,,13.2,20.322,<0.4,154.0,,0.061,,0.7,<0.015,<0.008,7.8,,11.5,,,,5.2,4.13
2011-12-28 12:00:00,0.272,<2.0,,,8.7,12.6976,0.75,137.0,,0.031,,0.41,<0.015,<0.008,7.9,,11.6,,,,3.3,2.76
2012-01-26 12:00:00,0.305,,,,11.2,15.5077,0.58,131.0,,0.019,,<0.2,<0.015,<0.008,7.8,,12.0,,,,2.9,2.69
2012-02-20 12:00:00,0.23,<2.0,,,14.6,12.4786,<0.4,96.0,,0.023,,0.65,0.024,<0.008,7.3,,12.1,,,,3.3,2.4
2012-03-29 12:00:00,0.203,8.9,,,6.2,6.4583,1.21,258.0,,0.029,,0.86,0.017,<0.008,7.9,,11.1,,,,5.3,7.1
2012-04-23 12:00:00,0.022,11.8,,,5.06,5.9053,0.99,238.0,,<0.008,,1.18,0.019,<0.008,7.9,,10.7,,,,5.3,7.41
2012-05-29 12:00:00,0.02,<2.0,,,16.5,18.9549,0.44,142.0,,0.291,,0.57,<0.015,<0.008,7.7,,11.2,,,,9.5,8.09
2012-06-27 12:00:00,0.072,<2.0,,,45.3,39.3299,0.65,110.0,,0.1,,0.36,<0.015,<0.008,8.0,,11.5,,,,8.0,9.3
2012-07-30 12:00:00,0.078,<2.0,,,29.4,33.2646,0.42,90.0,,0.11,,<0.2,<0.015,0.008,7.6,,11.3,,,,8.3,8.1
2012-08-16 12:00:00,0.02,<2.0,,,31.7,34.3436,0.51,79.0,,0.066,,0.38,0.019,<0.008,7.6,,11.0,,,,8.9,8.22
2012-09-26 12:00:00,0.135,5.4,,,14.0,24.9932,1.2,214.0,,<0.008,,0.64,0.026,<0.008,7.8,,10.1,,,,10.4,9.04
2012-10-17 12:00:00,0.117,<2.0,,,12.0,20.591,0.98,88.0,,<0.008,,0.28,<0.015,<0.008,,,11.1,,,,10.6,7.82
2012-11-26 12:00:00,0.055,<2.0,,,9.3,15.1447,0.95,194.0,,0.01,,0.27,<0.015,<0.008,7.7,,11.5,,,,5.6,4.9
2012-12-14 12:00:00,0.015,<2.0,,,13.8,23.6131,1.04,115.0,,0.021,,<0.2,<0.015,<0.008,7.6,,11.2,,,,3.6,3.53
2013-01-23 12:00:00,0.055,<2.0,,,12.0,22.9091,0.9,98.0,,<0.008,,0.37,<0.015,<0.008,7.5,,12.3,,,,3.2,3.08
2013-02-22 12:00:00,0.07,<2.0,,,21.4,24.1402,0.6,82.0,,<0.008,,0.3,<0.015,<0.008,7.5,,12.8,,,,2.9,2.78
2013-03-26 12:00:00,0.168,5.8,,,4.1,9.4465,1.1,270.0,,0.014,,0.7,<0.015,<0.008,8.0,,12.2,,,,5.2,4.76
2013-04-30 12:00:00,<0.01,,,,24.4,25.0882,3.1,153.0,,0.071,,0.67,0.03,<0.008,7.8,,11.4,,,,7.2,6.8
2013-05-22 12:00:00,0.022,4.1,,,17.6,19.6309,2.1,141.0,,0.055,,0.51,<0.015,<0.008,7.9,,11.1,,,,7.8,6.2
2013-06-25 12:00:00,0.019,<2.0,,,26.4,26.3873,0.7,138.0,,0.039,,0.33,<0.015,0.008,7.8,,11.1,,,,6.1,7.3
2013-07-30 12:00:00,0.108,<2.0,,,41.7,35.8787,1.9,110.0,,0.182,,0.29,<0.015,<0.008,7.8,,10.8,,,,7.2,7.84
2013-08-22 12:00:00,0.143,3.1,,,24.7,19.868,1.5,128.0,,0.054,,0.3,<0.015,<0.008,7.8,,10.2,,,,8.4,8.44
2013-09-25 12:00:00,0.029,<2.0,,,16.3,16.9498,1.2,142.0,,0.027,,0.32,<0.015,<0.008,7.6,,10.5,,,,7.6,8.27
2013-10-22 12:00:00,0.02,<2.0,,,12.3,14.3217,1.3,107.0,,0.019,,0.3,<0.015,<0.008,7.5,,10.1,,,,8.3,7.98
2013-11-13 12:00:00,<0.01,<2.0,,,15.1,17.2218,1.2,117.0,,0.04,,0.29,<0.015,<0.008,7.6,,11.2,,,,5.2,4.91
2013-12-11 12:00:00,0.035,<2.0,,,22.6,23.7251,1.2,92.0,,0.039,,0.32,<0.015,<0.008,7.5,,11.9,,,,3.9,4.11
2014-01-23 12:00:00,0.173,8.4,,,4.0,5.3673,0.7,300.0,,0.008,,0.66,<0.015,<0.008,7.9,,12.1,,,,2.5,2.58
2014-02-26 12:00:00,0.077,3,,,20.0,22.4731,0.7,94.0,,<0.008,,0.28,<0.015,<0.008,7.7,,11.4,,,,4.0,3.06
2014-03-18 12:00:00,0.041,3.5,,,13.3,14.8457,0.8,143.0,,0.012,,0.33,<0.015,<0.008,7.6,,11.8,,,,3.8,4.52
2014-04-28 12:00:00,0.081,<2.0,,,19.8,22.9691,1.8,155.0,,0.047,,0.41,<0.015,<0.008,7.8,,10.6,,,,5.6,3.5
2014-05-26 12:00:00,<0.01,2.3,,,22.8,24.5262,1.1,145.0,,0.016,,0.44,<0.015,<0.008,7.6,,10.4,,,,7.0,6.2
2014-06-11 12:00:00,0.034,<2.0,,,31.3,35.1517,0.9,198.0,,0.092,,0.33,<0.015,<0.008,8.0,,10.3,,,,7.8,8.58
2014-07-09 12:00:00,<0.01,<2.0,,,24.4,22.3291,0.9,127.0,,0.035,,0.3,<0.015,<0.008,8.0,,10.3,,,,8.2,7.51
2014-08-12 12:00:00,0.063,<2.0,,,27.7,22.8641,0.7,123.0,,0.02,,0.21,<0.015,<0.008,7.8,,9.9,,,,9.9,8.86
2014-09-25 12:00:00,0.075,<2.0,,,11.8,15.1837,0.7,128.0,,<0.008,,0.28,<0.015,<0.008,7.8,,10.5,,,,8.7,8.06
2014-10-24 12:00:00,0.012,<2.0,,,11.5,14.3187,1,212.0,,<0.008,,0.29,<0.015,<0.008,7.9,,10.9,,,,7.2,6.03
2014-11-25 12:00:00,0.036,2,,,16.9,26.4003,0.7,143.0,,0.027,,0.37,<0.015,<0.008,7.7,,11.3,,,,6.0,5.66
2014-12-17 12:00:00,0.093,5.9,,,17.0,15.9788,1,290.0,,0.017,,0.61,<0.015,<0.008,7.9,,11.2,,,,4.3,4.05
2015-01-20 12:00:00,0.053,<2.0,,,16.1,28.2034,0.6,89.0,,0.028,,0.28,<0.015,<0.008,7.5,,11.5,,,,3.9,3.2
2015-02-26 12:00:00,0.093,<2.0,,,17.1,23.4211,0.5,110.0,,0.01,,0.27,<0.015,<0.008,7.8,,11.9,,,,3.8,2.84
2015-03-31 12:00:00,0.219,16.1,,,6.7,5.5133,2.1,252.0,,0.05,,0.65,0.016,<0.008,7.9,,10.2,,,,6.6,6.18
2015-04-21 12:00:00,0.058,3.7,,,9.7,9.9845,1.2,162.0,,0.023,,0.67,<0.015,<0.008,7.6,,10.7,,,,5.7,7.48
2015-05-28 12:00:00,0.027,3.3,,,20.2,26.2043,0.9,140.0,,0.017,,0.42,<0.015,<0.008,7.9,,10.6,,,,6.7,7.05
2015-06-16 12:00:00,0.043,<2.0,,,39.3,35.8417,1.1,119.0,,0.038,,0.31,<0.015,<0.008,7.6,,10.1,,,,8.8,8.74
2015-07-24 12:00:00,0.026,<2.0,,,52.5,41.133,1,75.0,,0.114,,0.35,<0.015,<0.008,7.8,,9.5,,,,11.6,10.01
2015-08-24 12:00:00,0.043,<2.0,,,24.4,31.7645,0.8,153.0,,0.034,,0.65,<0.015,0.011,7.6,,9.8,,,,9.9,10.36
2015-09-23 12:00:00,0.054,<2.0,,,16.1,29.7534,0.7,117.0,,0.062,,0.3,<0.015,<0.008,7.7,,9.9,,,,9.9,8.96
2015-10-20 12:00:00,0.047,2.4,,,15.9,16.6378,<0.4,270.0,,0.036,,0.41,<0.015,0.015,8.0,,10.6,,,,7.9,7.0
2015-11-23 12:00:00,0.023,<2.0,,,12.3,16.8478,<0.4,124.0,,0.04,,0.72,<0.015,0.011,7.8,,11.6,,,,5.1,4.46
2015-12-15 12:00:00,0.033,<2.0,,,12.4,13.4676,0.6,111.0,,0.009,,0.47,<0.015,0.009,7.4,,11.6,,,,4.7,4.4
2016-01-13 16:00:00,0.094,4.3,,,8.07,4.1362,0.5,170.0,,0.014,,0.37,<0.015,<0.008,8.0,,12.1,,,,3.6,3.21
2016-02-02 14:28:00,0.082,2.1,,,9.06,12.1994,0.8,116.0,,0.043,,0.32,<0.015,<0.008,7.6,,11.6,,,,5.2,4.044
