date,delta_2h,delta_18o
2010-07-20,-61.5,-8.62
2010-08-05,-78.7,-10.74
2010-08-24,-61.0,-8.51
2010-08-30,-80.3,-11.44
2010-09-06,-69.7,-9.8
2010-09-11,-68.7,-9.49
2010-09-14,-84.5,-11.92
2010-09-20,-68.6,-9.61
2010-09-27,-71.7,-9.9
2010-10-04,-69.9,-9.84
2010-10-08,-84.9,-12.01
2010-10-18,-74.0,-10.31
2010-10-23,-68.9,-9.66
2010-10-26,-87.9,-12.33
2010-11-01,-69.9,-9.82
2010-11-10,-81.0,-11.31
2010-11-12,-91.4,-12.65
2010-11-15,-69.6,-9.83
2010-11-27,-87.7,-12.36
2010-11-29,-71.4,-10.04
2010-11-30,-73.9,-10.2
2010-12-13,-73.3,-10.31
2010-12-16,-74.0,-10.27
2010-12-27,-73.4,-10.3
2011-01-05,-88.1,-12.4
2011-01-10,-93.1,-12.76
2011-01-22,-74.5,-10.34
2011-01-24,-72.3,-10.19
2011-01-27,-88.1,-12.43
2011-02-07,-71.5,-10.1
2011-02-10,-73.0,-10.23
2011-02-21,-90.2,-12.43
2011-02-24,-88.7,-12.5
2011-03-04,-74.4,-10.46
2011-03-07,-71.5,-10.17
2011-03-28,-92.7,-12.98
2011-03-29,-75.3,-10.64
2011-04-04,-63.3,-8.99
2011-04-14,-90.8,-12.82
2011-04-18,-70.4,-9.82
2011-04-27,-72.2,-10.08
2011-04-28,-91.0,-12.81
2011-05-02,-70.4,-9.81
2011-05-13,-90.3,-12.72
2011-05-21,-70.4,-9.88
2011-05-27,-88.1,-12.53
2011-05-30,-64.8,-9.01
2011-06-14,-62.6,-8.78
2011-06-17,-86.7,-12.28
2011-06-21,-59.7,-8.44
2011-06-27,-68.3,-9.5
2011-07-02,-85.1,-12.05
2011-07-05,-68.9,-9.63
2011-07-11,-60.3,-8.6
2011-07-21,-82.0,-11.56
2011-07-27,-65.9,-9.08
2011-08-03,-60.7,-9.27
2011-08-08,-63.8,-9.14
2011-08-10,-66.8,-9.29
2011-08-22,-67.9,-9.41
2011-08-31,-67.5,-9.46
2011-09-02,-84.0,-11.8
2011-09-05,-59.2,-8.52
2011-09-19,-60.1,-8.57
2011-09-23,-82.2,-11.7
2011-09-30,-68.7,-9.47
2011-10-03,-67.7,-9.4
2011-10-08,-82.1,-11.63
2011-10-17,-66.0,-9.3
2011-10-20,-76.6,-10.69
2011-10-26,-84.6,-11.93
2011-10-31,-66.2,-9.53
2011-11-02,-69.2,-9.61
2011-11-08,-85.3,-12.01
2011-11-14,-67.0,-9.47
2011-11-16,-75.1,-10.3
2011-11-21,-85.8,-12.08
2011-11-28,-67.9,-9.62
2011-12-02,-71.4,-9.9
2011-12-09,-86.3,-12.17
2011-12-12,-63.4,-9.16
2011-12-16,-66.7,-9.27
2011-12-27,-65.8,-9.26
2011-12-29,-86.1,-12.09
2012-01-09,-63.6,-9.11
2012-01-12,-86.1,-12.08
2012-01-21,-86.8,-12.21
2012-01-23,-64.8,-9.31
2012-02-02,-86.3,-11.91
2012-02-06,-66.7,-9.42
2012-02-20,-68.2,-9.68
2012-02-25,-88.2,-12.38
2012-03-05,-69.6,-9.84
2012-03-18,-89.8,-12.53
2012-03-19,-69.0,-9.91
2012-04-02,-67.2,-9.62
2012-04-16,-70.2,-10.13
2012-04-30,-65.8,-9.54
