date_start,date_end,delta_2h,delta_18o
1994-01-10,1994-02-07,-74.6,-10.0
1994-02-07,1994-03-07,-73.1,-10.44
1994-03-07,1994-04-05,,
1994-04-05,1994-05-02,-74.1,-10.14
1994-05-02,1994-05-30,-75.8,-10.27
1994-05-30,1994-06-27,-79.5,-10.67
1994-06-27,1994-07-25,-80.3,-10.9
1994-07-25,1994-08-22,-82.5,-11.03
1994-08-22,1994-09-19,-74.3,-11.0
1994-09-19,1994-10-17,-88.0,-11.6
1994-10-17,1994-11-15,-69.7,-10.3
1994-11-15,1994-12-15,-82.9,-10.22
1994-12-15,1995-01-09,,-10.12
1995-01-09,1995-02-06,-69.9,-10.08
1995-02-06,1995-03-06,-72.9,-9.93
1995-03-06,1995-04-03,-68.4,-10.1
1995-04-03,1995-05-01,-75.6,-10.3
1995-05-01,1995-05-29,,-10.69
1995-05-29,1995-06-26,-79.1,-10.56
1995-06-26,1995-07-24,-83.4,-11.23
1995-07-24,1995-08-21,-77.6,-11.33
1995-08-21,1995-09-18,-98.9,-11.16
1995-09-18,1995-10-16,-78.3,-10.69
1995-10-16,1995-11-13,-76.9,-10.38
1995-11-13,1995-12-11,-74.0,-10.34
1995-12-11,1996-01-08,-75.3,-10.33
1996-01-08,1996-02-05,-74.8,-10.23
1996-02-05,1996-03-04,-75.2,-10.17
1996-03-04,1996-04-01,-76.0,-10.24
1996-04-01,1996-04-29,-75.4,-10.39
1996-04-29,1996-05-28,-78.4,-10.38
1996-05-28,1996-06-24,-79.8,-10.77
1996-06-24,1996-07-22,-82.6,-10.89
1996-07-22,1996-08-19,-79.3,-10.52
1996-08-19,1996-09-16,-80.4,-10.72
1996-09-16,1996-10-14,-80.4,-10.76
1996-10-14,1996-11-11,-80.5,-10.77
1996-11-11,1996-12-10,-78.5,-10.42
1996-12-10,1997-01-06,-76.6,-10.35
1997-01-06,1997-02-03,-76.5,-10.33
1997-02-03,1997-03-03,-74.2,-10.15
1997-03-03,1997-04-01,-75.0,-10.23
1997-04-01,1997-04-29,-74.5,-10.18
1997-04-29,1997-05-26,-82.6,-10.68
1997-05-26,1997-06-23,-81.1,-10.73
1997-06-23,1997-07-21,-79.8,-10.81
1997-07-21,1997-08-18,-75.9,-10.52
1997-08-18,1997-09-15,-82.8,-10.86
1997-09-15,1997-10-13,-80.0,-10.8
1997-10-13,1997-11-10,-77.4,-10.45
1997-11-10,1997-12-08,-78.3,-10.5
1997-12-08,1998-01-05,-82.3,-10.51
1998-01-05,1998-02-02,,-10.16
1998-02-02,1998-03-02,-75.2,-10.14
1998-03-02,1998-03-30,-74.8,-9.98
1998-03-30,1998-04-28,-77.9,-10.51
1998-04-28,1998-05-26,-79.4,-10.48
1998-05-26,1998-06-23,-78.9,-10.85
1998-06-23,1998-07-20,-83.6,-11.17
1998-07-20,1998-08-17,-89.8,-11.13
1998-08-17,1998-09-14,-85.1,-11.12
1998-09-14,1998-10-12,-83.2,-10.98
1998-10-12,1998-11-09,-79.2,-10.46
1998-11-09,1998-12-07,-78.0,-10.06
1998-12-07,1999-01-04,-75.02,-10.11
1999-01-04,1999-02-01,-75.5338,-10.08
1999-02-01,1999-03-01,-69.7241,-10.0396
1999-03-01,1999-03-29,-74.6406,-10.12
1999-03-29,1999-04-26,-76.6983,-10.37
1999-04-26,1999-05-24,-76.9,-10.39
1999-05-24,1999-06-21,-78.8,-10.95
1999-06-21,1999-07-19,-80.4,-10.1
1999-07-19,1999-08-16,-82.4,-10.85
1999-08-16,1999-09-13,-83.7,-10.77
1999-09-13,1999-10-11,-76.49,-10.52
1999-10-11,1999-11-08,-79.07,-10.3215
1999-11-08,1999-12-06,-76.69,-10.15
1999-12-06,2000-01-03,-77.08,-10.11
2000-01-03,2000-01-31,-73.4371,-9.83
2000-01-31,2000-02-28,-72.9158,-9.66
2000-02-28,2000-03-27,-71.9108,-9.59
2000-03-27,2000-04-24,-73.8451,-9.79
2000-04-24,2000-05-22,-82.5123,-10.91
2000-05-22,2000-06-19,-73.9133,-10.29
2000-06-19,2000-07-17,-79.1018,-10.59
2000-07-17,2000-08-14,-80.9529,-10.63
2000-08-14,2000-09-11,-75.0388,-10.38
2000-09-11,2000-10-09,-76.1047,-10.54
2000-10-09,2000-11-06,-79.4394,-10.71
2000-11-06,2000-12-04,-75.0396,-10.44
2000-12-04,2001-01-01,-77.7283,-10.2
2001-01-01,2001-01-29,-69.6,-10.02
2001-01-29,2001-02-26,-79.9,-9.94
2001-02-26,2001-03-26,-76.4,-10.23
2001-03-26,2001-04-23,,
2001-04-23,2001-05-21,,
2001-05-21,2001-06-18,,
2001-06-18,2001-07-16,,
2001-07-16,2001-08-13,,
2001-08-13,2001-09-10,-80.1,-10.9
2001-09-10,2001-10-08,-79.2,-10.44
2001-10-08,2001-11-05,-77.1,-10.37
2001-11-05,2001-12-03,-75.2,-10.21
2001-12-03,2001-12-31,-74.5,-9.9
2001-12-31,2002-01-28,-72.7148,-10.07
2002-01-21,2002-02-26,-71.4967,-9.99
2002-02-26,2002-03-25,-73.0377,-10.17
2002-03-25,2002-04-22,-73.7787,-10.24
2002-04-22,2002-05-30,-76.3523,-10.66
2002-05-30,2002-06-17,,
2002-06-17,2002-07-15,-77.8646,-10.7
2002-07-15,2002-08-12,-77.8439,-10.62
2002-08-12,2002-09-09,-78.7009,-10.67
2002-09-09,2002-10-07,-77.3253,-10.61
2002-10-07,2002-11-04,-73.6969,-10.17
2002-11-04,2002-12-02,-68.8739,-10.19
2002-12-02,2002-12-30,-70.2,-9.9
2002-12-30,2003-01-27,-71.2604,-9.79
2003-01-27,2003-02-24,,
2003-02-24,2003-03-24,,
