date,depth,temp,cond,cond25,oxygen,oxygen_sat,secchi
dd.mm.YYYY HH:MM,m,°C,μS/cm,μS/cm at 25 °C,mg/l,%,m
28.05.1986 12:00,0,17.4,314.0,360.0,11.3,124.0,
28.05.1986 12:00,5,12.5,291.0,360.0,10.7,106.0,
28.05.1986 12:00,10,,,,,,
28.05.1986 12:00,20,,,,,,
28.05.1986 12:00,30,,,,,,
28.05.1986 12:00,40,,,,,,
09.07.1986 12:00,0,21.1,289.0,310.0,11.9,141.0,
09.07.1986 12:00,5,17.0,260.0,300.0,7.8,85.0,
09.07.1986 12:00,10,,,,,,
09.07.1986 12:00,20,,,,,,
09.07.1986 12:00,30,,,,,,
09.07.1986 12:00,40,,,,,,
26.08.1986 12:00,0,19.0,278.0,310.0,7.3,83.0,
26.08.1986 12:00,5,19.0,287.0,320.0,7.4,84.0,
26.08.1986 12:00,10,,,,,,
30.09.1986 12:00,0,15.9,285.0,335.0,8.3,88.0,
30.09.1986 12:00,5,16.0,273.0,320.0,8.4,90.0,
30.09.1986 12:00,10,,,,,,
30.09.1986 12:00,20,,,,,,
30.09.1986 12:00,30,,,,,,
30.09.1986 12:00,40,,,,,,
21.10.1986 12:00,0,14.6,259.0,310.0,8.4,87.0,
21.10.1986 12:00,5,14.5,258.0,310.0,8.3,86.0,
21.10.1986 12:00,10,,,,,,
21.10.1986 12:00,20,,,,,,
21.10.1986 12:00,30,,,,,,
26.11.1986 12:00,0,9.0,268.0,350.0,9.6,87.0,
26.11.1986 12:00,5,9.0,268.0,350.0,9.4,86.0,
26.11.1986 12:00,10,,,,,,
26.11.1986 12:00,20,,,,,,
26.11.1986 12:00,30,,,,,,
26.11.1986 12:00,40,,,,,,
18.12.1986 12:00,0,7.6,289.0,385.0,9.3,82.0,
18.12.1986 12:00,5,7.6,285.0,380.0,9.2,81.0,
18.12.1986 12:00,10,,,,,,
18.12.1986 12:00,20,,,,,,
18.12.1986 12:00,30,,,,,,
18.12.1986 12:00,40,,,,,,
18.02.1987 12:00,0,3.1,233.0,330.0,14.8,116.0,
18.02.1987 12:00,5,3.7,242.0,340.0,13.9,111.0,
18.02.1987 12:00,10,,,,,,
18.02.1987 12:00,20,,,,,,
18.02.1987 12:00,30,,,,,,
18.02.1987 12:00,40,,,,,,
18.03.1987 12:00,0,3.1,254.0,360.0,12.4,97.0,
18.03.1987 12:00,5,3.2,261.0,370.0,11.7,92.0,
18.03.1987 12:00,10,,,,,,
18.03.1987 12:00,20,,,,,,
18.03.1987 12:00,30,,,,,,
18.03.1987 12:00,40,,,,,,
15.04.1987 12:00,0,6.7,289.0,390.0,11.2,96.0,
15.04.1987 12:00,5,5.7,270.0,370.0,11.6,97.0,
15.04.1987 12:00,10,,,,,,
15.04.1987 12:00,20,,,,,,
15.04.1987 12:00,30,,,,,,
15.04.1987 12:00,40,,,,,,
13.05.1987 12:00,0,9.5,285.0,370.0,11.5,106.0,
13.05.1987 12:00,5,8.8,290.0,380.0,11.5,104.0,
13.05.1987 12:00,10,,,,,,
13.05.1987 12:00,20,,,,,,
13.05.1987 12:00,30,,,,,,
13.05.1987 12:00,40,,,,,,
17.06.1987 12:00,0,15.8,323.0,380.0,10.4,111.0,
17.06.1987 12:00,5,13.9,314.0,380.0,9.9,101.0,
17.06.1987 12:00,10,,,,,,
17.06.1987 12:00,20,,,,,,
17.06.1987 12:00,30,,,,,,
17.06.1987 12:00,40,,,,,,
15.07.1987 12:00,0,22.6,354.0,370.0,10.4,127.0,
15.07.1987 12:00,5,17.7,351.0,400.0,7.8,86.0,
15.07.1987 12:00,10,,,,,,
15.07.1987 12:00,20,,,,,,
15.07.1987 12:00,30,,,,,,
15.07.1987 12:00,40,,,,,,
16.08.1987 12:00,0,21.1,326.0,350.0,9.8,116.0,
16.08.1987 12:00,5,20.0,319.0,350.0,8.5,98.0,
16.08.1987 12:00,10,,,,,,
16.08.1987 12:00,20,,,,,,
16.08.1987 12:00,30,,,,,,
16.08.1987 12:00,40,,,,,,
09.09.1987 12:00,0,21.4,327.0,350.0,11.0,131.0,
09.09.1987 12:00,5,20.7,323.0,350.0,10.4,122.0,
09.09.1987 12:00,10,,,,,,
09.09.1987 12:00,20,,,,,,
09.09.1987 12:00,30,,,,,,
09.09.1987 12:00,40,,,,,,
16.10.1987 12:00,0,14.1,306.0,370.0,8.6,88.0,
16.10.1987 12:00,5,13.7,313.0,380.0,8.5,86.0,
16.10.1987 12:00,10,,,,,,
16.10.1987 12:00,20,,,,,,
16.10.1987 12:00,30,,,,,,
16.10.1987 12:00,40,,,,,,
