date,depth,temp,cond,cond25,oxygen,oxygen_sat,secchi
dd.mm.YYYY HH:MM,m,°C,μS/cm,μS/cm at 25 °C,mg/l,%,m
12.09.1941 12:00,0.3,17.5,,,11.1,124.0,2.9
12.09.1941 12:00,5.0,16.6,,,9.5,104.0,
12.09.1941 12:00,10.0,8.6,,,3.1,28.0,
12.09.1941 12:00,20.0,5.6,,,1.0,8.0,
12.09.1941 12:00,30.0,5.3,,,1.0,8.0,
12.09.1941 12:00,34.0,5.2,,,0.5,4.0,
07.10.1941 12:00,0.3,15.8,,,9.5,102.0,6.7
07.10.1941 12:00,5.0,15.2,,,8.6,92.0,
07.10.1941 12:00,10.0,8.6,,,1.3,12.0,
07.10.1941 12:00,20.0,5.5,,,0.4,3.0,
07.10.1941 12:00,30.0,5.3,,,0.3,3.0,
07.10.1941 12:00,34.0,5.2,,,0.1,1.0,
10.11.1941 12:00,0.3,6.9,,,9.5,83.0,4.4
10.11.1941 12:00,5.0,6.8,,,9.2,81.0,
10.11.1941 12:00,10.0,6.8,,,8.2,72.0,
10.11.1941 12:00,20.0,5.3,,,1.1,9.0,
10.11.1941 12:00,30.0,5.2,,,0.9,8.0,
10.11.1941 12:00,34.0,5.2,,,0.9,8.0,
15.12.1941 12:00,0.3,4.6,,,8.1,67.0,9.2
15.12.1941 12:00,5.0,4.8,,,7.9,66.0,
15.12.1941 12:00,10.0,4.8,,,7.9,66.0,
15.12.1941 12:00,20.0,5.0,,,8.0,66.0,
15.12.1941 12:00,30.0,5.3,,,0.8,6.0,
15.12.1941 12:00,34.0,5.4,,,0.1,1.0,
30.03.1942 12:00,0.3,3.9,,,8.5,69.0,3.0
30.03.1942 12:00,5.0,3.9,,,8.1,66.0,
30.03.1942 12:00,10.0,4.0,,,7.9,64.0,
30.03.1942 12:00,20.0,3.6,,,7.2,58.0,
30.03.1942 12:00,30.0,3.6,,,7.1,57.0,
30.03.1942 12:00,34.0,3.6,,,7.3,59.0,
22.04.1942 12:00,0.3,10.1,,,17.1,162.0,1.6
22.04.1942 12:00,5.0,8.5,,,14.1,129.0,
22.04.1942 12:00,10.0,6.4,,,11.2,97.0,
22.04.1942 12:00,20.0,5.3,,,9.4,79.0,
22.04.1942 12:00,30.0,5.2,,,8.3,70.0,
22.04.1942 12:00,34.0,5.2,,,8.1,68.0,
18.05.1942 12:00,0.3,17.0,,,14.3,158.0,3.0
18.05.1942 12:00,5.0,8.4,,,10.7,97.0,
18.05.1942 12:00,10.0,7.5,,,10.6,94.0,
