date,depth,temp,cond,cond25,oxygen,oxygen_sat,secchi
dd.mm.YYYY HH:MM,m,°C,μS/cm,μS/cm at 25 °C,mg/l,%,m
16.01.1974 12:00,0.0,4.1,200.0,280.0,11.2,89.0,
16.01.1974 12:00,5.0,4.1,212.0,296.0,10.9,87.0,
16.01.1974 12:00,10.0,4.0,213.0,299.0,11.0,88.0,
16.01.1974 12:00,15.0,4.0,216.0,303.0,10.9,87.0,
16.01.1974 12:00,20.0,4.0,216.0,303.0,11.0,88.0,
16.01.1974 12:00,30.0,4.0,219.0,307.0,10.9,87.0,
16.01.1974 12:00,40.0,4.0,216.0,303.0,10.9,87.0,
16.01.1974 12:00,46.0,4.0,223.0,312.0,10.7,85.0,
11.02.1974 12:00,0.0,4.4,,,11.3,91.0,
11.02.1974 12:00,5.0,4.4,,,11.0,89.0,
11.02.1974 12:00,10.0,4.4,,,10.9,88.0,
11.02.1974 12:00,15.0,4.4,,,11.1,89.0,
11.02.1974 12:00,20.0,4.4,,,11.0,89.0,
11.02.1974 12:00,30.0,4.4,,,10.9,88.0,
11.02.1974 12:00,40.0,4.4,,,10.9,88.0,
11.02.1974 12:00,46.0,4.4,,,10.9,88.0,
11.03.1974 12:00,0.0,4.4,209.0,291.0,11.8,95.0,
11.03.1974 12:00,5.0,4.4,213.0,297.0,11.8,95.0,
11.03.1974 12:00,10.0,4.3,213.0,297.0,11.7,94.0,
11.03.1974 12:00,15.0,4.2,214.0,299.0,11.3,91.0,
11.03.1974 12:00,20.0,4.2,219.0,306.0,11.6,94.0,
11.03.1974 12:00,30.0,4.2,227.0,317.0,12.0,96.0,
11.03.1974 12:00,40.0,4.2,226.0,316.0,11.6,93.0,
11.03.1974 12:00,46.0,4.3,229.0,320.0,11.5,93.0,
03.04.1974 12:00,0.0,12.0,209.0,261.0,20.4,199.0,
03.04.1974 12:00,5.0,8.0,211.0,280.0,14.7,130.0,
03.04.1974 12:00,10.0,6.8,214.0,289.0,12.0,103.0,
03.04.1974 12:00,15.0,6.0,211.0,287.0,11.8,99.0,
03.04.1974 12:00,20.0,5.7,214.0,293.0,10.7,89.0,
03.04.1974 12:00,30.0,5.0,222.0,306.0,10.7,88.0,
03.04.1974 12:00,40.0,4.9,226.0,313.0,10.8,88.0,
03.04.1974 12:00,46.0,4.9,226.0,313.0,11.0,90.0,
06.05.1974 12:00,0.0,10.1,227.0,292.0,11.3,105.0,
06.05.1974 12:00,5.0,10.0,223.0,287.0,10.9,101.0,
06.05.1974 12:00,10.0,9.7,226.0,292.0,10.8,100.0,
06.05.1974 12:00,15.0,6.6,210.0,284.0,10.8,92.0,
06.05.1974 12:00,20.0,5.7,208.0,284.0,10.4,87.0,
06.05.1974 12:00,30.0,5.4,222.0,305.0,9.1,75.0,
06.05.1974 12:00,40.0,5.3,221.0,304.0,9.0,75.0,
06.05.1974 12:00,46.0,5.2,221.0,304.0,9.0,74.0,
29.05.1974 12:00,0.0,14.5,238.0,285.0,11.0,113.0,
29.05.1974 12:00,5.0,13.8,234.0,284.0,10.7,109.0,
29.05.1974 12:00,10.0,12.1,227.0,283.0,10.7,105.0,
29.05.1974 12:00,15.0,10.4,234.0,300.0,9.4,88.0,
29.05.1974 12:00,20.0,8.3,231.0,304.0,8.6,77.0,
29.05.1974 12:00,30.0,5.9,231.0,315.0,7.6,64.0,
29.05.1974 12:00,40.0,5.9,224.0,306.0,8.2,69.0,
29.05.1974 12:00,46.0,5.7,230.0,315.0,7.1,59.0,
24.06.1974 12:00,0.0,17.9,229.0,260.0,12.5,138.0,
24.06.1974 12:00,5.0,17.8,228.0,260.0,12.3,136.0,
24.06.1974 12:00,10.0,15.6,232.0,273.0,11.2,119.0,
24.06.1974 12:00,15.0,13.0,223.0,274.0,10.1,101.0,
24.06.1974 12:00,20.0,11.1,220.0,279.0,9.0,86.0,
