date,depth,temp,cond,cond25,oxygen,oxygen_sat,secchi
dd.mm.YYYY HH:MM,m,°C,μS/cm,μS/cm at 25 °C,mg/l,%,m
25.06.1957 12:00,0,13.2,,,,,
25.06.1957 12:00,5,12.8,,,,,
25.06.1957 12:00,10,12.6,,,,,
25.06.1957 12:00,15,12.1,,,,,
25.06.1957 12:00,20,11.3,,,,,
25.06.1957 12:00,25,9.8,,,,,
25.06.1957 12:00,30,8.3,,,,,
25.06.1957 12:00,40,6.9,,,,,
25.06.1957 12:00,100,5.5,,,,,
25.06.1957 12:00,140,,,,,,
25.06.1957 12:00,152,5.5,,,,,
27.08.1957 12:00,0,17.7,,,,,
27.08.1957 12:00,5,17.4,,,,,
27.08.1957 12:00,10,17.4,,,,,
27.08.1957 12:00,15,17.0,,,,,
27.08.1957 12:00,20,10.4,,,,,
27.08.1957 12:00,25,8.8,,,,,
27.08.1957 12:00,30,7.9,,,,,
27.08.1957 12:00,40,6.7,,,,,
27.08.1957 12:00,100,5.5,,,,,
27.08.1957 12:00,140,5.1,,,,,
27.08.1957 12:00,152,5.0,,,,,
29.10.1957 12:00,0,12.2,,,,,
29.10.1957 12:00,5,11.9,,,,,
29.10.1957 12:00,10,11.9,,,,,
29.10.1957 12:00,15,11.9,,,,,
29.10.1957 12:00,20,11.8,,,,,
29.10.1957 12:00,25,11.7,,,,,
29.10.1957 12:00,30,11.1,,,,,
29.10.1957 12:00,40,8.7,,,,,
29.10.1957 12:00,100,5.7,,,,,
29.10.1957 12:00,140,5.2,,,,,
29.10.1957 12:00,152,5.2,,,,,
26.12.1957 12:00,0,6.1,,,,,
26.12.1957 12:00,5,6.1,,,,,
26.12.1957 12:00,10,6.1,,,,,
26.12.1957 12:00,15,6.1,,,,,
26.12.1957 12:00,20,6.1,,,,,
26.12.1957 12:00,25,6.1,,,,,
26.12.1957 12:00,30,6.1,,,,,
26.12.1957 12:00,40,6.1,,,,,
26.12.1957 12:00,100,6.1,,,,,
26.12.1957 12:00,140,5.7,,,,,
26.12.1957 12:00,152,5.7,,,,,
27.02.1958 12:00,0,5.8,,,,,
27.02.1958 12:00,5,4.9,,,,,
