date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
14.10.1942 12:00,53.6
09.09.1947 12:00,10.7
24.06.1948 12:00,36.9
17.03.1949 12:00,491.0
30.03.1949 12:00,472.8
20.04.1949 12:00,425.8
31.05.1949 12:00,208.9
08.07.1949 12:00,62.4
20.07.1949 12:00,33.4
26.08.1949 12:00,13.2
22.09.1949 12:00,12.0
04.11.1949 12:00,15.3
08.12.1949 12:00,116.5
10.01.1950 12:00,309.7
16.02.1950 12:00,412.6
16.03.1950 12:00,441.0
14.04.1950 12:00,444.9
10.05.1950 12:00,339.1
12.06.1950 12:00,157.2
12.07.1950 12:00,72.2
09.08.1950 12:00,10.2
06.09.1950 12:00,20.9
05.10.1950 12:00,20.5
06.11.1950 12:00,19.3
04.12.1950 12:00,249.0
08.02.1951 12:00,309.4
08.03.1951 12:00,376.5
03.04.1951 12:00,447.2
07.05.1951 12:00,355.7
07.06.1951 12:00,201.9
03.07.1951 12:00,115.6
04.09.1951 12:00,12.6
02.10.1951 12:00,11.9
11.09.1952 12:00,10.0
27.01.1953 12:00,298.8
03.03.1953 12:00,232.5
27.03.1953 12:00,214.0
17.04.1953 12:00,221.4
26.05.1953 12:00,54.9
23.06.1953 12:00,9.0
27.07.1953 12:00,10.2
25.08.1953 12:00,12.1
21.09.1953 12:00,31.3
20.10.1953 12:00,6.8
18.11.1953 12:00,9.0
14.12.1953 12:00,38.5
08.02.1954 12:00,307.3
10.03.1954 12:00,293.3
21.04.1954 12:00,358.6
18.05.1954 12:00,232.4
15.06.1954 12:00,117.8
20.07.1954 12:00,31.2
26.08.1954 12:00,7.8
14.09.1954 12:00,18.6
20.10.1954 12:00,10.2
23.11.1954 12:00,7.7
21.12.1954 12:00,138.0
26.01.1955 12:00,377.6
18.07.1955 12:00,55.5
19.09.1955 12:00,4.8
17.02.1956 12:00,274.7
26.03.1956 12:00,360.6
24.04.1956 12:00,359.0
16.05.1956 12:00,237.2
12.06.1956 12:00,117.9
03.07.1956 12:00,30.2
06.08.1956 12:00,7.8
11.09.1956 12:00,8.9
11.10.1956 12:00,0.5
07.11.1956 12:00,0.0
05.12.1956 12:00,198.1
15.01.1957 12:00,220.1
19.02.1957 12:00,279.3
18.03.1957 12:00,299.3
10.04.1957 12:00,267.6
06.05.1957 12:00,181.0
04.06.1957 12:00,62.9
02.07.1957 12:00,11.3
15.08.1957 12:00,4.7
20.09.1957 12:00,5.6
30.10.1957 12:00,2.6
21.11.1957 12:00,2.1
17.12.1957 12:00,166.3
22.01.1958 12:00,312.1
19.02.1958 12:00,348.8
18.03.1958 12:00,414.0
17.04.1958 12:00,464.7
20.05.1958 12:00,349.0
17.06.1958 12:00,177.9
16.07.1958 12:00,96.5
15.08.1958 12:00,7.8
23.09.1958 12:00,6.8
28.10.1958 12:00,4.8
15.12.1958 12:00,206.5
13.01.1959 12:00,315.2
24.03.1959 12:00,360.2
28.04.1959 12:00,229.0
21.05.1959 12:00,117.8
16.06.1959 12:00,54.8
14.07.1959 12:00,36.7
12.08.1959 12:00,7.3
10.09.1959 12:00,5.6
20.10.1959 12:00,0.1
18.11.1959 12:00,0.9
15.12.1959 12:00,42.4
19.01.1960 12:00,106.7
10.02.1960 12:00,119.5
08.03.1960 12:00,287.1
07.04.1960 12:00,256.2
05.05.1960 12:00,75.3
01.06.1960 12:00,4.0
04.07.1960 12:00,9.0
03.08.1960 12:00,6.7
14.09.1960 12:00,2.9
18.10.1960 12:00,0.0
22.11.1960 12:00,0.0
20.12.1960 12:00,165.7
24.01.1961 12:00,160.0
24.02.1961 12:00,282.7
24.03.1961 12:00,267.7
26.04.1961 12:00,111.4
14.06.1961 12:00,11.2
11.07.1961 12:00,13.5
15.08.1961 12:00,9.6
21.09.1961 12:00,18.3
24.10.1961 12:00,0.2
29.11.1961 12:00,2.9
27.12.1961 12:00,118.9
17.01.1962 12:00,207.2
16.02.1962 12:00,344.4
07.03.1962 12:00,405.5
17.04.1962 12:00,452.9
24.05.1962 12:00,282.9
20.06.1962 12:00,53.4
25.07.1962 12:00,6.5
29.08.1962 12:00,7.6
25.09.1962 12:00,9.4
24.10.1962 12:00,7.6
26.11.1962 12:00,11.4
14.12.1962 12:00,13.9
23.01.1963 12:00,152.1
12.02.1963 12:00,70.9
09.04.1963 12:00,48.8
07.05.1963 12:00,16.7
11.06.1963 12:00,6.7
05.07.1963 12:00,7.1
07.08.1963 12:00,5.2
03.09.1963 12:00,3.4
16.10.1963 12:00,6.8
14.11.1963 12:00,4.3
05.12.1963 12:00,7.8
15.01.1964 12:00,7.9
07.02.1964 12:00,6.5
25.03.1964 12:00,106.6
24.04.1964 12:00,132.2
21.05.1964 12:00,9.1
19.06.1964 12:00,4.7
16.07.1964 12:00,11.6
27.08.1964 12:00,4.7
16.09.1964 12:00,3.4
28.10.1964 12:00,5.7
24.11.1964 12:00,2.2
28.12.1964 12:00,82.1
20.01.1965 12:00,78.8
17.02.1965 12:00,146.3
25.03.1965 12:00,155.0
22.04.1965 12:00,191.9
21.05.1965 12:00,120.9
30.06.1965 12:00,12.4
29.07.1965 12:00,3.9
30.08.1965 12:00,7.8
23.09.1965 12:00,6.4
15.10.1965 12:00,6.7
30.11.1965 12:00,141.8
22.12.1965 12:00,185.3
15.02.1966 12:00,278.1
23.03.1966 12:00,321.3
13.04.1966 12:00,333.5
11.05.1966 12:00,226.2
30.06.1966 12:00,35.4
27.07.1966 12:00,8.1
29.08.1966 12:00,7.9
21.09.1966 12:00,7.0
12.10.1966 12:00,5.2
08.11.1966 12:00,7.8
07.12.1966 12:00,117.0
26.01.1967 12:00,191.9
28.02.1967 12:00,271.5
21.03.1967 12:00,344.8
11.04.1967 12:00,327.8
12.05.1967 12:00,137.1
22.06.1967 12:00,7.5
25.07.1967 12:00,7.3
22.08.1967 12:00,5.9
20.09.1967 12:00,11.2
25.10.1967 12:00,0.0
29.11.1967 12:00,76.4
27.12.1967 12:00,138.4
30.01.1968 12:00,321.9
13.03.1968 12:00,394.0
16.04.1968 12:00,346.4
14.05.1968 12:00,132.8
19.06.1968 12:00,14.6
09.07.1968 12:00,7.8
13.08.1968 12:00,8.5
11.09.1968 12:00,7.3
08.10.1968 12:00,6.0
06.11.1968 12:00,7.3
18.12.1968 12:00,69.0
20.01.1969 12:00,48.2
28.02.1969 12:00,183.1
25.03.1969 12:00,327.5
22.04.1969 12:00,350.0
27.05.1969 12:00,153.3
25.06.1969 12:00,36.9
15.07.1969 12:00,7.3
19.08.1969 12:00,29.5
09.09.1969 12:00,12.9
21.10.1969 12:00,7.8
17.12.1969 12:00,96.2
11.03.1970 12:00,320.7
24.04.1970 12:00,369.2
21.05.1970 12:00,193.6
10.06.1970 12:00,65.6
07.07.1970 12:00,14.7
05.08.1970 12:00,4.7
09.09.1970 12:00,14.5
13.10.1970 12:00,5.9
10.11.1970 12:00,3.5
29.12.1970 12:00,115.4
14.04.1971 12:00,13.1
12.05.1971 12:00,11.9
09.06.1971 12:00,19.9
06.07.1971 12:00,25.7
10.08.1971 12:00,4.3
15.09.1971 12:00,4.3
19.10.1971 12:00,5.2
30.11.1971 12:00,4.5
29.12.1971 12:00,24.2
18.01.1972 12:00,70.1
22.02.1972 12:00,52.2
16.03.1972 12:00,52.0
10.04.1972 12:00,9.1
16.05.1972 12:00,6.8
13.06.1972 12:00,0.0
11.07.1972 12:00,2.5
15.08.1972 12:00,0.0
26.09.1972 12:00,0.0
17.10.1972 12:00,0.0
27.11.1972 12:00,6.9
20.12.1972 12:00,20.3
24.01.1973 12:00,17.6
21.03.1973 12:00,243.1
24.04.1973 12:00,264.8
22.05.1973 12:00,44.7
26.06.1973 12:00,5.2
24.07.1973 12:00,5.1
22.08.1973 12:00,3.4
26.09.1973 12:00,6.9
23.10.1973 12:00,6.8
20.11.1973 12:00,50.0
11.12.1973 12:00,95.2
09.01.1974 12:00,126.3
11.02.1974 12:00,210.3
05.03.1974 12:00,133.1
02.04.1974 12:00,143.7
14.05.1974 12:00,20.6
05.06.1974 12:00,11.7
09.07.1974 12:00,0.0
06.08.1974 12:00,8.2
03.09.1974 12:00,5.2
08.10.1974 12:00,6.1
06.11.1974 12:00,8.5
03.12.1974 12:00,107.5
14.01.1975 12:00,224.1
06.02.1975 12:00,206.3
12.03.1975 12:00,169.2
08.04.1975 12:00,370.5
12.05.1975 12:00,147.4
10.06.1975 12:00,44.3
02.07.1975 12:00,16.0
06.08.1975 12:00,9.8
03.09.1975 12:00,11.2
20.10.1975 12:00,9.1
11.11.1975 12:00,30.3
10.12.1975 12:00,25.3
05.01.1976 12:00,142.9
01.03.1976 12:00,186.2
29.03.1976 12:00,312.8
26.04.1976 12:00,167.7
24.05.1976 12:00,23.1
21.06.1976 12:00,9.4
13.09.1976 12:00,3.2
11.10.1976 12:00,1.0
08.11.1976 12:00,0.5
06.12.1976 12:00,26.1
03.01.1977 12:00,66.1
31.01.1977 12:00,29.1
28.02.1977 12:00,179.7
28.03.1977 12:00,149.8
25.04.1977 12:00,264.3
23.05.1977 12:00,55.8
20.06.1977 12:00,15.3
18.07.1977 12:00,8.4
15.08.1977 12:00,3.2
12.09.1977 12:00,10.9
10.10.1977 12:00,5.6
07.11.1977 12:00,1.8
05.12.1977 12:00,57.4
03.01.1978 12:00,151.1
30.01.1978 12:00,202.7
13.03.1978 12:00,299.1
28.03.1978 12:00,441.3
10.04.1978 12:00,364.5
08.05.1978 12:00,264.9
05.06.1978 12:00,126.7
03.07.1978 12:00,29.5
02.08.1978 12:00,0.0
28.08.1978 12:00,0.0
25.09.1978 12:00,0.0
23.10.1978 12:00,0.0
20.11.1978 12:00,0.0
18.12.1978 12:00,131.2
13.03.1979 12:00,258.4
10.04.1979 12:00,309.2
07.05.1979 12:00,189.0
05.06.1979 12:00,60.8
02.07.1979 12:00,14.0
30.07.1979 12:00,0.0
27.08.1979 12:00,0.0
24.09.1979 12:00,4.1
22.10.1979 12:00,6.6
19.11.1979 12:00,13.8
17.12.1979 12:00,150.6
04.02.1980 12:00,235.5
10.03.1980 12:00,325.7
08.04.1980 12:00,395.7
05.05.1980 12:00,296.2
27.05.1980 12:00,154.1
30.06.1980 12:00,33.9
28.07.1980 12:00,9.2
25.08.1980 12:00,0.0
22.09.1980 12:00,10.1
20.10.1980 12:00,8.2
10.11.1980 12:00,12.1
15.12.1980 12:00,173.7
12.01.1981 12:00,239.6
06.04.1981 12:00,214.8
05.05.1981 12:00,130.5
02.06.1981 12:00,23.7
29.06.1981 12:00,5.5
04.08.1981 12:00,8.5
21.09.1981 12:00,0.0
20.10.1981 12:00,0.0
16.11.1981 12:00,6.6
14.12.1981 12:00,214.6
15.03.1982 12:00,403.5
13.04.1982 12:00,340.9
07.06.1982 12:00,25.1
05.07.1982 12:00,0.0
10.08.1982 12:00,0.0
30.08.1982 12:00,0.0
04.10.1982 12:00,0.0
25.10.1982 12:00,0.0
22.11.1982 12:00,0.3
13.12.1982 12:00,114.5
17.01.1983 12:00,251.0
18.04.1983 12:00,346.5
24.05.1983 12:00,142.8
20.06.1983 12:00,60.8
11.07.1983 12:00,12.6
29.08.1983 12:00,0.0
26.09.1983 12:00,0.0
24.10.1983 12:00,0.1
21.11.1983 12:00,6.8
12.12.1983 12:00,157.3
10.01.1984 12:00,194.0
06.02.1984 12:00,291.6
05.03.1984 12:00,350.9
02.04.1984 12:00,465.4
30.04.1984 12:00,377.6
12.06.1984 12:00,121.8
02.07.1984 12:00,64.6
13.08.1984 12:00,0.0
10.09.1984 12:00,0.0
01.10.1984 12:00,0.9
05.11.1984 12:00,0.1
03.12.1984 12:00,5.6
11.03.1985 12:00,166.3
09.04.1985 12:00,236.6
06.05.1985 12:00,178.6
03.06.1985 12:00,64.4
01.07.1985 12:00,4.1
26.08.1985 12:00,0.0
23.09.1985 12:00,0.0
22.10.1985 12:00,0.0
18.11.1985 12:00,2.7
09.12.1985 12:00,48.6
13.01.1986 12:00,225.8
07.04.1986 12:00,400.7
05.05.1986 12:00,347.4
02.06.1986 12:00,192.6
30.06.1986 12:00,77.7
28.07.1986 12:00,3.9
25.08.1986 12:00,4.8
22.09.1986 12:00,3.7
20.10.1986 12:00,4.1
17.11.1986 12:00,12.8
15.12.1986 12:00,18.7
09.03.1987 12:00,319.0
13.04.1987 12:00,416.1
24.04.1987 12:00,389.6
04.05.1987 12:00,333.1
11.05.1987 12:00,288.7
25.05.1987 12:00,209.0
09.06.1987 12:00,139.6
06.07.1987 12:00,85.8
10.08.1987 12:00,1.9
07.09.1987 12:00,0.0
05.10.1987 12:00,0.0
02.11.1987 12:00,0.0
07.12.1987 12:00,11.9
04.01.1988 12:00,189.6
01.02.1988 12:00,206.7
29.02.1988 12:00,342.5
28.03.1988 12:00,422.3
27.04.1988 12:00,337.9
09.05.1988 12:00,282.4
25.05.1988 12:00,214.4
06.06.1988 12:00,163.3
20.06.1988 12:00,147.4
