date (yyyy-mm-dd HH:MM:SS),mixing depth with salinity (0.005 kgm-3) [m]
13.04.1976 12:00,7.0
16.08.1976 12:00,7.0
13.09.1976 12:00,7.0
11.10.1976 12:00,7.0
08.11.1976 12:00,8.0
06.12.1976 12:00,13.0
03.01.1977 12:00,17.0
07.03.1977 12:00,7.0
24.10.1977 12:00,7.0
19.10.1981 12:00,7.0
07.12.1981 12:00,20.0
11.01.1982 12:00,65.0
08.02.1982 12:00,65.0
08.03.1982 12:00,65.0
05.04.1982 12:00,30.0
03.05.1982 12:00,7.0
01.06.1982 12:00,7.0
28.06.1982 12:00,7.0
26.07.1982 12:00,7.0
23.08.1982 12:00,7.0
20.09.1982 12:00,7.0
18.10.1982 12:00,7.0
15.11.1982 12:00,11.0
13.12.1982 12:00,22.0
17.01.1983 12:00,65.0
21.02.1983 12:00,65.0
21.03.1983 12:00,17.0
18.04.1983 12:00,7.0
24.05.1983 12:00,7.0
20.06.1983 12:00,7.0
11.07.1983 12:00,7.0
29.08.1983 12:00,7.0
26.09.1983 12:00,7.0
24.10.1983 12:00,8.0
21.11.1983 12:00,10.0
12.12.1983 12:00,65.0
23.01.1984 12:00,65.0
06.02.1984 12:00,58.0
20.02.1984 12:00,65.0
05.03.1984 12:00,65.0
19.03.1984 12:00,65.0
02.04.1984 12:00,65.0
16.04.1984 12:00,7.0
30.04.1984 12:00,7.0
14.05.1984 12:00,7.0
28.05.1984 12:00,7.0
12.06.1984 12:00,7.0
25.06.1984 12:00,7.0
09.07.1984 12:00,7.0
23.07.1984 12:00,7.0
06.08.1984 12:00,7.0
20.08.1984 12:00,7.0
03.09.1984 12:00,7.0
17.09.1984 12:00,7.0
01.10.1984 12:00,7.0
15.10.1984 12:00,7.0
29.10.1984 12:00,7.0
13.11.1984 12:00,7.0
26.11.1984 12:00,10.0
10.12.1984 12:00,29.0
16.01.1985 12:00,65.0
28.01.1985 12:00,65.0
11.02.1985 12:00,65.0
11.03.1985 12:00,65.0
25.03.1985 12:00,65.0
09.04.1985 12:00,15.0
22.04.1985 12:00,7.0
06.05.1985 12:00,7.0
03.06.1985 12:00,7.0
02.07.1985 12:00,7.0
15.07.1985 12:00,7.0
29.07.1985 12:00,7.0
12.08.1985 12:00,7.0
07.10.1985 12:00,7.0
21.10.1985 12:00,7.0
04.11.1985 12:00,8.0
18.11.1985 12:00,13.0
02.12.1985 12:00,22.0
16.12.1985 12:00,28.0
13.01.1986 12:00,65.0
10.02.1986 12:00,65.0
17.03.1986 12:00,65.0
07.04.1986 12:00,65.0
05.05.1986 12:00,7.0
02.06.1986 12:00,7.0
30.06.1986 12:00,7.0
28.07.1986 12:00,7.0
25.08.1986 12:00,7.0
22.09.1986 12:00,7.0
20.10.1986 12:00,7.0
17.11.1986 12:00,8.0
15.12.1986 12:00,65.0
14.01.1987 12:00,65.0
09.02.1987 12:00,65.0
09.03.1987 12:00,65.0
06.04.1987 12:00,62.0
04.05.1987 12:00,7.0
01.06.1987 12:00,7.0
29.06.1987 12:00,7.0
27.07.1987 12:00,7.0
24.08.1987 12:00,7.0
21.09.1987 12:00,7.0
19.10.1987 12:00,7.0
16.11.1987 12:00,11.0
14.12.1987 12:00,52.0
11.01.1988 12:00,65.0
08.02.1988 12:00,64.0
07.03.1988 12:00,65.0
05.04.1988 12:00,11.0
02.05.1988 12:00,7.0
30.05.1988 12:00,7.0
27.06.1988 12:00,7.0
25.07.1988 12:00,7.0
22.08.1988 12:00,7.0
19.09.1988 12:00,8.0
17.10.1988 12:00,7.0
14.11.1988 12:00,7.0
12.12.1988 12:00,62.0
09.01.1989 12:00,63.0
06.02.1989 12:00,65.0
06.03.1989 12:00,65.0
03.04.1989 12:00,7.0
01.05.1989 12:00,8.0
29.05.1989 12:00,7.0
26.06.1989 12:00,7.0
24.07.1989 12:00,7.0
21.08.1989 12:00,7.0
18.09.1989 12:00,7.0
16.10.1989 12:00,8.0
13.11.1989 12:00,8.0
11.12.1989 12:00,65.0
08.01.1990 12:00,65.0
05.02.1990 12:00,65.0
05.03.1990 12:00,50.0
02.04.1990 12:00,7.0
30.04.1990 12:00,7.0
28.05.1990 12:00,7.0
25.06.1990 12:00,7.0
23.07.1990 12:00,7.0
20.08.1990 12:00,7.0
17.09.1990 12:00,7.0
15.10.1990 12:00,7.0
12.11.1990 12:00,9.0
10.12.1990 12:00,59.0
14.01.1991 12:00,65.0
13.01.1992 12:00,65.0
10.02.1992 12:00,65.0
09.03.1992 12:00,65.0
06.04.1992 12:00,56.0
04.05.1992 12:00,7.0
01.06.1992 12:00,7.0
27.07.1992 12:00,7.0
24.08.1992 12:00,7.0
21.09.1992 12:00,7.0
19.10.1992 12:00,8.0
16.11.1992 12:00,7.0
14.12.1992 12:00,65.0
11.01.1993 12:00,65.0
08.02.1993 12:00,65.0
08.03.1993 12:00,65.0
05.04.1993 12:00,36.0
03.05.1993 12:00,7.0
01.06.1993 12:00,7.0
26.07.1993 12:00,7.0
23.08.1993 12:00,7.0
20.09.1993 12:00,7.0
18.10.1993 12:00,8.0
15.11.1993 12:00,7.0
10.01.1994 12:00,65.0
07.02.1994 12:00,65.0
07.03.1994 12:00,65.0
05.04.1994 12:00,11.0
02.05.1994 12:00,7.0
29.06.1994 12:00,7.0
25.07.1994 12:00,7.0
22.08.1994 12:00,7.0
19.09.1994 12:00,7.0
