date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
10.11.1959 12:00,9.6
23.02.1960 12:00,3.2
11.05.1960 12:00,14.2
30.08.1960 12:00,18.6
08.11.1960 12:00,9.4
14.02.1961 15:40,4.2
20.11.1962 15:10,9.2
18.10.1965 16:10,12.4
11.11.1965 15:40,10.4
23.10.1969 16:45,14.1
11.11.1969 16:15,11.2
25.05.1970 16:30,13.1
07.09.1970 16:20,18.6
12.11.1970 16:10,10.6
15.12.1970 15:20,6.8
24.05.1971 12:00,16.4
30.08.1971 15:45,20.4
16.02.1972 15:35,3.8
29.08.1972 16:20,17.6
15.11.1972 15:45,8.6
14.05.1973 15:35,13.6
12.07.1973 10:35,21.5
27.08.1973 15:40,22.0
06.11.1973 15:55,10.0
05.03.1974 16:10,4.6
07.05.1974 15:45,10.3
03.09.1974 16:00,17.9
06.11.1974 16:00,8.0
24.02.1975 15:30,5.0
12.05.1975 15:30,11.8
25.08.1975 15:50,18.0
11.11.1975 15:45,10.2
17.02.1976 15:15,3.8
17.05.1976 15:30,16.8
31.08.1976 16:15,18.8
09.11.1976 15:20,11.2
21.02.1977 15:20,4.9
17.05.1977 15:30,11.4
05.09.1977 15:25,18.8
07.11.1977 15:20,12.7
27.02.1978 14:00,4.1
09.11.1978 14:10,10.8
21.02.1979 13:30,4.6
12.11.1979 14:00,10.1
19.02.1980 14:00,5.8
13.11.1980 14:10,8.6
17.02.1981 14:25,2.6
02.11.1981 14:45,11.2
01.03.1982 15:50,4.2
02.11.1982 14:10,12.0
28.02.1983 14:35,3.6
03.11.1983 14:00,11.4
28.02.1984 09:55,2.8
06.11.1984 15:20,11.3
05.03.1985 14:00,2.9
04.11.1985 14:05,12.2
12.03.1986 13:55,2.8
10.11.1986 13:55,10.9
31.03.1987 13:50,4.2
04.11.1987 14:00,12.4
17.03.1988 14:25,4.8
02.11.1988 14:20,12.2
06.03.1989 15:50,7.6
27.11.1989 14:00,8.4
06.03.1990 13:50,6.4
05.11.1990 14:05,11.5
04.03.1991 14:00,3.9
18.11.1991 15:02,9.2
10.03.1992 15:01,5.9
23.11.1992 09:30,8.6
16.03.1993 09:05,6.2
27.08.1993 10:03,18.1
02.09.1993 10:25,17.0
09.09.1993 11:05,16.7
16.09.1993 12:00,15.4
23.09.1993 12:00,16.8
09.11.1993 10:00,9.8
28.02.1994 12:00,4.73
22.03.1994 12:00,6.76
14.04.1994 12:00,7.08
02.05.1994 12:00,11.1
31.05.1994 12:00,14.07
30.06.1994 12:00,22.32
26.07.1994 12:00,22.8
09.08.1994 12:00,23.0
06.09.1994 12:00,19.39
17.10.1994 12:00,13.69
23.11.1994 12:00,11.11
13.12.1994 12:00,9.46
19.01.1995 12:00,5.08
20.02.1995 12:00,5.79
22.03.1995 12:00,5.98
19.04.1995 12:00,8.86
23.05.1995 12:00,12.0
22.06.1995 12:00,18.24
20.07.1995 12:00,21.5
15.08.1995 12:00,19.84
13.09.1995 12:00,16.2
04.10.1995 12:00,14.71
07.11.1995 12:00,11.96
07.12.1995 12:00,8.3
30.01.1996 12:00,5.08
28.02.1996 12:00,4.0
27.03.1996 12:00,5.8
01.05.1996 12:00,12.74
22.05.1996 12:00,14.09
18.06.1996 12:00,19.81
19.07.1996 12:00,17.62
14.08.1996 12:00,19.68
18.09.1996 12:00,15.27
09.10.1996 12:00,13.9
19.11.1996 12:00,9.64
17.12.1996 12:00,6.61
23.01.1997 12:00,3.8
07.03.1997 12:00,5.34
20.03.1997 12:00,7.62
23.04.1997 12:00,8.32
15.05.1997 12:00,14.08
12.06.1997 12:00,21.05
10.07.1997 12:00,16.52
07.08.1997 12:00,19.7
11.09.1997 12:00,18.57
08.10.1997 12:00,17.46
11.11.1997 12:00,10.51
11.12.1997 12:00,7.86
21.01.1998 12:00,6.04
25.02.1998 12:00,5.09
24.03.1998 12:00,6.08
22.04.1998 12:00,8.85
20.05.1998 12:00,15.34
17.06.1998 12:00,16.8
15.07.1998 12:00,19.3
12.08.1998 12:00,24.42
23.09.1998 12:00,14.96
14.10.1998 12:00,13.9
12.11.1998 12:00,10.01
09.12.1998 12:00,6.23
20.01.1999 12:00,4.69
24.02.1999 12:00,3.31
29.03.1999 12:00,6.35
21.04.1999 12:00,7.62
16.06.1999 12:00,14.72
27.07.1999 12:00,19.0
18.08.1999 12:00,19.22
15.09.1999 12:00,21.12
06.10.1999 12:00,15.69
13.10.1999 12:00,14.9
10.11.1999 12:00,11.94
15.12.1999 12:00,6.94
19.01.2000 12:00,4.97
23.02.2000 12:00,4.58
21.03.2000 12:00,6.51
19.04.2000 12:00,8.42
18.05.2000 12:00,17.94
21.06.2000 12:00,21.78
17.07.2000 12:00,16.85
16.08.2000 12:00,23.02
13.09.2000 12:00,19.68
16.10.2000 12:00,14.65
08.11.2000 12:00,11.64
06.12.2000 12:00,9.08
17.01.2001 12:00,6.24
21.02.2001 12:00,5.58
23.03.2001 12:00,6.69
25.04.2001 12:00,8.43
29.06.2001 12:00,20.2
25.07.2001 12:00,19.68
