date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
04.11.1974 14:00,4236326488.0
06.11.1978 14:05,4677143115.0
26.03.1979 14:10,3118732149.0
04.12.1979 14:00,4390424219.0
17.03.1980 14:00,3775163191.0
11.11.1980 14:15,4377068837.0
10.03.1981 14:40,3364991908.0
10.11.1981 14:40,4389027782.0
15.03.1982 15:45,3635986757.0
24.11.1982 16:40,4486454857.0
07.03.1983 14:13,3704277378.0
22.11.1983 14:10,4488336396.0
07.03.1984 14:10,3612946367.0
21.11.1984 14:05,4163354220.0
19.03.1985 14:05,3159562913.0
26.11.1985 15:50,3911281338.0
05.11.1986 14:15,4416875262.0
09.11.1987 14:15,4493087904.0
01.03.1988 14:10,3634064115.0
14.11.1988 14:15,4466270814.0
07.05.1991 09:00,4094526258.0
26.06.1991 09:00,4458775160.0
22.08.1991 10:46,4816052908.0
10.11.1993 12:00,4548715934.0
15.02.1994 12:00,3829606576.0
15.03.1994 12:00,3859332597.0
11.04.1994 12:00,4003734637.0
10.05.1994 12:00,4272351101.0
21.06.1994 12:00,4591533055.0
05.07.1994 12:00,4736069839.0
02.08.1994 12:00,4788719424.0
31.08.1994 12:00,4876160143.0
27.09.1994 12:00,4840773187.0
25.10.1994 12:00,4790876344.0
22.11.1994 12:00,4732568282.0
20.12.1994 12:00,4498943713.0
02.02.1995 12:00,4038785528.0
21.02.1995 12:00,4047549486.0
31.03.1995 12:00,4022941440.0
25.04.1995 12:00,4184111563.0
22.05.1995 12:00,4425681704.0
20.06.1995 12:00,4609425657.0
25.07.1995 12:00,4842355606.0
14.08.1995 12:00,4865232680.0
22.08.1995 12:00,4966114117.0
19.09.1995 12:00,4869761929.0
03.10.1995 12:00,4885060911.0
17.10.1995 12:00,4911915945.0
14.11.1995 12:00,4745045215.0
19.12.1995 12:00,4387181985.0
22.01.1996 12:00,4173229442.0
26.02.1996 12:00,3930819767.0
26.03.1996 12:00,3956401018.0
30.04.1996 12:00,4213507335.0
03.05.1996 12:00,4187805683.0
23.05.1996 12:00,4402236186.0
19.06.1996 12:00,4598422122.0
16.07.1996 12:00,4781300323.0
13.08.1996 12:00,4877695006.0
12.09.1996 12:00,4818308700.0
08.10.1996 12:00,4757575799.0
11.11.1996 12:00,4671336379.0
09.12.1996 12:00,4327046170.0
22.01.1997 12:00,3992306376.0
24.02.1997 12:00,3868768687.0
19.03.1997 12:00,3896446934.0
16.04.1997 12:00,4149849778.0
14.05.1997 12:00,4317544915.0
11.06.1997 12:00,4599618772.0
09.07.1997 12:00,4703374525.0
06.08.1997 12:00,4790740291.0
10.09.1997 12:00,4916159721.0
07.10.1997 12:00,4863197656.0
12.11.1997 12:00,4649255477.0
10.12.1997 12:00,4437800987.0
22.01.1998 12:00,4166351434.0
24.02.1998 12:00,4000469858.0
25.03.1998 12:00,4022673307.0
21.04.1998 12:00,4200791223.0
19.05.1998 12:00,4531230840.0
16.06.1998 12:00,4678878162.0
14.07.1998 12:00,4786861176.0
11.08.1998 12:00,4916190671.0
22.09.1998 12:00,4907641284.0
13.10.1998 12:00,4842303800.0
10.11.1998 12:00,4736606832.0
14.12.1998 12:00,4320831937.0
19.01.1999 12:00,4055421467.0
03.03.1999 12:00,3695445489.0
23.03.1999 12:00,3714023102.0
20.04.1999 12:00,3886564530.0
21.05.1999 12:00,4217607176.0
15.06.1999 12:00,4406392295.0
22.07.1999 12:00,4665121119.0
17.08.1999 12:00,4844820498.0
14.09.1999 12:00,4860800947.0
12.10.1999 12:00,4769072930.0
09.11.1999 12:00,4685866327.0
14.12.1999 12:00,4326033251.0
18.01.2000 12:00,3947073100.0
22.02.2000 12:00,3741501611.0
23.03.2000 12:00,3846469430.0
18.04.2000 12:00,3984757601.0
16.05.2000 12:00,4396213575.0
20.06.2000 12:00,4641762140.0
18.07.2000 12:00,4711148009.0
15.08.2000 12:00,4819144170.0
12.09.2000 12:00,4817082372.0
10.10.2000 12:00,4859242231.0
07.11.2000 12:00,4585056032.0
05.12.2000 12:00,4479049942.0
23.01.2001 12:00,4141551890.0
27.02.2001 12:00,4024303486.0
20.03.2001 12:00,4063344769.0
24.04.2001 12:00,4202799675.0
31.05.2001 12:00,4643755270.0
26.06.2001 12:00,4789389596.0
24.07.2001 12:00,4924442018.0
23.08.2001 12:00,5027763035.0
18.09.2001 12:00,4898037814.0
18.10.2001 12:00,4989299660.0
20.11.2001 12:00,4738476788.0
18.12.2001 12:00,4359779793.0
15.01.2002 12:00,4036075571.0
12.02.2002 12:00,3943489104.0
19.03.2002 12:00,3989845828.0
16.04.2002 12:00,4161295398.0
15.05.2002 12:00,4368625420.0
20.06.2002 12:00,4763292861.0
25.07.2002 12:00,4872140558.0
22.08.2002 12:00,4909253745.0
19.09.2002 12:00,4921547354.0
15.10.2002 12:00,4897879950.0
19.11.2002 12:00,4687860391.0
17.12.2002 12:00,4485163499.0
21.01.2003 12:00,4185381317.0
19.02.2003 12:00,3905850669.0
18.03.2003 12:00,3907136488.0
15.04.2003 12:00,4077816055.0
16.05.2003 12:00,4409601787.0
11.06.2003 12:00,4665805129.0
08.07.2003 12:00,4842982883.0
12.08.2003 12:00,4849787817.0
09.09.2003 12:00,4871395612.0
14.10.2003 12:00,4796026945.0
11.11.2003 12:00,4588226239.0
11.12.2003 12:00,4406525194.0
13.01.2004 12:00,4103982728.0
17.02.2004 12:00,3902907691.0
16.03.2004 12:00,3857000226.0
14.04.2004 12:00,3981981439.0
11.05.2004 12:00,4262687149.0
08.06.2004 12:00,4457381100.0
06.07.2004 12:00,4610072184.0
10.08.2004 12:00,4723497315.0
07.09.2004 12:00,4787271481.0
12.10.2004 12:00,4847041130.0
09.11.2004 12:00,4704017386.0
07.12.2004 12:00,4374171823.0
11.01.2005 12:00,4088135628.0
18.02.2005 12:00,3707926804.0
15.03.2005 12:00,3593463771.0
12.04.2005 12:00,3761204820.0
20.05.2005 12:00,4048974695.0
14.06.2005 12:00,4289308792.0
12.07.2005 12:00,4396362558.0
09.08.2005 12:00,4439782310.0
13.09.2005 12:00,4584747438.0
11.10.2005 12:00,4605571726.0
08.11.2005 12:00,4567033290.0
06.12.2005 12:00,4326936789.0
10.01.2006 12:00,3959085267.0
21.02.2006 12:00,3668820355.0
21.03.2006 12:00,3577918165.0
11.04.2006 12:00,3627314198.0
09.05.2006 12:00,3876183393.0
12.06.2006 12:00,4280278441.0
11.07.2006 12:00,4426413683.0
15.08.2006 12:00,4460066849.0
12.09.2006 12:00,4576980781.0
10.10.2006 12:00,4576723082.0
14.11.2006 12:00,4476225316.0
12.12.2006 12:00,4350090542.0
16.01.2007 12:00,4039587272.0
13.02.2007 12:00,3933977907.0
13.03.2007 12:00,3956623579.0
11.04.2007 12:00,4129202423.0
08.05.2007 12:00,4330711018.0
12.06.2007 12:00,4552563944.0
10.07.2007 12:00,4785957711.0
07.08.2007 12:00,4922205300.0
11.09.2007 12:00,4856717091.0
09.10.2007 12:00,4931824204.0
06.11.2007 12:00,4763295763.0
11.12.2007 12:00,4441283943.0
25.01.2008 12:00,4125963071.0
19.02.2008 12:00,4018286878.0
18.03.2008 12:00,4062243863.0
15.04.2008 12:00,4107466800.0
20.05.2008 12:00,4512297252.0
10.06.2008 12:00,4667977540.0
08.07.2008 12:00,4843938887.0
05.08.2008 12:00,4994442702.0
09.09.2008 12:00,5049499757.0
14.10.2008 12:00,5039513113.0
11.11.2008 12:00,4895474645.0
11.12.2008 12:00,4590458848.0
20.01.2009 12:00,4181947438.0
17.02.2009 12:00,3981767330.0
17.03.2009 12:00,3948197681.0
07.04.2009 12:00,4072478623.0
12.05.2009 12:00,4416371212.0
16.06.2009 12:00,4717950942.0
21.07.2009 12:00,4913688836.0
18.08.2009 12:00,5007787856.0
15.09.2009 12:00,5016559795.0
13.10.2009 12:00,5004738955.0
10.11.2009 12:00,4789461766.0
08.12.2009 12:00,4615304899.0
12.01.2010 12:00,4216674447.0
23.02.2010 12:00,3897352948.0
16.03.2010 12:00,3834601920.0
13.04.2010 12:00,4075162892.0
18.05.2010 12:00,4226955921.0
15.06.2010 12:00,4567632863.0
13.07.2010 12:00,4678086060.0
17.08.2010 12:00,4805636647.0
14.09.2010 12:00,4834182030.0
19.10.2010 12:00,4803594000.0
16.11.2010 12:00,4696223717.0
14.12.2010 12:00,4378405317.0
11.01.2011 12:00,4149318275.0
15.02.2011 12:00,3954050001.0
15.03.2011 12:00,3952393189.0
19.04.2011 12:00,4238428333.0
17.05.2011 12:00,4451526649.0
15.06.2011 12:00,4636066577.0
12.07.2011 12:00,4788793240.0
16.08.2011 12:00,4869938168.0
13.09.2011 12:00,4966860092.0
13.10.2011 12:00,4812417523.0
15.11.2011 12:00,4780548656.0
13.12.2011 12:00,4563511208.0
17.01.2012 12:00,4272731011.0
21.02.2012 12:00,3833624941.0
13.03.2012 12:00,3871673196.0
11.04.2012 12:00,4073315726.0
08.05.2012 12:00,4286130890.0
12.06.2012 12:00,4570399336.0
10.07.2012 12:00,4776229558.0
14.08.2012 12:00,4953673959.0
11.09.2012 12:00,4943646321.0
16.10.2012 12:00,4886736010.0
13.11.2012 12:00,4757526009.0
11.12.2012 12:00,4421987128.0
22.01.2013 12:00,4141786492.0
19.02.2013 12:00,3932940754.0
19.03.2013 12:00,3868102185.0
16.04.2013 12:00,4024174838.0
14.05.2013 12:00,4273110429.0
11.06.2013 12:00,4478600449.0
16.07.2013 12:00,4829293048.0
20.08.2013 12:00,4926082410.0
17.09.2013 12:00,4827030118.0
15.10.2013 12:00,4900916197.0
19.11.2013 12:00,4671999819.0
10.12.2013 12:00,4373903873.0
21.01.2014 12:00,4150598110.0
18.02.2014 12:00,4037247277.0
11.03.2014 12:00,4072226815.0
15.04.2014 12:00,4174476277.0
12.05.2014 12:00,4412906959.0
17.06.2014 12:00,4766324552.0
15.07.2014 12:00,4870984014.0
19.08.2014 12:00,4994595518.0
16.09.2014 12:00,5007358666.0
14.10.2014 12:00,5008766087.0
11.11.2014 12:00,4760065529.0
24.11.2014 12:00,4788068422.0
09.12.2014 12:00,4686649284.0
13.01.2015 12:00,4435903454.0
10.02.2015 12:00,4202373770.0
10.03.2015 12:00,4156428083.0
08.04.2015 12:00,4249239087.0
19.05.2015 12:00,4644935132.0
16.06.2015 12:00,4820842437.0
14.07.2015 12:00,5192532674.0
11.08.2015 12:00,5165568493.0
08.09.2015 12:00,5075552444.0
13.10.2015 12:00,5059178636.0
17.11.2015 12:00,4903862588.0
15.12.2015 12:00,4619955920.0
12.01.2016 12:00,4451064145.0
16.02.2016 12:00,4253695096.0
15.03.2016 12:00,4213443106.0
12.04.2016 12:00,4399931959.0
10.05.2016 12:00,4699506703.0
07.06.2016 12:00,4889417556.0
05.07.2016 12:00,5144925419.0
09.08.2016 12:00,5139483078.0
06.09.2016 12:00,5157860703.0
11.10.2016 12:00,5085417901.0
08.11.2016 12:00,5011593554.0
13.12.2016 12:00,4684625302.0
26.01.2017 12:00,4184688990.0
14.02.2017 12:00,4110000797.0
14.03.2017 12:00,4166570962.0
11.04.2017 12:00,4369839888.0
16.05.2017 12:00,4602737980.0
13.06.2017 12:00,4807294330.0
11.07.2017 12:00,5060477186.0
15.08.2017 12:00,5087201738.0
12.09.2017 12:00,5047044970.0
10.10.2017 12:00,5059689419.0
06.11.2017 12:00,4939631442.0
12.12.2017 12:00,4526554713.0
15.01.2018 12:00,4278413874.0
06.02.2018 12:00,4185807616.0
13.03.2018 12:00,3974810492.0
10.04.2018 12:00,4097541276.0
15.05.2018 12:00,4451241467.0
12.06.2018 12:00,4672005673.0
10.07.2018 12:00,4905191565.0
14.08.2018 12:00,4953350352.0
11.09.2018 12:00,4972582681.0
09.10.2018 12:00,4973973936.0
06.11.2018 12:00,4758182809.0
11.12.2018 12:00,4666762573.0
15.01.2019 12:00,4239827002.0
12.02.2019 12:00,4027250391.0
12.03.2019 12:00,4011908783.0
09.04.2019 12:00,4201700354.0
14.05.2019 12:00,4484015399.0
18.06.2019 12:00,4826399680.0
16.07.2019 12:00,4903933766.0
13.08.2019 12:00,5110513062.0
02.09.2019 12:00,5052524381.0
08.10.2019 12:00,5141901295.0
12.11.2019 12:00,4973174604.0
10.12.2019 12:00,4712562967.0
14.01.2020 12:00,4432389215.0
13.02.2020 12:00,4274448099.0
10.03.2020 12:00,4232136555.0
07.04.2020 12:00,4391694056.0
12.05.2020 12:00,4828032701.0
15.06.2020 12:00,4882167157.0
14.07.2020 12:00,5091380716.0
11.08.2020 12:00,5172309930.0
08.09.2020 12:00,5187802951.0
12.10.2020 12:00,5047285876.0
10.11.2020 12:00,4981399173.0
08.12.2020 12:00,4759263672.0
11.01.2021 12:00,4420775343.0
08.02.2021 12:00,4234521396.0
08.03.2021 12:00,4192338132.0
12.04.2021 12:00,4326815936.0
03.05.2021 12:00,4470033296.0
14.06.2021 12:00,4846214537.0
12.07.2021 12:00,5053429319.0
09.08.2021 12:00,5172402353.0
06.09.2021 12:00,5267239711.0
04.10.2021 12:00,5149717775.0
06.11.2021 12:00,5035694248.0
08.11.2021 12:00,5030588913.0
13.12.2021 12:00,4677156910.0
10.01.2022 12:00,4462597081.0
14.02.2022 12:00,4245929105.0
14.03.2022 12:00,4256696090.0
11.04.2022 12:00,4385518528.0
09.05.2022 12:00,4657247690.0
13.06.2022 12:00,4990365493.0
11.07.2022 12:00,5099588937.0
08.08.2022 12:00,5129921862.0
13.09.2022 12:00,5175247985.0
10.10.2022 12:00,5157373898.0
07.11.2022 12:00,5051049609.0
13.12.2022 12:00,4749922975.0
16.01.2023 12:00,4518903706.0
06.02.2023 12:00,4353549404.0
06.03.2023 12:00,4300354355.0
03.04.2023 12:00,4369576740.0
08.05.2023 12:00,4646497982.0
12.06.2023 12:00,4915705010.0
10.07.2023 12:00,5114255758.0
14.08.2023 12:00,5191362708.0
11.09.2023 12:00,5264156318.0
09.10.2023 12:00,5251096809.0
13.11.2023 12:00,5042922759.0
11.12.2023 12:00,4830358009.0
