date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
31.05.1957 12:00,12.9
19.06.1957 12:00,19.2
23.07.1957 12:00,18.7
19.09.1957 12:00,18.1
21.11.1957 12:00,9.5
19.03.1958 12:00,5.5
22.05.1958 12:00,12.9
18.06.1958 12:00,20.4
16.07.1958 12:00,21.3
18.09.1958 12:00,20.6
19.11.1958 12:00,9.9
18.03.1959 12:00,6.3
20.05.1959 12:00,17.6
16.06.1959 12:00,17.4
16.07.1959 12:00,22.5
20.08.1959 12:00,21.3
17.09.1959 12:00,20.1
19.11.1959 12:00,10.3
17.03.1960 12:00,7.6
19.05.1960 12:00,14.9
16.06.1960 12:00,19.3
21.07.1960 12:00,20.0
18.08.1960 12:00,18.7
22.09.1960 12:00,16.9
17.11.1960 12:00,10.7
16.03.1961 12:00,8.8
18.05.1961 12:00,13.6
15.06.1961 12:00,17.8
20.07.1961 12:00,19.7
18.08.1961 12:00,19.9
21.09.1961 12:00,21.8
16.11.1961 12:00,10.8
23.03.1962 12:00,5.8
18.05.1962 12:00,11.1
14.06.1962 12:00,15.6
19.07.1962 12:00,18.5
30.08.1962 12:00,22.6
20.09.1962 12:00,18.2
15.11.1962 12:00,10.4
14.03.1963 12:00,5.4
20.05.1963 12:00,13.4
17.06.1963 12:00,18.8
17.07.1963 12:00,24.5
29.08.1963 12:00,18.1
19.09.1963 12:00,19.1
14.11.1963 12:00,11.6
19.03.1964 12:00,5.4
14.05.1964 12:00,15.7
18.06.1964 12:00,20.8
16.07.1964 12:00,24.2
20.08.1964 12:00,21.8
18.09.1964 12:00,18.4
19.11.1964 12:00,9.5
05.02.1965 12:00,5.4
25.05.1965 12:00,13.8
24.06.1965 12:00,17.4
22.07.1965 12:00,20.3
19.08.1965 12:00,21.3
23.09.1965 12:00,16.6
17.02.1966 12:00,5.7
13.04.1966 12:00,11.6
12.05.1966 12:00,13.6
16.06.1966 12:00,23.6
28.07.1966 12:00,20.3
18.08.1966 12:00,16.5
15.09.1966 12:00,20.1
17.11.1966 12:00,10.3
16.02.1967 12:00,5.2
16.03.1967 12:00,6.8
17.05.1967 12:00,11.5
19.06.1967 12:00,17.2
12.07.1967 12:00,20.6
17.08.1967 12:00,19.6
14.09.1967 12:00,17.0
21.11.1967 12:00,10.6
15.02.1968 12:00,5.6
19.03.1968 12:00,5.8
12.06.1968 12:00,11.0
18.07.1968 12:00,19.5
16.08.1968 12:00,18.4
18.09.1968 12:00,17.8
13.11.1968 12:00,12.3
04.02.1969 12:00,5.0
11.03.1969 12:00,6.0
13.05.1969 12:00,16.0
10.06.1969 12:00,17.5
16.07.1969 12:00,20.1
12.08.1969 12:00,23.1
16.09.1969 12:00,18.6
13.11.1969 12:00,11.8
15.01.1970 12:00,5.5
17.02.1970 12:00,5.2
19.03.1970 12:00,5.2
15.04.1970 12:00,5.8
13.05.1970 12:00,9.5
16.06.1970 12:00,20.0
17.07.1970 12:00,17.6
12.08.1970 12:00,20.4
15.09.1970 12:00,20.5
13.10.1970 12:00,15.2
17.11.1970 12:00,10.7
12.12.1970 12:00,7.2
19.01.1971 12:00,5.4
16.02.1971 12:00,5.2
16.03.1971 12:00,5.2
20.04.1971 12:00,7.4
18.05.1971 12:00,15.0
15.06.1971 12:00,15.4
20.07.1971 12:00,21.3
17.08.1971 12:00,23.1
14.09.1971 12:00,17.2
19.10.1971 12:00,12.9
17.11.1971 12:00,9.7
14.12.1971 12:00,7.0
18.01.1972 12:00,6.3
15.02.1972 12:00,5.8
14.03.1972 12:00,5.9
18.04.1972 12:00,7.0
16.05.1972 12:00,9.5
19.06.1972 12:00,16.9
17.07.1972 12:00,19.8
22.08.1972 12:00,17.3
18.09.1972 12:00,15.2
18.10.1972 12:00,11.5
23.11.1972 12:00,9.8
11.12.1972 12:00,8.5
16.01.1973 12:00,6.0
14.02.1973 12:00,6.0
12.03.1973 12:00,5.4
10.04.1973 12:00,5.8
14.05.1973 12:00,13.6
12.06.1973 12:00,20.0
16.07.1973 12:00,21.0
20.08.1973 12:00,25.2
17.09.1973 12:00,20.3
16.10.1973 12:00,13.8
13.11.1973 12:00,10.4
10.12.1973 12:00,6.8
14.01.1974 12:00,6.0
18.02.1974 12:00,6.0
18.03.1974 12:00,7.3
22.04.1974 12:00,10.0
13.05.1974 12:00,12.4
17.06.1974 12:00,17.5
15.07.1974 12:00,20.9
19.08.1974 12:00,22.5
16.09.1974 12:00,21.0
14.10.1974 12:00,12.2
18.11.1974 12:00,8.8
09.12.1974 12:00,8.2
13.01.1975 12:00,7.0
17.02.1975 12:00,7.0
17.03.1975 12:00,6.9
14.04.1975 12:00,9.4
12.05.1975 12:00,10.6
16.06.1975 12:00,17.1
15.07.1975 12:00,23.1
20.08.1975 12:00,21.8
17.09.1975 12:00,17.0
14.10.1975 12:00,13.4
17.11.1975 12:00,10.7
17.12.1975 12:00,8.2
12.01.1976 12:00,6.8
17.02.1976 12:00,5.9
15.03.1976 12:00,6.4
12.04.1976 12:00,6.2
17.05.1976 12:00,15.5
14.06.1976 12:00,19.2
19.07.1976 12:00,22.3
16.08.1976 12:00,20.3
13.09.1976 12:00,16.2
11.10.1976 12:00,16.1
