date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
08.10.1969 12:00,1.2
01.04.1970 12:00,9.4
07.07.1970 12:00,5.6
08.10.1970 12:00,2.0
29.03.1971 12:00,6.7
05.07.1971 12:00,1.5
21.09.1971 12:00,1.3
22.03.1972 12:00,1.6
08.08.1972 12:00,0.6
03.10.1972 12:00,0.1
26.02.1973 12:00,1.7
12.03.1973 12:00,6.2
09.04.1973 12:00,3.7
07.05.1973 12:00,3.4
04.06.1973 12:00,1.5
02.07.1973 12:00,1.6
30.07.1973 12:00,1.0
27.08.1973 12:00,0.9
01.10.1973 12:00,0.2
22.10.1973 12:00,0.2
26.11.1973 12:00,0.9
17.12.1973 12:00,5.4
14.01.1974 12:00,3.7
11.02.1974 12:00,3.2
11.03.1974 12:00,5.8
08.04.1974 12:00,4.3
16.07.1974 12:00,1.4
03.09.1974 12:00,1.3
25.03.1975 12:00,5.3
07.08.1975 12:00,1.4
15.09.1975 12:00,1.0
22.03.1976 12:00,8.7
19.07.1976 12:00,4.5
16.08.1976 12:00,3.1
13.09.1976 12:00,3.2
11.10.1976 12:00,1.4
08.11.1976 12:00,2.0
06.12.1976 12:00,0.8
03.01.1977 12:00,2.1
31.01.1977 12:00,2.3
07.03.1977 12:00,5.2
02.05.1977 12:00,3.4
27.06.1977 12:00,2.7
21.09.1977 12:00,1.5
09.01.1978 12:00,1.9
06.02.1978 12:00,4.5
06.03.1978 12:00,6.8
22.03.1978 12:00,8.3
03.04.1978 12:00,7.1
14.04.1978 12:00,5.7
24.04.1978 12:00,5.5
12.05.1978 12:00,4.5
26.05.1978 12:00,4.1
04.06.1978 12:00,4.1
15.06.1978 12:00,3.6
25.06.1978 12:00,2.9
05.07.1978 12:00,2.6
17.07.1978 12:00,2.7
31.07.1978 12:00,2.3
22.08.1978 12:00,1.2
04.09.1978 12:00,1.3
18.09.1978 12:00,1.5
02.10.1978 12:00,1.1
16.10.1978 12:00,0.7
30.10.1978 12:00,0.5
20.11.1978 12:00,0.0
11.12.1978 12:00,1.0
06.01.1979 12:00,4.3
15.01.1979 12:00,3.3
06.02.1979 12:00,3.2
04.03.1979 12:00,5.8
02.04.1979 12:00,6.1
07.08.1979 12:00,1.6
25.09.1979 12:00,0.9
23.07.1980 12:00,2.5
08.10.1980 12:00,1.9
23.03.1981 12:00,6.8
14.10.1981 12:00,0.9
14.04.1982 12:00,6.4
28.04.1982 12:00,5.7
12.05.1982 12:00,5.3
26.05.1982 12:00,5.1
09.06.1982 12:00,4.0
23.06.1982 12:00,3.4
07.07.1982 12:00,2.7
21.07.1982 12:00,2.8
04.08.1982 12:00,1.9
18.08.1982 12:00,1.3
01.09.1982 12:00,1.4
15.09.1982 12:00,1.0
29.09.1982 12:00,0.5
13.10.1982 12:00,0.7
27.10.1982 12:00,1.1
10.11.1982 12:00,1.5
24.11.1982 12:00,0.4
08.12.1982 12:00,1.7
22.12.1982 12:00,1.8
03.01.1983 12:00,4.1
17.01.1983 12:00,3.9
07.02.1983 12:00,4.9
21.02.1983 12:00,5.7
07.03.1983 12:00,5.3
21.03.1983 12:00,7.1
05.04.1983 12:00,7.8
18.04.1983 12:00,7.5
02.05.1983 12:00,5.8
24.05.1983 12:00,4.6
29.07.1983 12:00,2.3
10.10.1983 12:00,1.6
15.12.1983 12:00,3.0
23.01.1984 12:00,6.5
23.02.1984 12:00,7.2
23.03.1984 12:00,7.3
17.04.1984 12:00,8.5
19.06.1984 12:00,4.8
26.09.1984 12:00,3.2
18.12.1984 12:00,1.9
20.03.1985 12:00,5.5
15.04.1985 12:00,6.7
29.04.1985 12:00,3.8
13.05.1985 12:00,4.1
28.05.1985 12:00,3.1
10.06.1985 12:00,3.4
24.06.1985 12:00,1.9
08.07.1985 12:00,2.1
22.07.1985 12:00,1.8
05.08.1985 12:00,1.3
19.08.1985 12:00,1.2
02.09.1985 12:00,0.9
16.09.1985 12:00,0.7
30.09.1985 12:00,0.6
14.10.1985 12:00,0.4
28.10.1985 12:00,0.4
11.11.1985 12:00,0.4
25.11.1985 12:00,0.3
16.12.1985 12:00,2.4
06.01.1986 12:00,4.6
20.01.1986 12:00,5.6
03.02.1986 12:00,6.9
01.04.1986 12:00,8.9
14.04.1986 12:00,9.7
28.04.1986 12:00,9.8
12.05.1986 12:00,9.3
26.05.1986 12:00,9.3
09.06.1986 12:00,8.3
23.06.1986 12:00,7.6
07.07.1986 12:00,6.4
21.07.1986 12:00,6.1
04.08.1986 12:00,5.1
18.08.1986 12:00,5.8
01.09.1986 12:00,4.3
08.09.1986 12:00,4.1
15.09.1986 12:00,3.5
29.09.1986 12:00,2.9
13.10.1986 12:00,2.3
27.10.1986 12:00,2.6
10.11.1986 12:00,1.8
24.11.1986 12:00,1.6
15.12.1986 12:00,3.2
29.12.1986 12:00,5.9
19.01.1987 12:00,8.5
16.02.1987 12:00,8.7
16.03.1987 12:00,10.2
13.04.1987 12:00,11.5
27.04.1987 12:00,11.7
11.05.1987 12:00,11.0
25.05.1987 12:00,10.4
09.06.1987 12:00,9.3
22.06.1987 12:00,8.6
06.07.1987 12:00,8.0
20.07.1987 12:00,7.9
03.08.1987 12:00,7.1
17.08.1987 12:00,7.2
