date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
21.01.1988 12:00,6.8
29.02.1988 12:00,7.2
30.03.1988 12:00,7.2
28.04.1988 12:00,7.3
08.06.1988 12:00,7.4
21.07.1988 12:00,7.3
13.10.1988 12:00,6.9
15.11.1988 12:00,6.5
20.12.1988 12:00,7.3
25.01.1989 12:00,6.3
15.02.1989 12:00,6.0
22.03.1989 12:00,5.2
19.04.1989 12:00,5.6
17.05.1989 12:00,5.6
21.06.1989 12:00,5.5
19.07.1989 12:00,4.4
23.08.1989 12:00,5.7
20.09.1989 12:00,5.8
23.10.1989 12:00,5.5
22.11.1989 12:00,5.9
18.12.1989 12:00,5.2
23.01.1990 12:00,5.0
26.02.1990 12:00,5.2
19.03.1990 12:00,5.5
17.04.1990 12:00,5.5
14.05.1990 12:00,5.4
19.06.1990 12:00,5.4
17.07.1990 12:00,6.6
23.08.1990 12:00,5.6
26.09.1990 12:00,5.6
16.10.1990 12:00,6.0
19.12.1990 12:00,5.0
29.01.1991 12:00,4.8
26.02.1991 12:00,8.4
25.03.1991 12:00,8.8
15.04.1991 12:00,8.6
20.05.1991 12:00,8.5
11.06.1991 12:00,8.4
16.07.1991 12:00,7.3
03.09.1991 12:00,8.3
23.09.1991 12:00,7.6
21.10.1991 12:00,8.4
19.11.1991 12:00,7.6
21.01.1992 12:00,7.4
18.02.1992 12:00,7.4
17.03.1992 12:00,7.1
14.04.1992 12:00,7.5
19.05.1992 12:00,7.4
15.06.1992 12:00,7.1
07.07.1992 12:00,7.4
04.08.1992 12:00,7.2
08.09.1992 12:00,7.1
07.10.1992 12:00,7.0
10.11.1992 12:00,7.0
01.12.1992 12:00,6.2
27.01.1993 12:00,7.5
24.02.1993 12:00,7.2
23.03.1993 12:00,6.9
27.04.1993 12:00,6.3
25.05.1993 12:00,7.3
22.06.1993 12:00,5.6
20.07.1993 12:00,7.1
10.08.1993 12:00,6.3
14.09.1993 12:00,7.0
12.10.1993 12:00,6.5
01.11.1993 12:00,6.4
01.12.1993 12:00,7.0
11.01.1994 12:00,6.5
08.02.1994 12:00,6.6
08.03.1994 12:00,7.0
06.04.1994 12:00,6.7
03.05.1994 12:00,6.8
31.05.1994 12:00,6.4
28.06.1994 12:00,6.6
26.07.1994 12:00,6.5
30.08.1994 12:00,6.9
