date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
21.01.1988 12:00,74.0
30.03.1988 12:00,15.0
28.04.1988 12:00,9.7
08.06.1988 12:00,12.7
21.07.1988 12:00,7.1
13.10.1988 12:00,16.2
15.11.1988 12:00,28.5
20.12.1988 12:00,73.5
22.03.1989 12:00,25.2
19.04.1989 12:00,14.9
17.05.1989 12:00,7.9
21.06.1989 12:00,9.6
19.07.1989 12:00,10.1
23.08.1989 12:00,12.4
20.09.1989 12:00,14.7
23.10.1989 12:00,18.8
22.11.1989 12:00,26.1
18.12.1989 12:00,40.0
23.01.1990 12:00,75.0
26.02.1990 12:00,14.5
19.03.1990 12:00,7.3
17.04.1990 12:00,21.0
14.05.1990 12:00,7.8
19.06.1990 12:00,11.6
17.07.1990 12:00,12.9
23.08.1990 12:00,14.4
26.09.1990 12:00,16.2
16.10.1990 12:00,16.8
19.12.1990 12:00,74.0
15.04.1991 12:00,8.3
20.05.1991 12:00,39.4
11.06.1991 12:00,9.3
16.07.1991 12:00,13.6
03.09.1991 12:00,12.6
23.09.1991 12:00,15.5
21.10.1991 12:00,36.7
19.11.1991 12:00,39.2
14.04.1992 12:00,12.7
19.05.1992 12:00,7.4
15.06.1992 12:00,12.1
07.07.1992 12:00,9.1
04.08.1992 12:00,10.7
08.09.1992 12:00,15.4
07.10.1992 12:00,23.1
10.11.1992 12:00,26.7
01.12.1992 12:00,37.9
23.03.1993 12:00,8.2
27.04.1993 12:00,15.6
25.05.1993 12:00,11.7
22.06.1993 12:00,14.1
20.07.1993 12:00,19.3
10.08.1993 12:00,13.5
14.09.1993 12:00,15.6
12.10.1993 12:00,29.1
01.11.1993 12:00,35.0
01.12.1993 12:00,50.1
06.04.1994 12:00,73.5
03.05.1994 12:00,12.7
31.05.1994 12:00,9.9
28.06.1994 12:00,9.6
26.07.1994 12:00,13.4
30.08.1994 12:00,13.5
27.09.1994 12:00,14.3
25.10.1994 12:00,25.1
22.11.1994 12:00,27.8
07.03.1995 12:00,3.1
07.06.1995 12:00,14.7
11.09.1995 12:00,17.4
11.12.1995 12:00,72.5
23.04.1996 12:00,9.3
27.05.1996 12:00,9.9
17.06.1996 12:00,7.9
15.07.1996 12:00,13.4
12.08.1996 12:00,12.4
