date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
18.01.1999 12:00,1000.1513993460711
26.02.1999 12:00,1000.1587887782956
29.03.1999 12:00,1000.1725249175287
20.04.1999 12:00,1000.163486939782
14.06.1999 12:00,1000.1555620200721
19.07.1999 12:00,1000.1298379534486
16.08.1999 12:00,1000.1269100772018
11.10.1999 12:00,1000.0982995757404
09.11.1999 12:00,1000.04016452352
15.12.1999 12:00,1000.1109548015909
17.01.2000 12:00,1000.1615456286402
23.02.2000 12:00,1000.1690432692945
21.03.2000 12:00,1000.1622920394384
18.04.2000 12:00,1000.1381495108553
16.05.2000 12:00,1000.1455057280816
19.06.2000 12:00,1000.0980773124763
17.07.2000 12:00,1000.1415660416224
14.08.2000 12:00,1000.1147639718139
12.09.2000 12:00,1000.1005829576586
12.10.2000 12:00,1000.0930658394805
10.11.2000 12:00,999.8063059705636
04.12.2000 12:00,1000.0210497726364
16.01.2001 12:00,1000.1203479484135
19.02.2001 12:00,1000.1603153273761
16.03.2001 12:00,1000.1448088062853
24.04.2001 12:00,1000.120949515174
28.05.2001 12:00,1000.1137828951599
27.06.2001 12:00,1000.1001112180936
26.07.2001 12:00,1000.0960068703644
20.08.2001 12:00,999.9314608910448
24.09.2001 12:00,1000.0614378362568
23.10.2001 12:00,999.9790505095143
22.11.2001 12:00,999.9890843762759
19.12.2001 12:00,1000.1298223485971
17.01.2002 12:00,1000.165868600232
14.02.2002 12:00,1000.1665246811853
18.04.2002 12:00,1000.1418851918269
16.05.2002 12:00,1000.1143530342924
19.06.2002 12:00,1000.1195519614488
30.07.2002 12:00,1000.115307993309
21.08.2002 12:00,1000.1107421214459
18.09.2002 12:00,1000.0602890573379
21.10.2002 12:00,1000.1092963578891
21.11.2002 12:00,999.9661444654021
20.02.2003 12:00,1000.1730869456111
19.03.2003 12:00,1000.1713486342985
17.04.2003 12:00,1000.1612195440621
14.05.2003 12:00,1000.1469346739766
13.06.2003 12:00,1000.0924187785172
09.07.2003 12:00,1000.1336544457861
14.08.2003 12:00,1000.1360414926143
10.09.2003 12:00,1000.1370599867097
22.10.2003 12:00,1000.0282977119331
12.11.2003 12:00,1000.0589933086843
10.12.2003 12:00,1000.0838588819572
14.01.2004 12:00,1000.1431415445907
23.02.2004 12:00,1000.1648905235216
17.03.2004 12:00,1000.1717448942
19.04.2004 12:00,1000.1524868433146
12.05.2004 12:00,1000.1271775345749
10.06.2004 12:00,1000.1161968495774
07.07.2004 12:00,1000.1117073927956
12.08.2004 12:00,1000.093936300193
08.09.2004 12:00,1000.0627937009298
14.10.2004 12:00,1000.0503400520917
10.11.2004 12:00,1000.0662411049789
08.12.2004 12:00,1000.0303648994625
12.01.2005 12:00,1000.1337318729802
22.02.2005 12:00,1000.1757639105721
16.03.2005 12:00,1000.1797430353439
14.04.2005 12:00,1000.1721119302358
19.05.2005 12:00,1000.1526642194483
15.06.2005 12:00,1000.1355974950707
11.08.2005 12:00,1000.1186328762535
14.09.2005 12:00,1000.1097898685534
17.10.2005 12:00,1000.0874420188659
09.11.2005 12:00,1000.0805666127206
11.01.2006 12:00,1000.1636602706484
23.02.2006 12:00,1000.1802872006448
22.03.2006 12:00,1000.1836470621688
20.04.2006 12:00,1000.178115893575
10.05.2006 12:00,1000.159349827475
15.06.2006 12:00,1000.1541354268455
27.07.2006 12:00,1000.1558086656852
17.08.2006 12:00,1000.161607278047
13.09.2006 12:00,1000.1497529797999
11.10.2006 12:00,1000.0986352930611
15.11.2006 12:00,1000.0227367447272
14.12.2006 12:00,1000.0579656384396
24.01.2007 12:00,1000.139049928023
15.02.2007 12:00,1000.1561334714644
15.03.2007 12:00,1000.1475676847482
16.04.2007 12:00,1000.1382647097162
14.05.2007 12:00,1000.1171721622392
14.06.2007 12:00,1000.1077044933791
12.07.2007 12:00,1000.0912277234681
08.08.2007 12:00,1000.0858863496807
