date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
12.09.1941 12:00,0.5
07.10.1941 12:00,0.1
10.11.1941 12:00,0.9
15.12.1941 12:00,0.1
30.03.1942 12:00,7.3
22.04.1942 12:00,8.1
18.05.1942 12:00,5.6
12.06.1942 12:00,0.4
08.07.1942 12:00,0.0
24.08.1942 12:00,0.8
01.10.1942 12:00,0.4
06.01.1943 12:00,7.2
12.03.1943 12:00,4.1
09.09.1947 12:00,0.0
24.06.1948 12:00,0.0
30.03.1949 12:00,8.4
20.04.1949 12:00,8.5
31.05.1949 12:00,0.9
08.07.1949 12:00,0.5
20.07.1949 12:00,0.3
26.08.1949 12:00,0.1
22.09.1949 12:00,0.0
04.11.1949 12:00,0.0
08.12.1949 12:00,0.0
10.01.1950 12:00,7.3
16.02.1950 12:00,9.0
16.03.1950 12:00,11.0
14.04.1950 12:00,9.9
10.05.1950 12:00,6.4
12.06.1950 12:00,0.4
12.07.1950 12:00,0.0
09.08.1950 12:00,0.0
06.09.1950 12:00,0.0
05.10.1950 12:00,0.0
06.11.1950 12:00,0.0
04.12.1950 12:00,0.0
11.09.1952 12:00,0.0
22.01.1953 12:00,1.5
27.03.1953 12:00,0.1
17.04.1953 12:00,3.8
26.05.1953 12:00,1.8
23.06.1953 12:00,0.2
27.07.1953 12:00,0.0
25.08.1953 12:00,0.0
21.09.1953 12:00,0.0
20.10.1953 12:00,0.0
18.11.1953 12:00,0.0
14.12.1953 12:00,0.0
08.02.1954 12:00,0.6
17.03.1954 12:00,0.3
22.04.1954 12:00,7.0
17.05.1954 12:00,1.7
14.06.1954 12:00,0.1
21.07.1954 12:00,0.0
26.08.1954 12:00,0.0
15.09.1954 12:00,0.0
19.10.1954 12:00,0.0
22.11.1954 12:00,0.0
20.12.1954 12:00,0.0
24.01.1955 12:00,7.4
18.07.1955 12:00,0.3
19.09.1955 12:00,0.0
17.02.1956 12:00,5.5
27.03.1956 12:00,0.2
25.04.1956 12:00,6.1
17.05.1956 12:00,2.5
12.06.1956 12:00,0.1
04.07.1956 12:00,0.2
07.08.1956 12:00,0.1
12.09.1956 12:00,0.0
12.10.1956 12:00,0.0
08.11.1956 12:00,0.0
05.12.1956 12:00,6.2
18.02.1958 12:00,7.2
18.03.1958 12:00,10.4
18.04.1958 12:00,12.5
20.05.1958 12:00,7.8
17.06.1958 12:00,2.1
16.07.1958 12:00,0.2
15.08.1958 12:00,0.0
23.09.1958 12:00,0.2
28.10.1958 12:00,0.2
25.11.1958 12:00,0.0
16.12.1958 12:00,6.8
13.01.1959 12:00,9.4
24.03.1959 12:00,9.1
28.04.1959 12:00,7.0
21.05.1959 12:00,4.9
16.06.1959 12:00,1.8
14.07.1959 12:00,0.6
12.08.1959 12:00,0.2
10.09.1959 12:00,0.1
20.10.1959 12:00,0.0
18.11.1959 12:00,0.0
15.12.1959 12:00,5.4
19.01.1960 12:00,7.0
08.03.1960 12:00,10.3
07.04.1960 12:00,7.6
05.05.1960 12:00,4.3
01.06.1960 12:00,0.2
04.07.1960 12:00,0.6
03.08.1960 12:00,0.0
14.09.1960 12:00,0.2
18.10.1960 12:00,0.2
02.11.1960 12:00,0.1
22.11.1960 12:00,0.0
20.12.1960 12:00,6.8
24.01.1961 12:00,7.0
24.02.1961 12:00,8.4
24.03.1961 12:00,8.5
24.04.1961 12:00,4.9
15.05.1961 12:00,4.1
14.06.1961 12:00,0.5
11.07.1961 12:00,0.2
15.08.1961 12:00,0.2
22.08.1961 12:00,0.2
21.09.1961 12:00,0.4
24.10.1961 12:00,0.0
29.11.1961 12:00,5.0
27.12.1961 12:00,7.0
17.01.1962 12:00,7.4
19.02.1962 12:00,10.1
07.03.1962 12:00,10.8
17.04.1962 12:00,12.5
24.05.1962 12:00,4.0
20.06.1962 12:00,0.7
25.07.1962 12:00,0.2
29.08.1962 12:00,0.2
25.09.1962 12:00,0.1
24.10.1962 12:00,0.0
26.11.1962 12:00,0.8
13.12.1962 12:00,0.0
23.01.1963 12:00,0.5
15.02.1963 12:00,0.4
09.04.1963 12:00,0.0
07.05.1963 12:00,0.4
11.06.1963 12:00,0.2
05.07.1963 12:00,0.2
07.08.1963 12:00,0.1
03.09.1963 12:00,0.0
16.10.1963 12:00,0.0
14.11.1963 12:00,0.0
05.12.1963 12:00,0.0
21.01.1964 12:00,0.2
25.03.1964 12:00,0.0
24.04.1964 12:00,0.1
21.05.1964 12:00,0.1
19.06.1964 12:00,0.0
16.07.1964 12:00,0.0
27.08.1964 12:00,0.0
16.09.1964 12:00,0.0
28.10.1964 12:00,0.0
24.11.1964 12:00,0.0
28.12.1964 12:00,0.0
29.03.1965 12:00,0.0
26.04.1965 12:00,0.0
21.05.1965 12:00,0.2
30.06.1965 12:00,0.2
29.07.1965 12:00,0.0
30.08.1965 12:00,0.0
23.09.1965 12:00,0.0
15.10.1965 12:00,0.0
29.11.1965 12:00,0.0
22.12.1965 12:00,4.2
15.02.1966 12:00,2.6
23.03.1966 12:00,5.4
13.04.1966 12:00,3.9
11.05.1966 12:00,0.3
30.06.1966 12:00,0.2
27.07.1966 12:00,0.1
29.08.1966 12:00,0.0
21.09.1966 12:00,0.0
12.10.1966 12:00,0.0
08.11.1966 12:00,0.0
07.12.1966 12:00,0.0
28.02.1967 12:00,1.8
21.03.1967 12:00,7.7
11.04.1967 12:00,6.2
12.05.1967 12:00,1.3
22.06.1967 12:00,0.2
25.07.1967 12:00,0.2
22.08.1967 12:00,0.0
20.09.1967 12:00,0.0
25.10.1967 12:00,0.0
29.11.1967 12:00,0.0
27.12.1967 12:00,0.0
25.03.1968 12:00,8.8
16.04.1968 12:00,6.8
14.05.1968 12:00,0.2
19.06.1968 12:00,0.0
09.07.1968 12:00,0.0
13.08.1968 12:00,0.0
11.09.1968 12:00,0.0
08.10.1968 12:00,0.0
06.11.1968 12:00,0.0
18.12.1968 12:00,0.0
25.03.1969 12:00,0.4
22.04.1969 12:00,8.4
27.05.1969 12:00,0.1
25.06.1969 12:00,0.4
15.07.1969 12:00,0.0
19.08.1969 12:00,0.0
09.09.1969 12:00,0.0
21.10.1969 12:00,0.0
17.12.1969 12:00,0.0
24.04.1970 12:00,0.6
10.06.1970 12:00,0.2
07.07.1970 12:00,0.5
05.08.1970 12:00,0.0
09.09.1970 12:00,0.0
13.10.1970 12:00,0.0
10.11.1970 12:00,0.0
29.12.1970 12:00,0.0
14.04.1971 12:00,0.0
12.05.1971 12:00,0.0
09.06.1971 12:00,0.0
06.07.1971 12:00,0.0
10.08.1971 12:00,0.0
15.09.1971 12:00,0.0
19.10.1971 12:00,0.0
30.11.1971 12:00,0.0
28.12.1971 12:00,0.0
16.03.1972 12:00,0.0
10.04.1972 12:00,0.0
16.05.1972 12:00,0.0
13.06.1972 12:00,0.0
11.07.1972 12:00,0.0
15.08.1972 12:00,0.0
26.09.1972 12:00,0.0
17.10.1972 12:00,0.0
27.11.1972 12:00,0.0
19.12.1972 12:00,0.0
21.03.1973 12:00,3.2
24.04.1973 12:00,6.2
22.05.1973 12:00,0.4
26.06.1973 12:00,0.0
24.07.1973 12:00,0.0
22.08.1973 12:00,0.0
26.09.1973 12:00,0.0
23.10.1973 12:00,0.0
20.11.1973 12:00,0.0
11.12.1973 12:00,0.0
09.01.1974 12:00,0.9
11.02.1974 12:00,6.2
05.03.1974 12:00,4.5
02.04.1974 12:00,4.2
14.05.1974 12:00,1.0
05.06.1974 12:00,0.8
09.07.1974 12:00,0.0
06.08.1974 12:00,0.2
03.09.1974 12:00,0.2
08.10.1974 12:00,0.0
06.11.1974 12:00,0.0
03.12.1974 12:00,0.0
07.01.1975 12:00,5.8
06.02.1975 12:00,7.3
12.03.1975 12:00,7.8
08.04.1975 12:00,4.0
12.05.1975 12:00,4.0
10.06.1975 12:00,0.5
02.07.1975 12:00,0.1
06.08.1975 12:00,0.0
03.09.1975 12:00,0.0
08.10.1975 12:00,0.0
11.11.1975 12:00,0.0
11.12.1975 12:00,0.0
15.01.1976 12:00,3.5
16.03.1976 12:00,7.8
21.04.1976 12:00,6.9
18.05.1976 12:00,0.6
23.06.1976 12:00,0.2
20.07.1976 12:00,0.0
06.10.1976 12:00,0.0
03.11.1976 12:00,0.0
15.12.1976 12:00,0.0
21.02.1977 12:00,0.0
19.04.1977 12:00,0.0
24.05.1977 12:00,0.0
29.06.1977 12:00,0.0
27.07.1977 12:00,0.0
31.08.1977 12:00,0.0
27.09.1977 12:00,0.0
18.10.1977 12:00,0.0
21.11.1977 12:00,0.0
08.12.1977 12:00,0.0
17.01.1978 12:00,2.6
22.03.1978 12:00,10.7
18.04.1978 12:00,9.5
24.05.1978 12:00,0.2
21.06.1978 12:00,0.2
25.07.1978 12:00,0.0
22.08.1978 12:00,0.0
27.09.1978 12:00,0.0
24.10.1978 12:00,0.0
16.11.1978 12:00,0.0
20.12.1978 12:00,0.0
10.01.1979 12:00,4.2
22.02.1979 12:00,0.2
20.03.1979 12:00,0.7
25.04.1979 12:00,5.6
22.05.1979 12:00,1.7
27.06.1979 12:00,0.3
25.07.1979 12:00,0.1
21.08.1979 12:00,0.0
26.09.1979 12:00,0.0
25.10.1979 12:00,0.0
23.11.1979 12:00,0.0
28.12.1979 12:00,2.4
07.02.1980 12:00,3.1
14.03.1980 12:00,2.4
10.04.1980 12:00,6.8
08.05.1980 12:00,3.2
27.06.1980 12:00,0.2
29.07.1980 12:00,0.1
27.08.1980 12:00,0.0
25.09.1980 12:00,0.0
28.10.1980 12:00,0.0
26.11.1980 12:00,0.0
19.12.1980 12:00,0.0
30.01.1981 12:00,0.0
23.02.1981 12:00,0.0
23.03.1981 12:00,0.0
29.04.1981 12:00,0.0
29.05.1981 12:00,0.0
30.06.1981 12:00,0.0
29.07.1981 12:00,0.0
27.08.1981 12:00,0.0
30.09.1981 12:00,0.0
29.10.1981 12:00,0.0
25.11.1981 12:00,0.0
22.12.1981 12:00,4.2
23.03.1982 12:00,2.5
27.04.1982 12:00,0.6
27.05.1982 12:00,0.0
24.06.1982 12:00,0.4
29.07.1982 12:00,0.0
24.08.1982 12:00,0.0
15.09.1982 12:00,0.0
20.10.1982 12:00,0.0
23.11.1982 12:00,0.0
17.03.1983 12:00,7.5
26.04.1983 12:00,7.7
24.05.1983 12:00,0.0
20.06.1983 12:00,0.0
27.07.1983 12:00,0.0
30.08.1983 12:00,0.0
27.09.1983 12:00,0.0
26.10.1983 12:00,0.0
30.11.1983 12:00,0.0
28.12.1983 12:00,0.6
28.03.1984 12:00,2.4
25.04.1984 12:00,8.9
16.05.1984 12:00,4.2
21.06.1984 12:00,0.4
25.07.1984 12:00,0.0
29.08.1984 12:00,0.0
26.09.1984 12:00,0.0
23.10.1984 12:00,0.0
29.11.1984 12:00,0.0
21.12.1984 12:00,0.0
22.01.1985 12:00,0.0
23.04.1985 12:00,1.1
28.05.1985 12:00,0.0
25.06.1985 12:00,0.1
23.07.1985 12:00,0.0
22.08.1985 12:00,0.0
18.09.1985 12:00,0.0
16.10.1985 12:00,0.0
25.11.1985 12:00,0.0
18.12.1985 12:00,0.1
15.04.1986 12:00,6.8
27.05.1986 12:00,0.2
26.06.1986 12:00,0.1
28.07.1986 12:00,0.0
26.08.1986 12:00,0.0
25.09.1986 12:00,0.0
21.10.1986 12:00,0.0
25.11.1986 12:00,0.0
15.04.1987 12:00,2.7
26.05.1987 12:00,0.0
30.06.1987 12:00,0.0
28.07.1987 12:00,0.0
27.08.1987 12:00,0.0
01.10.1987 12:00,0.0
27.10.1987 12:00,0.0
25.11.1987 12:00,0.0
26.04.1988 12:00,5.8
25.05.1988 12:00,0.0
29.06.1988 12:00,0.0
27.07.1988 12:00,0.0
30.08.1988 12:00,0.0
27.09.1988 12:00,0.0
01.11.1988 12:00,0.0
01.12.1988 12:00,0.0
23.02.1989 12:00,0.1
29.03.1989 12:00,5.0
25.04.1989 12:00,1.8
30.05.1989 12:00,0.1
27.06.1989 12:00,0.1
27.07.1989 12:00,0.0
30.08.1989 12:00,0.0
21.09.1989 12:00,0.0
31.10.1989 12:00,0.0
26.04.1990 12:00,3.0
30.05.1990 12:00,0.0
26.06.1990 12:00,0.0
25.07.1990 12:00,0.0
29.08.1990 12:00,0.0
25.09.1990 12:00,0.0
31.10.1990 12:00,0.0
28.11.1990 12:00,0.0
02.04.1991 12:00,3.8
29.04.1991 12:00,0.6
28.05.1991 12:00,0.1
24.06.1991 12:00,0.0
24.07.1991 12:00,0.1
27.08.1991 12:00,0.0
24.09.1991 12:00,0.0
24.10.1991 12:00,0.0
16.12.1991 12:00,0.0
18.03.1992 12:00,5.9
29.04.1992 12:00,3.6
25.05.1992 12:00,0.6
23.06.1992 12:00,0.5
30.07.1992 12:00,0.4
25.08.1992 12:00,0.3
23.09.1992 12:00,0.4
27.10.1992 12:00,0.0
12.11.1992 12:00,0.0
14.04.1993 12:00,10.2
29.04.1993 12:00,0.3
11.05.1993 12:00,3.8
14.06.1993 12:00,0.0
12.07.1993 12:00,0.0
20.07.1993 12:00,0.0
28.07.1993 12:00,0.0
10.08.1993 12:00,0.0
14.09.1993 12:00,0.0
11.10.1993 12:00,0.0
27.10.1993 12:00,0.0
11.11.1993 12:00,0.0
05.04.1994 12:00,10.9
28.04.1994 12:00,8.6
16.05.1994 12:00,4.2
20.06.1994 12:00,0.7
19.07.1994 12:00,0.2
09.08.1994 12:00,0.0
05.09.1994 12:00,0.0
03.10.1994 12:00,0.0
25.10.1994 12:00,0.0
07.11.1994 12:00,0.0
