date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
12.09.1941 12:00,21.9
07.10.1941 12:00,8.4
10.11.1941 12:00,32.2
15.12.1941 12:00,114.3
30.03.1942 12:00,131.3
22.04.1942 12:00,168.9
18.05.1942 12:00,130.7
12.06.1942 12:00,68.3
08.07.1942 12:00,39.7
24.08.1942 12:00,42.2
01.10.1942 12:00,12.8
06.01.1943 12:00,149.2
12.03.1943 12:00,142.7
09.09.1947 12:00,6.5
24.06.1948 12:00,74.7
30.03.1949 12:00,186.5
20.04.1949 12:00,178.8
31.05.1949 12:00,75.7
08.07.1949 12:00,48.1
20.07.1949 12:00,43.1
26.08.1949 12:00,10.3
22.09.1949 12:00,5.9
04.11.1949 12:00,4.2
08.12.1949 12:00,30.4
10.01.1950 12:00,142.0
16.02.1950 12:00,172.7
16.03.1950 12:00,211.6
14.04.1950 12:00,206.5
10.05.1950 12:00,153.8
12.06.1950 12:00,59.0
12.07.1950 12:00,19.2
09.08.1950 12:00,3.5
06.09.1950 12:00,2.7
05.10.1950 12:00,2.7
06.11.1950 12:00,5.4
04.12.1950 12:00,81.2
11.09.1952 12:00,15.9
22.01.1953 12:00,104.9
27.03.1953 12:00,108.1
17.04.1953 12:00,120.8
26.05.1953 12:00,44.2
23.06.1953 12:00,18.3
27.07.1953 12:00,7.0
25.08.1953 12:00,6.0
21.09.1953 12:00,3.0
20.10.1953 12:00,2.3
18.11.1953 12:00,3.5
14.12.1953 12:00,14.6
08.02.1954 12:00,77.7
17.03.1954 12:00,120.6
22.04.1954 12:00,176.8
17.05.1954 12:00,109.9
14.06.1954 12:00,21.0
21.07.1954 12:00,6.0
26.08.1954 12:00,2.3
15.09.1954 12:00,2.3
19.10.1954 12:00,1.2
22.11.1954 12:00,0.7
20.12.1954 12:00,28.8
24.01.1955 12:00,159.2
18.07.1955 12:00,54.7
19.09.1955 12:00,9.7
17.02.1956 12:00,137.6
27.03.1956 12:00,128.3
25.04.1956 12:00,141.8
17.05.1956 12:00,106.8
12.06.1956 12:00,77.0
04.07.1956 12:00,41.1
07.08.1956 12:00,19.1
12.09.1956 12:00,6.4
12.10.1956 12:00,2.8
08.11.1956 12:00,1.5
05.12.1956 12:00,112.7
18.02.1958 12:00,140.4
18.03.1958 12:00,190.3
18.04.1958 12:00,241.7
20.05.1958 12:00,195.0
17.06.1958 12:00,153.8
16.07.1958 12:00,71.5
15.08.1958 12:00,51.0
23.09.1958 12:00,6.8
28.10.1958 12:00,58.7
25.11.1958 12:00,78.0
16.12.1958 12:00,123.3
13.01.1959 12:00,167.1
24.03.1959 12:00,189.6
28.04.1959 12:00,159.0
21.05.1959 12:00,113.5
16.06.1959 12:00,78.4
14.07.1959 12:00,27.8
12.08.1959 12:00,4.7
10.09.1959 12:00,5.1
20.10.1959 12:00,39.4
18.11.1959 12:00,84.1
15.12.1959 12:00,97.0
19.01.1960 12:00,134.4
08.03.1960 12:00,186.3
07.04.1960 12:00,184.9
05.05.1960 12:00,142.0
01.06.1960 12:00,79.0
