date (yyyy-mm-dd HH:MM:SS),mixing depth with salinity (0.005 kgm-3) [m]
24.05.1977 12:00,7.0
29.06.1977 12:00,7.0
27.07.1977 12:00,7.0
31.08.1977 12:00,7.0
27.09.1977 12:00,8.0
18.10.1977 12:00,7.0
21.11.1977 12:00,8.0
08.12.1977 12:00,22.0
17.01.1978 12:00,34.0
22.03.1978 12:00,34.0
18.04.1978 12:00,15.0
24.05.1978 12:00,7.0
21.06.1978 12:00,7.0
25.07.1978 12:00,7.0
22.08.1978 12:00,7.0
27.09.1978 12:00,7.0
24.10.1978 12:00,8.0
16.11.1978 12:00,11.0
20.12.1978 12:00,22.0
10.01.1979 12:00,34.0
22.02.1979 12:00,34.0
20.03.1979 12:00,27.0
25.04.1979 12:00,7.0
22.05.1979 12:00,7.0
27.06.1979 12:00,7.0
25.07.1979 12:00,7.0
21.08.1979 12:00,7.0
26.09.1979 12:00,7.0
25.10.1979 12:00,8.0
23.11.1979 12:00,20.0
28.12.1979 12:00,34.0
07.02.1980 12:00,34.0
14.03.1980 12:00,26.0
10.04.1980 12:00,23.0
08.05.1980 12:00,7.0
27.06.1980 12:00,7.0
29.07.1980 12:00,7.0
25.09.1980 12:00,7.0
28.10.1980 12:00,8.0
26.11.1980 12:00,16.0
19.12.1980 12:00,18.0
30.01.1981 12:00,12.0
23.02.1981 12:00,12.0
23.03.1981 12:00,11.0
29.04.1981 12:00,7.0
29.05.1981 12:00,7.0
30.06.1981 12:00,7.0
29.07.1981 12:00,7.0
27.08.1981 12:00,7.0
30.09.1981 12:00,7.0
29.10.1981 12:00,11.0
25.11.1981 12:00,10.0
22.12.1981 12:00,34.0
23.03.1982 12:00,18.0
27.04.1982 12:00,7.0
27.05.1982 12:00,7.0
24.06.1982 12:00,7.0
29.07.1982 12:00,7.0
24.08.1982 12:00,7.0
15.09.1982 12:00,7.0
20.10.1982 12:00,7.0
23.11.1982 12:00,12.0
17.03.1983 12:00,8.0
26.04.1983 12:00,7.0
24.05.1983 12:00,7.0
20.06.1983 12:00,7.0
27.07.1983 12:00,7.0
30.08.1983 12:00,7.0
27.09.1983 12:00,7.0
26.10.1983 12:00,8.0
30.11.1983 12:00,19.0
28.12.1983 12:00,26.0
28.03.1984 12:00,34.0
25.04.1984 12:00,8.0
16.05.1984 12:00,7.0
21.06.1984 12:00,7.0
25.07.1984 12:00,7.0
29.08.1984 12:00,7.0
26.09.1984 12:00,7.0
23.10.1984 12:00,7.0
29.11.1984 12:00,11.0
21.12.1984 12:00,18.0
22.01.1985 12:00,34.0
23.04.1985 12:00,7.0
28.05.1985 12:00,7.0
25.06.1985 12:00,7.0
23.07.1985 12:00,7.0
22.08.1985 12:00,7.0
18.09.1985 12:00,7.0
16.10.1985 12:00,7.0
25.11.1985 12:00,16.0
18.12.1985 12:00,21.0
15.04.1986 12:00,32.0
27.05.1986 12:00,7.0
26.06.1986 12:00,7.0
28.07.1986 12:00,7.0
26.08.1986 12:00,7.0
25.09.1986 12:00,7.0
21.10.1986 12:00,10.0
25.11.1986 12:00,11.0
15.04.1987 12:00,8.0
26.05.1987 12:00,7.0
30.06.1987 12:00,7.0
28.07.1987 12:00,7.0
27.08.1987 12:00,7.0
01.10.1987 12:00,7.0
27.10.1987 12:00,7.0
25.11.1987 12:00,11.0
26.04.1988 12:00,7.0
25.05.1988 12:00,7.0
29.06.1988 12:00,7.0
27.07.1988 12:00,7.0
30.08.1988 12:00,7.0
27.09.1988 12:00,7.0
01.11.1988 12:00,8.0
01.12.1988 12:00,23.0
23.02.1989 12:00,19.0
29.03.1989 12:00,7.0
25.04.1989 12:00,7.0
30.05.1989 12:00,7.0
27.06.1989 12:00,7.0
27.07.1989 12:00,7.0
30.08.1989 12:00,7.0
21.09.1989 12:00,7.0
31.10.1989 12:00,8.0
26.04.1990 12:00,7.0
30.05.1990 12:00,7.0
26.06.1990 12:00,7.0
25.07.1990 12:00,7.0
29.08.1990 12:00,7.0
25.09.1990 12:00,8.0
31.10.1990 12:00,11.0
