date,depth,salinity [g kg-1]
24.05.1977 12:00,0.3,0.304
24.05.1977 12:00,2.5,0.32
24.05.1977 12:00,5.0,0.329
24.05.1977 12:00,7.5,0.332
24.05.1977 12:00,10.0,0.331
24.05.1977 12:00,12.5,0.332
24.05.1977 12:00,15.0,0.332
24.05.1977 12:00,17.5,0.332
24.05.1977 12:00,20.0,0.332
24.05.1977 12:00,25.0,0.336
24.05.1977 12:00,30.0,0.338
24.05.1977 12:00,34.0,0.338
29.06.1977 12:00,0.3,0.235
29.06.1977 12:00,2.5,0.232
29.06.1977 12:00,5.0,0.306
29.06.1977 12:00,7.5,0.334
29.06.1977 12:00,10.0,0.335
29.06.1977 12:00,12.5,0.335
29.06.1977 12:00,15.0,0.335
29.06.1977 12:00,17.5,0.335
29.06.1977 12:00,20.0,0.335
29.06.1977 12:00,25.0,0.336
29.06.1977 12:00,30.0,0.344
29.06.1977 12:00,34.0,0.347
27.07.1977 12:00,0.3,0.222
27.07.1977 12:00,2.5,0.225
27.07.1977 12:00,5.0,0.287
27.07.1977 12:00,7.5,0.331
27.07.1977 12:00,10.0,0.335
27.07.1977 12:00,12.5,0.335
27.07.1977 12:00,15.0,0.335
27.07.1977 12:00,17.5,0.335
27.07.1977 12:00,20.0,0.335
27.07.1977 12:00,25.0,0.339
27.07.1977 12:00,30.0,0.347
27.07.1977 12:00,34.0,0.347
31.08.1977 12:00,0.3,0.249
31.08.1977 12:00,2.5,0.246
31.08.1977 12:00,5.0,0.254
31.08.1977 12:00,7.5,0.327
31.08.1977 12:00,10.0,0.339
31.08.1977 12:00,12.5,0.339
31.08.1977 12:00,15.0,0.339
31.08.1977 12:00,17.5,0.342
31.08.1977 12:00,20.0,0.343
31.08.1977 12:00,25.0,0.349
31.08.1977 12:00,30.0,0.352
31.08.1977 12:00,34.0,0.347
27.09.1977 12:00,0.3,0.272
27.09.1977 12:00,2.5,0.273
27.09.1977 12:00,5.0,0.271
27.09.1977 12:00,7.5,0.291
27.09.1977 12:00,10.0,0.339
27.09.1977 12:00,12.5,0.339
27.09.1977 12:00,15.0,0.336
27.09.1977 12:00,17.5,0.347
27.09.1977 12:00,20.0,0.347
27.09.1977 12:00,25.0,0.356
27.09.1977 12:00,30.0,0.358
27.09.1977 12:00,34.0,0.359
18.10.1977 12:00,0.3,0.28
18.10.1977 12:00,2.5,0.282
18.10.1977 12:00,5.0,0.282
18.10.1977 12:00,7.5,0.283
18.10.1977 12:00,10.0,0.335
18.10.1977 12:00,12.5,0.339
18.10.1977 12:00,15.0,0.339
18.10.1977 12:00,17.5,0.34
18.10.1977 12:00,20.0,0.34
18.10.1977 12:00,25.0,0.35
18.10.1977 12:00,30.0,0.358
18.10.1977 12:00,34.0,0.361
21.11.1977 12:00,0.3,0.31
21.11.1977 12:00,2.5,0.312
21.11.1977 12:00,5.0,0.312
21.11.1977 12:00,7.5,0.316
21.11.1977 12:00,10.0,0.346
21.11.1977 12:00,12.5,0.351
21.11.1977 12:00,15.0,0.361
21.11.1977 12:00,17.5,0.361
21.11.1977 12:00,20.0,0.361
21.11.1977 12:00,25.0,0.35
21.11.1977 12:00,30.0,0.358
21.11.1977 12:00,34.0,0.361
08.12.1977 12:00,0.3,0.32
08.12.1977 12:00,2.5,0.32
08.12.1977 12:00,5.0,0.32
08.12.1977 12:00,7.5,0.32
08.12.1977 12:00,10.0,0.32
08.12.1977 12:00,12.5,0.318
08.12.1977 12:00,15.0,0.318
08.12.1977 12:00,17.5,0.314
08.12.1977 12:00,20.0,0.32
08.12.1977 12:00,25.0,0.352
08.12.1977 12:00,30.0,0.358
08.12.1977 12:00,34.0,0.361
17.01.1978 12:00,0.3,0.337
17.01.1978 12:00,2.5,0.337
17.01.1978 12:00,5.0,0.339
17.01.1978 12:00,7.5,0.339
17.01.1978 12:00,10.0,0.334
