date (yyyy-mm-dd HH:MM:SS),mixing depth with salinity (0.005 kgm-3) [m]
17.01.2000 12:00,76.0
24.02.2000 12:00,104.0
20.03.2000 12:00,19.0
17.04.2000 12:00,19.0
15.05.2000 12:00,7.0
19.06.2000 12:00,7.0
20.07.2000 12:00,9.0
14.08.2000 12:00,7.0
11.09.2000 12:00,7.0
12.10.2000 12:00,11.0
09.11.2000 12:00,21.0
04.12.2000 12:00,25.0
15.01.2001 12:00,41.0
19.02.2001 12:00,37.0
23.04.2001 12:00,27.0
28.05.2001 12:00,7.0
25.06.2001 12:00,7.0
23.07.2001 12:00,7.0
20.08.2001 12:00,7.0
17.09.2001 12:00,9.0
15.10.2001 12:00,10.0
19.11.2001 12:00,29.0
17.12.2001 12:00,41.0
14.01.2002 12:00,88.0
11.02.2002 12:00,72.0
18.03.2002 12:00,7.0
15.04.2002 12:00,13.0
14.05.2002 12:00,7.0
21.06.2002 12:00,7.0
26.07.2002 12:00,7.0
23.08.2002 12:00,7.0
20.09.2002 12:00,7.0
14.10.2002 12:00,12.0
18.11.2002 12:00,21.0
16.12.2002 12:00,41.0
20.01.2003 12:00,67.0
17.02.2003 12:00,188.0
17.03.2003 12:00,19.0
14.04.2003 12:00,11.0
12.05.2003 12:00,7.0
10.06.2003 12:00,7.0
07.07.2003 12:00,7.0
11.08.2003 12:00,7.0
08.09.2003 12:00,7.0
13.10.2003 12:00,10.0
10.11.2003 12:00,26.0
08.12.2003 12:00,35.0
12.01.2004 12:00,38.0
16.02.2004 12:00,78.0
15.03.2004 12:00,48.0
13.04.2004 12:00,11.0
10.05.2004 12:00,9.0
07.06.2004 12:00,7.0
05.07.2004 12:00,7.0
09.08.2004 12:00,7.0
06.09.2004 12:00,7.0
11.10.2004 12:00,11.0
08.11.2004 12:00,16.0
06.12.2004 12:00,32.0
10.01.2005 12:00,59.0
14.02.2005 12:00,212.0
14.03.2005 12:00,18.0
11.04.2005 12:00,7.0
17.05.2005 12:00,7.0
13.06.2005 12:00,7.0
11.07.2005 12:00,7.0
08.08.2005 12:00,7.0
12.09.2005 12:00,7.0
10.10.2005 12:00,8.0
07.11.2005 12:00,13.0
05.12.2005 12:00,32.0
09.01.2006 12:00,207.0
20.02.2006 12:00,212.0
20.03.2006 12:00,10.0
10.04.2006 12:00,12.0
08.05.2006 12:00,7.0
13.06.2006 12:00,7.0
10.07.2006 12:00,7.0
14.08.2006 12:00,7.0
11.09.2006 12:00,7.0
09.10.2006 12:00,9.0
13.11.2006 12:00,13.0
11.12.2006 12:00,26.0
15.01.2007 12:00,42.0
12.02.2007 12:00,24.0
12.03.2007 12:00,22.0
10.04.2007 12:00,7.0
07.05.2007 12:00,8.0
11.06.2007 12:00,7.0
09.07.2007 12:00,7.0
06.08.2007 12:00,7.0
17.09.2007 12:00,7.0
08.10.2007 12:00,8.0
05.11.2007 12:00,22.0
10.12.2007 12:00,14.0
21.01.2008 12:00,57.0
18.02.2008 12:00,84.0
17.03.2008 12:00,24.0
14.04.2008 12:00,11.0
19.05.2008 12:00,7.0
09.06.2008 12:00,7.0
07.07.2008 12:00,7.0
04.08.2008 12:00,7.0
08.09.2008 12:00,8.0
13.10.2008 12:00,7.0
10.11.2008 12:00,18.0
08.12.2008 12:00,35.0
19.01.2009 12:00,63.0
16.02.2009 12:00,172.0
16.03.2009 12:00,11.0
06.04.2009 12:00,7.0
11.05.2009 12:00,7.0
15.06.2009 12:00,7.0
20.07.2009 12:00,7.0
17.08.2009 12:00,7.0
14.09.2009 12:00,7.0
12.10.2009 12:00,8.0
09.11.2009 12:00,26.0
07.12.2009 12:00,15.0
11.01.2010 12:00,47.0
22.02.2010 12:00,132.0
15.03.2010 12:00,169.0
12.04.2010 12:00,10.0
17.05.2010 12:00,14.0
14.06.2010 12:00,7.0
12.07.2010 12:00,7.0
16.08.2010 12:00,7.0
13.09.2010 12:00,7.0
18.10.2010 12:00,17.0
15.11.2010 12:00,14.0
14.12.2010 12:00,37.0
10.01.2011 12:00,55.0
14.02.2011 12:00,26.0
14.03.2011 12:00,16.0
18.04.2011 12:00,7.0
16.05.2011 12:00,7.0
14.06.2011 12:00,7.0
11.07.2011 12:00,7.0
15.08.2011 12:00,7.0
12.09.2011 12:00,7.0
13.10.2011 12:00,8.0
14.11.2011 12:00,21.0
12.12.2011 12:00,23.0
16.01.2012 12:00,62.0
20.02.2012 12:00,176.0
12.03.2012 12:00,24.0
10.04.2012 12:00,8.0
07.05.2012 12:00,7.0
11.06.2012 12:00,7.0
09.07.2012 12:00,7.0
13.08.2012 12:00,7.0
10.09.2012 12:00,7.0
15.10.2012 12:00,11.0
12.11.2012 12:00,20.0
10.12.2012 12:00,32.0
21.01.2013 12:00,65.0
18.02.2013 12:00,70.0
18.03.2013 12:00,80.0
15.04.2013 12:00,8.0
13.05.2013 12:00,7.0
10.06.2013 12:00,7.0
15.07.2013 12:00,7.0
19.08.2013 12:00,7.0
16.09.2013 12:00,7.0
14.10.2013 12:00,16.0
18.11.2013 12:00,22.0
09.12.2013 12:00,34.0
20.01.2014 12:00,45.0
17.02.2014 12:00,54.0
10.03.2014 12:00,8.0
13.04.2014 12:00,14.0
14.04.2014 12:00,8.0
16.06.2014 12:00,7.0
14.07.2014 12:00,7.0
25.08.2014 12:00,7.0
15.09.2014 12:00,7.0
13.10.2014 12:00,9.0
10.11.2014 12:00,13.0
08.12.2014 12:00,28.0
12.01.2015 12:00,39.0
09.02.2015 12:00,82.0
09.03.2015 12:00,50.0
07.04.2015 12:00,20.0
18.05.2015 12:00,7.0
15.06.2015 12:00,7.0
13.07.2015 12:00,7.0
10.08.2015 12:00,7.0
07.09.2015 12:00,7.0
12.10.2015 12:00,14.0
16.11.2015 12:00,22.0
14.12.2015 12:00,31.0
11.01.2016 12:00,44.0
15.02.2016 12:00,40.0
14.03.2016 12:00,18.0
11.04.2016 12:00,10.0
09.05.2016 12:00,7.0
06.06.2016 12:00,7.0
04.07.2016 12:00,7.0
08.08.2016 12:00,7.0
05.09.2016 12:00,7.0
10.10.2016 12:00,16.0
07.11.2016 12:00,22.0
12.12.2016 12:00,33.0
16.01.2017 12:00,50.0
13.02.2017 12:00,53.0
13.03.2017 12:00,11.0
10.04.2017 12:00,7.0
15.05.2017 12:00,7.0
12.06.2017 12:00,7.0
10.07.2017 12:00,7.0
14.08.2017 12:00,7.0
11.09.2017 12:00,8.0
09.10.2017 12:00,12.0
07.11.2017 12:00,20.0
11.12.2017 12:00,38.0
15.01.2018 12:00,51.0
05.02.2018 12:00,50.0
12.03.2018 12:00,17.0
09.04.2018 12:00,24.0
14.05.2018 12:00,8.0
11.06.2018 12:00,7.0
09.07.2018 12:00,7.0
13.08.2018 12:00,7.0
10.09.2018 12:00,7.0
08.10.2018 12:00,7.0
05.11.2018 12:00,19.0
10.12.2018 12:00,26.0
14.01.2019 12:00,41.0
11.02.2019 12:00,54.0
11.03.2019 12:00,24.0
