date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
27.10.1959 11:00,10.4
26.01.1960 10:15,10.7
26.04.1960 09:45,11.7
16.08.1960 09:50,10.5
25.10.1960 12:00,10.3
31.01.1961 09:40,10.9
09.10.1962 10:35,11.4
10.11.1993 14:00,10.2
02.03.1994 12:00,11.3
24.10.1994 12:00,10.4
22.02.1995 12:00,11.2
02.10.1995 12:00,10.3
23.01.1996 12:00,11.4
27.02.1996 12:00,11.0
29.04.1996 12:00,9.2
20.05.1996 12:00,10.8
17.06.1996 12:00,10.0
15.07.1996 12:00,10.5
12.08.1996 12:00,10.1
11.09.1996 12:00,10.1
07.10.1996 12:00,10.7
12.11.1996 12:00,10.8
10.12.1996 12:00,11.0
20.01.1997 12:00,11.1
24.02.1997 12:00,11.2
17.03.1997 12:00,12.1
14.04.1997 12:00,12.1
12.05.1997 12:00,11.3
09.06.1997 12:00,10.2
07.07.1997 12:00,10.4
05.08.1997 12:00,9.6
08.09.1997 12:00,10.0
06.10.1997 12:00,10.2
10.11.1997 12:00,10.3
08.12.1997 12:00,10.8
19.01.1998 12:00,11.2
23.02.1998 12:00,11.6
23.03.1998 12:00,11.9
20.04.1998 12:00,11.4
18.05.1998 12:00,10.4
15.06.1998 12:00,10.1
13.07.1998 12:00,9.6
10.08.1998 12:00,9.0
17.09.1998 12:00,9.8
12.10.1998 12:00,10.6
09.11.1998 12:00,10.6
07.12.1998 12:00,11.2
18.01.1999 12:00,11.2
25.02.1999 12:00,10.7
22.03.1999 12:00,11.3
19.04.1999 12:00,11.8
25.05.1999 12:00,11.0
14.06.1999 12:00,10.8
19.07.1999 12:00,9.6
16.08.1999 12:00,9.8
16.09.1999 12:00,9.8
11.10.1999 12:00,10.4
08.11.1999 12:00,10.4
13.12.1999 12:00,11.0
17.01.2000 12:00,11.1
24.02.2000 12:00,11.2
20.03.2000 12:00,12.2
17.04.2000 12:00,12.0
15.05.2000 12:00,11.3
19.06.2000 12:00,9.8
20.07.2000 12:00,10.5
14.08.2000 12:00,9.8
11.09.2000 12:00,9.9
12.10.2000 12:00,10.3
09.11.2000 12:00,10.5
04.12.2000 12:00,10.8
15.01.2001 12:00,11.1
19.02.2001 12:00,11.7
22.03.2001 12:00,11.9
23.04.2001 12:00,11.8
28.05.2001 12:00,10.4
25.06.2001 12:00,10.2
23.07.2001 12:00,9.8
20.08.2001 12:00,9.6
17.09.2001 12:00,10.1
15.10.2001 12:00,10.2
19.11.2001 12:00,10.4
17.12.2001 12:00,10.8
14.01.2002 12:00,10.8
11.02.2002 12:00,11.2
18.03.2002 12:00,11.8
15.04.2002 12:00,12.0
14.05.2002 12:00,11.2
21.06.2002 12:00,10.0
26.07.2002 12:00,10.1
23.08.2002 12:00,9.9
20.09.2002 12:00,10.1
14.10.2002 12:00,10.3
18.11.2002 12:00,10.5
16.12.2002 12:00,10.6
20.01.2003 12:00,10.8
17.02.2003 12:00,10.6
17.03.2003 12:00,11.4
14.04.2003 12:00,11.4
12.05.2003 12:00,11.4
10.06.2003 12:00,9.8
07.07.2003 12:00,9.9
11.08.2003 12:00,8.8
08.09.2003 12:00,9.6
13.10.2003 12:00,9.8
10.11.2003 12:00,10.2
08.12.2003 12:00,10.6
12.01.2004 12:00,10.2
16.02.2004 12:00,10.1
15.03.2004 12:00,10.9
13.04.2004 12:00,11.2
10.05.2004 12:00,11.2
07.06.2004 12:00,10.4
05.07.2004 12:00,9.7
09.08.2004 12:00,9.6
06.09.2004 12:00,9.6
11.10.2004 12:00,10.0
08.11.2004 12:00,10.1
10.01.2005 12:00,10.4
14.02.2005 12:00,10.0
14.03.2005 12:00,10.6
11.04.2005 12:00,11.2
17.05.2005 12:00,10.0
13.06.2005 12:00,9.5
11.07.2005 12:00,9.3
08.08.2005 12:00,9.7
12.09.2005 12:00,9.8
10.10.2005 12:00,10.6
07.11.2005 12:00,10.5
05.12.2005 12:00,10.6
09.01.2006 12:00,10.3
20.02.2006 12:00,10.8
20.03.2006 12:00,11.4
10.04.2006 12:00,11.6
08.05.2006 12:00,11.1
