date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
19.07.1950 12:00,0.3
17.08.1950 12:00,0.1
19.10.1950 12:00,0.6
08.11.1950 12:00,0.1
07.12.1950 12:00,0.1
30.01.1951 12:00,0.3
27.02.1951 12:00,0.7
05.04.1951 12:00,0.5
30.04.1951 12:00,0.4
30.05.1951 12:00,0.4
29.06.1951 12:00,0.3
25.07.1951 12:00,1.1
10.09.1951 12:00,0.3
09.10.1951 12:00,0.4
12.11.1951 12:00,0.5
20.12.1951 12:00,1.1
05.03.1952 12:00,0.4
30.04.1952 12:00,1.1
20.05.1952 12:00,1.1
25.06.1952 12:00,0.6
22.07.1952 12:00,0.4
26.08.1952 12:00,0.8
23.10.1952 12:00,0.9
24.11.1952 12:00,1.2
30.12.1952 12:00,0.8
28.01.1953 12:00,0.3
24.02.1953 12:00,1.0
31.03.1953 12:00,1.6
23.04.1953 12:00,1.1
28.05.1953 12:00,1.6
30.06.1953 12:00,1.6
29.07.1953 12:00,1.8
26.08.1953 12:00,1.6
24.09.1953 12:00,2.1
21.10.1953 12:00,2.2
24.11.1953 12:00,3.0
22.12.1953 12:00,0.8
08.04.1954 12:00,1.4
25.06.1954 12:00,1.4
19.10.1954 12:00,1.2
23.11.1954 12:00,1.1
31.03.1955 12:00,1.9
28.06.1955 12:00,0.5
04.10.1955 12:00,1.1
04.04.1956 12:00,2.9
13.09.1956 12:00,1.4
16.10.1956 12:00,0.7
15.03.1957 12:00,1.0
30.07.1957 12:00,1.2
02.10.1957 12:00,1.0
31.10.1957 12:00,1.4
06.08.1958 12:00,1.3
06.11.1958 12:00,0.8
24.02.1959 12:00,2.7
03.06.1959 12:00,5.2
22.04.1960 12:00,1.5
31.05.1960 12:00,1.0
20.09.1960 12:00,0.5
20.04.1961 12:00,1.8
25.05.1961 12:00,0.8
27.09.1961 12:00,0.7
02.11.1961 12:00,0.8
07.05.1968 12:00,1.1
23.07.1968 12:00,0.7
23.09.1968 12:00,0.7
27.11.1968 12:00,1.3
15.01.1969 12:00,1.6
11.03.1969 12:00,0.1
27.05.1969 12:00,0.1
01.07.1969 12:00,0.1
24.09.1969 12:00,1.1
25.11.1969 12:00,0.6
18.02.1970 12:00,0.7
20.05.1970 12:00,0.6
08.09.1970 12:00,0.3
23.11.1970 12:00,0.9
23.02.1971 12:00,0.5
12.05.1971 12:00,0.6
18.08.1971 12:00,0.3
15.11.1971 12:00,0.2
15.03.1972 12:00,0.9
28.06.1972 12:00,1.2
26.09.1972 12:00,0.5
20.12.1972 12:00,0.0
20.03.1973 12:00,0.2
13.06.1973 12:00,0.6
17.10.1973 12:00,0.3
18.12.1973 12:00,0.2
28.02.1974 12:00,0.2
09.04.1974 12:00,0.3
08.07.1974 12:00,0.5
02.09.1974 12:00,0.3
27.11.1974 12:00,0.2
08.01.1975 12:00,0.2
24.02.1975 12:00,0.5
14.03.1975 12:00,0.1
22.04.1975 12:00,0.5
16.05.1975 12:00,0.4
10.06.1975 12:00,0.4
16.07.1975 12:00,0.2
27.11.1975 12:00,0.2
17.02.1976 12:00,0.3
26.02.1976 12:00,0.1
10.03.1976 12:00,0.2
20.04.1976 12:00,0.1
24.05.1976 12:00,0.4
30.06.1976 12:00,0.2
22.07.1976 12:00,0.3
24.08.1976 12:00,0.1
20.09.1976 12:00,0.1
28.10.1976 12:00,0.1
23.11.1976 12:00,0.2
27.12.1976 12:00,0.1
24.01.1977 12:00,0.3
24.02.1977 12:00,0.1
31.03.1977 12:00,0.5
28.04.1977 12:00,0.2
23.05.1977 12:00,0.5
28.06.1977 12:00,0.1
29.07.1977 12:00,0.2
30.08.1977 12:00,0.1
27.09.1977 12:00,0.3
27.10.1977 12:00,0.1
27.01.1978 12:00,0.2
27.02.1978 12:00,1.1
29.03.1978 12:00,0.6
26.04.1978 12:00,2.0
23.05.1978 12:00,0.8
27.06.1978 12:00,1.4
26.07.1978 12:00,0.6
25.08.1978 12:00,1.5
25.09.1978 12:00,0.4
27.10.1978 12:00,1.5
22.11.1978 12:00,0.4
28.12.1978 12:00,1.0
26.01.1979 12:00,0.2
23.02.1979 12:00,0.8
29.03.1979 12:00,0.5
27.04.1979 12:00,0.1
25.05.1979 12:00,0.3
26.06.1979 12:00,0.3
30.07.1979 12:00,0.1
31.08.1979 12:00,0.1
02.10.1979 12:00,0.1
30.10.1979 12:00,0.1
26.11.1979 12:00,0.1
14.12.1979 12:00,0.1
24.01.1980 12:00,0.1
25.02.1980 12:00,0.1
02.04.1980 12:00,0.1
29.04.1980 12:00,0.1
28.05.1980 12:00,0.1
03.07.1980 12:00,0.1
29.07.1980 12:00,0.1
28.08.1980 12:00,0.1
25.09.1980 12:00,0.1
29.10.1980 12:00,0.1
28.11.1980 12:00,0.1
23.12.1980 12:00,0.1
20.01.1981 12:00,0.1
25.02.1981 12:00,0.1
23.03.1981 12:00,0.1
30.04.1981 12:00,0.1
21.05.1981 12:00,0.1
01.06.1981 12:00,0.4
25.06.1981 12:00,0.1
28.07.1981 12:00,0.1
27.08.1981 12:00,0.1
30.09.1981 12:00,0.1
29.10.1981 12:00,0.1
27.11.1981 12:00,0.1
18.12.1981 12:00,0.1
05.03.1982 12:00,0.1
23.03.1982 12:00,0.1
21.04.1982 12:00,0.1
19.05.1982 12:00,0.1
24.06.1982 12:00,0.1
28.07.1982 12:00,0.1
31.08.1982 12:00,0.1
23.09.1982 12:00,0.1
28.10.1982 12:00,0.1
17.11.1982 12:00,0.6
23.12.1982 12:00,0.2
26.01.1983 12:00,0.2
24.02.1983 12:00,0.4
15.03.1983 12:00,0.1
25.04.1983 12:00,0.4
25.05.1983 12:00,0.4
23.06.1983 12:00,0.4
27.07.1983 12:00,0.3
31.08.1983 12:00,0.1
23.09.1983 12:00,0.2
25.10.1983 12:00,0.1
24.11.1983 12:00,0.1
20.12.1983 12:00,0.1
23.02.1984 12:00,0.1
20.03.1984 12:00,0.2
01.05.1984 12:00,0.1
23.05.1984 12:00,0.1
26.06.1984 12:00,0.1
26.07.1984 12:00,0.1
28.08.1984 12:00,0.1
27.09.1984 12:00,0.1
23.10.1984 12:00,0.1
27.11.1984 12:00,0.1
27.12.1984 12:00,0.1
23.01.1985 12:00,0.1
25.02.1985 12:00,0.1
29.03.1985 12:00,0.1
22.04.1985 12:00,0.1
28.05.1985 12:00,0.1
27.06.1985 12:00,0.1
31.07.1985 12:00,0.1
28.08.1985 12:00,0.1
27.09.1985 12:00,0.1
24.10.1985 12:00,0.1
25.11.1985 12:00,0.1
20.12.1985 12:00,0.1
28.01.1986 12:00,0.1
06.03.1986 12:00,0.1
27.03.1986 12:00,0.1
30.04.1986 12:00,0.1
07.06.1986 12:00,0.1
26.06.1986 12:00,0.1
29.07.1986 12:00,0.1
26.08.1986 12:00,0.1
30.09.1986 12:00,0.1
30.04.1987 12:00,0.6
25.05.1987 12:00,0.2
30.06.1987 12:00,0.2
31.07.1987 12:00,1.4
27.08.1987 12:00,1.2
25.09.1987 12:00,0.5
29.10.1987 12:00,0.4
26.11.1987 12:00,0.1
17.12.1987 12:00,0.3
25.01.1988 12:00,0.1
23.02.1988 12:00,0.1
30.03.1988 12:00,0.1
25.04.1988 12:00,0.1
31.05.1988 12:00,0.1
29.06.1988 12:00,0.1
27.07.1988 12:00,0.1
23.08.1988 12:00,0.1
28.09.1988 12:00,0.1
28.10.1988 12:00,0.1
24.11.1988 12:00,0.1
21.12.1988 12:00,0.1
25.01.1989 12:00,0.1
02.03.1989 12:00,0.1
29.03.1989 12:00,0.1
27.04.1989 12:00,0.1
30.05.1989 12:00,0.1
29.06.1989 12:00,0.1
26.07.1989 12:00,0.1
12.09.1989 12:00,0.1
04.10.1989 12:00,0.1
02.11.1989 12:00,0.1
28.11.1989 12:00,0.1
27.12.1989 12:00,0.1
22.01.1990 12:00,0.1
26.02.1990 12:00,0.1
07.03.1990 12:00,0.1
11.04.1990 12:00,0.1
18.06.1990 12:00,0.1
17.07.1990 12:00,0.1
27.08.1990 12:00,0.1
28.09.1990 12:00,0.1
05.11.1990 12:00,0.1
22.11.1990 12:00,0.1
19.12.1990 12:00,0.1
16.01.1991 12:00,0.1
26.02.1991 12:00,0.1
26.03.1991 12:00,0.0
30.04.1991 12:00,0.2
28.05.1991 12:00,0.0
01.07.1991 12:00,0.0
25.07.1991 12:00,0.0
16.08.1991 12:00,0.0
17.09.1991 12:00,0.0
28.10.1991 12:00,0.0
27.11.1991 12:00,0.0
19.12.1991 12:00,0.0
15.01.1992 12:00,0.0
25.02.1992 12:00,0.2
19.03.1992 12:00,0.0
13.04.1992 12:00,0.1
25.05.1992 12:00,0.1
09.07.1992 12:00,0.1
29.07.1992 12:00,0.7
27.08.1992 12:00,0.4
28.09.1992 12:00,0.1
25.11.1992 12:00,0.1
22.12.1992 12:00,0.1
29.01.1993 12:00,0.1
23.02.1993 12:00,0.1
25.05.1993 12:00,0.1
18.06.1993 12:00,0.1
13.07.1993 12:00,0.1
26.08.1993 12:00,0.1
07.10.1993 12:00,0.1
27.10.1993 12:00,0.1
29.11.1993 12:00,0.1
27.12.1993 12:00,0.1
24.01.1994 12:00,0.1
21.02.1994 12:00,0.1
30.03.1994 12:00,0.0
03.05.1994 12:00,0.0
31.05.1994 12:00,0.2
26.07.1994 12:00,0.2
30.08.1994 12:00,0.0
28.09.1994 12:00,0.1
25.11.1994 12:00,0.1
02.02.1995 12:00,0.0
24.03.1995 12:00,0.0
11.04.1995 12:00,0.3
13.06.1995 12:00,0.2
18.07.1995 12:00,0.2
10.08.1995 12:00,0.1
19.09.1995 12:00,0.0
23.10.1995 12:00,0.1
30.11.1995 12:00,0.1
16.01.1996 12:00,0.1
28.02.1996 12:00,0.1
11.03.1996 12:00,0.1
16.04.1996 12:00,0.2
14.05.1996 12:00,0.1
20.06.1996 12:00,0.1
31.07.1996 12:00,0.1
04.09.1996 12:00,0.1
26.09.1996 12:00,0.1
28.10.1996 12:00,0.2
28.11.1996 12:00,0.1
22.01.1997 12:00,0.1
06.03.1997 12:00,0.1
26.03.1997 12:00,0.1
18.04.1997 12:00,0.2
21.05.1997 12:00,0.1
30.06.1997 12:00,0.1
28.07.1997 12:00,0.1
02.09.1997 12:00,0.0
23.09.1997 12:00,0.1
03.11.1997 12:00,0.1
19.11.1997 12:00,0.1
11.12.1997 12:00,0.1
15.01.1998 12:00,0.1
10.02.1998 12:00,0.1
31.03.1998 12:00,0.1
12.05.1998 12:00,0.2
29.06.1998 12:00,0.1
29.07.1998 12:00,0.2
29.09.1998 12:00,0.1
06.11.1998 12:00,0.1
10.12.1998 12:00,0.1
25.01.1999 12:00,0.2
16.03.1999 12:00,0.2
21.04.1999 12:00,0.2
26.07.1999 12:00,0.1
31.08.1999 12:00,0.1
01.12.1999 12:00,0.3
20.01.2000 12:00,0.8
