date,depth,density [kg m-3]
22.04.1960 12:00,0.0,999.825
22.04.1960 12:00,2.5,999.852
22.04.1960 12:00,5.0,999.904
22.04.1960 12:00,7.5,999.944
22.04.1960 12:00,10.0,1000.086
22.04.1960 12:00,12.5,1000.11
22.04.1960 12:00,15.0,1000.102
22.04.1960 12:00,20.0,1000.091
22.04.1960 12:00,30.0,1000.131
22.04.1960 12:00,40.0,1000.131
22.04.1960 12:00,50.0,1000.135
22.04.1960 12:00,60.0,1000.136
22.04.1960 12:00,80.0,1000.141
22.04.1960 12:00,100.0,1000.143
22.04.1960 12:00,120.0,1000.141
22.04.1960 12:00,140.0,1000.143
22.04.1960 12:00,160.0,1000.144
22.04.1960 12:00,180.0,1000.144
31.05.1960 12:00,0.0,998.988
31.05.1960 12:00,2.5,998.948
31.05.1960 12:00,5.0,999.0
31.05.1960 12:00,7.5,999.151
31.05.1960 12:00,10.0,999.513
31.05.1960 12:00,12.5,999.802
31.05.1960 12:00,15.0,999.849
31.05.1960 12:00,20.0,999.994
31.05.1960 12:00,30.0,1000.075
31.05.1960 12:00,40.0,1000.075
31.05.1960 12:00,50.0,1000.116
31.05.1960 12:00,60.0,1000.14
31.05.1960 12:00,80.0,1000.144
31.05.1960 12:00,100.0,1000.143
31.05.1960 12:00,120.0,1000.144
31.05.1960 12:00,140.0,1000.144
31.05.1960 12:00,160.0,1000.148
31.05.1960 12:00,180.0,1000.149
31.05.1960 12:00,190.0,1000.149
31.05.1960 12:00,200.0,1000.149
20.09.1960 12:00,0.0,999.112
20.09.1960 12:00,2.5,999.063
20.09.1960 12:00,5.0,998.997
20.09.1960 12:00,7.5,998.932
20.09.1960 12:00,10.0,999.375
20.09.1960 12:00,12.5,999.535
20.09.1960 12:00,15.0,999.973
20.09.1960 12:00,20.0,999.937
20.09.1960 12:00,30.0,1000.044
20.09.1960 12:00,40.0,1000.116
20.09.1960 12:00,50.0,1000.125
20.09.1960 12:00,60.0,1000.131
20.09.1960 12:00,80.0,1000.138
20.09.1960 12:00,100.0,1000.14
20.09.1960 12:00,120.0,1000.141
20.09.1960 12:00,140.0,1000.143
20.09.1960 12:00,160.0,1000.141
20.09.1960 12:00,180.0,1000.143
20.09.1960 12:00,190.0,1000.146
20.09.1960 12:00,200.0,1000.147
20.04.1961 12:00,0.0,999.674
20.04.1961 12:00,2.5,999.682
20.04.1961 12:00,5.0,999.79
20.04.1961 12:00,7.5,999.955
20.04.1961 12:00,10.0,999.978
20.04.1961 12:00,12.5,1000.029
20.04.1961 12:00,15.0,1000.085
20.04.1961 12:00,20.0,1000.12
20.04.1961 12:00,30.0,1000.13
20.04.1961 12:00,40.0,1000.137
20.04.1961 12:00,50.0,1000.136
20.04.1961 12:00,60.0,1000.135
20.04.1961 12:00,80.0,1000.147
20.04.1961 12:00,100.0,1000.147
20.04.1961 12:00,120.0,1000.151
20.04.1961 12:00,140.0,1000.151
20.04.1961 12:00,160.0,1000.151
20.04.1961 12:00,180.0,1000.153
20.04.1961 12:00,190.0,1000.151
20.04.1961 12:00,200.0,1000.151
25.05.1961 12:00,0.0,999.569
25.05.1961 12:00,2.5,999.57
25.05.1961 12:00,5.0,999.58
25.05.1961 12:00,7.5,999.642
25.05.1961 12:00,10.0,999.692
25.05.1961 12:00,12.5,999.784
25.05.1961 12:00,15.0,999.899
25.05.1961 12:00,20.0,1000.064
25.05.1961 12:00,30.0,1000.069
25.05.1961 12:00,40.0,1000.137
25.05.1961 12:00,50.0,1000.142
25.05.1961 12:00,60.0,1000.147
25.05.1961 12:00,80.0,1000.139
25.05.1961 12:00,100.0,1000.146
25.05.1961 12:00,120.0,1000.144
25.05.1961 12:00,140.0,1000.149
25.05.1961 12:00,160.0,1000.157
25.05.1961 12:00,180.0,1000.157
25.05.1961 12:00,190.0,1000.157
25.05.1961 12:00,200.0,1000.157
27.09.1961 12:00,0.0,998.456
27.09.1961 12:00,2.5,998.313
27.09.1961 12:00,5.0,998.309
27.09.1961 12:00,7.5,998.514
27.09.1961 12:00,10.0,998.904
27.09.1961 12:00,12.5,999.567
27.09.1961 12:00,15.0,999.699
27.09.1961 12:00,20.0,999.953
27.09.1961 12:00,30.0,1000.059
27.09.1961 12:00,40.0,1000.146
27.09.1961 12:00,50.0,1000.146
27.09.1961 12:00,60.0,1000.146
27.09.1961 12:00,80.0,1000.149
27.09.1961 12:00,100.0,1000.156
27.09.1961 12:00,120.0,1000.156
27.09.1961 12:00,140.0,1000.157
27.09.1961 12:00,160.0,1000.157
27.09.1961 12:00,180.0,1000.16
27.09.1961 12:00,190.0,1000.162
27.09.1961 12:00,200.0,1000.163
02.11.1961 12:00,0.0,999.599
02.11.1961 12:00,2.5,999.687
02.11.1961 12:00,5.0,999.607
02.11.1961 12:00,7.5,999.619
02.11.1961 12:00,10.0,999.574
02.11.1961 12:00,12.5,999.534
02.11.1961 12:00,15.0,999.694
02.11.1961 12:00,20.0,999.964
02.11.1961 12:00,30.0,999.962
02.11.1961 12:00,40.0,1000.13
02.11.1961 12:00,50.0,1000.135
02.11.1961 12:00,60.0,1000.139
02.11.1961 12:00,80.0,1000.14
02.11.1961 12:00,100.0,1000.143
02.11.1961 12:00,120.0,1000.144
02.11.1961 12:00,140.0,1000.146
02.11.1961 12:00,160.0,1000.146
02.11.1961 12:00,180.0,1000.146
02.11.1961 12:00,190.0,1000.149
02.11.1961 12:00,200.0,1000.15
07.05.1968 12:00,2.5,999.908
07.05.1968 12:00,5.0,999.938
07.05.1968 12:00,7.5,999.96
07.05.1968 12:00,10.0,999.994
07.05.1968 12:00,12.5,1000.055
07.05.1968 12:00,15.0,1000.064
07.05.1968 12:00,20.0,1000.105
07.05.1968 12:00,30.0,1000.113
07.05.1968 12:00,40.0,1000.117
07.05.1968 12:00,50.0,1000.116
07.05.1968 12:00,60.0,1000.116
07.05.1968 12:00,80.0,1000.116
07.05.1968 12:00,100.0,1000.116
07.05.1968 12:00,120.0,1000.123
07.05.1968 12:00,140.0,1000.125
07.05.1968 12:00,160.0,1000.125
07.05.1968 12:00,180.0,1000.125
07.05.1968 12:00,190.0,1000.126
07.05.1968 12:00,200.0,1000.128
23.07.1968 12:00,0.0,998.349
23.07.1968 12:00,2.5,998.37
23.07.1968 12:00,5.0,998.451
23.07.1968 12:00,7.5,998.894
23.07.1968 12:00,10.0,999.631
23.07.1968 12:00,12.5,999.799
23.07.1968 12:00,15.0,999.95
23.07.1968 12:00,20.0,1000.09
23.07.1968 12:00,30.0,1000.129
23.07.1968 12:00,40.0,1000.143
23.07.1968 12:00,50.0,1000.143
23.07.1968 12:00,60.0,1000.144
23.07.1968 12:00,80.0,1000.148
23.07.1968 12:00,100.0,1000.148
23.07.1968 12:00,120.0,1000.149
23.07.1968 12:00,140.0,1000.152
23.07.1968 12:00,160.0,1000.152
23.07.1968 12:00,180.0,1000.153
23.07.1968 12:00,190.0,1000.153
23.07.1968 12:00,200.0,1000.153
23.09.1968 12:00,0.0,998.756
23.09.1968 12:00,2.5,998.886
23.09.1968 12:00,5.0,998.924
23.09.1968 12:00,7.5,998.943
23.09.1968 12:00,10.0,999.194
23.09.1968 12:00,12.5,999.661
23.09.1968 12:00,15.0,999.977
23.09.1968 12:00,20.0,1000.081
23.09.1968 12:00,30.0,1000.116
23.09.1968 12:00,40.0,1000.123
23.09.1968 12:00,50.0,1000.126
23.09.1968 12:00,60.0,1000.129
23.09.1968 12:00,80.0,1000.13
23.09.1968 12:00,100.0,1000.132
23.09.1968 12:00,120.0,1000.135
23.09.1968 12:00,140.0,1000.141
23.09.1968 12:00,160.0,1000.136
23.09.1968 12:00,180.0,1000.139
23.09.1968 12:00,190.0,1000.14
23.09.1968 12:00,200.0,1000.141
27.11.1968 12:00,0.0,999.98
27.11.1968 12:00,2.5,999.97
27.11.1968 12:00,5.0,999.991
27.11.1968 12:00,7.5,999.973
27.11.1968 12:00,10.0,999.973
27.11.1968 12:00,12.5,999.973
27.11.1968 12:00,15.0,999.973
27.11.1968 12:00,20.0,1000.02
27.11.1968 12:00,30.0,1000.126
27.11.1968 12:00,40.0,1000.135
27.11.1968 12:00,50.0,1000.139
27.11.1968 12:00,60.0,1000.142
27.11.1968 12:00,80.0,1000.136
27.11.1968 12:00,100.0,1000.137
27.11.1968 12:00,120.0,1000.137
27.11.1968 12:00,140.0,1000.139
27.11.1968 12:00,160.0,1000.137
27.11.1968 12:00,180.0,1000.14
27.11.1968 12:00,190.0,1000.136
27.11.1968 12:00,200.0,1000.134
15.01.1969 12:00,0.0,1000.135
15.01.1969 12:00,2.5,1000.133
15.01.1969 12:00,5.0,1000.132
15.01.1969 12:00,7.5,1000.134
15.01.1969 12:00,10.0,1000.136
15.01.1969 12:00,12.5,1000.136
15.01.1969 12:00,15.0,1000.135
15.01.1969 12:00,20.0,1000.131
15.01.1969 12:00,30.0,1000.131
15.01.1969 12:00,40.0,1000.131
15.01.1969 12:00,50.0,1000.131
15.01.1969 12:00,60.0,1000.132
15.01.1969 12:00,80.0,1000.132
15.01.1969 12:00,100.0,1000.136
15.01.1969 12:00,120.0,1000.137
15.01.1969 12:00,140.0,1000.137
15.01.1969 12:00,200.0,1000.141
11.03.1969 12:00,0.0,1000.138
11.03.1969 12:00,2.5,1000.144
11.03.1969 12:00,5.0,1000.144
11.03.1969 12:00,7.5,1000.145
11.03.1969 12:00,10.0,1000.145
11.03.1969 12:00,12.5,1000.144
11.03.1969 12:00,15.0,1000.144
11.03.1969 12:00,20.0,1000.144
11.03.1969 12:00,30.0,1000.144
11.03.1969 12:00,40.0,1000.144
11.03.1969 12:00,50.0,1000.144
11.03.1969 12:00,60.0,1000.146
11.03.1969 12:00,80.0,1000.148
11.03.1969 12:00,100.0,1000.147
11.03.1969 12:00,120.0,1000.147
11.03.1969 12:00,140.0,1000.148
11.03.1969 12:00,160.0,1000.148
11.03.1969 12:00,180.0,1000.145
11.03.1969 12:00,190.0,1000.14
11.03.1969 12:00,200.0,1000.136
27.05.1969 12:00,0.0,999.618
