date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
19.07.1950 12:00,4.6
17.08.1950 12:00,4.0
19.10.1950 12:00,4.3
08.11.1950 12:00,3.2
07.12.1950 12:00,4.7
30.01.1951 12:00,3.2
27.02.1951 12:00,5.6
05.04.1951 12:00,6.6
30.04.1951 12:00,5.6
30.05.1951 12:00,5.4
29.06.1951 12:00,5.5
25.07.1951 12:00,5.2
10.09.1951 12:00,5.1
09.10.1951 12:00,5.4
12.11.1951 12:00,5.6
20.12.1951 12:00,7.1
05.03.1952 12:00,5.5
30.04.1952 12:00,7.1
20.05.1952 12:00,6.0
25.06.1952 12:00,5.9
22.07.1952 12:00,6.0
26.08.1952 12:00,3.6
23.10.1952 12:00,5.9
24.11.1952 12:00,4.5
30.12.1952 12:00,7.6
28.01.1953 12:00,5.6
24.02.1953 12:00,7.9
31.03.1953 12:00,7.1
23.04.1953 12:00,6.4
28.05.1953 12:00,7.0
30.06.1953 12:00,6.4
29.07.1953 12:00,6.4
26.08.1953 12:00,6.5
24.09.1953 12:00,6.8
21.10.1953 12:00,7.0
24.11.1953 12:00,5.1
22.12.1953 12:00,5.1
08.04.1954 12:00,7.7
25.06.1954 12:00,5.8
19.10.1954 12:00,6.4
23.11.1954 12:00,6.5
31.03.1955 12:00,8.0
28.06.1955 12:00,6.9
04.10.1955 12:00,5.8
04.04.1956 12:00,6.5
13.09.1956 12:00,5.6
16.10.1956 12:00,5.3
15.03.1957 12:00,7.8
30.07.1957 12:00,6.3
02.10.1957 12:00,4.4
31.10.1957 12:00,5.1
06.08.1958 12:00,6.2
06.11.1958 12:00,5.9
24.02.1959 12:00,7.3
03.06.1959 12:00,7.0
22.04.1960 12:00,6.0
31.05.1960 12:00,5.9
20.09.1960 12:00,5.0
20.04.1961 12:00,5.9
25.05.1961 12:00,5.4
27.09.1961 12:00,5.0
02.11.1961 12:00,4.6
07.05.1968 12:00,6.8
23.07.1968 12:00,6.0
23.09.1968 12:00,6.0
27.11.1968 12:00,5.5
15.01.1969 12:00,6.5
11.03.1969 12:00,5.6
27.05.1969 12:00,6.4
01.07.1969 12:00,5.9
24.09.1969 12:00,5.7
25.11.1969 12:00,5.7
18.02.1970 12:00,5.3
20.05.1970 12:00,6.2
08.09.1970 12:00,5.4
23.11.1970 12:00,5.5
23.02.1971 12:00,6.2
12.05.1971 12:00,4.8
18.08.1971 12:00,5.4
15.11.1971 12:00,4.6
15.03.1972 12:00,5.4
28.06.1972 12:00,5.5
26.09.1972 12:00,4.1
20.12.1972 12:00,3.9
20.03.1973 12:00,3.9
13.06.1973 12:00,5.3
17.10.1973 12:00,4.8
18.12.1973 12:00,4.3
28.02.1974 12:00,5.2
09.04.1974 12:00,6.1
08.07.1974 12:00,5.1
02.09.1974 12:00,4.2
27.11.1974 12:00,4.5
08.01.1975 12:00,4.7
24.02.1975 12:00,5.2
14.03.1975 12:00,5.1
22.04.1975 12:00,5.1
16.05.1975 12:00,5.5
10.06.1975 12:00,4.9
16.07.1975 12:00,4.9
27.11.1975 12:00,3.6
17.02.1976 12:00,4.6
26.02.1976 12:00,4.0
10.03.1976 12:00,5.1
20.04.1976 12:00,5.5
24.05.1976 12:00,5.1
30.06.1976 12:00,4.5
22.07.1976 12:00,4.3
24.08.1976 12:00,4.0
20.09.1976 12:00,3.8
28.10.1976 12:00,3.7
23.11.1976 12:00,3.3
27.12.1976 12:00,4.3
24.01.1977 12:00,4.9
24.02.1977 12:00,4.8
31.03.1977 12:00,6.1
28.04.1977 12:00,5.2
23.05.1977 12:00,5.3
28.06.1977 12:00,4.1
29.07.1977 12:00,4.3
30.08.1977 12:00,3.8
27.09.1977 12:00,3.7
27.10.1977 12:00,3.3
27.01.1978 12:00,3.3
27.02.1978 12:00,5.1
29.03.1978 12:00,5.5
26.04.1978 12:00,6.4
23.05.1978 12:00,5.5
27.06.1978 12:00,5.3
26.07.1978 12:00,5.1
25.08.1978 12:00,5.1
25.09.1978 12:00,4.3
27.10.1978 12:00,4.6
22.11.1978 12:00,4.3
28.12.1978 12:00,5.2
26.01.1979 12:00,5.3
23.02.1979 12:00,6.1
29.03.1979 12:00,5.7
27.04.1979 12:00,6.1
25.05.1979 12:00,5.5
26.06.1979 12:00,5.9
30.07.1979 12:00,5.1
31.08.1979 12:00,5.0
02.10.1979 12:00,4.4
30.10.1979 12:00,4.2
26.11.1979 12:00,4.2
14.12.1979 12:00,4.6
24.01.1980 12:00,4.0
25.02.1980 12:00,6.0
02.04.1980 12:00,5.4
29.04.1980 12:00,5.5
28.05.1980 12:00,5.3
03.07.1980 12:00,5.0
29.07.1980 12:00,5.2
28.08.1980 12:00,4.5
25.09.1980 12:00,4.5
29.10.1980 12:00,4.1
28.11.1980 12:00,3.6
23.12.1980 12:00,4.6
20.01.1981 12:00,4.9
25.02.1981 12:00,5.9
23.03.1981 12:00,5.7
30.04.1981 12:00,4.8
21.05.1981 12:00,5.5
01.06.1981 12:00,5.2
25.06.1981 12:00,4.8
28.07.1981 12:00,5.0
27.08.1981 12:00,4.3
30.09.1981 12:00,3.9
29.10.1981 12:00,3.7
27.11.1981 12:00,4.1
18.12.1981 12:00,4.6
05.03.1982 12:00,4.6
23.03.1982 12:00,5.7
21.04.1982 12:00,5.3
19.05.1982 12:00,5.7
24.06.1982 12:00,4.6
28.07.1982 12:00,4.8
31.08.1982 12:00,4.6
23.09.1982 12:00,4.4
28.10.1982 12:00,4.1
17.11.1982 12:00,3.9
23.12.1982 12:00,4.5
26.01.1983 12:00,5.1
24.02.1983 12:00,5.3
15.03.1983 12:00,6.0
25.04.1983 12:00,5.8
25.05.1983 12:00,6.3
23.06.1983 12:00,5.9
27.07.1983 12:00,5.5
31.08.1983 12:00,5.1
23.09.1983 12:00,5.2
25.10.1983 12:00,5.0
24.11.1983 12:00,5.0
20.12.1983 12:00,5.2
23.02.1984 12:00,5.7
20.03.1984 12:00,6.8
01.05.1984 12:00,6.6
23.05.1984 12:00,7.0
26.06.1984 12:00,6.5
26.07.1984 12:00,5.8
28.08.1984 12:00,5.7
27.09.1984 12:00,5.5
23.10.1984 12:00,5.1
27.11.1984 12:00,5.2
27.12.1984 12:00,5.4
23.01.1985 12:00,5.9
25.02.1985 12:00,5.2
29.03.1985 12:00,6.8
22.04.1985 12:00,6.9
28.05.1985 12:00,6.3
27.06.1985 12:00,6.1
31.07.1985 12:00,5.8
28.08.1985 12:00,5.7
27.09.1985 12:00,5.6
24.10.1985 12:00,5.1
25.11.1985 12:00,5.1
20.12.1985 12:00,4.7
28.01.1986 12:00,6.0
06.03.1986 12:00,6.5
27.03.1986 12:00,6.3
30.04.1986 12:00,6.5
07.06.1986 12:00,6.4
26.06.1986 12:00,6.4
