date,depth,salinity [g kg-1]
22.04.1960 12:00,0.0,0.206
22.04.1960 12:00,2.5,0.206
22.04.1960 12:00,5.0,0.207
22.04.1960 12:00,7.5,0.207
22.04.1960 12:00,10.0,0.21
22.04.1960 12:00,12.5,0.213
22.04.1960 12:00,15.0,0.207
22.04.1960 12:00,20.0,0.207
22.04.1960 12:00,30.0,0.207
22.04.1960 12:00,40.0,0.208
22.04.1960 12:00,50.0,0.208
22.04.1960 12:00,60.0,0.207
22.04.1960 12:00,80.0,0.212
22.04.1960 12:00,100.0,0.214
22.04.1960 12:00,120.0,0.212
22.04.1960 12:00,140.0,0.215
22.04.1960 12:00,160.0,0.216
22.04.1960 12:00,180.0,0.216
22.04.1960 12:00,190.0,0.22
22.04.1960 12:00,200.0,0.222
31.05.1960 12:00,0.0,0.211
31.05.1960 12:00,2.5,0.203
31.05.1960 12:00,5.0,0.204
31.05.1960 12:00,7.5,0.208
31.05.1960 12:00,10.0,0.208
31.05.1960 12:00,12.5,0.213
31.05.1960 12:00,15.0,0.213
31.05.1960 12:00,20.0,0.208
31.05.1960 12:00,30.0,0.212
31.05.1960 12:00,40.0,0.213
31.05.1960 12:00,50.0,0.215
31.05.1960 12:00,60.0,0.217
31.05.1960 12:00,80.0,0.22
31.05.1960 12:00,100.0,0.216
31.05.1960 12:00,120.0,0.216
31.05.1960 12:00,140.0,0.217
31.05.1960 12:00,160.0,0.221
31.05.1960 12:00,180.0,0.222
31.05.1960 12:00,190.0,0.223
31.05.1960 12:00,200.0,0.223
20.09.1960 12:00,0.0,0.178
20.09.1960 12:00,2.5,0.177
20.09.1960 12:00,5.0,0.177
20.09.1960 12:00,7.5,0.182
20.09.1960 12:00,10.0,0.205
20.09.1960 12:00,12.5,0.204
20.09.1960 12:00,15.0,0.208
20.09.1960 12:00,20.0,0.208
20.09.1960 12:00,30.0,0.205
20.09.1960 12:00,40.0,0.206
20.09.1960 12:00,50.0,0.207
20.09.1960 12:00,60.0,0.208
20.09.1960 12:00,80.0,0.211
20.09.1960 12:00,100.0,0.213
20.09.1960 12:00,120.0,0.215
20.09.1960 12:00,140.0,0.215
20.09.1960 12:00,160.0,0.213
20.09.1960 12:00,180.0,0.217
20.09.1960 12:00,190.0,0.22
20.09.1960 12:00,200.0,0.221
20.04.1961 12:00,0.0,0.212
20.04.1961 12:00,2.5,0.208
20.04.1961 12:00,5.0,0.211
20.04.1961 12:00,7.5,0.212
20.04.1961 12:00,10.0,0.214
20.04.1961 12:00,12.5,0.214
20.04.1961 12:00,15.0,0.215
20.04.1961 12:00,20.0,0.218
20.04.1961 12:00,30.0,0.218
20.04.1961 12:00,40.0,0.218
20.04.1961 12:00,50.0,0.218
20.04.1961 12:00,60.0,0.218
20.04.1961 12:00,80.0,0.221
20.04.1961 12:00,100.0,0.221
20.04.1961 12:00,120.0,0.225
20.04.1961 12:00,140.0,0.225
20.04.1961 12:00,160.0,0.225
20.04.1961 12:00,180.0,0.227
20.04.1961 12:00,190.0,0.225
20.04.1961 12:00,200.0,0.225
25.05.1961 12:00,0.0,0.215
25.05.1961 12:00,2.5,0.216
25.05.1961 12:00,5.0,0.213
25.05.1961 12:00,7.5,0.215
25.05.1961 12:00,10.0,0.221
25.05.1961 12:00,12.5,0.217
25.05.1961 12:00,15.0,0.221
25.05.1961 12:00,20.0,0.217
25.05.1961 12:00,30.0,0.223
25.05.1961 12:00,40.0,0.223
25.05.1961 12:00,50.0,0.224
25.05.1961 12:00,60.0,0.225
25.05.1961 12:00,80.0,0.216
25.05.1961 12:00,100.0,0.221
25.05.1961 12:00,120.0,0.219
25.05.1961 12:00,140.0,0.223
25.05.1961 12:00,160.0,0.233
25.05.1961 12:00,180.0,0.231
25.05.1961 12:00,190.0,0.231
25.05.1961 12:00,200.0,0.231
27.09.1961 12:00,0.0,0.17
27.09.1961 12:00,2.5,0.17
27.09.1961 12:00,5.0,0.165
27.09.1961 12:00,7.5,0.195
27.09.1961 12:00,10.0,0.214
27.09.1961 12:00,12.5,0.228
27.09.1961 12:00,15.0,0.23
27.09.1961 12:00,20.0,0.228
27.09.1961 12:00,30.0,0.23
27.09.1961 12:00,40.0,0.232
27.09.1961 12:00,50.0,0.232
27.09.1961 12:00,60.0,0.232
27.09.1961 12:00,80.0,0.232
27.09.1961 12:00,100.0,0.232
27.09.1961 12:00,120.0,0.234
27.09.1961 12:00,140.0,0.234
27.09.1961 12:00,160.0,0.234
27.09.1961 12:00,180.0,0.237
27.09.1961 12:00,190.0,0.239
27.09.1961 12:00,200.0,0.241
02.11.1961 12:00,0.0,0.19
02.11.1961 12:00,2.5,0.186
02.11.1961 12:00,5.0,0.186
02.11.1961 12:00,7.5,0.186
02.11.1961 12:00,10.0,0.19
02.11.1961 12:00,12.5,0.186
02.11.1961 12:00,15.0,0.208
02.11.1961 12:00,20.0,0.213
02.11.1961 12:00,30.0,0.212
02.11.1961 12:00,40.0,0.212
02.11.1961 12:00,50.0,0.212
02.11.1961 12:00,60.0,0.213
02.11.1961 12:00,80.0,0.213
02.11.1961 12:00,100.0,0.215
02.11.1961 12:00,120.0,0.217
02.11.1961 12:00,140.0,0.219
02.11.1961 12:00,160.0,0.219
02.11.1961 12:00,180.0,0.219
02.11.1961 12:00,190.0,0.221
02.11.1961 12:00,200.0,0.223
07.05.1968 12:00,0.0,0.174
07.05.1968 12:00,2.5,0.171
07.05.1968 12:00,5.0,0.176
07.05.1968 12:00,7.5,0.174
07.05.1968 12:00,10.0,0.177
07.05.1968 12:00,12.5,0.177
07.05.1968 12:00,15.0,0.182
07.05.1968 12:00,20.0,0.181
07.05.1968 12:00,30.0,0.182
07.05.1968 12:00,40.0,0.182
07.05.1968 12:00,50.0,0.182
07.05.1968 12:00,60.0,0.182
07.05.1968 12:00,80.0,0.182
07.05.1968 12:00,100.0,0.184
07.05.1968 12:00,120.0,0.191
07.05.1968 12:00,140.0,0.193
07.05.1968 12:00,160.0,0.193
07.05.1968 12:00,180.0,0.194
07.05.1968 12:00,190.0,0.195
07.05.1968 12:00,200.0,0.197
23.07.1968 12:00,0.0,0.19
23.07.1968 12:00,2.5,0.19
23.07.1968 12:00,5.0,0.19
23.07.1968 12:00,7.5,0.201
23.07.1968 12:00,10.0,0.186
23.07.1968 12:00,12.5,0.186
23.07.1968 12:00,15.0,0.187
23.07.1968 12:00,20.0,0.205
23.07.1968 12:00,30.0,0.214
23.07.1968 12:00,40.0,0.22
23.07.1968 12:00,50.0,0.22
23.07.1968 12:00,60.0,0.22
23.07.1968 12:00,80.0,0.223
23.07.1968 12:00,100.0,0.223
23.07.1968 12:00,120.0,0.225
23.07.1968 12:00,140.0,0.228
23.07.1968 12:00,160.0,0.228
23.07.1968 12:00,180.0,0.23
23.07.1968 12:00,190.0,0.23
23.07.1968 12:00,200.0,0.23
23.09.1968 12:00,0.0,0.161
23.09.1968 12:00,2.5,0.168
23.09.1968 12:00,5.0,0.172
23.09.1968 12:00,7.5,0.174
23.09.1968 12:00,10.0,0.182
23.09.1968 12:00,12.5,0.195
23.09.1968 12:00,15.0,0.195
23.09.1968 12:00,20.0,0.199
23.09.1968 12:00,30.0,0.198
23.09.1968 12:00,40.0,0.197
