date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
16.01.1974 12:00,10.9
11.02.1974 12:00,10.9
11.03.1974 12:00,11.9
03.04.1974 12:00,10.7
06.05.1974 12:00,9.1
29.05.1974 12:00,7.8
24.06.1974 12:00,6.3
11.07.1974 12:00,5.4
12.08.1974 12:00,4.2
02.09.1974 12:00,2.9
01.10.1974 12:00,4.6
30.10.1974 12:00,10.1
27.11.1974 12:00,10.6
16.12.1974 12:00,10.2
20.01.1975 12:00,10.7
24.02.1975 12:00,11.4
23.03.1975 12:00,11.1
21.04.1975 12:00,11.6
20.05.1975 12:00,9.8
18.06.1975 12:00,7.2
14.07.1975 12:00,4.1
21.08.1975 12:00,1.5
08.09.1975 12:00,1.2
06.10.1975 12:00,1.3
03.11.1975 12:00,3.8
01.12.1975 12:00,9.7
07.01.1976 12:00,10.9
02.02.1976 12:00,11.5
08.03.1976 12:00,11.5
05.04.1976 12:00,11.5
03.05.1976 12:00,11.6
02.06.1976 12:00,8.7
30.06.1976 12:00,5.0
20.07.1976 12:00,3.5
16.08.1976 12:00,2.2
06.09.1976 12:00,1.0
18.10.1976 12:00,5.1
08.11.1976 12:00,6.9
06.12.1976 12:00,9.8
03.01.1977 12:00,10.8
31.01.1977 12:00,11.3
28.02.1977 12:00,11.2
28.03.1977 12:00,10.4
25.04.1977 12:00,11.6
25.05.1977 12:00,9.7
22.06.1977 12:00,7.5
04.07.1977 12:00,5.7
08.08.1977 12:00,5.4
31.08.1977 12:00,3.8
28.09.1977 12:00,3.9
25.10.1977 12:00,5.1
21.11.1977 12:00,9.7
12.12.1977 12:00,10.4
16.01.1978 12:00,11.1
13.02.1978 12:00,11.4
10.04.1978 12:00,11.7
09.05.1978 12:00,10.6
05.06.1978 12:00,8.8
04.07.1978 12:00,5.6
02.08.1978 12:00,4.1
04.09.1978 12:00,1.9
02.10.1978 12:00,3.4
02.11.1978 12:00,7.3
04.12.1978 12:00,9.3
10.01.1979 12:00,10.8
05.02.1979 12:00,11.3
05.03.1979 12:00,11.2
02.04.1979 12:00,11.3
07.05.1979 12:00,11.7
05.06.1979 12:00,9.0
04.07.1979 12:00,6.5
01.08.1979 12:00,3.9
10.09.1979 12:00,1.7
01.10.1979 12:00,2.9
07.11.1979 12:00,8.2
04.12.1979 12:00,9.8
09.01.1980 12:00,11.1
04.02.1980 12:00,11.7
03.03.1980 12:00,11.2
01.04.1980 12:00,11.7
05.05.1980 12:00,11.2
03.06.1980 12:00,9.3
01.07.1980 12:00,6.8
28.07.1980 12:00,5.1
01.09.1980 12:00,1.9
01.10.1980 12:00,0.9
05.11.1980 12:00,9.3
01.12.1980 12:00,10.3
14.01.1981 12:00,11.7
09.02.1981 12:00,12.0
09.03.1981 12:00,12.2
06.04.1981 12:00,12.0
04.05.1981 12:00,11.1
01.06.1981 12:00,9.3
01.07.1981 12:00,6.9
27.07.1981 12:00,6.5
31.08.1981 12:00,4.0
05.10.1981 12:00,4.9
02.11.1981 12:00,9.5
07.12.1981 12:00,11.1
18.01.1982 12:00,11.4
08.02.1982 12:00,11.1
01.03.1982 12:00,11.4
05.04.1982 12:00,12.2
03.05.1982 12:00,12.0
01.06.1982 12:00,10.1
05.07.1982 12:00,7.9
26.07.1982 12:00,5.4
30.08.1982 12:00,3.1
20.09.1982 12:00,3.2
18.10.1982 12:00,8.1
08.11.1982 12:00,6.9
06.12.1982 12:00,10.1
10.01.1983 12:00,11.1
07.02.1983 12:00,11.6
07.03.1983 12:00,12.1
05.04.1983 12:00,11.8
02.05.1983 12:00,11.8
06.06.1983 12:00,10.5
04.07.1983 12:00,8.0
25.07.1983 12:00,6.0
05.09.1983 12:00,4.2
04.10.1983 12:00,4.3
08.11.1983 12:00,8.1
05.12.1983 12:00,10.5
09.01.1984 12:00,11.3
06.02.1984 12:00,11.5
12.03.1984 12:00,12.6
03.04.1984 12:00,12.1
07.05.1984 12:00,11.4
04.06.1984 12:00,10.0
02.07.1984 12:00,8.0
23.07.1984 12:00,5.9
03.09.1984 12:00,4.0
01.10.1984 12:00,5.6
29.10.1984 12:00,6.3
19.11.1984 12:00,4.5
10.12.1984 12:00,9.3
04.02.1985 12:00,11.3
25.02.1985 12:00,11.9
18.03.1985 12:00,12.1
01.04.1985 12:00,12.0
05.05.1985 12:00,11.3
03.06.1985 12:00,10.8
01.07.1985 12:00,8.6
22.07.1985 12:00,6.4
02.09.1985 12:00,5.2
04.11.1985 12:00,5.4
07.11.1985 12:00,4.1
09.12.1985 12:00,10.3
07.01.1986 12:00,11.3
03.02.1986 12:00,11.5
01.04.1986 12:00,11.8
05.05.1986 12:00,12.7
02.06.1986 12:00,10.3
30.06.1986 12:00,9.4
28.07.1986 12:00,7.9
01.09.1986 12:00,6.5
06.10.1986 12:00,5.8
03.11.1986 12:00,5.9
01.12.1986 12:00,10.1
29.01.1987 12:00,10.6
10.03.1987 12:00,11.7
24.03.1987 12:00,12.0
07.04.1987 12:00,12.1
22.04.1987 12:00,11.2
05.05.1987 12:00,10.8
20.05.1987 12:00,10.4
03.06.1987 12:00,9.6
17.06.1987 12:00,9.1
01.07.1987 12:00,8.2
14.07.1987 12:00,6.3
28.07.1987 12:00,5.0
11.08.1987 12:00,4.0
25.08.1987 12:00,3.0
08.09.1987 12:00,1.7
22.09.1987 12:00,0.8
06.10.1987 12:00,0.9
20.10.1987 12:00,0.5
03.11.1987 12:00,0.9
17.11.1987 12:00,9.4
01.12.1987 12:00,9.9
15.12.1987 12:00,10.1
05.01.1988 12:00,10.7
19.01.1988 12:00,10.8
09.02.1988 12:00,11.1
02.03.1988 12:00,11.8
28.03.1988 12:00,11.5
25.04.1988 12:00,10.7
24.05.1988 12:00,8.9
21.06.1988 12:00,5.6
14.07.1988 12:00,3.8
15.08.1988 12:00,1.7
12.09.1988 12:00,0.7
03.10.1988 12:00,0.4
01.11.1988 12:00,0.5
29.11.1988 12:00,9.5
03.01.1989 12:00,10.3
31.01.1989 12:00,10.3
28.02.1989 12:00,11.2
28.03.1989 12:00,11.1
25.04.1989 12:00,10.9
23.05.1989 12:00,8.9
19.06.1989 12:00,6.0
13.07.1989 12:00,3.9
15.08.1989 12:00,1.9
11.09.1989 12:00,0.6
09.10.1989 12:00,0.4
07.11.1989 12:00,0.6
05.12.1989 12:00,9.1
15.01.1990 12:00,9.8
20.02.1990 12:00,11.0
19.03.1990 12:00,10.7
17.04.1990 12:00,11.3
14.05.1990 12:00,8.7
11.06.1990 12:00,6.2
09.07.1990 12:00,5.0
06.08.1990 12:00,3.1
03.09.1990 12:00,1.3
01.10.1990 12:00,1.0
29.10.1990 12:00,0.9
26.11.1990 12:00,9.4
07.01.1991 12:00,10.8
04.02.1991 12:00,10.7
06.03.1991 12:00,11.9
03.04.1991 12:00,10.1
30.04.1991 12:00,9.0
28.05.1991 12:00,6.1
24.06.1991 12:00,5.4
23.07.1991 12:00,4.2
19.08.1991 12:00,2.3
16.09.1991 12:00,1.0
14.10.1991 12:00,0.4
11.11.1991 12:00,9.7
09.12.1991 12:00,9.6
07.01.1992 12:00,10.5
04.02.1992 12:00,11.1
04.03.1992 12:00,11.3
01.04.1992 12:00,11.4
28.04.1992 12:00,11.0
25.05.1992 12:00,9.6
22.06.1992 12:00,6.5
20.07.1992 12:00,4.9
18.08.1992 12:00,2.8
14.09.1992 12:00,1.7
12.10.1992 12:00,0.9
09.11.1992 12:00,8.8
08.12.1992 12:00,10.0
13.01.1993 12:00,11.3
08.02.1993 12:00,11.3
09.03.1993 12:00,11.5
05.04.1993 12:00,12.6
03.05.1993 12:00,9.8
01.06.1993 12:00,7.3
28.06.1993 12:00,5.9
26.07.1993 12:00,4.9
23.08.1993 12:00,3.2
20.09.1993 12:00,2.2
19.10.1993 12:00,1.7
16.11.1993 12:00,9.9
13.12.1993 12:00,10.9
10.01.1994 12:00,11.1
07.02.1994 12:00,11.5
07.03.1994 12:00,11.5
05.04.1994 12:00,12.1
02.05.1994 12:00,10.9
30.05.1994 12:00,9.0
27.06.1994 12:00,7.1
25.07.1994 12:00,5.1
22.08.1994 12:00,3.6
19.09.1994 12:00,2.6
17.10.1994 12:00,1.8
14.11.1994 12:00,2.1
12.12.1994 12:00,9.6
16.01.1995 12:00,11.1
13.02.1995 12:00,11.2
13.03.1995 12:00,11.8
10.04.1995 12:00,11.2
08.05.1995 12:00,10.3
06.06.1995 12:00,8.7
03.07.1995 12:00,6.6
31.07.1995 12:00,5.4
28.08.1995 12:00,3.1
25.09.1995 12:00,2.3
23.10.1995 12:00,1.6
20.11.1995 12:00,9.5
18.12.1995 12:00,10.3
22.01.1996 12:00,10.3
19.02.1996 12:00,12.0
18.03.1996 12:00,11.9
15.04.1996 12:00,11.9
13.05.1996 12:00,9.4
10.06.1996 12:00,7.6
08.07.1996 12:00,6.1
05.08.1996 12:00,5.1
02.09.1996 12:00,3.6
30.09.1996 12:00,2.5
28.10.1996 12:00,2.4
25.11.1996 12:00,10.1
16.12.1996 12:00,10.5
27.01.1997 12:00,9.9
10.03.1997 12:00,12.8
24.03.1997 12:00,10.9
07.04.1997 12:00,12.8
21.04.1997 12:00,11.1
05.05.1997 12:00,11.1
20.05.1997 12:00,9.3
16.06.1997 12:00,7.4
14.07.1997 12:00,6.0
11.08.1997 12:00,5.3
08.09.1997 12:00,3.4
22.09.1997 12:00,2.7
06.10.1997 12:00,2.2
20.10.1997 12:00,1.4
03.11.1997 12:00,6.8
17.11.1997 12:00,11.6
01.12.1997 12:00,9.7
15.12.1997 12:00,10.6
07.01.1998 12:00,10.8
21.01.1998 12:00,11.6
02.02.1998 12:00,11.2
16.02.1998 12:00,11.0
02.03.1998 12:00,11.4
16.03.1998 12:00,11.5
30.03.1998 12:00,11.1
14.04.1998 12:00,11.2
27.04.1998 12:00,10.6
11.05.1998 12:00,10.0
25.05.1998 12:00,8.5
22.06.1998 12:00,6.8
06.07.1998 12:00,7.4
20.07.1998 12:00,5.4
03.08.1998 12:00,5.3
17.08.1998 12:00,4.0
21.09.1998 12:00,2.7
05.10.1998 12:00,2.3
19.10.1998 12:00,2.5
16.11.1998 12:00,9.8
30.11.1998 12:00,10.9
14.12.1998 12:00,11.0
11.01.1999 12:00,10.6
25.01.1999 12:00,10.1
09.02.1999 12:00,11.7
08.03.1999 12:00,11.4
06.04.1999 12:00,10.8
03.05.1999 12:00,10.2
31.05.1999 12:00,8.4
29.06.1999 12:00,7.0
12.07.1999 12:00,6.8
03.08.1999 12:00,4.7
18.08.1999 12:00,4.3
31.08.1999 12:00,3.4
13.09.1999 12:00,2.7
27.09.1999 12:00,2.0
11.10.1999 12:00,2.6
02.11.1999 12:00,2.1
01.12.1999 12:00,10.1
15.12.1999 12:00,10.3
29.02.2000 12:00,11.6
13.03.2000 12:00,11.0
27.03.2000 12:00,11.3
10.04.2000 12:00,11.0
25.04.2000 12:00,10.6
08.05.2000 12:00,8.8
29.05.2000 12:00,8.2
20.06.2000 12:00,8.4
13.07.2000 12:00,5.6
31.07.2000 12:00,5.8
14.08.2000 12:00,4.7
12.09.2000 12:00,2.9
11.10.2000 12:00,2.3
02.11.2000 12:00,2.3
13.11.2000 12:00,6.2
27.11.2000 12:00,8.9
11.12.2000 12:00,9.7
22.01.2001 12:00,10.6
06.02.2001 12:00,10.7
19.02.2001 12:00,11.1
05.03.2001 12:00,10.9
21.03.2001 12:00,11.6
17.04.2001 12:00,11.4
15.05.2001 12:00,9.8
12.06.2001 12:00,8.3
17.07.2001 12:00,6.8
20.08.2001 12:00,5.3
04.09.2001 12:00,4.5
17.09.2001 12:00,4.3
15.10.2001 12:00,3.2
29.10.2001 12:00,4.8
19.11.2001 12:00,9.9
03.12.2001 12:00,9.4
17.12.2001 12:00,11.4
30.01.2002 12:00,12.3
05.03.2002 12:00,11.1
26.03.2002 12:00,12.3
24.04.2002 12:00,10.8
08.05.2002 12:00,11.2
23.05.2002 12:00,9.3
04.06.2002 12:00,10.1
20.06.2002 12:00,7.2
08.07.2002 12:00,6.6
23.07.2002 12:00,6.0
06.08.2002 12:00,5.5
22.08.2002 12:00,3.9
09.09.2002 12:00,4.1
25.09.2002 12:00,2.9
08.10.2002 12:00,4.1
22.10.2002 12:00,2.3
05.11.2002 12:00,10.7
12.11.2002 12:00,11.5
10.12.2002 12:00,11.9
21.01.2003 12:00,13.5
06.02.2003 12:00,12.5
04.03.2003 12:00,12.2
19.03.2003 12:00,11.1
31.03.2003 12:00,11.4
24.04.2003 12:00,9.3
06.05.2003 12:00,9.4
16.06.2003 12:00,7.1
02.07.2003 12:00,6.8
15.07.2003 12:00,6.3
29.07.2003 12:00,5.0
13.08.2003 12:00,3.7
27.08.2003 12:00,3.7
10.09.2003 12:00,2.8
23.09.2003 12:00,2.2
08.10.2003 12:00,5.3
22.10.2003 12:00,4.3
04.11.2003 12:00,9.9
19.11.2003 12:00,10.6
03.12.2003 12:00,9.8
15.12.2003 12:00,10.7
14.01.2004 12:00,13.1
10.02.2004 12:00,12.7
08.03.2004 12:00,12.2
15.04.2004 12:00,12.5
28.04.2004 12:00,10.7
13.05.2004 12:00,10.8
26.05.2004 12:00,10.1
09.06.2004 12:00,8.3
23.06.2004 12:00,7.8
08.07.2004 12:00,7.3
27.07.2004 12:00,6.3
16.08.2004 12:00,5.3
31.08.2004 12:00,5.3
14.09.2004 12:00,3.2
28.09.2004 12:00,2.2
14.10.2004 12:00,1.6
04.11.2004 12:00,2.0
16.11.2004 12:00,6.7
01.12.2004 12:00,13.4
19.01.2005 12:00,11.0
01.02.2005 12:00,11.6
15.02.2005 12:00,12.3
01.03.2005 12:00,12.7
15.03.2005 12:00,13.2
29.03.2005 12:00,13.1
