date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
30.01.1987 12:00,4.0
26.02.1987 12:00,4.8
26.03.1987 12:00,6.8
23.04.1987 12:00,6.8
21.05.1987 12:00,7.7
30.06.1987 12:00,6.5
23.07.1987 12:00,5.5
01.09.1987 12:00,4.5
23.09.1987 12:00,4.1
22.10.1987 12:00,3.3
19.11.1987 12:00,2.9
17.12.1987 12:00,2.5
28.01.1988 12:00,2.3
25.02.1988 12:00,4.2
25.03.1988 12:00,7.5
07.04.1988 12:00,6.4
21.04.1988 12:00,6.1
10.05.1988 12:00,5.5
26.05.1988 12:00,5.6
15.06.1988 12:00,4.9
23.06.1988 12:00,4.7
08.07.1988 12:00,4.6
21.07.1988 12:00,4.4
08.08.1988 12:00,4.6
25.08.1988 12:00,3.6
07.09.1988 12:00,3.4
22.09.1988 12:00,2.8
06.10.1988 12:00,2.8
20.10.1988 12:00,2.5
03.11.1988 12:00,2.0
17.11.1988 12:00,1.8
15.12.1988 12:00,2.6
19.01.1989 12:00,3.5
16.02.1989 12:00,4.5
15.03.1989 12:00,4.9
31.03.1989 12:00,4.9
13.04.1989 12:00,4.9
28.04.1989 12:00,5.0
11.05.1989 12:00,4.5
26.05.1989 12:00,3.8
07.06.1989 12:00,3.9
26.06.1989 12:00,3.6
13.07.1989 12:00,3.2
10.08.1989 12:00,2.6
13.09.1989 12:00,2.0
12.10.1989 12:00,1.6
09.11.1989 12:00,1.3
14.12.1989 12:00,1.3
18.01.1990 12:00,1.9
22.02.1990 12:00,4.3
22.03.1990 12:00,4.4
19.04.1990 12:00,4.6
17.05.1990 12:00,4.2
21.06.1990 12:00,3.2
19.07.1990 12:00,2.4
30.08.1990 12:00,1.5
20.09.1990 12:00,1.1
25.10.1990 12:00,0.7
15.11.1990 12:00,0.5
13.12.1990 12:00,0.9
24.01.1991 12:00,2.2
26.02.1991 12:00,4.3
14.03.1991 12:00,4.3
28.03.1991 12:00,4.5
29.04.1991 12:00,4.1
16.05.1991 12:00,3.8
13.06.1991 12:00,3.7
18.07.1991 12:00,2.8
22.08.1991 12:00,2.1
24.09.1991 12:00,1.4
24.10.1991 12:00,1.0
20.11.1991 12:00,1.0
19.12.1991 12:00,1.2
02.03.1992 12:00,5.7
10.03.1992 12:00,5.2
26.03.1992 12:00,5.6
29.04.1992 12:00,5.8
26.05.1992 12:00,5.0
23.06.1992 12:00,4.1
23.07.1992 12:00,3.5
19.08.1992 12:00,3.1
23.09.1992 12:00,2.4
21.10.1992 12:00,1.9
20.11.1992 12:00,1.7
16.12.1992 12:00,1.6
27.01.1993 12:00,3.4
17.02.1993 12:00,2.8
17.03.1993 12:00,5.6
15.04.1993 12:00,5.7
08.06.1993 12:00,4.8
15.07.1993 12:00,3.7
12.08.1993 12:00,3.2
23.09.1993 12:00,2.7
26.10.1993 12:00,1.8
23.11.1993 12:00,1.5
16.12.1993 12:00,1.7
20.01.1994 12:00,1.8
15.02.1994 12:00,5.3
24.03.1994 12:00,5.7
21.04.1994 12:00,5.3
19.05.1994 12:00,4.8
23.06.1994 12:00,4.0
20.07.1994 12:00,3.3
25.08.1994 12:00,2.6
22.09.1994 12:00,2.7
20.10.1994 12:00,1.8
24.11.1994 12:00,1.4
22.12.1994 12:00,1.7
19.01.1995 12:00,3.3
16.02.1995 12:00,3.9
23.03.1995 12:00,5.2
04.04.1995 12:00,6.4
20.04.1995 12:00,6.3
30.05.1995 12:00,5.6
22.06.1995 12:00,4.8
20.07.1995 12:00,4.5
24.08.1995 12:00,3.7
21.09.1995 12:00,2.7
19.10.1995 12:00,2.5
23.11.1995 12:00,2.1
21.12.1995 12:00,2.2
25.01.1996 12:00,2.7
22.02.1996 12:00,5.6
27.03.1996 12:00,6.4
25.04.1996 12:00,6.5
23.05.1996 12:00,5.6
20.06.1996 12:00,4.9
12.07.1996 12:00,4.3
22.07.1996 12:00,4.1
08.08.1996 12:00,3.7
27.08.1996 12:00,3.0
11.09.1996 12:00,2.9
24.09.1996 12:00,2.6
08.10.1996 12:00,2.5
23.10.1996 12:00,2.2
05.11.1996 12:00,2.1
26.11.1996 12:00,1.9
11.12.1996 12:00,1.5
17.12.1996 12:00,1.7
08.01.1997 12:00,1.6
28.01.1997 12:00,1.0
18.02.1997 12:00,3.2
25.02.1997 12:00,3.9
11.03.1997 12:00,3.3
25.03.1997 12:00,3.8
08.04.1997 12:00,5.0
21.04.1997 12:00,4.1
05.05.1997 12:00,3.9
20.05.1997 12:00,3.7
03.06.1997 12:00,3.8
18.06.1997 12:00,3.3
01.07.1997 12:00,2.8
22.07.1997 12:00,2.6
05.08.1997 12:00,2.3
27.08.1997 12:00,2.0
09.09.1997 12:00,1.6
23.09.1997 12:00,1.4
08.10.1997 12:00,1.3
21.10.1997 12:00,1.3
04.11.1997 12:00,1.0
17.11.1997 12:00,1.0
02.12.1997 12:00,1.0
16.12.1997 12:00,1.4
13.01.1998 12:00,1.8
27.01.1998 12:00,2.8
11.02.1998 12:00,4.5
23.02.1998 12:00,4.3
11.03.1998 12:00,4.9
23.03.1998 12:00,5.6
07.04.1998 12:00,5.3
21.04.1998 12:00,6.4
05.05.1998 12:00,4.7
19.05.1998 12:00,4.6
02.06.1998 12:00,4.2
16.06.1998 12:00,4.0
01.07.1998 12:00,3.8
23.07.1998 12:00,3.3
11.08.1998 12:00,3.0
24.08.1998 12:00,2.9
08.09.1998 12:00,2.8
22.09.1998 12:00,2.1
07.10.1998 12:00,1.8
27.10.1998 12:00,1.6
04.11.1998 12:00,1.6
18.11.1998 12:00,1.2
09.12.1998 12:00,1.6
15.12.1998 12:00,2.2
12.01.1999 12:00,4.4
26.01.1999 12:00,4.7
15.02.1999 12:00,6.4
24.02.1999 12:00,7.2
23.03.1999 12:00,8.1
27.04.1999 12:00,7.8
20.05.1999 12:00,7.2
26.05.1999 12:00,7.4
23.06.1999 12:00,6.7
07.07.1999 12:00,6.1
29.07.1999 12:00,5.9
09.08.1999 12:00,5.3
24.08.1999 12:00,5.1
29.09.1999 12:00,4.1
06.10.1999 12:00,4.0
11.11.1999 12:00,3.5
16.11.1999 12:00,3.0
03.12.1999 12:00,2.9
14.12.1999 12:00,3.0
12.01.2000 12:00,4.6
26.01.2000 12:00,6.1
10.02.2000 12:00,6.9
22.02.2000 12:00,7.2
10.03.2000 12:00,8.2
21.03.2000 12:00,7.7
05.04.2000 12:00,8.6
19.04.2000 12:00,7.8
04.05.2000 12:00,7.7
23.05.2000 12:00,7.2
08.06.2000 12:00,7.0
20.06.2000 12:00,6.8
13.07.2000 12:00,6.5
25.07.2000 12:00,6.1
10.08.2000 12:00,5.7
22.08.2000 12:00,5.5
06.09.2000 12:00,5.0
12.10.2000 12:00,4.4
24.10.2000 12:00,3.8
10.11.2000 12:00,3.7
21.11.2000 12:00,3.7
07.12.2000 12:00,3.0
19.12.2000 12:00,2.6
11.01.2001 12:00,3.1
23.01.2001 12:00,3.6
09.02.2001 12:00,2.9
20.02.2001 12:00,3.0
08.03.2001 12:00,4.3
20.03.2001 12:00,3.6
05.04.2001 12:00,3.6
17.04.2001 12:00,4.5
04.05.2001 12:00,4.9
15.05.2001 12:00,3.4
06.06.2001 12:00,3.1
20.06.2001 12:00,3.2
20.07.2001 12:00,2.5
24.07.2001 12:00,2.4
09.08.2001 12:00,2.2
06.09.2001 12:00,1.6
13.09.2001 12:00,1.7
26.09.2001 12:00,1.5
11.10.2001 12:00,1.3
23.10.2001 12:00,1.2
20.11.2001 12:00,0.8
05.12.2001 12:00,0.8
18.12.2001 12:00,1.3
10.01.2002 12:00,4.3
22.01.2002 12:00,4.4
07.02.2002 12:00,4.7
19.02.2002 12:00,4.8
08.03.2002 12:00,5.4
20.03.2002 12:00,5.0
04.04.2002 12:00,5.4
16.04.2002 12:00,5.3
07.05.2002 12:00,5.4
21.05.2002 12:00,4.7
11.06.2002 12:00,4.4
25.06.2002 12:00,4.3
11.07.2002 12:00,3.8
23.07.2002 12:00,3.8
08.08.2002 12:00,3.2
20.08.2002 12:00,3.0
05.09.2002 12:00,2.4
24.09.2002 12:00,2.0
10.10.2002 12:00,1.7
23.10.2002 12:00,1.6
07.11.2002 12:00,1.3
19.11.2002 12:00,1.0
06.12.2002 12:00,1.1
17.12.2002 12:00,1.1
09.01.2003 12:00,1.3
28.01.2003 12:00,2.0
06.02.2003 12:00,3.2
17.02.2003 12:00,4.3
12.03.2003 12:00,5.4
25.03.2003 12:00,5.5
09.04.2003 12:00,6.3
22.04.2003 12:00,6.2
07.05.2003 12:00,6.1
20.05.2003 12:00,5.5
04.06.2003 12:00,5.2
17.06.2003 12:00,4.7
16.07.2003 12:00,4.4
28.07.2003 12:00,4.0
13.08.2003 12:00,3.9
26.08.2003 12:00,3.3
12.09.2003 12:00,3.0
24.09.2003 12:00,2.4
10.10.2003 12:00,2.2
20.10.2003 12:00,1.9
06.11.2003 12:00,1.7
18.11.2003 12:00,1.5
05.12.2003 12:00,1.4
16.12.2003 12:00,1.2
15.01.2004 12:00,2.6
27.01.2004 12:00,3.7
12.02.2004 12:00,6.0
24.02.2004 12:00,6.6
12.03.2004 12:00,7.6
23.03.2004 12:00,7.7
07.04.2004 12:00,7.7
20.04.2004 12:00,7.3
07.05.2004 12:00,6.7
18.05.2004 12:00,6.4
04.06.2004 12:00,6.7
15.06.2004 12:00,5.7
15.07.2004 12:00,6.0
27.07.2004 12:00,4.9
12.08.2004 12:00,4.8
24.08.2004 12:00,4.4
09.09.2004 12:00,4.0
21.09.2004 12:00,3.4
07.10.2004 12:00,3.6
19.10.2004 12:00,3.4
04.11.2004 12:00,3.4
16.11.2004 12:00,2.6
02.12.2004 12:00,2.7
14.12.2004 12:00,2.5
20.01.2005 12:00,3.5
31.01.2005 12:00,6.3
17.02.2005 12:00,7.9
28.02.2005 12:00,8.7
16.03.2005 12:00,10.0
29.03.2005 12:00,9.1
13.04.2005 12:00,9.1
26.04.2005 12:00,8.7
11.05.2005 12:00,8.6
23.05.2005 12:00,7.4
10.06.2005 12:00,7.7
20.06.2005 12:00,7.4
15.07.2005 12:00,6.8
26.07.2005 12:00,6.6
09.08.2005 12:00,6.4
23.08.2005 12:00,6.3
08.09.2005 12:00,5.9
19.09.2005 12:00,5.7
06.10.2005 12:00,5.4
17.10.2005 12:00,5.3
11.11.2005 12:00,4.9
21.11.2005 12:00,5.1
07.12.2005 12:00,4.6
12.12.2005 12:00,4.4
12.01.2006 12:00,5.5
24.01.2006 12:00,6.1
08.02.2006 12:00,7.0
20.02.2006 12:00,7.1
09.03.2006 12:00,7.5
20.03.2006 12:00,7.5
05.04.2006 12:00,8.1
24.04.2006 12:00,8.3
10.05.2006 12:00,8.0
22.05.2006 12:00,8.7
06.06.2006 12:00,7.8
19.06.2006 12:00,7.7
20.07.2006 12:00,8.4
24.07.2006 12:00,7.7
09.08.2006 12:00,6.4
21.08.2006 12:00,5.9
07.09.2006 12:00,5.1
18.09.2006 12:00,5.2
06.10.2006 12:00,4.7
23.10.2006 12:00,5.4
09.11.2006 12:00,3.9
20.11.2006 12:00,3.6
18.12.2006 12:00,3.3
11.01.2007 12:00,2.9
22.01.2007 12:00,3.2
08.02.2007 12:00,3.6
26.02.2007 12:00,3.3
15.03.2007 12:00,3.6
26.03.2007 12:00,3.6
13.04.2007 12:00,3.4
23.04.2007 12:00,3.8
15.05.2007 12:00,3.3
21.05.2007 12:00,3.8
05.06.2007 12:00,3.3
18.06.2007 12:00,3.1
12.07.2007 12:00,2.8
23.07.2007 12:00,2.7
09.08.2007 12:00,2.6
20.08.2007 12:00,2.3
05.09.2007 12:00,2.0
17.09.2007 12:00,1.9
03.10.2007 12:00,1.7
15.10.2007 12:00,1.6
08.11.2007 12:00,1.4
06.12.2007 12:00,1.1
18.12.2007 12:00,1.2
10.01.2008 12:00,2.0
21.01.2008 12:00,1.6
07.02.2008 12:00,1.8
18.02.2008 12:00,2.8
07.03.2008 12:00,4.6
17.03.2008 12:00,4.8
03.04.2008 12:00,5.4
14.04.2008 12:00,4.9
08.05.2008 12:00,4.6
19.05.2008 12:00,4.4
05.06.2008 12:00,4.0
16.06.2008 12:00,3.5
10.07.2008 12:00,3.5
21.07.2008 12:00,2.9
07.08.2008 12:00,2.6
18.08.2008 12:00,2.5
04.09.2008 12:00,2.1
15.09.2008 12:00,1.8
08.10.2008 12:00,1.4
20.10.2008 12:00,1.3
07.11.2008 12:00,1.1
17.11.2008 12:00,0.9
03.12.2008 12:00,0.8
15.12.2008 12:00,0.9
14.01.2009 12:00,1.4
26.01.2009 12:00,0.7
04.02.2009 12:00,1.5
13.02.2009 12:00,4.9
23.02.2009 12:00,5.8
03.03.2009 12:00,5.8
12.03.2009 12:00,6.3
23.03.2009 12:00,6.7
08.04.2009 12:00,6.9
20.04.2009 12:00,6.6
07.05.2009 12:00,6.6
18.05.2009 12:00,6.3
04.06.2009 12:00,6.4
09.06.2009 12:00,6.3
15.06.2009 12:00,6.0
17.07.2009 12:00,4.8
27.07.2009 12:00,4.7
05.08.2009 12:00,4.3
13.08.2009 12:00,4.2
17.08.2009 12:00,4.5
10.09.2009 12:00,3.6
21.09.2009 12:00,3.6
08.10.2009 12:00,3.1
19.10.2009 12:00,3.0
11.11.2009 12:00,2.6
17.11.2009 12:00,2.6
03.12.2009 12:00,2.7
14.12.2009 12:00,2.4
15.01.2010 12:00,3.1
26.01.2010 12:00,4.6
11.02.2010 12:00,6.6
22.02.2010 12:00,7.3
11.03.2010 12:00,8.0
22.03.2010 12:00,8.5
08.04.2010 12:00,8.0
19.04.2010 12:00,8.1
05.05.2010 12:00,8.2
17.05.2010 12:00,7.9
09.06.2010 12:00,6.9
21.06.2010 12:00,7.4
15.07.2010 12:00,6.8
26.07.2010 12:00,6.4
12.08.2010 12:00,5.7
23.08.2010 12:00,5.7
10.09.2010 12:00,4.9
20.09.2010 12:00,4.8
08.10.2010 12:00,3.9
18.10.2010 12:00,3.7
12.11.2010 12:00,3.4
22.11.2010 12:00,3.2
09.12.2010 12:00,4.0
29.12.2010 12:00,6.1
11.01.2011 12:00,6.9
17.01.2011 12:00,7.9
31.01.2011 12:00,6.3
15.02.2011 12:00,7.5
28.02.2011 12:00,7.9
15.03.2011 12:00,7.9
28.03.2011 12:00,8.7
12.04.2011 12:00,9.1
26.04.2011 12:00,7.4
02.05.2011 12:00,7.8
12.05.2011 12:00,7.5
23.05.2011 12:00,7.1
26.05.2011 12:00,6.9
07.06.2011 12:00,6.3
20.06.2011 12:00,6.0
15.07.2011 12:00,6.0
25.07.2011 12:00,5.3
09.08.2011 12:00,5.1
22.08.2011 12:00,5.0
08.09.2011 12:00,5.2
19.09.2011 12:00,5.0
04.10.2011 12:00,4.0
17.10.2011 12:00,4.8
11.11.2011 12:00,4.1
21.11.2011 12:00,3.1
07.12.2011 12:00,2.5
19.12.2011 12:00,2.7
12.01.2012 12:00,2.4
23.01.2012 12:00,3.2
15.02.2012 12:00,6.4
27.02.2012 12:00,7.0
15.03.2012 12:00,6.9
26.03.2012 12:00,6.9
13.04.2012 12:00,4.3
23.04.2012 12:00,6.5
10.05.2012 12:00,6.5
21.05.2012 12:00,6.1
04.06.2012 12:00,6.1
18.06.2012 12:00,5.7
10.07.2012 12:00,5.5
23.07.2012 12:00,5.0
07.08.2012 12:00,4.5
20.08.2012 12:00,4.6
04.09.2012 12:00,4.0
17.09.2012 12:00,3.4
02.10.2012 12:00,3.2
22.10.2012 12:00,3.1
06.11.2012 12:00,2.4
19.11.2012 12:00,2.3
04.12.2012 12:00,2.3
17.12.2012 12:00,2.2
09.01.2013 12:00,2.0
20.01.2013 12:00,3.9
05.02.2013 12:00,5.9
17.02.2013 12:00,6.8
04.03.2013 12:00,7.4
24.03.2013 12:00,8.3
08.04.2013 12:00,7.5
21.04.2013 12:00,7.4
05.05.2013 12:00,7.2
20.05.2013 12:00,7.2
03.06.2013 12:00,7.5
16.06.2013 12:00,7.8
08.07.2013 12:00,6.3
21.07.2013 12:00,5.9
05.08.2013 12:00,5.7
18.08.2013 12:00,5.3
02.09.2013 12:00,4.7
15.09.2013 12:00,4.0
09.10.2013 12:00,4.0
20.10.2013 12:00,3.7
06.11.2013 12:00,3.2
17.11.2013 12:00,2.9
04.12.2013 12:00,3.0
15.12.2013 12:00,3.0
16.01.2014 12:00,2.8
27.01.2014 12:00,3.0
13.02.2014 12:00,2.6
25.02.2014 12:00,3.4
13.03.2014 12:00,3.5
25.03.2014 12:00,2.8
10.04.2014 12:00,2.6
22.04.2014 12:00,2.6
08.05.2014 12:00,2.8
19.05.2014 12:00,3.0
05.06.2014 12:00,2.4
16.06.2014 12:00,2.2
10.07.2014 12:00,2.0
21.07.2014 12:00,1.6
07.08.2014 12:00,1.6
25.08.2014 12:00,1.2
11.09.2014 12:00,1.3
22.09.2014 12:00,1.1
07.10.2014 12:00,1.0
20.10.2014 12:00,0.9
04.11.2014 12:00,0.9
17.11.2014 12:00,0.9
04.12.2014 12:00,0.7
15.12.2014 12:00,1.0
13.01.2015 12:00,1.9
26.01.2015 12:00,3.6
12.02.2015 12:00,4.1
23.02.2015 12:00,3.7
12.03.2015 12:00,6.1
23.03.2015 12:00,6.0
16.04.2015 12:00,6.5
27.04.2015 12:00,6.1
13.05.2015 12:00,5.8
26.05.2015 12:00,5.3
11.06.2015 12:00,5.1
22.06.2015 12:00,4.6
09.07.2015 12:00,4.2
27.07.2015 12:00,3.6
14.08.2015 12:00,3.2
24.08.2015 12:00,3.0
10.09.2015 12:00,2.8
22.09.2015 12:00,2.7
08.10.2015 12:00,2.2
19.10.2015 12:00,2.0
05.11.2015 12:00,2.1
16.11.2015 12:00,1.2
03.12.2015 12:00,1.1
14.12.2015 12:00,1.3
14.01.2016 12:00,1.4
25.01.2016 12:00,2.2
04.02.2016 12:00,1.4
23.02.2016 12:00,3.0
10.03.2016 12:00,3.3
21.03.2016 12:00,3.7
07.04.2016 12:00,3.4
18.04.2016 12:00,2.9
12.05.2016 12:00,3.5
23.05.2016 12:00,3.1
09.06.2016 12:00,2.3
20.06.2016 12:00,2.2
13.07.2016 12:00,1.9
25.07.2016 12:00,2.1
11.08.2016 12:00,1.3
22.08.2016 12:00,1.4
08.09.2016 12:00,1.0
19.09.2016 12:00,0.9
