date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
30.01.1987 12:00,4.83
26.02.1987 12:00,4.6
26.03.1987 12:00,5.89
23.04.1987 12:00,8.94
21.05.1987 12:00,11.28
30.06.1987 12:00,22.94
23.07.1987 12:00,21.61
01.09.1987 12:00,22.28
23.09.1987 12:00,23.17
22.10.1987 12:00,14.82
19.11.1987 12:00,11.24
17.12.1987 12:00,8.04
28.01.1988 12:00,6.14
25.02.1988 12:00,5.86
25.03.1988 12:00,6.93
07.04.1988 12:00,8.75
21.04.1988 12:00,12.12
10.05.1988 12:00,16.76
26.05.1988 12:00,18.92
15.06.1988 12:00,19.42
23.06.1988 12:00,21.89
08.07.1988 12:00,21.92
21.07.1988 12:00,24.7
08.08.1988 12:00,24.78
25.08.1988 12:00,22.1
07.09.1988 12:00,22.03
22.09.1988 12:00,19.32
06.10.1988 12:00,18.54
20.10.1988 12:00,17.04
03.11.1988 12:00,14.1
17.11.1988 12:00,10.96
15.12.1988 12:00,6.56
19.01.1989 12:00,5.62
16.02.1989 12:00,4.89
15.03.1989 12:00,5.68
31.03.1989 12:00,10.02
13.04.1989 12:00,8.68
28.04.1989 12:00,8.92
11.05.1989 12:00,13.75
26.05.1989 12:00,18.77
07.06.1989 12:00,17.64
26.06.1989 12:00,22.7
13.07.1989 12:00,23.82
10.08.1989 12:00,23.67
13.09.1989 12:00,20.56
12.10.1989 12:00,16.06
09.11.1989 12:00,13.12
14.12.1989 12:00,7.7
18.01.1990 12:00,5.72
22.02.1990 12:00,6.36
22.03.1990 12:00,10.0
19.04.1990 12:00,9.12
17.05.1990 12:00,21.68
21.06.1990 12:00,20.24
19.07.1990 12:00,24.64
30.08.1990 12:00,23.12
20.09.1990 12:00,20.24
25.10.1990 12:00,15.85
15.11.1990 12:00,11.51
13.12.1990 12:00,7.08
24.01.1991 12:00,5.84
26.02.1991 12:00,5.61
14.03.1991 12:00,8.54
28.03.1991 12:00,8.06
29.04.1991 12:00,10.66
16.05.1991 12:00,10.98
13.06.1991 12:00,20.01
18.07.1991 12:00,24.55
22.08.1991 12:00,25.9
24.09.1991 12:00,22.18
24.10.1991 12:00,14.32
20.11.1991 12:00,10.0
19.12.1991 12:00,7.06
02.03.1992 12:00,5.98
10.03.1992 12:00,7.08
26.03.1992 12:00,7.47
29.04.1992 12:00,11.59
26.05.1992 12:00,18.16
23.06.1992 12:00,19.61
23.07.1992 12:00,25.7
19.08.1992 12:00,25.84
23.09.1992 12:00,20.01
21.10.1992 12:00,13.91
20.11.1992 12:00,10.48
16.12.1992 12:00,7.8
27.01.1993 12:00,5.99
17.02.1993 12:00,5.86
17.03.1993 12:00,7.34
15.04.1993 12:00,9.09
08.06.1993 12:00,22.62
15.07.1993 12:00,20.47
12.08.1993 12:00,24.84
23.09.1993 12:00,19.48
26.10.1993 12:00,12.74
23.11.1993 12:00,9.65
16.12.1993 12:00,7.58
20.01.1994 12:00,5.8
15.02.1994 12:00,5.62
24.03.1994 12:00,9.75
21.04.1994 12:00,9.88
19.05.1994 12:00,15.02
23.06.1994 12:00,22.44
20.07.1994 12:00,26.14
25.08.1994 12:00,25.1
22.09.1994 12:00,18.38
20.10.1994 12:00,15.61
24.11.1994 12:00,11.66
22.12.1994 12:00,8.47
19.01.1995 12:00,5.69
16.02.1995 12:00,5.88
23.03.1995 12:00,7.42
04.04.1995 12:00,7.56
20.04.1995 12:00,9.93
30.05.1995 12:00,18.2
22.06.1995 12:00,21.49
20.07.1995 12:00,26.38
24.08.1995 12:00,24.15
21.09.1995 12:00,17.46
19.10.1995 12:00,16.86
23.11.1995 12:00,9.96
21.12.1995 12:00,7.78
25.01.1996 12:00,6.41
22.02.1996 12:00,6.09
27.03.1996 12:00,7.66
25.04.1996 12:00,13.51
23.05.1996 12:00,15.28
20.06.1996 12:00,24.22
12.07.1996 12:00,19.92
22.07.1996 12:00,23.43
08.08.1996 12:00,24.2
27.08.1996 12:00,23.03
11.09.1996 12:00,19.18
24.09.1996 12:00,17.77
08.10.1996 12:00,16.46
23.10.1996 12:00,15.4
05.11.1996 12:00,13.46
26.11.1996 12:00,10.16
11.12.1996 12:00,8.07
17.12.1996 12:00,8.02
08.01.1997 12:00,6.54
28.01.1997 12:00,6.53
18.02.1997 12:00,6.04
25.02.1997 12:00,6.34
11.03.1997 12:00,7.52
25.03.1997 12:00,8.94
08.04.1997 12:00,8.75
21.04.1997 12:00,10.4
05.05.1997 12:00,14.06
20.05.1997 12:00,18.35
03.06.1997 12:00,18.47
18.06.1997 12:00,23.03
01.07.1997 12:00,19.16
22.07.1997 12:00,21.9
05.08.1997 12:00,24.92
27.08.1997 12:00,26.2
09.09.1997 12:00,23.92
23.09.1997 12:00,21.97
08.10.1997 12:00,20.02
21.10.1997 12:00,16.75
04.11.1997 12:00,13.98
17.11.1997 12:00,11.9
02.12.1997 12:00,10.24
16.12.1997 12:00,8.52
