date,depth,salinity [g kg-1]
27.01.1983 12:00,0.4,0.19
27.01.1983 12:00,5.0,0.19
27.01.1983 12:00,10.0,0.19
27.01.1983 12:00,15.0,0.19
27.01.1983 12:00,20.0,0.19
27.01.1983 12:00,30.0,0.19
27.01.1983 12:00,50.0,0.19
27.01.1983 12:00,85.0,0.2
27.01.1983 12:00,90.0,0.2
27.01.1983 12:00,93.0,0.2
17.02.1983 12:00,0.4,0.19
17.02.1983 12:00,5.0,0.19
17.02.1983 12:00,10.0,0.19
17.02.1983 12:00,15.0,0.19
17.02.1983 12:00,20.0,0.19
17.02.1983 12:00,30.0,0.19
17.02.1983 12:00,50.0,0.19
17.02.1983 12:00,85.0,0.19
17.02.1983 12:00,90.0,0.19
17.02.1983 12:00,93.0,0.19
17.03.1983 12:00,0.4,0.18
17.03.1983 12:00,5.0,0.2
17.03.1983 12:00,10.0,0.19
17.03.1983 12:00,15.0,0.19
17.03.1983 12:00,20.0,0.19
17.03.1983 12:00,30.0,0.2
17.03.1983 12:00,50.0,0.19
17.03.1983 12:00,85.0,0.19
17.03.1983 12:00,90.0,0.19
17.03.1983 12:00,93.0,0.19
14.04.1983 12:00,0.4,0.19
14.04.1983 12:00,5.0,0.19
14.04.1983 12:00,10.0,0.19
14.04.1983 12:00,15.0,0.19
14.04.1983 12:00,20.0,0.19
14.04.1983 12:00,30.0,0.19
14.04.1983 12:00,50.0,0.19
14.04.1983 12:00,85.0,0.19
14.04.1983 12:00,90.0,0.18
14.04.1983 12:00,93.0,0.18
17.05.1983 12:00,0.4,0.18
17.05.1983 12:00,5.0,0.18
17.05.1983 12:00,10.0,0.17
17.05.1983 12:00,15.0,0.19
17.05.1983 12:00,20.0,0.19
17.05.1983 12:00,30.0,0.2
17.05.1983 12:00,50.0,0.2
17.05.1983 12:00,85.0,0.2
17.05.1983 12:00,90.0,0.2
14.06.1983 12:00,0.4,0.12
14.06.1983 12:00,5.0,0.17
14.06.1983 12:00,10.0,0.16
14.06.1983 12:00,15.0,0.18
14.06.1983 12:00,20.0,0.19
14.06.1983 12:00,30.0,0.19
14.06.1983 12:00,50.0,0.19
14.06.1983 12:00,85.0,0.19
14.06.1983 12:00,90.0,0.19
14.06.1983 12:00,93.0,0.17
12.07.1983 12:00,0.4,0.12
12.07.1983 12:00,5.0,0.12
12.07.1983 12:00,10.0,0.17
12.07.1983 12:00,15.0,0.18
12.07.1983 12:00,20.0,0.19
12.07.1983 12:00,30.0,0.19
12.07.1983 12:00,50.0,0.19
12.07.1983 12:00,85.0,0.19
12.07.1983 12:00,90.0,0.19
12.07.1983 12:00,93.0,0.19
09.08.1983 12:00,0.4,0.13
09.08.1983 12:00,5.0,0.14
09.08.1983 12:00,10.0,0.18
09.08.1983 12:00,15.0,0.19
09.08.1983 12:00,20.0,0.19
09.08.1983 12:00,30.0,0.2
09.08.1983 12:00,50.0,0.2
09.08.1983 12:00,85.0,0.2
09.08.1983 12:00,90.0,0.2
09.08.1983 12:00,93.0,0.21
27.09.1983 12:00,0.4,0.13
27.09.1983 12:00,5.0,0.14
27.09.1983 12:00,10.0,0.17
27.09.1983 12:00,15.0,0.19
27.09.1983 12:00,20.0,0.2
27.09.1983 12:00,30.0,0.2
27.09.1983 12:00,50.0,0.2
27.09.1983 12:00,85.0,0.2
