date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
27.01.1983 12:00,5.7
17.02.1983 12:00,5.2
17.03.1983 12:00,8.0
14.04.1983 12:00,9.9
17.05.1983 12:00,12.8
14.06.1983 12:00,17.8
12.07.1983 12:00,12.4
09.08.1983 12:00,10.8
27.09.1983 12:00,13.9
18.10.1983 12:00,6.1
15.11.1983 12:00,8.4
13.12.1983 12:00,6.2
17.01.1984 12:00,4.0
14.02.1984 12:00,4.5
27.03.1984 12:00,11.1
18.04.1984 12:00,10.6
15.05.1984 12:00,17.4
13.06.1984 12:00,16.8
10.07.1984 12:00,14.3
07.08.1984 12:00,13.5
11.09.1984 12:00,9.2
16.10.1984 12:00,13.7
13.11.1984 12:00,9.5
11.12.1984 12:00,7.8
22.01.1985 12:00,3.5
21.02.1985 12:00,5.4
14.03.1985 12:00,8.0
28.03.1985 12:00,8.3
11.04.1985 12:00,15.2
25.04.1985 12:00,14.4
09.05.1985 12:00,14.3
23.05.1985 12:00,17.5
05.06.1985 12:00,14.4
20.06.1985 12:00,14.0
04.07.1985 12:00,12.0
18.07.1985 12:00,12.5
31.07.1985 12:00,10.5
14.08.1985 12:00,15.5
29.08.1985 12:00,8.7
12.09.1985 12:00,13.7
26.09.1985 12:00,15.2
10.10.1985 12:00,11.0
24.10.1985 12:00,9.5
07.11.1985 12:00,9.1
21.11.1985 12:00,8.2
12.12.1985 12:00,8.4
16.01.1986 12:00,6.5
20.02.1986 12:00,4.8
27.03.1986 12:00,8.5
25.04.1986 12:00,10.2
22.05.1986 12:00,18.6
19.06.1986 12:00,18.0
17.07.1986 12:00,13.1
14.08.1986 12:00,10.0
11.09.1986 12:00,10.4
09.10.1986 12:00,12.1
06.11.1986 12:00,6.8
15.12.1986 12:00,6.8
29.01.1987 12:00,4.7
26.02.1987 12:00,5.4
26.03.1987 12:00,10.1
23.04.1987 12:00,13.4
21.05.1987 12:00,15.4
30.06.1987 12:00,15.0
23.07.1987 12:00,14.8
01.09.1987 12:00,14.4
23.09.1987 12:00,14.1
22.10.1987 12:00,6.1
19.11.1987 12:00,7.3
17.12.1987 12:00,7.2
28.01.1988 12:00,6.6
25.02.1988 12:00,5.5
25.03.1988 12:00,8.5
21.04.1988 12:00,17.8
26.05.1988 12:00,16.0
23.06.1988 12:00,15.7
21.07.1988 12:00,14.7
25.08.1988 12:00,10.6
22.09.1988 12:00,10.1
20.10.1988 12:00,10.2
18.11.1988 12:00,7.7
15.12.1988 12:00,7.2
19.01.1989 12:00,4.2
16.02.1989 12:00,3.8
15.03.1989 12:00,7.6
13.04.1989 12:00,10.1
11.05.1989 12:00,15.8
08.06.1989 12:00,11.6
13.07.1989 12:00,9.4
10.08.1989 12:00,11.1
13.09.1989 12:00,8.6
12.10.1989 12:00,7.9
09.11.1989 12:00,7.4
14.12.1989 12:00,6.5
18.01.1990 12:00,4.2
22.02.1990 12:00,6.8
22.03.1990 12:00,16.8
19.04.1990 12:00,12.1
17.05.1990 12:00,14.3
21.06.1990 12:00,14.6
19.07.1990 12:00,12.3
30.08.1990 12:00,8.8
20.09.1990 12:00,8.3
25.10.1990 12:00,7.1
15.11.1990 12:00,7.1
14.12.1990 12:00,5.7
24.01.1991 12:00,2.2
26.02.1991 12:00,5.6
28.03.1991 12:00,10.0
29.04.1991 12:00,18.5
16.05.1991 12:00,9.6
13.06.1991 12:00,12.5
18.07.1991 12:00,12.1
22.08.1991 12:00,13.2
24.09.1991 12:00,8.1
24.10.1991 12:00,7.1
20.11.1991 12:00,7.7
19.12.1991 12:00,7.5
02.03.1992 12:00,7.7
26.03.1992 12:00,11.4
29.04.1992 12:00,14.7
26.05.1992 12:00,10.4
23.06.1992 12:00,11.4
23.07.1992 12:00,11.9
19.08.1992 12:00,12.6
23.09.1992 12:00,10.6
21.10.1992 12:00,7.5
20.11.1992 12:00,8.4
16.12.1992 12:00,7.6
27.01.1993 12:00,6.7
17.02.1993 12:00,6.3
17.03.1993 12:00,9.2
