date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
09.06.1936 12:00,0.4
24.06.1936 12:00,0.2
23.07.1936 12:00,0.8
30.07.1936 12:00,0.0
05.08.1936 12:00,0.7
25.08.1936 12:00,0.4
06.10.1936 12:00,0.8
08.10.1936 12:00,0.0
02.11.1936 12:00,0.9
11.11.1936 12:00,0.0
11.12.1936 12:00,0.0
30.12.1936 12:00,1.2
12.01.1937 12:00,0.0
28.01.1937 12:00,0.8
26.02.1937 12:00,1.2
18.03.1937 12:00,0.0
30.03.1937 12:00,5.7
27.04.1937 12:00,0.0
29.04.1937 12:00,1.1
28.05.1937 12:00,1.3
10.06.1937 12:00,0.0
17.06.1937 12:00,1.0
15.07.1937 12:00,1.0
20.07.1937 12:00,0.2
13.08.1937 12:00,0.6
25.08.1937 12:00,0.3
28.09.1937 12:00,1.7
15.10.1937 12:00,0.0
28.10.1937 12:00,0.9
18.11.1937 12:00,1.6
09.12.1937 12:00,0.0
27.12.1937 12:00,1.0
20.01.1938 12:00,0.7
17.02.1938 12:00,1.3
01.03.1938 12:00,0.2
14.03.1938 12:00,0.5
31.03.1938 12:00,0.4
11.04.1938 12:00,2.2
09.05.1938 12:00,1.7
12.05.1938 12:00,1.0
10.06.1938 12:00,0.4
20.06.1938 12:00,2.3
18.07.1938 12:00,1.1
27.07.1938 12:00,0.3
25.08.1938 12:00,0.7
08.09.1938 12:00,0.3
21.09.1938 12:00,0.4
11.10.1938 12:00,0.2
19.10.1938 12:00,0.5
08.11.1938 12:00,0.6
01.12.1938 12:00,0.9
05.01.1939 12:00,0.3
12.01.1939 12:00,1.0
16.02.1939 12:00,0.5
02.03.1939 12:00,0.3
22.03.1939 12:00,6.8
05.04.1939 12:00,0.0
25.04.1939 12:00,1.4
23.05.1939 12:00,0.7
06.06.1939 12:00,0.3
23.06.1939 12:00,0.5
06.07.1939 12:00,0.2
12.07.1939 12:00,1.1
15.08.1939 12:00,0.6
17.08.1939 12:00,0.2
25.09.1939 12:00,0.6
17.10.1939 12:00,0.0
31.10.1939 12:00,0.2
22.11.1939 12:00,0.2
19.12.1939 12:00,0.5
15.03.1940 12:00,0.4
08.04.1940 12:00,1.8
31.05.1940 12:00,0.9
11.06.1940 12:00,0.3
28.06.1940 12:00,0.5
29.07.1940 12:00,1.7
07.08.1940 12:00,0.4
27.08.1940 12:00,3.6
17.09.1940 12:00,1.9
11.10.1940 12:00,0.7
18.11.1940 12:00,0.3
19.11.1940 12:00,0.8
10.12.1940 12:00,6.8
25.02.1941 12:00,1.0
12.03.1941 12:00,3.6
21.03.1941 12:00,0.8
04.04.1941 12:00,0.7
28.05.1941 12:00,0.7
04.06.1941 12:00,0.6
09.07.1941 12:00,0.3
12.08.1941 12:00,0.7
19.08.1941 12:00,0.2
26.11.1941 12:00,0.4
05.12.1941 12:00,1.2
28.05.1942 12:00,0.3
09.06.1942 12:00,0.6
12.08.1942 12:00,0.9
18.08.1942 12:00,0.2
19.09.1942 12:00,0.2
18.11.1942 12:00,0.1
15.12.1942 12:00,0.9
29.01.1943 12:00,0.4
05.04.1943 12:00,0.0
21.05.1943 12:00,0.2
08.07.1943 12:00,0.3
04.08.1943 12:00,0.3
12.10.1943 12:00,0.0
09.11.1943 12:00,0.0
19.11.1943 12:00,0.0
06.01.1944 12:00,0.0
03.02.1944 12:00,0.1
28.02.1944 12:00,0.4
16.03.1944 12:00,0.1
20.04.1944 12:00,0.1
16.05.1944 12:00,0.0
06.06.1944 12:00,0.0
15.06.1944 12:00,0.1
25.07.1944 12:00,0.0
16.08.1944 12:00,0.0
17.08.1944 12:00,0.0
04.09.1944 12:00,0.0
18.10.1944 12:00,0.0
17.11.1944 12:00,0.1
28.11.1944 12:00,0.0
14.12.1944 12:00,0.1
11.01.1945 12:00,0.0
14.02.1945 12:00,0.0
13.03.1945 12:00,1.0
14.03.1945 12:00,0.1
19.04.1945 12:00,0.0
09.05.1945 12:00,0.2
15.05.1945 12:00,0.0
14.06.1945 12:00,0.0
12.07.1945 12:00,0.0
14.08.1945 12:00,0.0
28.08.1945 12:00,0.0
18.09.1945 12:00,0.0
09.10.1945 12:00,0.0
06.11.1945 12:00,0.2
15.11.1945 12:00,0.0
11.12.1945 12:00,0.0
24.01.1946 12:00,0.1
31.01.1946 12:00,0.6
19.02.1946 12:00,0.2
25.02.1946 12:00,4.9
12.03.1946 12:00,1.4
21.03.1946 12:00,1.8
09.04.1946 12:00,0.3
16.04.1946 12:00,4.1
10.05.1946 12:00,0.2
22.05.1946 12:00,0.5
04.06.1946 12:00,0.6
19.06.1946 12:00,0.4
11.07.1946 12:00,0.2
23.07.1946 12:00,0.2
14.08.1946 12:00,0.4
20.08.1946 12:00,0.8
10.09.1946 12:00,0.0
17.10.1946 12:00,0.0
23.10.1946 12:00,0.1
21.11.1946 12:00,0.0
12.12.1946 12:00,0.6
16.01.1947 12:00,0.2
12.02.1947 12:00,0.6
27.03.1947 12:00,0.8
10.04.1947 12:00,1.4
25.04.1947 12:00,0.6
08.05.1947 12:00,1.6
20.05.1947 12:00,1.2
28.05.1947 12:00,0.6
25.06.1947 12:00,0.5
22.07.1947 12:00,0.2
26.08.1947 12:00,0.4
26.09.1947 12:00,0.0
21.10.1947 12:00,0.0
28.10.1947 12:00,0.1
14.11.1947 12:00,0.0
21.11.1947 12:00,0.0
08.12.1947 12:00,1.8
17.12.1947 12:00,0.0
20.01.1948 12:00,0.2
24.02.1948 12:00,0.7
23.03.1948 12:00,1.6
02.04.1948 12:00,3.2
22.04.1948 12:00,0.6
28.04.1948 12:00,4.6
12.05.1948 12:00,0.4
19.05.1948 12:00,0.8
17.06.1948 12:00,0.4
02.07.1948 12:00,4.4
12.07.1948 12:00,0.9
21.07.1948 12:00,0.6
23.07.1948 12:00,0.5
30.07.1948 12:00,1.4
01.09.1948 12:00,0.5
07.09.1948 12:00,1.0
28.09.1948 12:00,0.2
07.10.1948 12:00,0.3
26.10.1948 12:00,0.4
02.11.1948 12:00,0.1
10.11.1948 12:00,0.4
17.11.1948 12:00,0.2
13.12.1948 12:00,0.2
25.01.1949 12:00,0.2
25.02.1949 12:00,0.6
14.03.1949 12:00,2.2
23.03.1949 12:00,0.7
31.03.1949 12:00,0.2
20.04.1949 12:00,3.2
05.05.1949 12:00,0.6
23.05.1949 12:00,0.6
29.06.1949 12:00,0.0
13.07.1949 12:00,0.5
27.07.1949 12:00,0.4
10.08.1949 12:00,1.1
11.08.1949 12:00,0.4
08.09.1949 12:00,0.4
23.09.1949 12:00,0.0
25.10.1949 12:00,0.3
09.11.1949 12:00,0.0
15.11.1949 12:00,0.2
07.12.1949 12:00,2.0
16.12.1949 12:00,0.2
11.01.1950 12:00,0.4
17.01.1950 12:00,0.2
01.02.1950 12:00,0.2
22.02.1950 12:00,0.1
22.03.1950 12:00,0.0
28.03.1950 12:00,0.2
19.04.1950 12:00,0.4
26.04.1950 12:00,0.5
15.05.1950 12:00,0.3
19.05.1950 12:00,0.4
