date,depth,density [kg m-3]
03.01.1972 12:00,0.0,1000.134
03.01.1972 12:00,1.0,1000.133
03.01.1972 12:00,2.5,1000.132
03.01.1972 12:00,5.0,1000.131
03.01.1972 12:00,10.0,1000.132
03.01.1972 12:00,12.5,1000.131
03.01.1972 12:00,15.0,1000.132
03.01.1972 12:00,20.0,1000.131
03.01.1972 12:00,30.0,1000.134
03.01.1972 12:00,40.0,1000.148
03.01.1972 12:00,60.0,1000.153
03.01.1972 12:00,80.0,1000.155
03.01.1972 12:00,100.0,1000.155
03.01.1972 12:00,120.0,1000.155
03.01.1972 12:00,130.0,1000.155
03.01.1972 12:00,135.0,1000.156
31.01.1972 12:00,0.0,1000.161
31.01.1972 12:00,1.0,1000.163
31.01.1972 12:00,2.5,1000.164
31.01.1972 12:00,5.0,1000.16
31.01.1972 12:00,10.0,1000.158
31.01.1972 12:00,12.5,1000.158
31.01.1972 12:00,15.0,1000.158
31.01.1972 12:00,20.0,1000.16
31.01.1972 12:00,30.0,1000.16
31.01.1972 12:00,40.0,1000.159
31.01.1972 12:00,60.0,1000.161
31.01.1972 12:00,80.0,1000.162
31.01.1972 12:00,100.0,1000.161
31.01.1972 12:00,120.0,1000.161
31.01.1972 12:00,130.0,1000.162
31.01.1972 12:00,135.0,1000.164
01.03.1972 12:00,0.0,1000.155
01.03.1972 12:00,1.0,1000.155
01.03.1972 12:00,2.5,1000.155
01.03.1972 12:00,5.0,1000.155
01.03.1972 12:00,10.0,1000.155
01.03.1972 12:00,12.5,1000.156
01.03.1972 12:00,15.0,1000.156
01.03.1972 12:00,20.0,1000.157
01.03.1972 12:00,30.0,1000.157
01.03.1972 12:00,40.0,1000.156
01.03.1972 12:00,60.0,1000.157
01.03.1972 12:00,80.0,1000.158
01.03.1972 12:00,100.0,1000.159
01.03.1972 12:00,120.0,1000.159
01.03.1972 12:00,130.0,1000.159
01.03.1972 12:00,135.0,1000.159
05.04.1972 12:00,0.0,1000.088
05.04.1972 12:00,1.0,1000.088
05.04.1972 12:00,2.5,1000.092
05.04.1972 12:00,5.0,1000.096
05.04.1972 12:00,10.0,1000.141
05.04.1972 12:00,12.5,1000.142
05.04.1972 12:00,15.0,1000.142
05.04.1972 12:00,20.0,1000.142
05.04.1972 12:00,30.0,1000.152
05.04.1972 12:00,40.0,1000.155
05.04.1972 12:00,60.0,1000.155
05.04.1972 12:00,80.0,1000.155
05.04.1972 12:00,100.0,1000.156
05.04.1972 12:00,120.0,1000.156
05.04.1972 12:00,130.0,1000.157
05.04.1972 12:00,135.0,1000.157
03.05.1972 12:00,0.0,999.581
03.05.1972 12:00,1.0,999.733
03.05.1972 12:00,2.5,999.915
03.05.1972 12:00,5.0,1000.029
03.05.1972 12:00,10.0,1000.06
03.05.1972 12:00,12.5,1000.073
03.05.1972 12:00,15.0,1000.094
03.05.1972 12:00,20.0,1000.114
03.05.1972 12:00,30.0,1000.149
03.05.1972 12:00,40.0,1000.155
03.05.1972 12:00,60.0,1000.157
03.05.1972 12:00,80.0,1000.158
03.05.1972 12:00,100.0,1000.161
03.05.1972 12:00,120.0,1000.164
03.05.1972 12:00,130.0,1000.165
03.05.1972 12:00,135.0,1000.166
29.05.1972 12:00,0.0,999.861
29.05.1972 12:00,1.0,999.882
29.05.1972 12:00,2.5,999.902
29.05.1972 12:00,5.0,999.915
29.05.1972 12:00,10.0,999.965
29.05.1972 12:00,12.5,999.964
29.05.1972 12:00,15.0,999.98
29.05.1972 12:00,20.0,1000.05
29.05.1972 12:00,30.0,1000.122
29.05.1972 12:00,40.0,1000.141
29.05.1972 12:00,60.0,1000.153
29.05.1972 12:00,80.0,1000.16
29.05.1972 12:00,100.0,1000.162
29.05.1972 12:00,120.0,1000.164
29.05.1972 12:00,130.0,1000.164
29.05.1972 12:00,135.0,1000.164
28.06.1972 12:00,0.0,998.634
28.06.1972 12:00,1.0,998.711
28.06.1972 12:00,2.5,998.785
28.06.1972 12:00,5.0,999.069
28.06.1972 12:00,10.0,999.807
28.06.1972 12:00,12.5,999.955
28.06.1972 12:00,15.0,1000.025
28.06.1972 12:00,20.0,1000.075
28.06.1972 12:00,30.0,1000.114
28.06.1972 12:00,40.0,1000.142
28.06.1972 12:00,60.0,1000.153
28.06.1972 12:00,80.0,1000.157
28.06.1972 12:00,100.0,1000.159
28.06.1972 12:00,120.0,1000.161
28.06.1972 12:00,130.0,1000.162
28.06.1972 12:00,135.0,1000.163
14.08.1972 12:00,0.0,997.721
14.08.1972 12:00,1.0,997.747
14.08.1972 12:00,2.5,997.796
14.08.1972 12:00,5.0,998.25
14.08.1972 12:00,10.0,999.406
14.08.1972 12:00,12.5,999.749
14.08.1972 12:00,15.0,999.964
14.08.1972 12:00,20.0,1000.051
14.08.1972 12:00,30.0,1000.1
14.08.1972 12:00,40.0,1000.124
14.08.1972 12:00,60.0,1000.142
14.08.1972 12:00,80.0,1000.147
14.08.1972 12:00,100.0,1000.147
14.08.1972 12:00,120.0,1000.149
14.08.1972 12:00,130.0,1000.152
14.08.1972 12:00,135.0,1000.156
28.08.1972 12:00,0.0,998.48
28.08.1972 12:00,1.0,998.52
28.08.1972 12:00,2.5,998.579
28.08.1972 12:00,5.0,998.661
28.08.1972 12:00,10.0,999.277
28.08.1972 12:00,12.5,999.832
28.08.1972 12:00,15.0,999.969
28.08.1972 12:00,20.0,1000.044
28.08.1972 12:00,30.0,1000.091
28.08.1972 12:00,40.0,1000.116
28.08.1972 12:00,60.0,1000.13
28.08.1972 12:00,80.0,1000.134
28.08.1972 12:00,100.0,1000.134
28.08.1972 12:00,120.0,1000.136
28.08.1972 12:00,130.0,1000.142
28.08.1972 12:00,135.0,1000.15
04.10.1972 12:00,0.0,999.368
04.10.1972 12:00,1.0,999.368
04.10.1972 12:00,2.5,999.381
04.10.1972 12:00,5.0,999.396
04.10.1972 12:00,10.0,999.41
04.10.1972 12:00,12.5,999.782
04.10.1972 12:00,15.0,999.969
04.10.1972 12:00,20.0,1000.011
04.10.1972 12:00,30.0,1000.064
04.10.1972 12:00,40.0,1000.11
04.10.1972 12:00,60.0,1000.121
04.10.1972 12:00,80.0,1000.124
04.10.1972 12:00,100.0,1000.128
04.10.1972 12:00,120.0,1000.133
04.10.1972 12:00,130.0,1000.135
04.10.1972 12:00,135.0,1000.137
01.11.1972 12:00,0.0,999.801
01.11.1972 12:00,1.0,999.801
01.11.1972 12:00,2.5,999.801
01.11.1972 12:00,5.0,999.8
01.11.1972 12:00,10.0,999.81
