date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
09.06.1936 12:00,7.8
24.06.1936 12:00,7.0
23.07.1936 12:00,7.8
30.07.1936 12:00,5.8
05.08.1936 12:00,7.1
25.08.1936 12:00,6.1
06.10.1936 12:00,5.9
08.10.1936 12:00,4.6
02.11.1936 12:00,6.6
11.11.1936 12:00,4.8
11.12.1936 12:00,5.4
30.12.1936 12:00,7.8
12.01.1937 12:00,6.3
28.01.1937 12:00,7.3
26.02.1937 12:00,9.3
18.03.1937 12:00,9.3
30.03.1937 12:00,10.6
27.04.1937 12:00,8.3
29.04.1937 12:00,6.2
28.05.1937 12:00,7.9
10.06.1937 12:00,7.2
17.06.1937 12:00,8.5
15.07.1937 12:00,8.0
20.07.1937 12:00,6.1
13.08.1937 12:00,7.2
25.08.1937 12:00,6.0
28.09.1937 12:00,6.2
15.10.1937 12:00,5.3
28.10.1937 12:00,6.2
18.11.1937 12:00,6.4
09.12.1937 12:00,5.5
27.12.1937 12:00,6.9
20.01.1938 12:00,8.8
17.02.1938 12:00,8.1
01.03.1938 12:00,8.4
14.03.1938 12:00,8.7
31.03.1938 12:00,8.8
11.04.1938 12:00,9.5
09.05.1938 12:00,8.8
12.05.1938 12:00,7.9
10.06.1938 12:00,7.3
20.06.1938 12:00,8.3
18.07.1938 12:00,7.3
27.07.1938 12:00,8.0
25.08.1938 12:00,6.6
08.09.1938 12:00,5.8
21.09.1938 12:00,6.1
11.10.1938 12:00,4.9
19.10.1938 12:00,5.0
08.11.1938 12:00,5.3
01.12.1938 12:00,5.6
05.01.1939 12:00,6.7
12.01.1939 12:00,7.4
16.02.1939 12:00,7.5
02.03.1939 12:00,7.5
22.03.1939 12:00,9.8
05.04.1939 12:00,8.0
25.04.1939 12:00,8.9
23.05.1939 12:00,8.4
06.06.1939 12:00,7.9
23.06.1939 12:00,7.8
06.07.1939 12:00,7.2
12.07.1939 12:00,7.6
15.08.1939 12:00,6.9
17.08.1939 12:00,6.3
25.09.1939 12:00,6.4
17.10.1939 12:00,5.5
31.10.1939 12:00,5.2
22.11.1939 12:00,6.1
19.12.1939 12:00,6.4
15.03.1940 12:00,9.5
08.04.1940 12:00,9.7
31.05.1940 12:00,8.9
11.06.1940 12:00,8.0
28.06.1940 12:00,8.1
29.07.1940 12:00,7.8
07.08.1940 12:00,7.2
27.08.1940 12:00,8.0
17.09.1940 12:00,7.7
11.10.1940 12:00,6.6
18.11.1940 12:00,6.2
19.11.1940 12:00,6.3
10.12.1940 12:00,8.0
25.02.1941 12:00,8.9
12.03.1941 12:00,9.7
21.03.1941 12:00,8.4
04.04.1941 12:00,8.9
28.05.1941 12:00,8.5
04.06.1941 12:00,8.5
09.07.1941 12:00,7.1
12.08.1941 12:00,6.8
19.08.1941 12:00,5.4
26.11.1941 12:00,6.6
05.12.1941 12:00,6.0
28.05.1942 12:00,8.0
09.06.1942 12:00,7.0
12.08.1942 12:00,6.8
18.08.1942 12:00,5.6
19.09.1942 12:00,5.6
18.11.1942 12:00,4.9
15.12.1942 12:00,5.0
29.01.1943 12:00,7.0
05.04.1943 12:00,5.3
21.05.1943 12:00,6.4
08.07.1943 12:00,5.6
04.08.1943 12:00,5.7
12.10.1943 12:00,3.3
09.11.1943 12:00,3.9
19.11.1943 12:00,3.6
06.01.1944 12:00,4.9
03.02.1944 12:00,6.2
28.02.1944 12:00,8.5
16.03.1944 12:00,6.5
20.04.1944 12:00,7.8
16.05.1944 12:00,7.0
06.06.1944 12:00,7.2
15.06.1944 12:00,6.5
25.07.1944 12:00,6.1
16.08.1944 12:00,6.3
17.08.1944 12:00,5.2
04.09.1944 12:00,5.7
18.10.1944 12:00,4.5
17.11.1944 12:00,5.4
28.11.1944 12:00,6.5
14.12.1944 12:00,6.1
11.01.1945 12:00,7.5
14.02.1945 12:00,7.3
13.03.1945 12:00,7.1
14.03.1945 12:00,7.0
19.04.1945 12:00,7.9
09.05.1945 12:00,6.5
15.05.1945 12:00,6.9
14.06.1945 12:00,6.8
12.07.1945 12:00,6.4
14.08.1945 12:00,5.7
28.08.1945 12:00,6.0
18.09.1945 12:00,5.4
09.10.1945 12:00,4.7
06.11.1945 12:00,5.6
15.11.1945 12:00,4.4
11.12.1945 12:00,5.7
24.01.1946 12:00,6.7
31.01.1946 12:00,6.5
19.02.1946 12:00,7.4
25.02.1946 12:00,8.5
12.03.1946 12:00,8.8
21.03.1946 12:00,8.2
09.04.1946 12:00,8.8
16.04.1946 12:00,9.3
10.05.1946 12:00,8.5
22.05.1946 12:00,8.4
04.06.1946 12:00,7.7
19.06.1946 12:00,7.8
11.07.1946 12:00,7.1
23.07.1946 12:00,7.0
14.08.1946 12:00,7.1
20.08.1946 12:00,6.5
10.09.1946 12:00,6.2
17.10.1946 12:00,5.7
23.10.1946 12:00,5.5
21.11.1946 12:00,6.2
12.12.1946 12:00,5.9
16.01.1947 12:00,6.8
12.02.1947 12:00,7.3
27.03.1947 12:00,7.7
10.04.1947 12:00,8.4
25.04.1947 12:00,7.7
08.05.1947 12:00,8.2
20.05.1947 12:00,8.2
28.05.1947 12:00,7.7
25.06.1947 12:00,7.3
22.07.1947 12:00,6.6
26.08.1947 12:00,6.5
26.09.1947 12:00,6.0
21.10.1947 12:00,4.9
28.10.1947 12:00,5.9
14.11.1947 12:00,5.7
21.11.1947 12:00,5.3
08.12.1947 12:00,5.5
17.12.1947 12:00,5.5
20.01.1948 12:00,6.9
24.02.1948 12:00,8.2
23.03.1948 12:00,8.8
02.04.1948 12:00,9.0
22.04.1948 12:00,8.2
28.04.1948 12:00,9.5
12.05.1948 12:00,7.5
19.05.1948 12:00,8.0
17.06.1948 12:00,7.2
02.07.1948 12:00,7.5
12.07.1948 12:00,7.0
21.07.1948 12:00,6.6
23.07.1948 12:00,6.6
30.07.1948 12:00,6.5
01.09.1948 12:00,5.8
07.09.1948 12:00,6.3
28.09.1948 12:00,5.1
07.10.1948 12:00,5.3
26.10.1948 12:00,4.9
02.11.1948 12:00,4.9
10.11.1948 12:00,4.5
17.11.1948 12:00,4.4
13.12.1948 12:00,5.2
25.01.1949 12:00,6.0
25.02.1949 12:00,7.4
14.03.1949 12:00,7.2
23.03.1949 12:00,8.1
31.03.1949 12:00,8.5
20.04.1949 12:00,7.8
05.05.1949 12:00,8.3
23.05.1949 12:00,7.6
29.06.1949 12:00,6.8
13.07.1949 12:00,6.8
27.07.1949 12:00,6.4
10.08.1949 12:00,6.1
11.08.1949 12:00,6.5
08.09.1949 12:00,5.5
23.09.1949 12:00,5.5
25.10.1949 12:00,4.9
09.11.1949 12:00,4.4
15.11.1949 12:00,4.4
07.12.1949 12:00,5.8
16.12.1949 12:00,5.8
11.01.1950 12:00,6.1
17.01.1950 12:00,6.4
01.02.1950 12:00,7.2
22.02.1950 12:00,7.2
22.03.1950 12:00,8.4
28.03.1950 12:00,8.1
19.04.1950 12:00,8.7
26.04.1950 12:00,7.5
15.05.1950 12:00,7.5
19.05.1950 12:00,7.5
05.06.1950 12:00,7.0
23.06.1950 12:00,6.6
05.07.1950 12:00,6.6
28.07.1950 12:00,6.0
31.07.1950 12:00,6.2
24.08.1950 12:00,5.0
12.09.1950 12:00,5.4
26.09.1950 12:00,4.8
04.10.1950 12:00,4.2
27.10.1950 12:00,4.3
01.11.1950 12:00,4.2
29.11.1950 12:00,4.4
04.12.1950 12:00,5.0
19.12.1950 12:00,5.4
16.01.1951 12:00,6.7
22.01.1951 12:00,6.7
12.02.1951 12:00,7.1
15.02.1951 12:00,7.5
15.03.1951 12:00,7.9
16.03.1951 12:00,8.4
11.04.1951 12:00,8.7
16.04.1951 12:00,9.1
16.05.1951 12:00,8.0
17.05.1951 12:00,8.0
13.06.1951 12:00,7.5
14.06.1951 12:00,7.2
05.07.1951 12:00,7.1
11.07.1951 12:00,7.0
06.08.1951 12:00,6.8
14.08.1951 12:00,6.5
11.09.1951 12:00,5.9
20.09.1951 12:00,5.2
08.10.1951 12:00,5.3
10.10.1951 12:00,5.4
05.11.1951 12:00,5.4
07.11.1951 12:00,5.1
03.12.1951 12:00,5.1
11.12.1951 12:00,6.1
07.01.1952 12:00,6.1
17.01.1952 12:00,8.4
04.02.1952 12:00,7.1
19.02.1952 12:00,8.9
11.03.1952 12:00,7.9
18.03.1952 12:00,8.5
15.04.1952 12:00,8.5
16.04.1952 12:00,8.8
13.05.1952 12:00,8.5
03.06.1952 12:00,7.8
01.07.1952 12:00,7.4
07.07.1952 12:00,6.9
04.08.1952 12:00,6.4
06.08.1952 12:00,6.2
01.09.1952 12:00,6.3
04.09.1952 12:00,6.1
07.10.1952 12:00,4.7
08.10.1952 12:00,4.8
05.11.1952 12:00,5.0
07.11.1952 12:00,5.6
01.12.1952 12:00,5.9
03.12.1952 12:00,6.6
13.01.1953 12:00,8.3
03.02.1953 12:00,8.3
11.02.1953 12:00,8.2
02.03.1953 12:00,8.6
19.03.1953 12:00,8.9
07.04.1953 12:00,8.9
14.04.1953 12:00,9.5
11.05.1953 12:00,8.3
12.05.1953 12:00,8.3
03.06.1953 12:00,8.0
09.06.1953 12:00,7.7
06.07.1953 12:00,7.3
07.07.1953 12:00,7.2
04.08.1953 12:00,6.9
01.09.1953 12:00,6.1
04.09.1953 12:00,6.1
06.10.1953 12:00,5.9
05.11.1953 12:00,5.3
13.11.1953 12:00,5.6
08.12.1953 12:00,5.0
15.12.1953 12:00,5.1
05.01.1954 12:00,7.1
14.01.1954 12:00,7.7
10.02.1954 12:00,7.2
17.02.1954 12:00,7.6
02.03.1954 12:00,8.4
16.03.1954 12:00,7.8
06.04.1954 12:00,7.7
12.04.1954 12:00,7.6
11.05.1954 12:00,7.9
12.05.1954 12:00,8.4
02.06.1954 12:00,7.8
08.06.1954 12:00,7.1
08.07.1954 12:00,6.8
02.08.1954 12:00,5.9
12.08.1954 12:00,5.9
07.09.1954 12:00,5.1
23.09.1954 12:00,4.8
07.10.1954 12:00,4.7
12.10.1954 12:00,4.4
15.11.1954 12:00,4.4
18.11.1954 12:00,4.0
15.12.1954 12:00,4.9
21.12.1954 12:00,4.8
07.01.1955 12:00,6.1
12.01.1955 12:00,6.3
08.02.1955 12:00,7.6
09.02.1955 12:00,8.3
02.03.1955 12:00,9.1
08.03.1955 12:00,8.9
01.04.1955 12:00,9.9
06.04.1955 12:00,10.0
03.05.1955 12:00,9.6
10.05.1955 12:00,9.5
02.06.1955 12:00,9.0
07.06.1955 12:00,8.8
05.07.1955 12:00,8.4
02.08.1955 12:00,7.9
06.09.1955 12:00,7.0
16.09.1955 12:00,6.5
03.10.1955 12:00,6.8
17.10.1955 12:00,6.6
07.11.1955 12:00,5.8
17.11.1955 12:00,6.7
14.12.1955 12:00,6.7
20.12.1955 12:00,7.1
12.01.1956 12:00,7.4
16.01.1956 12:00,7.7
15.02.1956 12:00,9.2
08.03.1956 12:00,8.4
21.03.1956 12:00,9.6
18.04.1956 12:00,9.1
22.05.1956 12:00,9.3
23.05.1956 12:00,8.9
18.06.1956 12:00,8.4
22.06.1956 12:00,8.2
20.07.1956 12:00,8.2
23.07.1956 12:00,7.8
20.08.1956 12:00,7.5
21.08.1956 12:00,7.1
18.09.1956 12:00,7.1
19.09.1956 12:00,6.7
23.10.1956 12:00,6.8
20.11.1956 12:00,6.1
13.12.1956 12:00,7.9
18.12.1956 12:00,6.7
22.01.1957 12:00,8.3
24.01.1957 12:00,8.2
19.02.1957 12:00,8.9
28.02.1957 12:00,8.9
19.03.1957 12:00,9.0
09.04.1957 12:00,9.1
23.04.1957 12:00,8.4
07.05.1957 12:00,8.3
21.05.1957 12:00,7.8
11.06.1957 12:00,7.4
13.06.1957 12:00,6.7
23.06.1957 12:00,8.3
02.07.1957 12:00,7.1
09.07.1957 12:00,6.1
06.08.1957 12:00,6.2
08.08.1957 12:00,6.5
03.09.1957 12:00,5.7
10.09.1957 12:00,5.3
08.10.1957 12:00,5.1
15.10.1957 12:00,4.8
07.11.1957 12:00,5.7
12.11.1957 12:00,4.7
03.12.1957 12:00,5.2
04.12.1957 12:00,4.6
14.01.1958 12:00,7.3
11.02.1958 12:00,8.5
11.03.1958 12:00,9.1
09.04.1958 12:00,9.3
02.05.1958 12:00,9.7
03.06.1958 12:00,8.7
01.07.1958 12:00,8.5
12.08.1958 12:00,7.5
09.09.1958 12:00,7.3
21.10.1958 12:00,6.1
11.11.1958 12:00,6.1
02.12.1958 12:00,5.1
20.01.1959 12:00,7.9
04.03.1959 12:00,8.3
01.04.1959 12:00,8.6
12.05.1959 12:00,8.4
10.06.1959 12:00,7.2
08.07.1959 12:00,7.0
18.08.1959 12:00,6.2
18.09.1959 12:00,5.9
16.10.1959 12:00,5.4
13.11.1959 12:00,5.3
04.12.1959 12:00,5.1
08.01.1960 12:00,6.4
26.02.1960 12:00,7.5
22.03.1960 12:00,7.8
20.04.1960 12:00,7.9
19.05.1960 12:00,7.2
23.06.1960 12:00,5.9
12.07.1960 12:00,5.5
11.08.1960 12:00,5.5
08.09.1960 12:00,4.7
05.10.1960 12:00,4.4
15.11.1960 12:00,3.9
16.12.1960 12:00,5.0
11.01.1961 12:00,5.5
16.02.1961 12:00,6.8
15.03.1961 12:00,7.2
19.04.1961 12:00,6.7
09.05.1961 12:00,6.8
06.06.1961 12:00,5.8
04.07.1961 12:00,5.4
08.08.1961 12:00,4.9
19.09.1961 12:00,3.8
11.10.1961 12:00,4.0
13.11.1961 12:00,3.3
08.12.1961 12:00,3.5
09.01.1962 12:00,5.1
20.02.1962 12:00,6.6
21.03.1962 12:00,7.7
27.04.1962 12:00,8.9
18.05.1962 12:00,8.4
07.06.1962 12:00,7.5
19.07.1962 12:00,7.1
14.08.1962 12:00,7.0
12.09.1962 12:00,6.3
17.10.1962 12:00,5.8
15.11.1962 12:00,5.0
06.12.1962 12:00,5.6
09.01.1963 12:00,6.6
31.01.1963 12:00,6.9
07.03.1963 12:00,6.5
23.04.1963 12:00,6.4
16.05.1963 12:00,6.2
19.06.1963 12:00,5.4
18.07.1963 12:00,5.0
14.08.1963 12:00,5.0
12.09.1963 12:00,4.1
11.10.1963 12:00,4.1
12.11.1963 12:00,3.6
10.12.1963 12:00,3.7
09.01.1964 12:00,5.0
25.02.1964 12:00,5.5
18.03.1964 12:00,5.3
14.04.1964 12:00,6.0
05.05.1964 12:00,6.2
04.06.1964 12:00,5.7
01.07.1964 12:00,5.2
04.08.1964 12:00,4.6
03.09.1964 12:00,4.1
15.10.1964 12:00,3.8
10.11.1964 12:00,3.5
10.12.1964 12:00,4.3
26.01.1965 12:00,5.4
23.02.1965 12:00,6.6
23.03.1965 12:00,7.3
27.04.1965 12:00,7.1
24.05.1965 12:00,6.9
22.06.1965 12:00,5.7
27.07.1965 12:00,5.6
19.08.1965 12:00,5.3
15.09.1965 12:00,4.9
26.10.1965 12:00,4.5
25.11.1965 12:00,4.7
15.12.1965 12:00,6.1
03.02.1966 12:00,8.3
09.03.1966 12:00,7.9
05.04.1966 12:00,8.5
04.05.1966 12:00,7.8
22.06.1966 12:00,7.1
13.07.1966 12:00,6.5
10.08.1966 12:00,6.2
29.09.1966 12:00,5.5
27.10.1966 12:00,5.4
22.11.1966 12:00,5.3
19.12.1966 12:00,6.1
17.01.1967 12:00,7.0
01.02.1967 12:00,7.5
28.03.1967 12:00,9.0
18.04.1967 12:00,9.0
18.05.1967 12:00,8.7
14.06.1967 12:00,8.5
19.07.1967 12:00,8.0
16.08.1967 12:00,7.6
13.09.1967 12:00,7.3
10.10.1967 12:00,6.9
01.11.1967 12:00,6.4
05.12.1967 12:00,6.1
23.01.1968 12:00,8.2
19.02.1968 12:00,8.7
27.03.1968 12:00,10.2
23.04.1968 12:00,10.0
20.05.1968 12:00,9.3
26.06.1968 12:00,8.7
16.07.1968 12:00,8.4
20.08.1968 12:00,8.0
18.09.1968 12:00,7.0
16.10.1968 12:00,7.1
20.11.1968 12:00,6.6
26.02.1969 12:00,8.8
26.03.1969 12:00,8.6
15.04.1969 12:00,8.7
13.05.1969 12:00,8.9
11.06.1969 12:00,9.0
30.07.1969 12:00,8.3
26.08.1969 12:00,7.6
16.09.1969 12:00,7.3
14.10.1969 12:00,6.9
11.11.1969 12:00,6.8
04.12.1969 12:00,7.2
21.01.1970 12:00,7.7
24.02.1970 12:00,8.7
17.04.1970 12:00,10.1
26.05.1970 12:00,10.0
17.06.1970 12:00,10.2
15.07.1970 12:00,9.0
19.08.1970 12:00,9.1
22.09.1970 12:00,8.4
19.10.1970 12:00,8.4
18.11.1970 12:00,7.7
16.12.1970 12:00,7.9
26.01.1971 12:00,8.8
17.02.1971 12:00,8.8
23.03.1971 12:00,9.0
20.04.1971 12:00,8.7
18.05.1971 12:00,8.8
15.06.1971 12:00,8.3
22.07.1971 12:00,8.2
24.08.1971 12:00,7.1
20.09.1971 12:00,7.0
12.10.1971 12:00,6.6
08.11.1971 12:00,6.4
03.01.1972 12:00,7.2
31.01.1972 12:00,8.6
01.03.1972 12:00,9.7
05.04.1972 12:00,10.1
03.05.1972 12:00,7.4
29.05.1972 12:00,7.4
28.06.1972 12:00,7.0
14.08.1972 12:00,5.4
28.08.1972 12:00,5.1
04.10.1972 12:00,5.2
01.11.1972 12:00,4.7
29.11.1972 12:00,5.6
03.01.1973 12:00,5.7
05.02.1973 12:00,6.1
01.03.1973 12:00,7.2
02.04.1973 12:00,8.1
25.04.1973 12:00,7.8
29.05.1973 12:00,7.5
27.06.1973 12:00,7.0
02.08.1973 12:00,6.3
05.09.1973 12:00,5.8
10.10.1973 12:00,5.4
07.11.1973 12:00,5.0
12.12.1973 12:00,6.6
16.01.1974 12:00,8.3
13.02.1974 12:00,8.1
13.03.1974 12:00,8.4
10.04.1974 12:00,8.6
08.05.1974 12:00,8.5
05.06.1974 12:00,7.7
03.07.1974 12:00,8.1
30.07.1974 12:00,7.7
28.08.1974 12:00,6.8
25.09.1974 12:00,6.3
23.10.1974 12:00,6.6
20.11.1974 12:00,7.1
18.12.1974 12:00,8.0
15.01.1975 12:00,7.8
12.02.1975 12:00,8.7
12.03.1975 12:00,8.2
09.04.1975 12:00,9.3
06.05.1975 12:00,9.2
11.06.1975 12:00,9.5
02.07.1975 12:00,8.7
30.07.1975 12:00,8.3
27.08.1975 12:00,7.8
25.09.1975 12:00,7.4
22.10.1975 12:00,6.8
19.11.1975 12:00,6.9
17.12.1975 12:00,7.2
14.01.1976 12:00,8.0
11.02.1976 12:00,9.2
10.03.1976 12:00,9.0
07.04.1976 12:00,9.5
05.05.1976 12:00,9.3
02.06.1976 12:00,9.0
07.07.1976 12:00,8.6
05.08.1976 12:00,7.7
08.09.1976 12:00,7.2
06.10.1976 12:00,6.9
04.11.1976 12:00,6.9
08.12.1976 12:00,6.5
05.01.1977 12:00,6.3
09.02.1977 12:00,7.6
09.03.1977 12:00,8.7
06.04.1977 12:00,8.2
04.05.1977 12:00,8.8
08.06.1977 12:00,8.2
06.07.1977 12:00,7.5
10.08.1977 12:00,7.3
07.09.1977 12:00,7.0
05.10.1977 12:00,6.4
09.11.1977 12:00,6.3
07.12.1977 12:00,6.7
11.01.1978 12:00,8.1
08.02.1978 12:00,8.5
06.03.1978 12:00,9.4
03.04.1978 12:00,10.0
10.05.1978 12:00,9.5
07.06.1978 12:00,8.9
03.07.1978 12:00,8.5
07.08.1978 12:00,8.1
04.09.1978 12:00,7.4
04.10.1978 12:00,6.9
08.11.1978 12:00,6.2
06.12.1978 12:00,7.0
10.01.1979 12:00,8.4
12.02.1979 12:00,8.4
07.03.1979 12:00,8.6
04.04.1979 12:00,9.8
09.05.1979 12:00,8.8
06.06.1979 12:00,8.0
04.07.1979 12:00,7.5
08.08.1979 12:00,7.6
12.09.1979 12:00,7.9
03.10.1979 12:00,6.3
07.11.1979 12:00,5.9
05.12.1979 12:00,6.0
09.01.1980 12:00,7.1
06.02.1980 12:00,8.0
05.03.1980 12:00,9.5
09.04.1980 12:00,9.4
07.05.1980 12:00,9.2
04.06.1980 12:00,8.6
09.07.1980 12:00,7.9
06.08.1980 12:00,7.6
03.09.1980 12:00,6.8
08.10.1980 12:00,6.5
05.11.1980 12:00,6.2
03.12.1980 12:00,6.8
07.01.1981 12:00,7.8
04.02.1981 12:00,8.5
04.03.1981 12:00,9.4
13.04.1981 12:00,10.0
18.05.1981 12:00,9.4
15.06.1981 12:00,8.8
08.07.1981 12:00,8.6
05.08.1981 12:00,8.5
09.09.1981 12:00,7.9
07.10.1981 12:00,6.8
04.11.1981 12:00,6.9
17.12.1981 12:00,8.4
06.01.1982 12:00,9.0
03.02.1982 12:00,9.1
03.03.1982 12:00,10.4
14.04.1982 12:00,9.7
05.05.1982 12:00,9.9
09.06.1982 12:00,9.9
07.07.1982 12:00,9.5
04.08.1982 12:00,8.3
01.09.1982 12:00,8.3
06.10.1982 12:00,7.8
03.11.1982 12:00,7.1
08.12.1982 12:00,7.5
05.01.1983 12:00,7.6
09.02.1983 12:00,8.5
09.03.1983 12:00,9.4
13.04.1983 12:00,8.9
04.05.1983 12:00,9.7
08.06.1983 12:00,9.5
