date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
09.06.1936 12:00,17175.2
24.06.1936 12:00,15408.7
23.07.1936 12:00,17304.0
30.07.1936 12:00,12888.4
05.08.1936 12:00,15630.2
25.08.1936 12:00,13462.4
06.10.1936 12:00,12957.6
08.10.1936 12:00,10253.8
02.11.1936 12:00,14598.6
11.11.1936 12:00,10714.4
11.12.1936 12:00,11946.0
30.12.1936 12:00,17361.6
12.01.1937 12:00,13904.9
28.01.1937 12:00,16073.6
26.02.1937 12:00,20624.6
18.03.1937 12:00,20608.8
30.03.1937 12:00,23532.0
27.04.1937 12:00,18447.0
29.04.1937 12:00,13721.6
28.05.1937 12:00,17468.7
10.06.1937 12:00,15950.1
17.06.1937 12:00,18848.1
15.07.1937 12:00,17765.8
20.07.1937 12:00,13600.1
13.08.1937 12:00,15932.2
25.08.1937 12:00,13294.4
28.09.1937 12:00,13786.4
15.10.1937 12:00,11711.7
28.10.1937 12:00,13675.8
18.11.1937 12:00,14254.0
09.12.1937 12:00,12197.8
27.12.1937 12:00,15345.1
20.01.1938 12:00,19379.2
17.02.1938 12:00,17927.9
01.03.1938 12:00,18642.4
14.03.1938 12:00,19171.6
31.03.1938 12:00,19505.4
11.04.1938 12:00,21079.8
09.05.1938 12:00,19530.5
12.05.1938 12:00,17446.6
10.06.1938 12:00,16221.0
20.06.1938 12:00,18342.2
18.07.1938 12:00,16048.9
27.07.1938 12:00,17797.8
25.08.1938 12:00,14527.3
08.09.1938 12:00,12943.6
21.09.1938 12:00,13529.7
11.10.1938 12:00,10951.3
19.10.1938 12:00,11029.6
08.11.1938 12:00,11783.1
01.12.1938 12:00,12393.1
05.01.1939 12:00,14866.0
12.01.1939 12:00,16306.5
16.02.1939 12:00,16509.2
02.03.1939 12:00,16535.9
22.03.1939 12:00,21738.9
05.04.1939 12:00,17750.4
25.04.1939 12:00,19612.3
23.05.1939 12:00,18631.6
06.06.1939 12:00,17465.7
23.06.1939 12:00,17365.1
