date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
09.06.1936 12:00,11.9
24.06.1936 12:00,11.0
23.07.1936 12:00,12.7
30.07.1936 12:00,10.9
05.08.1936 12:00,11.9
25.08.1936 12:00,10.9
06.10.1936 12:00,9.9
08.10.1936 12:00,8.9
02.11.1936 12:00,11.1
11.11.1936 12:00,9.6
11.12.1936 12:00,9.1
30.12.1936 12:00,10.7
12.01.1937 12:00,8.9
28.01.1937 12:00,11.3
26.02.1937 12:00,9.8
18.03.1937 12:00,9.9
30.03.1937 12:00,11.1
27.04.1937 12:00,11.8
29.04.1937 12:00,10.5
28.05.1937 12:00,13.1
10.06.1937 12:00,11.0
17.06.1937 12:00,11.8
15.07.1937 12:00,11.2
20.07.1937 12:00,11.2
13.08.1937 12:00,10.6
25.08.1937 12:00,11.4
28.09.1937 12:00,11.1
15.10.1937 12:00,10.0
28.10.1937 12:00,11.1
18.11.1937 12:00,10.9
09.12.1937 12:00,9.8
27.12.1937 12:00,9.3
20.01.1938 12:00,10.2
17.02.1938 12:00,9.4
01.03.1938 12:00,9.5
14.03.1938 12:00,10.3
31.03.1938 12:00,11.2
11.04.1938 12:00,12.9
09.05.1938 12:00,13.2
12.05.1938 12:00,13.6
10.06.1938 12:00,11.0
20.06.1938 12:00,10.7
18.07.1938 12:00,10.9
27.07.1938 12:00,10.2
25.08.1938 12:00,10.7
08.09.1938 12:00,10.4
21.09.1938 12:00,10.8
11.10.1938 12:00,10.0
19.10.1938 12:00,10.6
08.11.1938 12:00,10.6
01.12.1938 12:00,9.8
05.01.1939 12:00,9.2
12.01.1939 12:00,9.8
16.02.1939 12:00,10.1
02.03.1939 12:00,10.0
22.03.1939 12:00,10.6
05.04.1939 12:00,10.8
25.04.1939 12:00,13.2
23.05.1939 12:00,12.9
06.06.1939 12:00,12.4
23.06.1939 12:00,11.6
06.07.1939 12:00,11.0
12.07.1939 12:00,12.6
15.08.1939 12:00,11.2
17.08.1939 12:00,10.9
25.09.1939 12:00,12.5
17.10.1939 12:00,11.2
31.10.1939 12:00,10.3
22.11.1939 12:00,9.5
19.12.1939 12:00,10.2
15.03.1940 12:00,10.9
08.04.1940 12:00,9.6
31.05.1940 12:00,13.4
11.06.1940 12:00,11.4
28.06.1940 12:00,11.1
29.07.1940 12:00,11.8
07.08.1940 12:00,12.0
27.08.1940 12:00,12.7
17.09.1940 12:00,11.8
11.10.1940 12:00,10.6
18.11.1940 12:00,9.9
19.11.1940 12:00,9.9
10.12.1940 12:00,9.9
25.02.1941 12:00,11.4
