date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
22.05.1967 12:00,2319974834.0
13.06.1967 12:00,2679474305.0
18.07.1967 12:00,2925187116.0
15.08.1967 12:00,2879710127.0
12.09.1967 12:00,3014285006.0
17.10.1967 12:00,2985886497.0
14.11.1967 12:00,2838990557.0
06.12.1967 12:00,2456329662.0
16.01.1968 12:00,1910107213.0
13.02.1968 12:00,1784985775.0
12.03.1968 12:00,1708583553.0
23.04.1968 12:00,2095617312.0
07.05.1968 12:00,2171905539.0
18.06.1968 12:00,2665260664.0
16.07.1968 12:00,2666999443.0
13.08.1968 12:00,3024376955.0
10.09.1968 12:00,2974003908.0
09.10.1968 12:00,2864537764.0
13.11.1968 12:00,2836380636.0
11.12.1968 12:00,2344590196.0
15.01.1969 12:00,1967821762.0
11.02.1969 12:00,1774450005.0
19.03.1969 12:00,1721027500.0
15.04.1969 12:00,1770375655.0
13.05.1969 12:00,2176097304.0
11.06.1969 12:00,2481567040.0
09.07.1969 12:00,2562224464.0
05.08.1969 12:00,2899789020.0
10.09.1969 12:00,2838013364.0
08.10.1969 12:00,2756030288.0
12.11.1969 12:00,2671197347.0
09.12.1969 12:00,2290948582.0
14.01.1970 12:00,1777185132.0
04.02.1970 12:00,1729435310.0
04.03.1970 12:00,1601074283.0
15.04.1970 12:00,1650834968.0
13.05.1970 12:00,1977534777.0
09.06.1970 12:00,2304898013.0
08.07.1970 12:00,2475247540.0
19.08.1970 12:00,2831601468.0
09.09.1970 12:00,2906974606.0
06.10.1970 12:00,2742975325.0
11.11.1970 12:00,2507812018.0
09.12.1970 12:00,2459182740.0
13.01.1971 12:00,1860418247.0
10.02.1971 12:00,1667042009.0
10.03.1971 12:00,1559270663.0
06.04.1971 12:00,1696515122.0
12.05.1971 12:00,2187589802.0
08.06.1971 12:00,2054632011.0
14.07.1971 12:00,2857216036.0
11.08.1971 12:00,2830974826.0
20.09.1971 12:00,2762216602.0
20.10.1971 12:00,2588222839.0
11.11.1971 12:00,2589493950.0
08.12.1971 12:00,2039865962.0
12.01.1972 12:00,2013643126.0
02.02.1972 12:00,1786119498.0
22.03.1972 12:00,1912630017.0
26.04.1972 12:00,2108912601.0
24.05.1972 12:00,2396243849.0
27.06.1972 12:00,2827062957.0
26.07.1972 12:00,2930575000.0
09.08.1972 12:00,3069253159.0
13.09.1972 12:00,2960723431.0
28.09.1972 12:00,3028418956.0
