date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
22.05.1967 12:00,10.1
13.06.1967 12:00,12.2
18.07.1967 12:00,22.7
15.08.1967 12:00,16.8
12.09.1967 12:00,16.7
17.10.1967 12:00,15.0
14.11.1967 12:00,10.4
06.12.1967 12:00,7.7
16.01.1968 12:00,4.5
13.02.1968 12:00,4.2
12.03.1968 12:00,4.0
23.04.1968 12:00,16.7
07.05.1968 12:00,10.0
18.06.1968 12:00,17.5
16.07.1968 12:00,12.5
13.08.1968 12:00,19.2
10.09.1968 12:00,17.3
09.10.1968 12:00,13.9
13.11.1968 12:00,11.1
11.12.1968 12:00,7.2
15.01.1969 12:00,4.9
11.02.1969 12:00,4.2
19.03.1969 12:00,4.3
15.04.1969 12:00,4.3
13.05.1969 12:00,15.5
11.06.1969 12:00,13.7
09.07.1969 12:00,13.9
05.08.1969 12:00,23.3
10.09.1969 12:00,17.3
08.10.1969 12:00,15.6
12.11.1969 12:00,10.6
09.12.1969 12:00,6.2
14.01.1970 12:00,4.2
04.02.1970 12:00,4.1
04.03.1970 12:00,3.8
15.04.1970 12:00,4.5
13.05.1970 12:00,6.0
09.06.1970 12:00,16.1
08.07.1970 12:00,19.4
19.08.1970 12:00,18.4
09.09.1970 12:00,18.9
06.10.1970 12:00,13.3
11.11.1970 12:00,9.2
09.12.1970 12:00,7.3
13.01.1971 12:00,4.6
10.02.1971 12:00,3.9
10.03.1971 12:00,3.4
06.04.1971 12:00,5.0
12.05.1971 12:00,12.4
08.06.1971 12:00,9.9
14.07.1971 12:00,20.2
11.08.1971 12:00,22.1
20.09.1971 12:00,16.2
20.10.1971 12:00,12.9
11.11.1971 12:00,10.9
08.12.1971 12:00,6.4
12.01.1972 12:00,5.3
02.02.1972 12:00,4.3
22.03.1972 12:00,7.1
26.04.1972 12:00,6.0
24.05.1972 12:00,12.3
27.06.1972 12:00,18.9
26.07.1972 12:00,21.2
09.08.1972 12:00,22.9
13.09.1972 12:00,16.4
28.09.1972 12:00,13.9
25.10.1972 12:00,9.8
29.11.1972 12:00,7.3
19.12.1972 12:00,6.3
24.01.1973 12:00,4.8
21.02.1973 12:00,4.4
20.03.1973 12:00,4.3
25.04.1973 12:00,5.4
23.05.1973 12:00,12.2
19.06.1973 12:00,18.7
12.07.1973 12:00,21.5
08.08.1973 12:00,19.7
05.09.1973 12:00,21.3
02.10.1973 12:00,15.0
24.10.1973 12:00,11.0
22.11.1973 12:00,7.6
19.12.1973 12:00,5.2
22.01.1974 12:00,4.5
19.02.1974 12:00,4.4
19.03.1974 12:00,4.5
23.04.1974 12:00,8.8
14.05.1974 12:00,10.6
18.06.1974 12:00,15.3
09.07.1974 12:00,18.6
13.08.1974 12:00,18.2
10.09.1974 12:00,18.1
08.10.1974 12:00,12.0
05.11.1974 12:00,7.9
03.12.1974 12:00,6.6
07.01.1975 12:00,5.5
04.02.1975 12:00,5.2
04.03.1975 12:00,5.1
01.04.1975 12:00,4.9
29.04.1975 12:00,11.2
27.05.1975 12:00,11.2
24.06.1975 12:00,16.4
22.07.1975 12:00,18.9
19.08.1975 12:00,17.6
10.09.1975 12:00,18.8
23.10.1975 12:00,11.7
12.11.1975 12:00,9.9
11.12.1975 12:00,7.4
13.01.1976 12:00,5.2
10.02.1976 12:00,4.5
09.03.1976 12:00,4.3
07.04.1976 12:00,9.2
04.05.1976 12:00,7.8
24.05.1976 12:00,12.1
22.06.1976 12:00,21.4
19.07.1976 12:00,24.0
16.08.1976 12:00,19.3
13.09.1976 12:00,16.2
11.10.1976 12:00,15.1
08.11.1976 12:00,9.7
06.12.1976 12:00,6.6
11.01.1977 12:00,4.6
08.02.1977 12:00,4.4
08.03.1977 12:00,5.1
05.04.1977 12:00,5.4
10.05.1977 12:00,8.3
07.06.1977 12:00,11.9
05.07.1977 12:00,21.0
02.08.1977 12:00,18.2
05.09.1977 12:00,17.9
25.10.1977 12:00,11.7
08.11.1977 12:00,11.0
06.12.1977 12:00,6.7
10.01.1978 12:00,5.2
14.02.1978 12:00,4.5
07.03.1978 12:00,4.5
04.04.1978 12:00,6.9
09.05.1978 12:00,8.0
06.06.1978 12:00,18.1
04.07.1978 12:00,15.9
