date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
21.01.1987 12:00,0.2
19.02.1987 12:00,0.2
18.03.1987 12:00,0.2
16.04.1987 12:00,0.0
14.05.1987 12:00,0.0
23.06.1987 12:00,0.1
16.07.1987 12:00,0.1
20.08.1987 12:00,0.1
17.09.1987 12:00,0.1
15.10.1987 12:00,0.1
12.11.1987 12:00,0.1
10.12.1987 12:00,0.0
21.01.1988 12:00,0.0
18.02.1988 12:00,0.0
17.03.1988 12:00,0.0
14.04.1988 12:00,0.0
19.05.1988 12:00,0.0
16.06.1988 12:00,0.1
14.07.1988 12:00,0.0
18.08.1988 12:00,0.0
15.09.1988 12:00,0.0
13.10.1988 12:00,0.1
10.11.1988 12:00,0.1
21.12.1988 12:00,0.1
24.01.1989 12:00,0.0
21.02.1989 12:00,0.1
21.03.1989 12:00,0.1
31.03.1989 12:00,0.1
18.04.1989 12:00,0.1
28.04.1989 12:00,0.1
17.05.1989 12:00,0.1
26.05.1989 12:00,0.1
13.06.1989 12:00,0.1
26.06.1989 12:00,0.1
18.07.1989 12:00,0.1
16.08.1989 12:00,0.2
19.09.1989 12:00,0.2
17.10.1989 12:00,0.2
14.11.1989 12:00,0.2
19.12.1989 12:00,0.1
23.01.1990 12:00,0.2
27.02.1990 12:00,0.2
27.03.1990 12:00,0.2
24.04.1990 12:00,0.2
22.05.1990 12:00,0.2
26.06.1990 12:00,0.2
27.07.1990 12:00,0.2
04.09.1990 12:00,0.2
26.09.1990 12:00,0.2
18.10.1990 12:00,0.2
19.11.1990 12:00,0.2
18.12.1990 12:00,0.2
31.01.1991 12:00,0.2
21.02.1991 12:00,0.2
21.03.1991 12:00,0.2
23.04.1991 12:00,0.1
21.05.1991 12:00,0.2
18.06.1991 12:00,0.1
23.07.1991 12:00,0.1
27.08.1991 12:00,0.1
11.09.1991 12:00,0.1
09.10.1991 12:00,0.2
06.11.1991 12:00,0.2
04.12.1991 12:00,0.2
27.02.1992 12:00,0.2
10.03.1992 12:00,0.2
17.03.1992 12:00,0.2
15.04.1992 12:00,0.2
14.05.1992 12:00,0.1
10.06.1992 12:00,0.2
08.07.1992 12:00,0.1
05.08.1992 12:00,0.1
06.08.1992 12:00,0.1
09.09.1992 12:00,0.1
07.10.1992 12:00,0.2
04.11.1992 12:00,0.1
02.12.1992 12:00,0.1
13.01.1993 12:00,0.2
04.02.1993 12:00,0.2
11.03.1993 12:00,0.2
08.04.1993 12:00,0.2
06.05.1993 12:00,0.2
27.06.1993 12:00,0.2
08.07.1993 12:00,0.1
05.08.1993 12:00,0.2
16.09.1993 12:00,0.2
21.10.1993 12:00,0.2
16.11.1993 12:00,0.2
09.12.1993 12:00,0.2
12.01.1994 12:00,0.2
08.02.1994 12:00,0.2
17.03.1994 12:00,0.2
13.04.1994 12:00,0.1
10.05.1994 12:00,0.1
15.06.1994 12:00,0.1
15.07.1994 12:00,0.1
17.08.1994 12:00,0.1
15.09.1994 12:00,0.2
16.09.1994 12:00,0.1
19.09.1994 12:00,0.1
12.10.1994 12:00,0.2
16.11.1994 12:00,0.3
14.12.1994 12:00,0.3
11.01.1995 12:00,0.5
08.02.1995 12:00,0.2
15.03.1995 12:00,0.2
04.04.1995 12:00,0.2
12.04.1995 12:00,0.2
17.05.1995 12:00,0.2
13.06.1995 12:00,0.2
12.07.1995 12:00,0.2
09.08.1995 12:00,0.2
14.09.1995 12:00,0.2
13.10.1995 12:00,0.2
16.11.1995 12:00,0.2
14.12.1995 12:00,0.5
18.01.1996 12:00,0.4
15.02.1996 12:00,0.2
21.03.1996 12:00,0.2
17.04.1996 12:00,0.2
14.05.1996 12:00,0.2
13.06.1996 12:00,0.2
10.07.1996 12:00,0.2
22.07.1996 12:00,0.2
06.08.1996 12:00,0.2
27.08.1996 12:00,0.2
13.09.1996 12:00,0.2
24.09.1996 12:00,0.2
04.10.1996 12:00,0.2
23.10.1996 12:00,0.2
26.11.1996 12:00,0.0
12.12.1996 12:00,0.2
17.12.1996 12:00,0.2
10.01.1997 12:00,0.2
28.01.1997 12:00,0.0
20.02.1997 12:00,0.2
25.02.1997 12:00,0.2
13.03.1997 12:00,0.1
25.03.1997 12:00,0.2
10.04.1997 12:00,0.2
21.04.1997 12:00,0.2
07.05.1997 12:00,0.2
20.05.1997 12:00,0.2
05.06.1997 12:00,0.2
18.06.1997 12:00,0.2
03.07.1997 12:00,0.2
22.07.1997 12:00,0.2
07.08.1997 12:00,0.2
27.08.1997 12:00,0.2
11.09.1997 12:00,0.1
23.09.1997 12:00,0.2
21.10.1997 12:00,0.2
06.11.1997 12:00,0.2
17.11.1997 12:00,0.2
09.12.1997 12:00,0.2
16.12.1997 12:00,0.2
15.01.1998 12:00,0.2
27.01.1998 12:00,0.2
12.02.1998 12:00,0.2
23.02.1998 12:00,0.2
13.03.1998 12:00,0.2
23.03.1998 12:00,0.2
09.04.1998 12:00,0.2
21.04.1998 12:00,0.2
07.05.1998 12:00,0.2
19.05.1998 12:00,0.2
05.06.1998 12:00,0.2
16.06.1998 12:00,0.1
02.07.1998 12:00,0.2
23.07.1998 12:00,0.2
13.08.1998 12:00,0.2
24.08.1998 12:00,0.2
10.09.1998 12:00,0.2
22.09.1998 12:00,0.2
09.10.1998 12:00,0.2
27.10.1998 12:00,0.2
06.11.1998 12:00,0.2
18.11.1998 12:00,0.2
11.12.1998 12:00,0.2
15.12.1998 12:00,0.2
14.01.1999 12:00,0.2
26.01.1999 12:00,0.2
18.02.1999 12:00,0.2
24.02.1999 12:00,0.2
23.03.1999 12:00,0.0
27.04.1999 12:00,0.0
10.05.1999 12:00,0.0
26.05.1999 12:00,0.0
09.06.1999 12:00,0.0
09.07.1999 12:00,0.0
11.08.1999 12:00,0.0
24.08.1999 12:00,0.0
09.09.1999 12:00,0.0
29.09.1999 12:00,0.0
05.10.1999 12:00,0.0
19.10.1999 12:00,0.0
09.11.1999 12:00,0.2
16.11.1999 12:00,0.2
01.12.1999 12:00,0.2
14.12.1999 12:00,0.2
11.01.2000 12:00,0.2
26.01.2000 12:00,0.2
08.02.2000 12:00,0.2
22.02.2000 12:00,0.2
07.03.2000 12:00,0.2
21.03.2000 12:00,0.2
03.04.2000 12:00,0.2
19.04.2000 12:00,0.2
02.05.2000 12:00,0.2
23.05.2000 12:00,0.2
06.06.2000 12:00,0.2
20.06.2000 12:00,0.2
11.07.2000 12:00,0.2
25.07.2000 12:00,0.2
08.08.2000 12:00,0.2
22.08.2000 12:00,0.2
05.09.2000 12:00,0.2
26.09.2000 12:00,0.2
10.10.2000 12:00,0.2
24.10.2000 12:00,0.2
08.11.2000 12:00,0.2
21.11.2000 12:00,0.2
05.12.2000 12:00,0.2
19.12.2000 12:00,0.2
09.01.2001 12:00,0.2
23.01.2001 12:00,0.2
06.02.2001 12:00,0.2
20.02.2001 12:00,0.2
06.03.2001 12:00,0.2
20.03.2001 12:00,0.2
03.04.2001 12:00,0.2
17.04.2001 12:00,0.2
03.05.2001 12:00,0.2
15.05.2001 12:00,0.2
08.06.2001 12:00,0.3
20.06.2001 12:00,0.2
17.07.2001 12:00,0.2
24.07.2001 12:00,0.2
07.08.2001 12:00,0.2
06.09.2001 12:00,0.2
11.09.2001 12:00,0.2
26.09.2001 12:00,0.2
12.10.2001 12:00,0.2
23.10.2001 12:00,0.2
06.11.2001 12:00,0.2
20.11.2001 12:00,0.2
04.12.2001 12:00,0.2
18.12.2001 12:00,0.2
08.01.2002 12:00,0.2
22.01.2002 12:00,0.2
04.02.2002 12:00,0.2
19.02.2002 12:00,0.2
06.03.2002 12:00,0.2
20.03.2002 12:00,0.2
02.04.2002 12:00,0.2
16.04.2002 12:00,0.2
06.05.2002 12:00,0.2
21.05.2002 12:00,0.2
07.06.2002 12:00,0.2
25.06.2002 12:00,0.2
09.07.2002 12:00,0.2
23.07.2002 12:00,0.2
09.08.2002 12:00,0.2
20.08.2002 12:00,0.3
03.09.2002 12:00,0.2
24.09.2002 12:00,0.2
08.10.2002 12:00,0.2
23.10.2002 12:00,0.2
05.11.2002 12:00,0.2
19.11.2002 12:00,0.2
04.12.2002 12:00,0.2
17.12.2002 12:00,0.2
07.01.2003 12:00,0.2
28.01.2003 12:00,0.2
04.02.2003 12:00,0.2
17.02.2003 12:00,0.2
10.03.2003 12:00,0.2
25.03.2003 12:00,0.2
07.04.2003 12:00,0.2
22.04.2003 12:00,0.2
05.05.2003 12:00,0.2
20.05.2003 12:00,0.2
02.06.2003 12:00,0.2
17.06.2003 12:00,0.2
14.07.2003 12:00,0.2
