date (yyyy-mm-dd HH:MM:SS),bottom temperature [°C]
21.01.1987 12:00,5.5
19.02.1987 12:00,5.49
18.03.1987 12:00,5.51
16.04.1987 12:00,5.6
14.05.1987 12:00,5.6
23.06.1987 12:00,5.57
16.07.1987 12:00,5.56
20.08.1987 12:00,5.57
17.09.1987 12:00,5.55
15.10.1987 12:00,5.57
12.11.1987 12:00,5.56
10.12.1987 12:00,5.57
21.01.1988 12:00,5.58
18.02.1988 12:00,5.66
17.03.1988 12:00,5.68
14.04.1988 12:00,5.67
19.05.1988 12:00,5.64
16.06.1988 12:00,5.6
14.07.1988 12:00,5.62
18.08.1988 12:00,5.58
15.09.1988 12:00,5.64
13.10.1988 12:00,5.64
10.11.1988 12:00,5.62
21.12.1988 12:00,5.61
24.01.1989 12:00,5.54
21.02.1989 12:00,5.48
21.03.1989 12:00,5.43
31.03.1989 12:00,5.48
18.04.1989 12:00,5.4
28.04.1989 12:00,5.5
17.05.1989 12:00,5.51
26.05.1989 12:00,5.5
13.06.1989 12:00,5.5
26.06.1989 12:00,5.5
18.07.1989 12:00,5.51
16.08.1989 12:00,5.5
19.09.1989 12:00,5.51
17.10.1989 12:00,5.52
14.11.1989 12:00,5.52
19.12.1989 12:00,5.5
23.01.1990 12:00,5.5
27.02.1990 12:00,5.49
27.03.1990 12:00,5.49
24.04.1990 12:00,5.48
22.05.1990 12:00,5.46
26.06.1990 12:00,5.46
27.07.1990 12:00,5.46
04.09.1990 12:00,5.48
26.09.1990 12:00,5.48
18.10.1990 12:00,5.48
19.11.1990 12:00,5.52
18.12.1990 12:00,5.5
31.01.1991 12:00,5.51
21.02.1991 12:00,5.51
21.03.1991 12:00,5.51
23.04.1991 12:00,5.51
21.05.1991 12:00,5.51
18.06.1991 12:00,5.5
23.07.1991 12:00,5.49
27.08.1991 12:00,5.57
11.09.1991 12:00,5.58
09.10.1991 12:00,5.58
06.11.1991 12:00,5.6
04.12.1991 12:00,5.6
27.02.1992 12:00,5.6
10.03.1992 12:00,5.59
17.03.1992 12:00,5.6
15.04.1992 12:00,5.59
14.05.1992 12:00,5.59
10.06.1992 12:00,5.6
08.07.1992 12:00,5.6
05.08.1992 12:00,5.59
06.08.1992 12:00,5.59
09.09.1992 12:00,5.6
07.10.1992 12:00,5.61
04.11.1992 12:00,5.61
02.12.1992 12:00,5.62
13.01.1993 12:00,5.62
04.02.1993 12:00,5.62
11.03.1993 12:00,5.62
08.04.1993 12:00,5.62
06.05.1993 12:00,5.62
27.06.1993 12:00,5.52
08.07.1993 12:00,5.52
05.08.1993 12:00,5.52
16.09.1993 12:00,5.53
21.10.1993 12:00,5.53
16.11.1993 12:00,5.54
09.12.1993 12:00,5.54
12.01.1994 12:00,5.54
08.02.1994 12:00,5.54
17.03.1994 12:00,5.54
13.04.1994 12:00,5.54
10.05.1994 12:00,5.55
15.06.1994 12:00,5.54
15.07.1994 12:00,5.54
17.08.1994 12:00,5.54
15.09.1994 12:00,5.56
16.09.1994 12:00,5.56
19.09.1994 12:00,5.55
12.10.1994 12:00,5.55
16.11.1994 12:00,5.56
14.12.1994 12:00,5.56
11.01.1995 12:00,5.56
08.02.1995 12:00,5.56
15.03.1995 12:00,5.56
04.04.1995 12:00,5.56
12.04.1995 12:00,5.56
17.05.1995 12:00,5.56
13.06.1995 12:00,5.56
12.07.1995 12:00,5.56
09.08.1995 12:00,5.57
14.09.1995 12:00,5.6
13.10.1995 12:00,5.6
16.11.1995 12:00,5.6
14.12.1995 12:00,5.61
18.01.1996 12:00,5.61
15.02.1996 12:00,5.61
21.03.1996 12:00,5.6
17.04.1996 12:00,5.61
14.05.1996 12:00,5.6
13.06.1996 12:00,5.61
10.07.1996 12:00,5.62
22.07.1996 12:00,5.62
06.08.1996 12:00,5.62
27.08.1996 12:00,5.62
13.09.1996 12:00,5.63
24.09.1996 12:00,5.63
04.10.1996 12:00,5.63
23.10.1996 12:00,5.63
26.11.1996 12:00,5.59
12.12.1996 12:00,5.64
17.12.1996 12:00,5.64
10.01.1997 12:00,5.64
28.01.1997 12:00,5.6
20.02.1997 12:00,5.65
25.02.1997 12:00,5.65
13.03.1997 12:00,5.65
25.03.1997 12:00,5.65
10.04.1997 12:00,5.65
21.04.1997 12:00,5.66
07.05.1997 12:00,5.66
20.05.1997 12:00,5.66
05.06.1997 12:00,5.66
18.06.1997 12:00,5.66
03.07.1997 12:00,5.66
22.07.1997 12:00,5.69
07.08.1997 12:00,5.69
27.08.1997 12:00,5.69
11.09.1997 12:00,5.68
23.09.1997 12:00,5.69
21.10.1997 12:00,5.69
06.11.1997 12:00,5.69
17.11.1997 12:00,5.69
09.12.1997 12:00,5.69
16.12.1997 12:00,5.69
15.01.1998 12:00,5.69
27.01.1998 12:00,5.7
12.02.1998 12:00,5.69
23.02.1998 12:00,5.69
13.03.1998 12:00,5.69
23.03.1998 12:00,5.69
09.04.1998 12:00,5.69
21.04.1998 12:00,5.69
07.05.1998 12:00,5.69
19.05.1998 12:00,5.68
05.06.1998 12:00,5.69
16.06.1998 12:00,5.69
02.07.1998 12:00,5.71
23.07.1998 12:00,5.71
13.08.1998 12:00,5.71
24.08.1998 12:00,5.71
10.09.1998 12:00,5.75
22.09.1998 12:00,5.72
09.10.1998 12:00,5.74
27.10.1998 12:00,5.74
06.11.1998 12:00,5.73
18.11.1998 12:00,5.73
11.12.1998 12:00,5.75
15.12.1998 12:00,5.74
14.01.1999 12:00,5.73
26.01.1999 12:00,5.74
18.02.1999 12:00,5.74
24.02.1999 12:00,5.75
23.03.1999 12:00,5.76
27.04.1999 12:00,5.76
10.05.1999 12:00,5.76
26.05.1999 12:00,5.75
09.06.1999 12:00,5.75
09.07.1999 12:00,5.75
11.08.1999 12:00,5.75
24.08.1999 12:00,5.76
09.09.1999 12:00,5.76
29.09.1999 12:00,5.76
05.10.1999 12:00,5.76
19.10.1999 12:00,5.76
09.11.1999 12:00,5.78
16.11.1999 12:00,5.78
01.12.1999 12:00,5.78
14.12.1999 12:00,5.78
11.01.2000 12:00,5.78
26.01.2000 12:00,5.78
08.02.2000 12:00,5.79
22.02.2000 12:00,5.79
07.03.2000 12:00,5.79
21.03.2000 12:00,5.79
03.04.2000 12:00,5.79
19.04.2000 12:00,5.79
02.05.2000 12:00,5.79
23.05.2000 12:00,5.8
06.06.2000 12:00,5.8
20.06.2000 12:00,5.8
11.07.2000 12:00,5.8
25.07.2000 12:00,5.81
08.08.2000 12:00,5.81
22.08.2000 12:00,5.82
05.09.2000 12:00,5.81
26.09.2000 12:00,5.82
10.10.2000 12:00,5.82
24.10.2000 12:00,5.82
08.11.2000 12:00,5.82
21.11.2000 12:00,5.82
05.12.2000 12:00,5.82
19.12.2000 12:00,5.82
09.01.2001 12:00,5.82
23.01.2001 12:00,5.82
06.02.2001 12:00,5.82
20.02.2001 12:00,5.82
06.03.2001 12:00,5.82
20.03.2001 12:00,5.82
03.04.2001 12:00,5.82
17.04.2001 12:00,5.82
03.05.2001 12:00,5.82
15.05.2001 12:00,5.82
08.06.2001 12:00,5.83
20.06.2001 12:00,5.82
17.07.2001 12:00,5.86
24.07.2001 12:00,5.89
07.08.2001 12:00,5.89
06.09.2001 12:00,5.88
11.09.2001 12:00,5.87
26.09.2001 12:00,5.87
12.10.2001 12:00,5.88
23.10.2001 12:00,5.88
06.11.2001 12:00,5.87
20.11.2001 12:00,5.88
04.12.2001 12:00,5.87
18.12.2001 12:00,5.87
08.01.2002 12:00,5.87
22.01.2002 12:00,5.87
04.02.2002 12:00,5.87
19.02.2002 12:00,5.87
06.03.2002 12:00,5.87
20.03.2002 12:00,5.87
02.04.2002 12:00,5.86
16.04.2002 12:00,5.87
06.05.2002 12:00,5.87
21.05.2002 12:00,5.87
07.06.2002 12:00,5.88
25.06.2002 12:00,5.88
09.07.2002 12:00,5.88
23.07.2002 12:00,5.88
09.08.2002 12:00,5.88
20.08.2002 12:00,5.88
03.09.2002 12:00,5.88
24.09.2002 12:00,5.88
08.10.2002 12:00,5.89
23.10.2002 12:00,5.88
05.11.2002 12:00,5.89
19.11.2002 12:00,5.89
04.12.2002 12:00,5.89
17.12.2002 12:00,5.89
07.01.2003 12:00,5.89
28.01.2003 12:00,5.9
04.02.2003 12:00,5.89
17.02.2003 12:00,5.89
10.03.2003 12:00,5.9
25.03.2003 12:00,5.9
07.04.2003 12:00,5.9
22.04.2003 12:00,5.9
05.05.2003 12:00,5.9
20.05.2003 12:00,5.9
02.06.2003 12:00,5.9
17.06.2003 12:00,5.9
14.07.2003 12:00,5.9
28.07.2003 12:00,5.9
11.08.2003 12:00,5.9
26.08.2003 12:00,5.9
10.09.2003 12:00,5.9
24.09.2003 12:00,5.9
09.10.2003 12:00,5.9
20.10.2003 12:00,5.9
04.11.2003 12:00,5.91
18.11.2003 12:00,5.91
03.12.2003 12:00,5.91
16.12.2003 12:00,5.91
13.01.2004 12:00,5.91
27.01.2004 12:00,5.91
10.02.2004 12:00,5.91
24.02.2004 12:00,5.91
09.03.2004 12:00,5.91
23.03.2004 12:00,5.91
05.04.2004 12:00,5.91
20.04.2004 12:00,5.91
04.05.2004 12:00,5.91
18.05.2004 12:00,5.91
02.06.2004 12:00,5.91
15.06.2004 12:00,5.91
13.07.2004 12:00,5.92
27.07.2004 12:00,5.91
10.08.2004 12:00,5.91
24.08.2004 12:00,5.92
07.09.2004 12:00,5.92
21.09.2004 12:00,5.92
05.10.2004 12:00,5.92
19.10.2004 12:00,5.92
02.11.2004 12:00,5.92
16.11.2004 12:00,5.92
30.11.2004 12:00,5.92
14.12.2004 12:00,5.92
18.01.2005 12:00,5.92
01.02.2005 12:00,5.92
15.02.2005 12:00,5.92
01.03.2005 12:00,5.91
14.03.2005 12:00,5.58
30.03.2005 12:00,5.57
11.04.2005 12:00,5.55
27.04.2005 12:00,5.55
09.05.2005 12:00,5.56
24.05.2005 12:00,5.57
08.06.2005 12:00,5.58
21.06.2005 12:00,5.59
13.07.2005 12:00,5.6
27.07.2005 12:00,5.6
10.08.2005 12:00,5.59
24.08.2005 12:00,5.59
06.09.2005 12:00,5.59
20.09.2005 12:00,5.61
04.10.2005 12:00,5.6
18.10.2005 12:00,5.61
09.11.2005 12:00,5.62
22.11.2005 12:00,5.61
05.12.2005 12:00,5.63
13.12.2005 12:00,5.62
10.01.2006 12:00,5.64
25.01.2006 12:00,5.65
06.02.2006 12:00,5.53
21.02.2006 12:00,5.41
07.03.2006 12:00,5.39
21.03.2006 12:00,5.39
03.04.2006 12:00,5.4
25.04.2006 12:00,5.41
08.05.2006 12:00,5.41
22.05.2006 12:00,5.42
07.06.2006 12:00,5.42
20.06.2006 12:00,5.42
18.07.2006 12:00,5.43
25.07.2006 12:00,5.43
08.08.2006 12:00,5.44
22.08.2006 12:00,5.44
05.09.2006 12:00,5.45
19.09.2006 12:00,5.45
04.10.2006 12:00,5.46
24.10.2006 12:00,5.46
07.11.2006 12:00,5.46
20.11.2006 12:00,5.45
05.12.2006 12:00,5.46
19.12.2006 12:00,5.46
09.01.2007 12:00,5.47
23.01.2007 12:00,5.47
06.02.2007 12:00,5.47
28.02.2007 12:00,5.48
13.03.2007 12:00,5.47
26.03.2007 12:00,5.47
11.04.2007 12:00,5.47
23.04.2007 12:00,5.48
11.05.2007 12:00,5.48
21.05.2007 12:00,5.48
06.06.2007 12:00,5.48
18.06.2007 12:00,5.48
10.07.2007 12:00,5.49
23.07.2007 12:00,5.5
07.08.2007 12:00,5.5
20.08.2007 12:00,5.5
03.09.2007 12:00,5.5
17.09.2007 12:00,5.5
02.10.2007 12:00,5.51
15.10.2007 12:00,5.52
06.11.2007 12:00,5.52
19.11.2007 12:00,5.52
05.12.2007 12:00,5.53
18.12.2007 12:00,5.53
09.01.2008 12:00,5.53
21.01.2008 12:00,5.53
04.02.2008 12:00,5.53
18.02.2008 12:00,5.54
04.03.2008 12:00,5.54
17.03.2008 12:00,5.54
01.04.2008 12:00,5.54
14.04.2008 12:00,5.55
06.05.2008 12:00,5.55
19.05.2008 12:00,5.55
03.06.2008 12:00,5.55
16.06.2008 12:00,5.55
08.07.2008 12:00,5.56
21.07.2008 12:00,5.57
05.08.2008 12:00,5.57
18.08.2008 12:00,5.57
02.09.2008 12:00,5.57
15.09.2008 12:00,5.58
06.10.2008 12:00,5.58
20.10.2008 12:00,5.58
04.11.2008 12:00,5.58
17.11.2008 12:00,5.59
04.12.2008 12:00,5.59
15.12.2008 12:00,5.59
15.01.2009 12:00,5.6
26.01.2009 12:00,5.6
11.02.2009 12:00,5.6
23.02.2009 12:00,5.6
03.03.2009 12:00,5.6
10.03.2009 12:00,5.6
23.03.2009 12:00,5.6
06.04.2009 12:00,5.61
20.04.2009 12:00,5.61
05.05.2009 12:00,5.61
18.05.2009 12:00,5.61
02.06.2009 12:00,5.61
09.06.2009 12:00,5.61
15.06.2009 12:00,5.61
14.07.2009 12:00,5.61
27.07.2009 12:00,5.64
04.08.2009 12:00,5.65
11.08.2009 12:00,5.64
17.08.2009 12:00,5.65
08.09.2009 12:00,5.64
21.09.2009 12:00,5.64
06.10.2009 12:00,5.65
19.10.2009 12:00,5.65
09.11.2009 12:00,5.65
17.11.2009 12:00,5.65
01.12.2009 12:00,5.65
14.12.2009 12:00,5.65
12.01.2010 12:00,5.65
25.01.2010 12:00,5.66
09.02.2010 12:00,5.66
22.02.2010 12:00,5.66
09.03.2010 12:00,5.66
22.03.2010 12:00,5.66
09.04.2010 12:00,5.66
19.04.2010 12:00,5.66
04.05.2010 12:00,5.66
17.05.2010 12:00,5.66
08.06.2010 12:00,5.67
21.06.2010 12:00,5.67
14.07.2010 12:00,5.67
26.07.2010 12:00,5.67
10.08.2010 12:00,5.68
23.08.2010 12:00,5.68
07.09.2010 12:00,5.68
20.09.2010 12:00,5.68
07.10.2010 12:00,5.68
18.10.2010 12:00,5.69
10.11.2010 12:00,5.69
22.11.2010 12:00,5.69
