date,depth,density [kg m-3]
21.01.1983 12:00,0.4,1000.101
21.01.1983 12:00,5.0,1000.101
21.01.1983 12:00,10.0,1000.101
21.01.1983 12:00,15.0,1000.101
21.01.1983 12:00,20.0,1000.101
21.01.1983 12:00,30.0,1000.101
21.01.1983 12:00,50.0,1000.107
21.01.1983 12:00,100.0,1000.117
21.01.1983 12:00,150.0,1000.12
21.01.1983 12:00,200.0,1000.121
21.01.1983 12:00,250.0,1000.125
21.01.1983 12:00,276.0,1000.128
21.01.1983 12:00,281.0,1000.128
21.01.1983 12:00,284.0,1000.131
22.02.1983 12:00,0.4,1000.106
22.02.1983 12:00,5.0,1000.106
22.02.1983 12:00,10.0,1000.106
22.02.1983 12:00,15.0,1000.106
22.02.1983 12:00,20.0,1000.106
22.02.1983 12:00,30.0,1000.106
22.02.1983 12:00,50.0,1000.106
22.02.1983 12:00,100.0,1000.111
22.02.1983 12:00,150.0,1000.12
22.02.1983 12:00,200.0,1000.123
22.02.1983 12:00,250.0,1000.125
22.02.1983 12:00,276.0,1000.127
22.02.1983 12:00,281.0,
22.02.1983 12:00,284.0,1000.127
22.03.1983 12:00,0.4,1000.048
22.03.1983 12:00,5.0,1000.066
22.03.1983 12:00,10.0,1000.089
22.03.1983 12:00,15.0,1000.099
22.03.1983 12:00,20.0,1000.105
22.03.1983 12:00,30.0,1000.113
22.03.1983 12:00,50.0,1000.114
22.03.1983 12:00,100.0,1000.12
22.03.1983 12:00,150.0,1000.123
22.03.1983 12:00,200.0,1000.125
22.03.1983 12:00,250.0,1000.126
22.03.1983 12:00,276.0,1000.127
22.03.1983 12:00,281.0,1000.127
22.03.1983 12:00,284.0,1000.128
19.04.1983 12:00,0.4,1000.004
19.04.1983 12:00,5.0,1000.018
19.04.1983 12:00,10.0,1000.04
19.04.1983 12:00,15.0,1000.055
19.04.1983 12:00,20.0,1000.068
19.04.1983 12:00,30.0,1000.096
19.04.1983 12:00,50.0,1000.111
19.04.1983 12:00,100.0,1000.111
19.04.1983 12:00,150.0,1000.122
19.04.1983 12:00,200.0,1000.123
19.04.1983 12:00,250.0,1000.126
19.04.1983 12:00,276.0,1000.127
19.04.1983 12:00,281.0,1000.128
19.04.1983 12:00,284.0,1000.128
27.05.1983 12:00,0.4,999.578
27.05.1983 12:00,5.0,999.65
27.05.1983 12:00,10.0,999.818
27.05.1983 12:00,15.0,999.946
27.05.1983 12:00,20.0,1000.06
27.05.1983 12:00,30.0,1000.091
27.05.1983 12:00,50.0,1000.113
27.05.1983 12:00,100.0,1000.12
27.05.1983 12:00,150.0,1000.124
27.05.1983 12:00,200.0,1000.125
27.05.1983 12:00,250.0,1000.126
27.05.1983 12:00,276.0,1000.127
27.05.1983 12:00,281.0,1000.127
27.05.1983 12:00,284.0,1000.128
21.06.1983 12:00,0.4,998.744
21.06.1983 12:00,5.0,998.744
21.06.1983 12:00,10.0,999.641
