date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
21.01.1983 12:00,3804157616.0
22.02.1983 12:00,3760520509.0
22.03.1983 12:00,3782912669.0
19.04.1983 12:00,3946923672.0
27.05.1983 12:00,4208272599.0
21.06.1983 12:00,4410603041.0
19.07.1983 12:00,4641588780.0
18.08.1983 12:00,4637134911.0
22.09.1983 12:00,4599466118.0
25.10.1983 12:00,4543690603.0
22.11.1983 12:00,4374748414.0
22.12.1983 12:00,3956946545.0
24.01.1984 12:00,3710147073.0
21.02.1984 12:00,
22.03.1984 12:00,3667100413.0
25.04.1984 12:00,4059499232.0
24.05.1984 12:00,4220769483.0
19.06.1984 12:00,
17.07.1984 12:00,4690351254.0
21.08.1984 12:00,4871645459.0
20.09.1984 12:00,4805157075.0
23.10.1984 12:00,4577148029.0
20.11.1984 12:00,4368825310.0
18.12.1984 12:00,4110642159.0
17.01.1985 12:00,3687972335.0
14.02.1985 12:00,3608622969.0
07.03.1985 12:00,3683847831.0
21.03.1985 12:00,3557434981.0
04.04.1985 12:00,3757385606.0
18.04.1985 12:00,3882861646.0
04.05.1985 12:00,4034701535.0
14.05.1985 12:00,4108191938.0
30.05.1985 12:00,4392145744.0
13.06.1985 12:00,4391201897.0
27.06.1985 12:00,4538056715.0
11.07.1985 12:00,4952199523.0
25.07.1985 12:00,5024457344.0
08.08.1985 12:00,4967365905.0
22.08.1985 12:00,5013879964.0
05.09.1985 12:00,4934333907.0
19.09.1985 12:00,4893618886.0
03.10.1985 12:00,4990808168.0
17.10.1985 12:00,4685706822.0
29.10.1985 12:00,4540255352.0
14.11.1985 12:00,4369720528.0
04.12.1985 12:00,4231954433.0
09.01.1986 12:00,3937525748.0
13.02.1986 12:00,3718754721.0
20.03.1986 12:00,
17.04.1986 12:00,3874245838.0
15.05.1986 12:00,4111178366.0
13.06.1986 12:00,4301783685.0
10.07.1986 12:00,4524044550.0
07.08.1986 12:00,4810667116.0
04.09.1986 12:00,4722441999.0
02.10.1986 12:00,4721412602.0
30.10.1986 12:00,4503393132.0
03.12.1986 12:00,4244802517.0
21.01.1987 12:00,3752966463.0
19.02.1987 12:00,3678582972.0
18.03.1987 12:00,3667735559.0
16.04.1987 12:00,3869308074.0
13.05.1987 12:00,4252912786.0
23.06.1987 12:00,4448493368.0
16.07.1987 12:00,4573032504.0
20.08.1987 12:00,4730167397.0
17.09.1987 12:00,4642809208.0
15.10.1987 12:00,4543006881.0
12.11.1987 12:00,4451634314.0
10.12.1987 12:00,4249790598.0
21.01.1988 12:00,3993374879.0
18.02.1988 12:00,3973140117.0
17.03.1988 12:00,3973539598.0
14.04.1988 12:00,4088881843.0
19.05.1988 12:00,4410731352.0
16.06.1988 12:00,4420810986.0
14.07.1988 12:00,4581814799.0
18.08.1988 12:00,4630477043.0
15.09.1988 12:00,4815751355.0
13.10.1988 12:00,4661947472.0
10.11.1988 12:00,4491271870.0
21.12.1988 12:00,4092311146.0
24.01.1989 12:00,3894022026.0
21.02.1989 12:00,3774890915.0
21.03.1989 12:00,3807949118.0
18.04.1989 12:00,4009411204.0
17.05.1989 12:00,4235340809.0
13.06.1989 12:00,4683143239.0
18.07.1989 12:00,4793961523.0
16.08.1989 12:00,4981563678.0
19.09.1989 12:00,4870817259.0
17.10.1989 12:00,4705343404.0
14.11.1989 12:00,4583699392.0
19.12.1989 12:00,
23.01.1990 12:00,3965222205.0
27.02.1990 12:00,3980549988.0
27.03.1990 12:00,4108025347.0
24.04.1990 12:00,4271173782.0
22.05.1990 12:00,4544324652.0
26.06.1990 12:00,4677356183.0
27.07.1990 12:00,4939265420.0
04.09.1990 12:00,4926556056.0
26.09.1990 12:00,4938510113.0
18.10.1990 12:00,4865900730.0
19.11.1990 12:00,4554001691.0
18.12.1990 12:00,4249392896.0
31.01.1991 12:00,3965449850.0
21.02.1991 12:00,3831428736.0
21.03.1991 12:00,3969147935.0
23.04.1991 12:00,4122832916.0
21.05.1991 12:00,4394529719.0
18.06.1991 12:00,4592468213.0
23.07.1991 12:00,4852933633.0
27.08.1991 12:00,4986444423.0
11.09.1991 12:00,5019800885.0
09.10.1991 12:00,4852298671.0
06.11.1991 12:00,4554264141.0
04.12.1991 12:00,4364743566.0
21.01.1992 12:00,
26.02.1992 12:00,3947906716.0
17.03.1992 12:00,4024667599.0
15.04.1992 12:00,4167890302.0
14.05.1992 12:00,4482142033.0
10.06.1992 12:00,4673243830.0
08.07.1992 12:00,4787741653.0
05.08.1992 12:00,4907418883.0
09.09.1992 12:00,5005235320.0
07.10.1992 12:00,4891151807.0
04.11.1992 12:00,4574187628.0
02.12.1992 12:00,4456098678.0
13.01.1993 12:00,4123379709.0
04.02.1993 12:00,4075359116.0
11.03.1993 12:00,3983755037.0
08.04.1993 12:00,4178855734.0
06.05.1993 12:00,4406108762.0
27.05.1993 12:00,4500181861.0
08.07.1993 12:00,4641859716.0
05.08.1993 12:00,4817426453.0
16.09.1993 12:00,4775569583.0
21.10.1993 12:00,4607275654.0
16.11.1993 12:00,4503661608.0
09.12.1993 12:00,4274371844.0
12.01.1994 12:00,4035913237.0
08.02.1994 12:00,3973179038.0
17.03.1994 12:00,4037738530.0
13.04.1994 12:00,4156533409.0
10.05.1994 12:00,4428215151.0
15.06.1994 12:00,4669808191.0
15.07.1994 12:00,4896261974.0
17.08.1994 12:00,4924434800.0
19.09.1994 12:00,4766154752.0
12.10.1994 12:00,4709886619.0
16.11.1994 12:00,4585841049.0
14.12.1994 12:00,4434840716.0
11.01.1995 12:00,4119692122.0
08.02.1995 12:00,3989920176.0
15.03.1995 12:00,4043551118.0
12.04.1995 12:00,4284142980.0
17.05.1995 12:00,4526386200.0
13.06.1995 12:00,4645432961.0
12.07.1995 12:00,4836461352.0
09.08.1995 12:00,4987198150.0
14.09.1995 12:00,5052877736.0
12.10.1995 12:00,4971752751.0
16.11.1995 12:00,4685329895.0
14.12.1995 12:00,4430701582.0
18.01.1996 12:00,4271881064.0
15.02.1996 12:00,4122200277.0
21.03.1996 12:00,4131274523.0
17.04.1996 12:00,4281955940.0
14.05.1996 12:00,4516149546.0
14.06.1996 12:00,4736554286.0
22.07.1996 12:00,4876799525.0
27.08.1996 12:00,5121121390.0
24.09.1996 12:00,4865320104.0
23.10.1996 12:00,4812149913.0
26.11.1996 12:00,4388496556.0
17.12.1996 12:00,4394224025.0
28.01.1997 12:00,4137939781.0
25.02.1997 12:00,4156817716.0
25.03.1997 12:00,4320005941.0
21.04.1997 12:00,4629016612.0
20.05.1997 12:00,4803634663.0
18.06.1997 12:00,5077658918.0
22.07.1997 12:00,5048916690.0
27.08.1997 12:00,5324949135.0
23.09.1997 12:00,5272557042.0
21.10.1997 12:00,5062010793.0
17.11.1997 12:00,4835287583.0
16.12.1997 12:00,4537322649.0
27.01.1998 12:00,4358878324.0
23.02.1998 12:00,4259385220.0
23.03.1998 12:00,4323342047.0
21.04.1998 12:00,4503410047.0
19.05.1998 12:00,4598915378.0
16.06.1998 12:00,4899198469.0
23.07.1998 12:00,5199437981.0
24.08.1998 12:00,5240620559.0
22.09.1998 12:00,5148574025.0
27.10.1998 12:00,4988339474.0
18.11.1998 12:00,4735553667.0
15.12.1998 12:00,4439060695.0
26.01.1999 12:00,4211700480.0
24.02.1999 12:00,4090667342.0
23.03.1999 12:00,4091174293.0
27.04.1999 12:00,4333097453.0
26.05.1999 12:00,4663314527.0
23.06.1999 12:00,4651996335.0
29.07.1999 12:00,4976698917.0
24.08.1999 12:00,4998733577.0
29.09.1999 12:00,4962073258.0
19.10.1999 12:00,4847223884.0
16.11.1999 12:00,4696376475.0
14.12.1999 12:00,4492390321.0
26.01.2000 12:00,4057870462.0
22.02.2000 12:00,4033723921.0
21.03.2000 12:00,4157570423.0
19.04.2000 12:00,4248174593.0
23.05.2000 12:00,4602032446.0
20.06.2000 12:00,4753514779.0
25.07.2000 12:00,4786177186.0
22.08.2000 12:00,4975648679.0
26.09.2000 12:00,4940358626.0
24.10.2000 12:00,4737649361.0
21.11.2000 12:00,4573571225.0
19.12.2000 12:00,4419481140.0
23.01.2001 12:00,4178107543.0
20.02.2001 12:00,4135901670.0
20.03.2001 12:00,4209421035.0
17.04.2001 12:00,4405372795.0
15.05.2001 12:00,4525497858.0
