date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
21.01.1983 12:00,3.1
22.02.1983 12:00,2.9
22.03.1983 12:00,2.7
19.04.1983 12:00,2.5
27.05.1983 12:00,2.1
21.06.1983 12:00,2.3
19.07.1983 12:00,2.0
18.08.1983 12:00,1.9
22.09.1983 12:00,2.3
25.10.1983 12:00,1.7
22.11.1983 12:00,1.7
22.12.1983 12:00,1.6
24.01.1984 12:00,1.9
21.02.1984 12:00,2.5
22.03.1984 12:00,2.6
25.04.1984 12:00,2.9
24.05.1984 12:00,2.9
19.06.1984 12:00,2.6
17.07.1984 12:00,2.3
21.08.1984 12:00,2.1
20.09.1984 12:00,2.0
23.10.1984 12:00,1.9
20.11.1984 12:00,1.9
18.12.1984 12:00,2.1
17.01.1985 12:00,2.8
14.02.1985 12:00,2.8
07.03.1985 12:00,2.3
21.03.1985 12:00,2.7
04.04.1985 12:00,3.3
18.04.1985 12:00,3.3
04.05.1985 12:00,2.9
14.05.1985 12:00,2.2
30.05.1985 12:00,2.4
13.06.1985 12:00,2.2
27.06.1985 12:00,2.6
11.07.1985 12:00,2.2
25.07.1985 12:00,2.4
08.08.1985 12:00,2.0
22.08.1985 12:00,2.0
05.09.1985 12:00,2.0
19.09.1985 12:00,2.0
03.10.1985 12:00,2.0
17.10.1985 12:00,1.9
29.10.1985 12:00,1.9
14.11.1985 12:00,2.2
04.12.1985 12:00,1.9
09.01.1986 12:00,1.9
13.02.1986 12:00,2.5
20.03.1986 12:00,2.5
17.04.1986 12:00,2.8
15.05.1986 12:00,2.3
13.06.1986 12:00,2.4
10.07.1986 12:00,2.2
07.08.1986 12:00,2.1
04.09.1986 12:00,2.2
02.10.1986 12:00,1.9
30.10.1986 12:00,1.9
03.12.1986 12:00,1.6
21.01.1987 12:00,2.2
19.02.1987 12:00,2.1
18.03.1987 12:00,3.2
16.04.1987 12:00,3.3
13.05.1987 12:00,2.9
23.06.1987 12:00,2.5
16.07.1987 12:00,2.3
20.08.1987 12:00,2.4
17.09.1987 12:00,2.3
15.10.1987 12:00,2.1
12.11.1987 12:00,1.9
10.12.1987 12:00,2.1
21.01.1988 12:00,1.8
18.02.1988 12:00,1.1
17.03.1988 12:00,2.6
14.04.1988 12:00,2.2
19.05.1988 12:00,2.5
16.06.1988 12:00,2.2
14.07.1988 12:00,2.3
18.08.1988 12:00,2.1
15.09.1988 12:00,2.3
13.10.1988 12:00,2.2
10.11.1988 12:00,2.1
21.12.1988 12:00,2.3
24.01.1989 12:00,2.3
21.02.1989 12:00,2.3
21.03.1989 12:00,2.3
18.04.1989 12:00,2.1
17.05.1989 12:00,2.3
13.06.1989 12:00,2.1
18.07.1989 12:00,2.1
16.08.1989 12:00,1.6
19.09.1989 12:00,1.6
17.10.1989 12:00,1.6
14.11.1989 12:00,1.5
19.12.1989 12:00,1.6
23.01.1990 12:00,1.8
27.02.1990 12:00,2.1
27.03.1990 12:00,1.9
24.04.1990 12:00,1.9
22.05.1990 12:00,1.8
26.06.1990 12:00,1.7
27.07.1990 12:00,1.3
04.09.1990 12:00,1.2
26.09.1990 12:00,1.1
18.10.1990 12:00,1.2
19.11.1990 12:00,1.1
18.12.1990 12:00,1.5
31.01.1991 12:00,1.9
21.02.1991 12:00,2.0
21.03.1991 12:00,2.2
23.04.1991 12:00,1.7
21.05.1991 12:00,1.9
18.06.1991 12:00,2.7
23.07.1991 12:00,1.6
27.08.1991 12:00,1.5
11.09.1991 12:00,1.4
09.10.1991 12:00,1.2
06.11.1991 12:00,1.1
04.12.1991 12:00,1.3
21.01.1992 12:00,
26.02.1992 12:00,2.3
17.03.1992 12:00,2.2
15.04.1992 12:00,2.1
14.05.1992 12:00,2.2
10.06.1992 12:00,1.9
08.07.1992 12:00,1.9
05.08.1992 12:00,1.9
09.09.1992 12:00,1.8
07.10.1992 12:00,1.7
04.11.1992 12:00,1.6
02.12.1992 12:00,1.5
13.01.1993 12:00,1.9
04.02.1993 12:00,2.3
11.03.1993 12:00,2.2
08.04.1993 12:00,2.5
06.05.1993 12:00,2.1
27.05.1993 12:00,2.1
08.07.1993 12:00,1.7
05.08.1993 12:00,1.6
16.09.1993 12:00,1.8
21.10.1993 12:00,1.7
16.11.1993 12:00,1.5
09.12.1993 12:00,1.8
12.01.1994 12:00,2.0
08.02.1994 12:00,1.4
17.03.1994 12:00,2.8
13.04.1994 12:00,3.0
10.05.1994 12:00,2.1
15.06.1994 12:00,2.3
15.07.1994 12:00,1.8
17.08.1994 12:00,1.9
19.09.1994 12:00,2.0
12.10.1994 12:00,1.7
16.11.1994 12:00,1.5
14.12.1994 12:00,1.5
11.01.1995 12:00,1.5
08.02.1995 12:00,1.8
15.03.1995 12:00,2.2
12.04.1995 12:00,2.3
17.05.1995 12:00,2.1
13.06.1995 12:00,1.6
12.07.1995 12:00,1.6
09.08.1995 12:00,1.7
14.09.1995 12:00,1.7
12.10.1995 12:00,1.4
16.11.1995 12:00,1.3
14.12.1995 12:00,1.3
18.01.1996 12:00,1.7
15.02.1996 12:00,1.9
21.03.1996 12:00,2.6
17.04.1996 12:00,1.9
14.05.1996 12:00,2.0
14.06.1996 12:00,2.0
22.07.1996 12:00,1.6
27.08.1996 12:00,1.7
24.09.1996 12:00,1.7
23.10.1996 12:00,1.6
26.11.1996 12:00,1.6
17.12.1996 12:00,1.5
28.01.1997 12:00,1.8
25.02.1997 12:00,1.9
25.03.1997 12:00,1.9
21.04.1997 12:00,2.0
20.05.1997 12:00,1.7
18.06.1997 12:00,1.5
22.07.1997 12:00,1.5
27.08.1997 12:00,1.3
23.09.1997 12:00,1.2
21.10.1997 12:00,1.2
17.11.1997 12:00,1.2
16.12.1997 12:00,1.1
27.01.1998 12:00,2.0
23.02.1998 12:00,2.0
23.03.1998 12:00,1.9
21.04.1998 12:00,2.3
19.05.1998 12:00,1.4
16.06.1998 12:00,1.8
23.07.1998 12:00,1.6
24.08.1998 12:00,1.6
22.09.1998 12:00,1.3
27.10.1998 12:00,1.3
18.11.1998 12:00,1.4
15.12.1998 12:00,1.2
26.01.1999 12:00,2.0
24.02.1999 12:00,2.3
23.03.1999 12:00,2.8
27.04.1999 12:00,2.4
26.05.1999 12:00,2.1
23.06.1999 12:00,1.6
29.07.1999 12:00,1.6
24.08.1999 12:00,1.6
29.09.1999 12:00,1.4
19.10.1999 12:00,1.7
16.11.1999 12:00,1.5
14.12.1999 12:00,1.5
26.01.2000 12:00,2.2
22.02.2000 12:00,2.5
21.03.2000 12:00,2.5
19.04.2000 12:00,2.1
23.05.2000 12:00,2.4
20.06.2000 12:00,1.9
25.07.2000 12:00,2.0
22.08.2000 12:00,1.8
26.09.2000 12:00,1.8
