date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
21.01.1983 12:00,12610.9
22.02.1983 12:00,12003.8
22.03.1983 12:00,10991.7
19.04.1983 12:00,10451.0
27.05.1983 12:00,8748.9
21.06.1983 12:00,9279.2
19.07.1983 12:00,8088.3
18.08.1983 12:00,7944.8
22.09.1983 12:00,9318.6
25.10.1983 12:00,7027.7
22.11.1983 12:00,7023.1
22.12.1983 12:00,6655.6
24.01.1984 12:00,7879.2
21.02.1984 12:00,10307.1
22.03.1984 12:00,10622.2
25.04.1984 12:00,11850.9
24.05.1984 12:00,11994.5
19.06.1984 12:00,10753.1
17.07.1984 12:00,9387.9
21.08.1984 12:00,8527.9
20.09.1984 12:00,8265.6
23.10.1984 12:00,7933.0
20.11.1984 12:00,7945.3
18.12.1984 12:00,8470.8
17.01.1985 12:00,11601.5
14.02.1985 12:00,11516.5
07.03.1985 12:00,9613.2
21.03.1985 12:00,11143.4
04.04.1985 12:00,13772.1
18.04.1985 12:00,13497.6
04.05.1985 12:00,11760.9
14.05.1985 12:00,9037.8
30.05.1985 12:00,9915.9
13.06.1985 12:00,9172.0
27.06.1985 12:00,10506.7
11.07.1985 12:00,9146.7
25.07.1985 12:00,9917.6
08.08.1985 12:00,8374.7
22.08.1985 12:00,8151.4
05.09.1985 12:00,8356.0
19.09.1985 12:00,8272.8
03.10.1985 12:00,8136.6
17.10.1985 12:00,7915.6
29.10.1985 12:00,7952.5
14.11.1985 12:00,9223.6
04.12.1985 12:00,7843.4
09.01.1986 12:00,7806.9
13.02.1986 12:00,10177.2
20.03.1986 12:00,10270.8
17.04.1986 12:00,11451.3
15.05.1986 12:00,9399.7
13.06.1986 12:00,10021.4
10.07.1986 12:00,9221.9
07.08.1986 12:00,8504.8
04.09.1986 12:00,9237.5
02.10.1986 12:00,7796.0
30.10.1986 12:00,7849.1
03.12.1986 12:00,6706.1
21.01.1987 12:00,8949.7
19.02.1987 12:00,8626.2
18.03.1987 12:00,13200.0
16.04.1987 12:00,13753.7
13.05.1987 12:00,11772.3
23.06.1987 12:00,10412.3
16.07.1987 12:00,9640.1
20.08.1987 12:00,9868.3
17.09.1987 12:00,9292.5
15.10.1987 12:00,8490.8
12.11.1987 12:00,7891.8
10.12.1987 12:00,8734.9
21.01.1988 12:00,7551.2
18.02.1988 12:00,4603.3
17.03.1988 12:00,10718.0
14.04.1988 12:00,9247.8
19.05.1988 12:00,10100.7
16.06.1988 12:00,8909.1
14.07.1988 12:00,9523.7
18.08.1988 12:00,8632.4
15.09.1988 12:00,9263.7
13.10.1988 12:00,9056.4
10.11.1988 12:00,8740.1
21.12.1988 12:00,9636.0
24.01.1989 12:00,9533.8
21.02.1989 12:00,9425.0
21.03.1989 12:00,9628.1
18.04.1989 12:00,8787.4
17.05.1989 12:00,9612.8
13.06.1989 12:00,8594.9
18.07.1989 12:00,8447.7
16.08.1989 12:00,6643.3
19.09.1989 12:00,6412.4
17.10.1989 12:00,6725.2
14.11.1989 12:00,6327.1
19.12.1989 12:00,6657.1
23.01.1990 12:00,7255.6
27.02.1990 12:00,8620.3
27.03.1990 12:00,7693.8
24.04.1990 12:00,7666.0
22.05.1990 12:00,7486.7
26.06.1990 12:00,6847.4
27.07.1990 12:00,5154.1
04.09.1990 12:00,5065.4
26.09.1990 12:00,4680.2
18.10.1990 12:00,4778.4
19.11.1990 12:00,4483.8
18.12.1990 12:00,6140.6
31.01.1991 12:00,7719.0
21.02.1991 12:00,8415.8
21.03.1991 12:00,9192.5
23.04.1991 12:00,6892.0
21.05.1991 12:00,7699.2
18.06.1991 12:00,11173.7
23.07.1991 12:00,6503.5
27.08.1991 12:00,6217.8
11.09.1991 12:00,5922.4
09.10.1991 12:00,4841.1
06.11.1991 12:00,4481.6
04.12.1991 12:00,5512.5
21.01.1992 12:00,
26.02.1992 12:00,9314.0
17.03.1992 12:00,9106.7
15.04.1992 12:00,8759.8
14.05.1992 12:00,8864.5
10.06.1992 12:00,7904.9
08.07.1992 12:00,7701.3
05.08.1992 12:00,7902.9
09.09.1992 12:00,7214.9
07.10.1992 12:00,6964.0
04.11.1992 12:00,6736.6
02.12.1992 12:00,6363.3
13.01.1993 12:00,7801.3
04.02.1993 12:00,9301.8
11.03.1993 12:00,9245.8
08.04.1993 12:00,10480.5
06.05.1993 12:00,8827.9
27.05.1993 12:00,8586.4
08.07.1993 12:00,7186.4
05.08.1993 12:00,6528.3
16.09.1993 12:00,7484.8
21.10.1993 12:00,6992.5
16.11.1993 12:00,6096.1
09.12.1993 12:00,7241.1
12.01.1994 12:00,8104.8
08.02.1994 12:00,5861.3
17.03.1994 12:00,11524.0
13.04.1994 12:00,12159.4
10.05.1994 12:00,8520.7
