date,depth,density [kg m-3]
10.01.1972 12:00,0.0,1000.154
10.01.1972 12:00,1.0,1000.154
10.01.1972 12:00,2.5,1000.154
10.01.1972 12:00,5.0,1000.156
10.01.1972 12:00,7.5,1000.156
10.01.1972 12:00,10.0,1000.156
10.01.1972 12:00,12.5,1000.156
10.01.1972 12:00,15.0,1000.156
10.01.1972 12:00,20.0,1000.156
10.01.1972 12:00,30.0,1000.157
10.01.1972 12:00,36.0,1000.159
07.02.1972 12:00,0.0,1000.16
07.02.1972 12:00,1.0,1000.16
07.02.1972 12:00,2.5,1000.16
07.02.1972 12:00,5.0,1000.163
07.02.1972 12:00,7.5,1000.161
07.02.1972 12:00,10.0,1000.163
07.02.1972 12:00,12.5,1000.163
07.02.1972 12:00,15.0,1000.163
07.02.1972 12:00,20.0,1000.164
07.02.1972 12:00,30.0,1000.164
07.02.1972 12:00,36.0,1000.164
06.03.1972 12:00,0.0,1000.154
06.03.1972 12:00,1.0,1000.155
06.03.1972 12:00,2.5,1000.156
06.03.1972 12:00,5.0,1000.159
06.03.1972 12:00,7.5,1000.159
06.03.1972 12:00,10.0,1000.16
06.03.1972 12:00,12.5,1000.161
06.03.1972 12:00,15.0,1000.161
06.03.1972 12:00,20.0,1000.161
06.03.1972 12:00,30.0,1000.162
06.03.1972 12:00,36.0,1000.163
10.04.1972 12:00,0.0,999.944
10.04.1972 12:00,1.0,999.959
10.04.1972 12:00,2.5,999.974
10.04.1972 12:00,5.0,1000.091
10.04.1972 12:00,7.5,1000.103
10.04.1972 12:00,10.0,1000.118
10.04.1972 12:00,12.5,1000.117
10.04.1972 12:00,15.0,1000.121
10.04.1972 12:00,20.0,1000.128
10.04.1972 12:00,30.0,1000.132
10.04.1972 12:00,36.0,1000.137
15.05.1972 12:00,0.0,999.838
15.05.1972 12:00,1.0,999.847
15.05.1972 12:00,2.5,999.847
15.05.1972 12:00,5.0,999.849
15.05.1972 12:00,7.5,999.915
15.05.1972 12:00,10.0,999.991
15.05.1972 12:00,12.5,1000.071
15.05.1972 12:00,15.0,1000.093
15.05.1972 12:00,20.0,1000.11
15.05.1972 12:00,30.0,1000.119
15.05.1972 12:00,36.0,1000.127
05.06.1972 12:00,0.0,998.914
05.06.1972 12:00,1.0,999.275
05.06.1972 12:00,2.5,999.675
05.06.1972 12:00,5.0,999.795
05.06.1972 12:00,7.5,999.871
05.06.1972 12:00,10.0,999.887
05.06.1972 12:00,12.5,999.923
05.06.1972 12:00,15.0,999.955
05.06.1972 12:00,20.0,1000.012
05.06.1972 12:00,30.0,1000.032
05.06.1972 12:00,36.0,1000.05
03.07.1972 12:00,0.0,999.125
03.07.1972 12:00,1.0,999.126
03.07.1972 12:00,2.5,999.144
03.07.1972 12:00,5.0,999.345
03.07.1972 12:00,7.5,999.512
03.07.1972 12:00,10.0,999.694
03.07.1972 12:00,12.5,999.814
03.07.1972 12:00,15.0,999.89
03.07.1972 12:00,20.0,1000.028
03.07.1972 12:00,30.0,1000.128
03.07.1972 12:00,36.0,1000.15
16.08.1972 12:00,0.0,998.5
16.08.1972 12:00,1.0,998.521
16.08.1972 12:00,2.5,998.541
16.08.1972 12:00,5.0,999.005
16.08.1972 12:00,7.5,999.219
16.08.1972 12:00,10.0,999.451
16.08.1972 12:00,12.5,999.751
16.08.1972 12:00,15.0,999.858
16.08.1972 12:00,20.0,1000.009
16.08.1972 12:00,30.0,1000.045
16.08.1972 12:00,36.0,1000.057
04.09.1972 12:00,0.0,998.976
04.09.1972 12:00,1.0,998.993
04.09.1972 12:00,2.5,998.993
04.09.1972 12:00,5.0,999.1
04.09.1972 12:00,7.5,999.216
04.09.1972 12:00,10.0,999.379
04.09.1972 12:00,12.5,999.602
04.09.1972 12:00,15.0,999.865
04.09.1972 12:00,20.0,999.994
04.09.1972 12:00,30.0,1000.025
04.09.1972 12:00,36.0,1000.043
11.10.1972 12:00,0.0,999.565
11.10.1972 12:00,1.0,999.565
11.10.1972 12:00,2.5,999.565
11.10.1972 12:00,5.0,999.566
11.10.1972 12:00,7.5,999.566
11.10.1972 12:00,10.0,999.578
11.10.1972 12:00,12.5,999.616
11.10.1972 12:00,15.0,999.733
11.10.1972 12:00,20.0,999.99
11.10.1972 12:00,30.0,1000.023
11.10.1972 12:00,36.0,1000.048
08.11.1972 12:00,0.0,999.903
08.11.1972 12:00,1.0,999.902
08.11.1972 12:00,2.5,999.901
08.11.1972 12:00,5.0,999.901
08.11.1972 12:00,7.5,999.901
08.11.1972 12:00,10.0,999.901
08.11.1972 12:00,12.5,999.901
08.11.1972 12:00,15.0,999.91
08.11.1972 12:00,20.0,999.953
08.11.1972 12:00,30.0,1000.021
08.11.1972 12:00,36.0,1000.039
06.12.1972 12:00,0.0,1000.104
06.12.1972 12:00,1.0,1000.104
06.12.1972 12:00,2.5,1000.103
06.12.1972 12:00,5.0,1000.103
06.12.1972 12:00,7.5,1000.104
06.12.1972 12:00,10.0,1000.106
06.12.1972 12:00,12.5,1000.109
06.12.1972 12:00,15.0,1000.117
06.12.1972 12:00,20.0,1000.12
06.12.1972 12:00,30.0,1000.12
06.12.1972 12:00,36.0,1000.12
15.01.1973 12:00,0.0,1000.099
15.01.1973 12:00,1.0,1000.099
15.01.1973 12:00,2.5,1000.1
15.01.1973 12:00,5.0,1000.101
15.01.1973 12:00,7.5,1000.103
15.01.1973 12:00,10.0,1000.105
15.01.1973 12:00,12.5,1000.107
15.01.1973 12:00,15.0,1000.107
15.01.1973 12:00,20.0,1000.109
15.01.1973 12:00,30.0,1000.112
15.01.1973 12:00,36.0,1000.112
14.02.1973 12:00,0.0,1000.127
14.02.1973 12:00,1.0,1000.125
14.02.1973 12:00,2.5,1000.122
14.02.1973 12:00,5.0,1000.123
14.02.1973 12:00,7.5,1000.128
14.02.1973 12:00,10.0,1000.126
14.02.1973 12:00,12.5,1000.126
14.02.1973 12:00,15.0,1000.125
14.02.1973 12:00,20.0,1000.128
14.02.1973 12:00,30.0,1000.132
14.02.1973 12:00,36.0,1000.132
07.03.1973 12:00,0.0,1000.121
07.03.1973 12:00,1.0,1000.121
07.03.1973 12:00,2.5,1000.121
07.03.1973 12:00,5.0,1000.121
07.03.1973 12:00,7.5,1000.12
07.03.1973 12:00,10.0,1000.123
07.03.1973 12:00,12.5,1000.119
07.03.1973 12:00,15.0,1000.119
07.03.1973 12:00,20.0,1000.119
07.03.1973 12:00,30.0,1000.121
07.03.1973 12:00,36.0,1000.12
03.04.1973 12:00,0.0,1000.116
03.04.1973 12:00,1.0,1000.116
03.04.1973 12:00,2.5,1000.115
03.04.1973 12:00,5.0,1000.115
03.04.1973 12:00,7.5,1000.114
03.04.1973 12:00,10.0,1000.115
03.04.1973 12:00,12.5,1000.112
03.04.1973 12:00,15.0,1000.112
03.04.1973 12:00,20.0,1000.116
03.04.1973 12:00,30.0,1000.119
03.04.1973 12:00,36.0,1000.121
09.05.1973 12:00,0.0,999.885
09.05.1973 12:00,1.0,999.885
09.05.1973 12:00,2.5,999.883
09.05.1973 12:00,5.0,999.893
09.05.1973 12:00,7.5,999.948
09.05.1973 12:00,10.0,1000.029
09.05.1973 12:00,12.5,1000.059
09.05.1973 12:00,15.0,1000.079
09.05.1973 12:00,20.0,1000.108
09.05.1973 12:00,30.0,1000.126
09.05.1973 12:00,36.0,1000.131
05.06.1973 12:00,0.0,998.954
05.06.1973 12:00,1.0,999.056
05.06.1973 12:00,2.5,999.365
05.06.1973 12:00,5.0,999.562
05.06.1973 12:00,7.5,999.755
05.06.1973 12:00,10.0,999.856
05.06.1973 12:00,12.5,999.89
05.06.1973 12:00,15.0,999.914
05.06.1973 12:00,20.0,1000.075
05.06.1973 12:00,30.0,1000.145
05.06.1973 12:00,36.0,1000.148
