date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
10.01.1972 12:00,8.5
07.02.1972 12:00,10.0
06.03.1972 12:00,11.4
10.04.1972 12:00,13.5
15.05.1972 12:00,12.4
05.06.1972 12:00,12.2
03.07.1972 12:00,11.6
16.08.1972 12:00,11.1
04.09.1972 12:00,12.4
11.10.1972 12:00,9.0
08.11.1972 12:00,8.2
06.12.1972 12:00,9.4
15.01.1973 12:00,10.4
14.02.1973 12:00,10.9
07.03.1973 12:00,11.1
03.04.1973 12:00,11.5
09.05.1973 12:00,12.2
05.06.1973 12:00,12.3
04.07.1973 12:00,11.8
08.08.1973 12:00,12.2
28.08.1973 12:00,11.0
02.10.1973 12:00,9.2
30.10.1973 12:00,7.9
03.12.1973 12:00,9.4
08.01.1974 12:00,10.5
20.02.1974 12:00,11.1
19.03.1974 12:00,11.9
16.04.1974 12:00,14.8
14.05.1974 12:00,11.0
11.06.1974 12:00,10.6
09.07.1974 12:00,11.8
06.08.1974 12:00,10.8
03.09.1974 12:00,11.1
01.10.1974 12:00,8.0
29.10.1974 12:00,10.0
26.11.1974 12:00,9.2
19.12.1974 12:00,10.4
21.01.1975 12:00,10.9
17.02.1975 12:00,11.6
18.03.1975 12:00,12.9
15.04.1975 12:00,12.3
13.05.1975 12:00,13.9
09.06.1975 12:00,11.8
08.07.1975 12:00,11.2
05.08.1975 12:00,12.2
09.09.1975 12:00,13.8
30.09.1975 12:00,10.6
28.10.1975 12:00,8.8
25.11.1975 12:00,9.3
22.12.1975 12:00,9.6
13.01.1976 12:00,10.6
09.02.1976 12:00,12.3
08.03.1976 12:00,12.4
05.04.1976 12:00,16.6
03.05.1976 12:00,13.6
14.06.1976 12:00,11.6
15.07.1976 12:00,11.4
02.08.1976 12:00,9.9
06.09.1976 12:00,10.2
04.10.1976 12:00,12.1
01.11.1976 12:00,8.8
06.12.1976 12:00,8.9
03.01.1977 12:00,10.3
07.02.1977 12:00,11.1
07.03.1977 12:00,11.9
04.04.1977 12:00,12.4
02.05.1977 12:00,12.8
06.06.1977 12:00,12.0
04.07.1977 12:00,11.4
