date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
10.04.1972 12:00,3.6
15.05.1972 12:00,9.6
05.06.1972 12:00,1.3
03.07.1972 12:00,7.2
16.08.1972 12:00,4.0
04.09.1972 12:00,11.9
11.10.1972 12:00,16.4
08.11.1972 12:00,22.2
06.12.1972 12:00,13.3
15.01.1973 12:00,36.0
09.05.1973 12:00,7.6
05.06.1973 12:00,1.8
04.07.1973 12:00,2.4
08.08.1973 12:00,2.7
28.08.1973 12:00,5.0
02.10.1973 12:00,12.3
30.10.1973 12:00,22.4
16.04.1974 12:00,5.7
14.05.1974 12:00,4.2
11.06.1974 12:00,5.6
25.06.1974 12:00,3.7
09.07.1974 12:00,1.9
06.08.1974 12:00,3.4
03.09.1974 12:00,3.6
01.10.1974 12:00,20.2
29.10.1974 12:00,27.4
18.03.1975 12:00,9.5
15.04.1975 12:00,2.5
13.05.1975 12:00,5.1
09.06.1975 12:00,2.6
08.07.1975 12:00,1.8
05.08.1975 12:00,3.5
09.09.1975 12:00,23.3
30.09.1975 12:00,24.1
28.10.1975 12:00,25.5
25.11.1975 12:00,31.6
09.02.1976 12:00,36.0
05.04.1976 12:00,2.1
03.05.1976 12:00,1.4
14.06.1976 12:00,1.9
15.07.1976 12:00,3.9
02.08.1976 12:00,13.6
06.09.1976 12:00,12.1
04.10.1976 12:00,17.0
01.11.1976 12:00,17.7
06.12.1976 12:00,28.0
07.02.1977 12:00,0.5
07.03.1977 12:00,2.6
04.04.1977 12:00,1.3
02.05.1977 12:00,3.9
06.06.1977 12:00,4.5
04.07.1977 12:00,1.9
08.08.1977 12:00,4.4
05.09.1977 12:00,19.6
03.10.1977 12:00,22.5
07.11.1977 12:00,0.8
05.04.1978 12:00,3.6
08.05.1978 12:00,17.1
05.06.1978 12:00,2.5
05.07.1978 12:00,4.6
09.08.1978 12:00,23.0
06.09.1978 12:00,23.0
02.10.1978 12:00,22.2
06.11.1978 12:00,25.4
02.04.1979 12:00,0.9
07.05.1979 12:00,11.6
05.06.1979 12:00,2.4
02.07.1979 12:00,3.3
06.08.1979 12:00,5.2
11.09.1979 12:00,4.6
01.10.1979 12:00,15.2
05.11.1979 12:00,21.9
02.04.1980 12:00,10.5
05.05.1980 12:00,6.5
02.06.1980 12:00,13.6
07.07.1980 12:00,2.4
11.08.1980 12:00,3.0
01.09.1980 12:00,13.0
06.10.1980 12:00,18.5
03.11.1980 12:00,27.0
06.04.1981 12:00,3.6
04.05.1981 12:00,21.6
01.06.1981 12:00,3.1
06.07.1981 12:00,2.7
03.08.1981 12:00,1.7
07.09.1981 12:00,3.4
05.10.1981 12:00,0.8
02.11.1981 12:00,0.8
01.03.1982 12:00,36.0
05.04.1982 12:00,2.6
03.05.1982 12:00,1.8
07.06.1982 12:00,2.5
05.07.1982 12:00,3.4
02.08.1982 12:00,3.2
30.08.1982 12:00,1.3
04.10.1982 12:00,13.0
01.11.1982 12:00,23.5
06.12.1982 12:00,32.2
11.04.1983 12:00,2.0
02.05.1983 12:00,9.6
06.06.1983 12:00,2.5
04.07.1983 12:00,2.5
08.08.1983 12:00,2.6
06.09.1983 12:00,10.0
03.10.1983 12:00,17.5
07.11.1983 12:00,22.8
02.04.1984 12:00,19.6
07.05.1984 12:00,1.9
04.06.1984 12:00,9.0
02.07.1984 12:00,4.3
06.08.1984 12:00,5.0
03.09.1984 12:00,3.5
01.10.1984 12:00,22.1
05.11.1984 12:00,24.6
03.12.1984 12:00,29.0
07.01.1985 12:00,0.5
01.04.1985 12:00,1.1
06.05.1985 12:00,1.9
03.06.1985 12:00,3.9
01.07.1985 12:00,2.7
05.08.1985 12:00,4.8
02.09.1985 12:00,2.5
07.10.1985 12:00,5.7
04.11.1985 12:00,21.5
07.04.1986 12:00,2.1
05.05.1986 12:00,3.0
02.06.1986 12:00,2.5
07.07.1986 12:00,4.5
04.08.1986 12:00,2.5
01.09.1986 12:00,12.6
06.10.1986 12:00,15.3
03.11.1986 12:00,19.1
01.12.1986 12:00,0.0
11.02.1987 12:00,36.0
04.05.1987 12:00,13.5
01.06.1987 12:00,2.2
17.06.1987 12:00,10.4
06.07.1987 12:00,1.9
03.08.1987 12:00,21.4
07.09.1987 12:00,3.4
05.10.1987 12:00,22.3
02.11.1987 12:00,23.3
07.12.1987 12:00,30.2
05.04.1988 12:00,4.0
02.05.1988 12:00,2.6
18.05.1988 12:00,2.2
06.06.1988 12:00,14.6
22.06.1988 12:00,3.5
04.07.1988 12:00,9.2
20.07.1988 12:00,2.5
02.08.1988 12:00,4.3
15.08.1988 12:00,2.3
05.09.1988 12:00,13.0
