date (yyyy-mm-dd HH:MM:SS),bottom temperature [°C]
05.01.1976 12:00,5.73
02.02.1976 12:00,5.47
01.03.1976 12:00,5.13
27.04.1976 12:00,5.3
31.05.1976 12:00,5.27
21.06.1976 12:00,5.3
21.07.1976 12:00,5.2
16.08.1976 12:00,5.2
20.09.1976 12:00,5.3
18.10.1976 12:00,5.3
22.11.1976 12:00,5.4
13.12.1976 12:00,5.4
17.01.1977 12:00,5.5
21.02.1977 12:00,5.3
21.03.1977 12:00,5.4
19.04.1977 12:00,5.6
16.05.1977 12:00,5.5
13.06.1977 12:00,5.73
18.07.1977 12:00,5.6
22.08.1977 12:00,5.53
19.09.1977 12:00,5.67
17.10.1977 12:00,5.63
21.11.1977 12:00,6.0
19.12.1977 12:00,6.1
23.01.1978 12:00,6.0
20.02.1978 12:00,5.2
22.03.1978 12:00,5.3
02.05.1978 12:00,5.2
22.05.1978 12:00,5.3
19.06.1978 12:00,5.27
19.07.1978 12:00,5.3
28.08.1978 12:00,5.5
25.09.1978 12:00,5.5
16.10.1978 12:00,5.3
20.11.1978 12:00,5.3
11.12.1978 12:00,5.6
22.01.1979 12:00,5.0
19.02.1979 12:00,5.0
19.03.1979 12:00,5.0
17.04.1979 12:00,5.0
14.05.1979 12:00,5.1
18.06.1979 12:00,5.27
16.07.1979 12:00,5.27
20.08.1979 12:00,5.23
17.09.1979 12:00,5.33
15.10.1979 12:00,5.5
19.11.1979 12:00,5.7
10.12.1979 12:00,5.53
21.01.1980 12:00,5.4
18.02.1980 12:00,5.3
17.03.1980 12:00,5.3
14.04.1980 12:00,5.2
19.05.1980 12:00,5.3
16.06.1980 12:00,5.4
21.07.1980 12:00,5.5
18.08.1980 12:00,5.5
22.09.1980 12:00,5.6
20.10.1980 12:00,5.7
17.11.1980 12:00,5.5
18.12.1980 12:00,5.63
19.01.1981 12:00,5.1
16.02.1981 12:00,4.6
16.03.1981 12:00,4.5
08.04.1981 12:00,4.4
06.05.1981 12:00,4.5
09.06.1981 12:00,4.5
20.07.1981 12:00,4.6
17.08.1981 12:00,4.6
21.09.1981 12:00,4.6
19.10.1981 12:00,4.97
16.11.1981 12:00,5.1
21.12.1981 12:00,5.5
20.01.1982 12:00,5.2
15.02.1982 12:00,4.8
15.03.1982 12:00,4.6
26.04.1982 12:00,4.7
10.05.1982 12:00,4.7
21.06.1982 12:00,4.7
19.07.1982 12:00,5.0
16.08.1982 12:00,5.0
20.09.1982 12:00,5.0
18.10.1982 12:00,5.1
15.11.1982 12:00,5.2
13.12.1982 12:00,5.2
17.01.1983 12:00,5.37
21.02.1983 12:00,5.1
21.03.1983 12:00,5.0
25.04.1983 12:00,5.23
16.05.1983 12:00,5.2
20.06.1983 12:00,5.3
18.07.1983 12:00,5.3
22.08.1983 12:00,5.3
19.09.1983 12:00,5.3
17.10.1983 12:00,5.4
21.11.1983 12:00,5.43
07.12.1983 12:00,5.3
23.01.1984 12:00,5.5
20.02.1984 12:00,4.9
19.03.1984 12:00,4.8
16.04.1984 12:00,4.8
21.05.1984 12:00,4.9
18.06.1984 12:00,5.0
16.07.1984 12:00,5.03
20.08.1984 12:00,5.1
17.09.1984 12:00,5.03
15.10.1984 12:00,5.2
19.11.1984 12:00,5.1
17.12.1984 12:00,5.1
23.01.1985 12:00,4.8
18.02.1985 12:00,4.7
27.03.1985 12:00,4.63
22.04.1985 12:00,4.8
20.05.1985 12:00,4.8
17.06.1985 12:00,4.83
22.07.1985 12:00,4.9
19.08.1985 12:00,4.77
16.09.1985 12:00,4.8
21.10.1985 12:00,4.83
