date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
05.01.1976 12:00,1000.1000916838891
02.02.1976 12:00,1000.1141477331745
01.03.1976 12:00,1000.132791845877
27.04.1976 12:00,1000.103973265102
31.05.1976 12:00,1000.1176903947228
21.06.1976 12:00,1000.1028440590624
21.07.1976 12:00,1000.1144908654805
16.08.1976 12:00,1000.1143317492254
20.09.1976 12:00,1000.111014655842
18.10.1976 12:00,1000.1047323683213
22.11.1976 12:00,1000.0801476592492
13.12.1976 12:00,1000.0946446994566
17.01.1977 12:00,1000.1148319411689
21.02.1977 12:00,1000.1238514816962
21.03.1977 12:00,1000.1179080106083
19.04.1977 12:00,1000.1123564657131
16.05.1977 12:00,1000.1057692550008
13.06.1977 12:00,1000.1001158012476
18.07.1977 12:00,1000.1005241171762
22.08.1977 12:00,1000.0934165269467
19.09.1977 12:00,1000.0915358508594
17.10.1977 12:00,1000.0894150604738
21.11.1977 12:00,1000.0754268177789
19.12.1977 12:00,1000.0796409251069
23.01.1978 12:00,1000.1025571639062
20.02.1978 12:00,1000.1235999694097
22.03.1978 12:00,1000.1224137190293
02.05.1978 12:00,1000.1078520263598
22.05.1978 12:00,1000.1157710312353
19.06.1978 12:00,1000.1129635468817
19.07.1978 12:00,1000.1138682886007
28.08.1978 12:00,1000.1033176901332
25.09.1978 12:00,1000.1001182186812
16.10.1978 12:00,1000.0975547058463
20.11.1978 12:00,1000.0928024763834
11.12.1978 12:00,1000.0980479324055
22.01.1979 12:00,1000.1267642470032
19.02.1979 12:00,1000.127520273479
19.03.1979 12:00,1000.127322372987
17.04.1979 12:00,1000.1204152152686
14.05.1979 12:00,1000.1187225794732
18.06.1979 12:00,1000.109797379833
16.07.1979 12:00,1000.0986842802117
20.08.1979 12:00,1000.1035655878313
17.09.1979 12:00,1000.10403544771
15.10.1979 12:00,1000.0953197792817
19.11.1979 12:00,1000.0752598919671
10.12.1979 12:00,1000.0903678897082
21.01.1980 12:00,1000.1182465724639
18.02.1980 12:00,1000.1220915513995
17.03.1980 12:00,1000.1228489847442
14.04.1980 12:00,1000.1219421133028
19.05.1980 12:00,1000.1092021848592
16.06.1980 12:00,1000.115037827549
21.07.1980 12:00,1000.0419317202274
18.08.1980 12:00,1000.1052165539062
22.09.1980 12:00,1000.0968795385329
20.10.1980 12:00,1000.093953230146
17.11.1980 12:00,1000.0934965461129
18.12.1980 12:00,1000.1019655161882
19.01.1981 12:00,1000.11977848158
16.02.1981 12:00,1000.1302167526641
16.03.1981 12:00,1000.1307757471244
08.04.1981 12:00,1000.1300296328009
06.05.1981 12:00,1000.1351864105965
09.06.1981 12:00,1000.1260226373183
20.07.1981 12:00,1000.119032353488
17.08.1981 12:00,1000.1209298827267
21.09.1981 12:00,1000.1201940980516
19.10.1981 12:00,1000.0901558723319
16.11.1981 12:00,1000.1012384040803
21.12.1981 12:00,1000.1154751944285
20.01.1982 12:00,1000.121489548844
15.02.1982 12:00,1000.132459219461
15.03.1982 12:00,1000.1296977308275
26.04.1982 12:00,1000.1251796397718
10.05.1982 12:00,1000.1220188567139
19.07.1982 12:00,1000.1209300652108
16.08.1982 12:00,1000.1173164572955
20.09.1982 12:00,1000.1170371597098
18.10.1982 12:00,1000.0975997376354
15.11.1982 12:00,1000.0888021863466
13.12.1982 12:00,1000.0884680983725
17.01.1983 12:00,1000.1052588219012
21.02.1983 12:00,1000.1271673752597
21.03.1983 12:00,1000.1294733128339
25.04.1983 12:00,1000.1132380829127
16.05.1983 12:00,1000.1090674282606
20.06.1983 12:00,1000.0997171594558
18.07.1983 12:00,1000.1073143382757
22.08.1983 12:00,1000.1080462653765
19.09.1983 12:00,1000.075627381891
17.10.1983 12:00,1000.1003854108396
21.11.1983 12:00,1000.0849699572832
07.12.1983 12:00,1000.0927629066186
23.01.1984 12:00,1000.115083085813
20.02.1984 12:00,1000.1267909012578
19.03.1984 12:00,1000.128438576872
16.04.1984 12:00,1000.1263587664623
21.05.1984 12:00,1000.1183652145454
18.06.1984 12:00,1000.1145910743447
16.07.1984 12:00,1000.0996414799184
20.08.1984 12:00,1000.1108159534467
17.09.1984 12:00,1000.1069345633706
15.10.1984 12:00,1000.1047984291148
19.11.1984 12:00,1000.0896501378325
17.12.1984 12:00,1000.0994677309913
23.01.1985 12:00,1000.1319999694539
18.02.1985 12:00,1000.1320836184168
27.03.1985 12:00,1000.1344494669798
22.04.1985 12:00,1000.1259102760669
20.05.1985 12:00,1000.1211563641376
17.06.1985 12:00,1000.1196544141848
22.07.1985 12:00,1000.1198837342438
19.08.1985 12:00,1000.1206052804555
16.09.1985 12:00,1000.1211054004556
21.10.1985 12:00,1000.1180654848339
18.11.1985 12:00,1000.1096199463327
16.12.1985 12:00,1000.1133289000094
20.01.1986 12:00,1000.1214155207379
17.02.1986 12:00,1000.1345503963917
17.03.1986 12:00,1000.1427273799014
28.04.1986 12:00,1000.1291907684574
26.05.1986 12:00,1000.126259505363
16.06.1986 12:00,1000.1171316886825
21.07.1986 12:00,1000.1133914191639
18.08.1986 12:00,1000.114136101858
24.09.1986 12:00,1000.127432550228
20.10.1986 12:00,1000.1169554169211
17.11.1986 12:00,1000.0906277967593
15.12.1986 12:00,1000.1093765893787
19.01.1987 12:00,1000.1218654024332
16.02.1987 12:00,1000.1130260817879
16.03.1987 12:00,1000.1242536392739
21.04.1987 12:00,1000.120940314829
18.05.1987 12:00,1000.1229070194805
22.06.1987 12:00,1000.121235318158
20.07.1987 12:00,1000.1097607339195
17.08.1987 12:00,1000.1067214049466
21.09.1987 12:00,1000.107810339508
19.10.1987 12:00,1000.0945217037302
16.11.1987 12:00,1000.0928071638631
14.12.1987 12:00,1000.1012786716414
18.01.1988 12:00,1000.1026244093965
15.02.1988 12:00,1000.1089962362485
21.03.1988 12:00,1000.118990194494
