date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
05.01.1976 12:00,10.0
02.02.1976 12:00,10.5
01.03.1976 12:00,10.6
27.04.1976 12:00,10.6
31.05.1976 12:00,10.3
21.06.1976 12:00,10.1
21.07.1976 12:00,10.0
16.08.1976 12:00,8.7
20.09.1976 12:00,9.1
18.10.1976 12:00,9.1
22.11.1976 12:00,9.3
13.12.1976 12:00,9.2
17.01.1977 12:00,9.5
21.02.1977 12:00,10.0
21.03.1977 12:00,10.7
19.04.1977 12:00,10.5
16.05.1977 12:00,10.4
13.06.1977 12:00,9.9
18.07.1977 12:00,9.6
22.08.1977 12:00,9.4
19.09.1977 12:00,9.4
17.10.1977 12:00,8.7
21.11.1977 12:00,9.0
19.12.1977 12:00,9.0
23.01.1978 12:00,10.2
20.02.1978 12:00,10.8
22.03.1978 12:00,11.5
02.05.1978 12:00,11.1
22.05.1978 12:00,10.6
19.06.1978 12:00,10.4
19.07.1978 12:00,10.1
28.08.1978 12:00,9.7
25.09.1978 12:00,9.5
16.10.1978 12:00,9.5
20.11.1978 12:00,9.2
11.12.1978 12:00,9.0
22.01.1979 12:00,10.0
19.02.1979 12:00,10.2
19.03.1979 12:00,10.7
17.04.1979 12:00,10.9
14.05.1979 12:00,10.8
18.06.1979 12:00,10.4
16.07.1979 12:00,10.1
20.08.1979 12:00,9.5
17.09.1979 12:00,9.5
15.10.1979 12:00,9.3
19.11.1979 12:00,9.1
10.12.1979 12:00,8.7
21.01.1980 12:00,10.0
18.02.1980 12:00,10.3
17.03.1980 12:00,10.6
14.04.1980 12:00,11.0
19.05.1980 12:00,10.8
16.06.1980 12:00,10.4
21.07.1980 12:00,10.2
18.08.1980 12:00,9.7
22.09.1980 12:00,9.2
20.10.1980 12:00,9.3
17.11.1980 12:00,9.3
18.12.1980 12:00,9.1
19.01.1981 12:00,10.2
16.02.1981 12:00,10.8
16.03.1981 12:00,10.8
08.04.1981 12:00,10.9
06.05.1981 12:00,10.6
09.06.1981 12:00,10.4
20.07.1981 12:00,10.2
17.08.1981 12:00,9.8
21.09.1981 12:00,9.4
19.10.1981 12:00,9.0
16.11.1981 12:00,9.7
21.12.1981 12:00,10.0
20.01.1982 12:00,10.6
15.02.1982 12:00,10.6
15.03.1982 12:00,11.0
26.04.1982 12:00,11.0
10.05.1982 12:00,11.3
21.06.1982 12:00,10.9
19.07.1982 12:00,10.0
16.08.1982 12:00,9.9
20.09.1982 12:00,10.2
18.10.1982 12:00,9.7
15.11.1982 12:00,9.7
13.12.1982 12:00,9.8
17.01.1983 12:00,10.7
21.02.1983 12:00,10.9
21.03.1983 12:00,11.1
25.04.1983 12:00,11.2
16.05.1983 12:00,10.8
20.06.1983 12:00,10.5
18.07.1983 12:00,10.2
22.08.1983 12:00,10.2
19.09.1983 12:00,9.6
17.10.1983 12:00,9.9
21.11.1983 12:00,9.3
07.12.1983 12:00,9.6
23.01.1984 12:00,10.3
20.02.1984 12:00,10.7
19.03.1984 12:00,11.2
16.04.1984 12:00,11.1
21.05.1984 12:00,10.7
18.06.1984 12:00,10.6
16.07.1984 12:00,10.3
20.08.1984 12:00,10.1
17.09.1984 12:00,10.1
15.10.1984 12:00,9.6
19.11.1984 12:00,9.2
17.12.1984 12:00,9.8
23.01.1985 12:00,9.9
18.02.1985 12:00,10.5
27.03.1985 12:00,10.8
22.04.1985 12:00,11.1
20.05.1985 12:00,10.9
17.06.1985 12:00,10.8
22.07.1985 12:00,10.2
19.08.1985 12:00,10.2
16.09.1985 12:00,10.1
21.10.1985 12:00,9.7
18.11.1985 12:00,9.6
16.12.1985 12:00,9.5
20.01.1986 12:00,10.6
17.02.1986 12:00,10.8
17.03.1986 12:00,11.0
28.04.1986 12:00,11.5
26.05.1986 12:00,11.1
16.06.1986 12:00,10.9
21.07.1986 12:00,10.5
18.08.1986 12:00,9.9
24.09.1986 12:00,10.1
20.10.1986 12:00,10.3
17.11.1986 12:00,9.8
15.12.1986 12:00,9.7
19.01.1987 12:00,10.6
16.02.1987 12:00,11.2
16.03.1987 12:00,11.2
21.04.1987 12:00,11.2
18.05.1987 12:00,11.2
22.06.1987 12:00,9.7
20.07.1987 12:00,10.7
17.08.1987 12:00,10.5
21.09.1987 12:00,10.2
19.10.1987 12:00,10.0
16.11.1987 12:00,10.1
14.12.1987 12:00,9.5
18.01.1988 12:00,9.9
15.02.1988 12:00,10.5
21.03.1988 12:00,11.1
19.04.1988 12:00,11.1
16.05.1988 12:00,11.0
20.06.1988 12:00,10.8
18.07.1988 12:00,10.4
17.08.1988 12:00,10.4
19.09.1988 12:00,9.6
17.10.1988 12:00,9.9
28.11.1988 12:00,9.9
19.12.1988 12:00,10.0
23.01.1989 12:00,10.1
20.02.1989 12:00,10.5
20.03.1989 12:00,10.6
18.04.1989 12:00,10.6
22.05.1989 12:00,10.3
19.06.1989 12:00,10.3
17.07.1989 12:00,10.0
21.08.1989 12:00,9.7
18.09.1989 12:00,9.7
16.10.1989 12:00,9.4
20.11.1989 12:00,9.4
20.12.1989 12:00,9.5
22.01.1990 12:00,9.7
19.02.1990 12:00,10.7
19.03.1990 12:00,10.9
24.04.1990 12:00,11.1
28.05.1990 12:00,10.6
25.06.1990 12:00,10.6
23.07.1990 12:00,10.2
20.08.1990 12:00,10.0
17.09.1990 12:00,9.8
18.10.1990 12:00,9.6
22.11.1990 12:00,9.6
17.12.1990 12:00,9.5
21.01.1991 12:00,10.2
18.02.1991 12:00,10.6
18.03.1991 12:00,10.8
22.04.1991 12:00,10.9
21.05.1991 12:00,10.5
17.06.1991 12:00,10.3
15.07.1991 12:00,10.1
19.08.1991 12:00,10.1
16.09.1991 12:00,9.9
21.10.1991 12:00,9.2
18.11.1991 12:00,9.5
16.12.1991 12:00,9.4
29.01.1992 12:00,10.5
20.02.1992 12:00,10.9
16.03.1992 12:00,11.2
22.04.1992 12:00,11.0
18.05.1992 12:00,10.8
15.06.1992 12:00,10.6
20.07.1992 12:00,10.5
17.08.1992 12:00,10.3
21.09.1992 12:00,9.9
19.10.1992 12:00,9.5
16.11.1992 12:00,9.8
14.12.1992 12:00,9.9
18.01.1993 12:00,10.3
15.02.1993 12:00,10.6
15.03.1993 12:00,11.2
20.04.1993 12:00,11.1
17.05.1993 12:00,10.9
21.06.1993 12:00,10.8
19.07.1993 12:00,10.6
16.08.1993 12:00,10.4
20.09.1993 12:00,10.2
18.10.1993 12:00,10.2
15.11.1993 12:00,10.1
20.12.1993 12:00,10.1
17.01.1994 12:00,10.7
21.02.1994 12:00,11.1
21.03.1994 12:00,11.3
20.04.1994 12:00,11.2
16.05.1994 12:00,11.1
22.06.1994 12:00,10.9
18.07.1994 12:00,10.8
22.08.1994 12:00,10.3
19.09.1994 12:00,10.4
17.10.1994 12:00,10.3
21.11.1994 12:00,10.0
19.12.1994 12:00,10.0
23.01.1995 12:00,10.6
20.02.1995 12:00,10.9
27.03.1995 12:00,11.2
19.04.1995 12:00,11.1
17.05.1995 12:00,11.0
19.06.1995 12:00,10.8
17.07.1995 12:00,10.8
21.08.1995 12:00,10.4
18.09.1995 12:00,10.4
16.10.1995 12:00,10.1
20.11.1995 12:00,10.1
18.12.1995 12:00,10.1
22.01.1996 12:00,10.5
19.02.1996 12:00,11.0
18.03.1996 12:00,11.2
22.04.1996 12:00,11.1
20.05.1996 12:00,11.1
17.06.1996 12:00,10.7
15.07.1996 12:00,10.6
19.08.1996 12:00,10.4
16.09.1996 12:00,10.2
23.10.1996 12:00,10.0
18.11.1996 12:00,9.9
18.12.1996 12:00,10.1
20.01.1997 12:00,10.7
26.02.1997 12:00,10.8
17.03.1997 12:00,11.0
14.04.1997 12:00,11.0
20.05.1997 12:00,10.8
16.06.1997 12:00,10.7
21.07.1997 12:00,10.5
18.08.1997 12:00,10.4
22.09.1997 12:00,10.0
22.10.1997 12:00,9.8
17.11.1997 12:00,9.9
15.12.1997 12:00,10.0
19.01.1998 12:00,10.3
16.02.1998 12:00,10.6
16.03.1998 12:00,11.0
27.04.1998 12:00,10.8
25.05.1998 12:00,10.7
22.06.1998 12:00,10.6
20.07.1998 12:00,10.2
17.08.1998 12:00,10.3
21.09.1998 12:00,10.0
19.10.1998 12:00,9.7
16.11.1998 12:00,9.7
21.12.1998 12:00,10.2
18.01.1999 12:00,10.6
15.02.1999 12:00,11.1
15.03.1999 12:00,11.2
26.04.1999 12:00,11.1
17.05.1999 12:00,11.0
21.06.1999 12:00,10.8
16.08.1999 12:00,10.5
20.09.1999 12:00,10.3
18.10.1999 12:00,10.3
15.11.1999 12:00,9.9
20.12.1999 12:00,9.9
17.01.2000 12:00,10.6
21.02.2000 12:00,11.0
20.03.2000 12:00,11.2
17.04.2000 12:00,11.2
22.05.2000 12:00,11.0
26.06.2000 12:00,10.8
17.07.2000 12:00,10.7
21.08.2000 12:00,10.4
18.09.2000 12:00,10.0
16.10.2000 12:00,10.0
20.11.2000 12:00,9.9
18.12.2000 12:00,10.0
28.02.2001 12:00,11.1
28.05.2001 12:00,12.4
20.08.2001 12:00,9.3
19.11.2001 12:00,10.9
18.02.2002 12:00,10.9
27.05.2002 12:00,10.8
19.08.2002 12:00,10.2
18.11.2002 12:00,10.0
19.03.2003 12:00,11.0
19.05.2003 12:00,10.4
18.08.2003 12:00,10.1
17.11.2003 12:00,9.7
16.02.2004 12:00,10.8
17.05.2004 12:00,10.6
16.08.2004 12:00,9.6
15.11.2004 12:00,10.7
15.03.2005 12:00,11.1
23.05.2005 12:00,10.9
22.08.2005 12:00,10.0
21.11.2005 12:00,9.6
20.02.2006 12:00,11.3
21.08.2006 12:00,11.0
20.11.2006 12:00,9.9
19.02.2007 12:00,9.9
23.05.2007 12:00,10.3
20.08.2007 12:00,10.1
19.11.2007 12:00,9.3
18.02.2008 12:00,11.0
02.06.2008 12:00,10.3
18.08.2008 12:00,10.1
17.11.2008 12:00,9.4
16.02.2009 12:00,10.4
25.05.2009 12:00,9.9
17.08.2009 12:00,9.4
16.11.2009 12:00,9.4
15.02.2010 12:00,10.3
10.05.2010 12:00,10.3
16.08.2010 12:00,9.6
15.11.2010 12:00,9.3
21.02.2011 12:00,10.2
16.05.2011 12:00,9.6
22.08.2011 12:00,8.5
21.11.2011 12:00,10.0
20.02.2012 12:00,11.6
14.05.2012 12:00,11.3
27.08.2012 12:00,10.5
19.11.2012 12:00,10.2
18.02.2013 12:00,11.1
21.05.2013 12:00,11.3
19.08.2013 12:00,10.8
18.11.2013 12:00,10.5
17.02.2014 12:00,11.0
19.05.2014 12:00,10.7
18.08.2014 12:00,10.5
17.11.2014 12:00,9.9
16.02.2015 12:00,10.7
18.05.2015 12:00,10.7
17.08.2015 12:00,10.3
16.11.2015 12:00,9.8
15.02.2016 12:00,10.5
25.05.2016 12:00,10.7
22.08.2016 12:00,10.1
28.11.2016 12:00,9.7
02.03.2017 12:00,11.1
29.05.2017 12:00,10.5
21.08.2017 12:00,10.2
20.11.2017 12:00,9.9
19.02.2018 12:00,10.7
20.08.2018 12:00,10.6
26.11.2018 12:00,10.2
18.02.2019 12:00,11.1
20.05.2019 12:00,10.9
19.08.2019 12:00,10.3
18.11.2019 12:00,10.0
17.02.2020 12:00,11.0
18.05.2020 12:00,11.0
17.08.2020 12:00,10.6
16.11.2020 12:00,9.8
15.02.2021 12:00,11.2
31.05.2021 12:00,10.9
16.08.2021 12:00,10.3
08.09.2021 12:00,10.5
22.11.2021 12:00,10.1
02.03.2022 12:00,11.2
16.05.2022 12:00,10.8
22.08.2022 12:00,10.2
21.11.2022 12:00,9.7
20.02.2023 12:00,10.3
22.05.2023 12:00,10.7
21.08.2023 12:00,10.2
20.11.2023 12:00,9.6
