date,mean annual Secchi depth
1950,4.52
1953,3.97
1954,3.83
1956,3.81
1957,3.9
1958,3.54
1959,3.73
1960,3.83
1961,3.23
1962,2.68
1963,2.63
1964,1.92
1965,2.16
1966,2.3
1967,2.99
1968,2.27
1972,2.27
1973,2.53
1974,2.7
1975,3.32
1977,2.06
1978,2.53
1980,2.91
1983,3.82
1984,3.56
1986,2.99
1988,4.08
1989,3.74
1990,4.06
1991,3.66
1992,3.5
1993,3.54
1994,3.53
1995,3.78
1996,3.14
1998,3.53
1999,3.48
2000,2.97
2001,3.21
2002,3.44
2003,3.75
2004,3.25
2005,3.35
2006,3.68
2007,3.45
2008,3.82
2009,2.66
2010,4.38
2011,3.82
2012,3.33
2013,4.03
2014,4.03
2015,3.65
2016,3.6
2017,3.32
2018,4.18
2019,3.4
2020,4.35
2021,3.93
2022,4.19
2023,2.81
