date,mean autumn epilimnion 0-5 m oxygen concentration
1949,8.59
1950,9.59
1951,9.57
1953,9.16
1954,11.11
1956,7.56
1957,11.22
1958,8.05
1959,8.66
1960,9.15
1961,8.94
1962,11.79
1963,8.39
1964,7.88
1965,9.99
1966,11.01
1967,8.0
1968,9.43
1969,10.1
1970,11.19
1971,10.18
1972,9.34
1973,8.85
1974,6.39
1975,7.83
1976,11.58
1977,9.03
1978,9.03
1979,9.19
1980,9.03
1981,8.6
1982,8.56
1983,8.31
1984,8.61
1985,9.13
1986,9.49
1987,8.41
1988,8.87
1989,9.88
1990,9.06
1991,9.67
1992,7.96
1993,8.4
1994,8.95
1995,10.89
1996,10.17
1997,8.79
1998,9.02
1999,9.37
2000,8.73
2001,9.5
2002,8.93
2003,9.34
2004,8.84
2005,9.33
2006,9.24
2007,9.21
2008,9.52
2009,7.33
2010,7.45
2011,7.98
2012,8.32
2013,9.18
2014,10.1
2015,9.16
2016,8.55
2017,9.01
2018,9.72
2019,8.57
2020,8.39
2021,9.8
2022,9.2
2023,10.19
