date,mean autumn hypolimnetic density
1976,1000.2564
1977,1000.2173
1978,1000.2761
1979,1000.248
1980,1000.2322
1981,1000.2825
1982,1000.2738
1983,1000.2473
1984,1000.2724
1985,1000.2486
1986,1000.2694
1987,1000.2573
1988,1000.2508
1989,1000.2265
1990,1000.241
1991,1000.3286
1992,1000.2599
1993,1000.2682
1994,1000.233
1995,1000.2393
1996,1000.2777
1997,1000.2276
1998,1000.2392
1999,1000.2657
2000,1000.2529
2001,1000.2157
2002,1000.2213
2003,1000.2618
2004,1000.2553
2005,1000.2715
2006,1000.2813
2007,1000.2294
2008,1000.2374
2009,1000.2733
2010,1000.2846
2011,1000.288
2012,1000.2659
2013,1000.3088
2014,1000.2759
2015,1000.2622
2016,1000.2524
2017,1000.2607
2018,1000.2787
2019,1000.216
2020,1000.2274
2021,1000.2414
2022,1000.2713
2023,1000.2643
