date,mean autumn surface oxygen concentration
1949,8.85
1950,9.84
1951,9.9
1953,9.33
1954,11.73
1956,7.76
1957,12.87
1958,8.14
1959,9.07
1960,11.16
1961,12.43
1962,12.96
1963,9.52
1964,10.57
1965,10.4
1966,12.42
1967,8.53
1968,10.12
1969,11.55
1970,16.42
1971,11.83
1972,9.92
1973,8.98
1974,6.45
1975,8.78
1976,12.35
1977,9.38
1978,9.37
1979,9.13
1980,9.53
1981,8.98
1982,8.52
1983,8.33
1984,9.26
1985,9.27
1986,9.42
1987,8.46
1988,8.92
1989,9.97
1990,9.26
1991,9.65
1992,7.98
1993,8.42
1994,8.94
1995,11.33
1996,10.18
1997,8.73
1998,9.01
1999,9.53
2000,8.81
2001,9.87
2002,8.95
2003,9.35
2004,8.86
2005,9.33
2006,9.42
2007,9.61
2008,10.0
2009,7.44
2010,7.46
2011,8.08
2012,8.39
2013,9.24
2014,10.28
2015,9.21
2016,8.62
2017,9.01
2018,9.74
2019,8.61
2020,8.42
2021,9.83
2022,9.22
2023,10.77
