date,mean early autumn bottom oxygen concentration
1949,0.0
1950,0.07
1951,0.35
1953,0.26
1954,0.39
1956,0.01
1957,0.08
1958,0.04
1959,0.01
1960,0.0
1961,0.06
1962,0.0
1963,0.0
1964,0.0
1965,0.19
1966,0.2
1967,0.17
1968,0.08
1969,0.26
1970,0.25
1971,0.0
1972,0.0
1973,0.0
1974,0.06
1975,0.15
1976,0.01
1977,0.04
1978,0.0
1979,0.0
1980,0.08
1981,0.03
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.13
1987,0.0
1988,0.2
1989,0.01
1990,0.07
1991,0.06
1992,0.13
1993,0.09
1994,0.12
1995,0.11
1996,0.1
1997,0.08
1998,0.07
1999,0.07
2000,0.06
2001,0.1
2002,0.0
2003,0.18
2004,0.09
2005,0.07
2006,0.1
2007,0.56
2008,0.01
2009,0.1
2010,0.01
2011,0.0
2012,0.15
2013,0.2
2014,0.12
2015,0.2
2016,0.3
2017,0.3
2018,0.33
2019,0.0
2020,0.07
2021,0.3
2022,0.4
2023,0.29
