date,mean early autumn hypolimnetic oxygen concentration
1949,0.32
1950,0.53
1951,0.33
1953,0.65
1954,0.41
1956,0.18
1957,0.14
1958,0.18
1959,0.12
1960,0.07
1961,0.41
1962,0.22
1963,0.11
1964,0.1
1965,0.18
1966,0.18
1967,0.24
1968,0.18
1969,0.33
1970,0.31
1971,0.11
1972,0.0
1973,0.15
1974,0.14
1975,0.27
1976,0.08
1977,0.24
1978,0.0
1979,0.07
1980,0.19
1981,0.03
1982,0.0
1983,0.0
1984,0.01
1985,0.0
1986,0.1
1987,0.0
1988,0.13
1989,0.01
1990,0.11
1991,0.09
1992,0.11
1993,0.15
1994,0.12
1995,0.12
1996,0.24
1997,0.1
1998,0.13
1999,0.12
2000,0.13
2001,0.1
2002,0.02
2003,0.2
2004,0.1
2005,0.08
2006,0.19
2007,0.52
2008,0.02
2009,0.12
2010,0.02
2011,0.02
2012,0.14
2013,0.41
2014,0.1
2015,0.22
2016,0.3
2017,0.3
2018,0.36
2019,0.0
2020,0.11
2021,0.32
2022,0.43
2023,0.29
