date,mean early autumn thermocline depth
1949,7.59
1950,8.07
1951,6.91
1953,7.61
1954,7.31
1956,7.79
1957,8.47
1958,8.2
1959,6.82
1960,8.88
1961,7.18
1962,7.8
1963,8.51
1964,6.54
1965,8.54
1966,8.55
1967,8.14
1968,8.84
1969,6.99
1970,4.01
1971,6.73
1972,7.9
1973,6.12
1974,7.82
1975,8.86
1976,7.02
1977,8.23
1978,7.92
1979,8.29
1980,8.1
1981,7.93
1982,8.29
1983,7.68
1984,8.46
1985,8.41
1986,7.35
1987,7.44
1988,7.93
1989,8.72
1990,8.47
1991,7.6
1992,8.36
1993,8.07
1994,8.31
1995,8.29
1996,8.32
1997,8.17
1998,8.81
1999,7.68
2000,7.62
2001,8.51
2002,8.6
2003,8.3
2004,7.01
2005,8.22
2006,8.01
2007,8.54
2008,8.55
2009,9.51
2010,10.53
2011,8.73
2012,9.09
2013,8.39
2014,9.34
2015,8.73
2016,6.87
2017,9.42
2018,8.8
2019,9.26
2020,10.07
2021,8.14
2022,9.34
2023,8.45
